policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
candidate,map_b_split_lane,OP10,OP10,OP10,7004,3.0,1.0,1,0,0,2.0,4.0,3.0,1.0,1.0,18.0,76.0,120.0,4.0,214.0,211.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,37.38317757009346,14.018691588785046,9.345794392523365,0.985981308411215,0.08411214953271028,0.35514018691588783,4.0,107
baseline,map_b_split_lane,OP10,OP10,OP10,7005,3.0,2.0,1,0,0,1.0,2.0,1.0,0.0,0.0,31.0,84.0,127.0,3.0,242.0,241.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,16.52892561983471,4.132231404958677,0.0,0.9958677685950413,0.128099173553719,0.34710743801652894,3.0,121
candidate,map_b_split_lane,OP10,OP10,OP10,7005,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,0.0,73.0,127.0,0.0,200.0,200.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.0,0.365,0.0,100
baseline,map_b_split_lane,OP10,OP10,OP10,7006,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,65.0,34.0,135.0,3.0,234.0,234.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.2777777777777778,0.1452991452991453,3.0,117
candidate,map_b_split_lane,OP10,OP10,OP10,7006,3.0,2.0,1,0,0,1.0,0.0,0.0,0.0,0.0,22.0,69.0,139.0,3.0,230.0,230.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.09565217391304348,0.3,3.0,115
baseline,map_b_split_lane,OP10,OP10,OP10,7007,3.0,1.0,1,0,0,2.0,1.0,0.0,0.0,0.0,0.0,67.0,113.0,0.0,180.0,180.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,11.11111111111111,0.0,0.0,1.0,0.0,0.37222222222222223,0.0,90
candidate,map_b_split_lane,OP10,OP10,OP10,7007,3.0,1.0,1,0,0,2.0,2.0,0.0,0.0,0.0,0.0,90.0,94.0,0.0,184.0,184.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,21.73913043478261,0.0,0.0,1.0,0.0,0.4891304347826087,0.0,92
baseline,map_b_split_lane,OP10,OP10,OP10,7008,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,13.0,79.0,108.0,1.0,200.0,200.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.065,0.395,1.0,100
candidate,map_b_split_lane,OP10,OP10,OP10,7008,2.0,3.0,0,1,0,-1.0,2.0,2.0,0.0,0.0,22.0,109.0,145.0,3.0,276.0,274.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,14.492753623188406,7.246376811594203,0.0,0.9927536231884058,0.07971014492753623,0.39492753623188404,3.0,138
baseline,map_b_split_lane,OP10,OP10,OP10,7009,3.0,2.0,1,0,0,1.0,2.0,1.0,0.0,0.0,78.0,23.0,129.0,4.0,230.0,229.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,17.391304347826086,4.3478260869565215,0.0,0.9956521739130435,0.3391304347826087,0.1,4.0,115
candidate,map_b_split_lane,OP10,OP10,OP10,7009,3.0,2.0,1,0,0,1.0,7.0,4.0,0.0,0.0,56.0,49.0,103.0,2.0,208.0,204.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,67.3076923076923,19.23076923076923,0.0,0.9807692307692307,0.2692307692307692,0.23557692307692307,2.0,104
baseline,map_b_split_lane,OP10,OP10,OP10,7010,2.0,3.0,0,1,0,-1.0,2.0,0.0,0.0,0.0,42.0,57.0,155.0,5.0,254.0,254.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,15.748031496062993,0.0,0.0,1.0,0.16535433070866143,0.22440944881889763,5.0,127
