file,line,module,bound_name,confidence
rl/custom_ppo/schedules.py,3,__future__.annotations,annotations,high
rl/custom_ppo/trainer.py,1,__future__.annotations,annotations,high
rl/custom_ppo/trainer.py,7,dataclasses.asdict,asdict,high
rl/custom_ppo/trainer_audit.py,17,__future__.annotations,annotations,high
rl/custom_ppo/trainer_config.py,31,__future__.annotations,annotations,high
rl/custom_ppo/trainer_optimizers.py,3,__future__.annotations,annotations,high
rl/custom_ppo/training_telemetry.py,33,__future__.annotations,annotations,high
rl/custom_ppo/v6i1_cf_loss.py,3,__future__.annotations,annotations,high
rl/custom_ppo/v6i1_phase_runtime.py,3,__future__.annotations,annotations,high
rl/custom_ppo/v6i1_phase_runtime.py,5,typing.Optional,Optional,high
rl/custom_ppo/v6i1_phase_runtime.py,7,numpy,np,high
rl/custom_ppo/v6i1_phase_runtime.py,10,rl.custom_ppo.curriculum_gates.is_staged_v6i1_curriculum,is_staged_v6i1_curriculum,high
rl/custom_ppo/__init__.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/archive.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/errors.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/hashing.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/hashing.py,5,typing.Any,Any,high
rl/custom_ppo/checkpoints/loader.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/loader.py,4,pathlib.Path,Path,high
rl/custom_ppo/checkpoints/loader.py,13,errors.CheckpointModelConstructionError,CheckpointModelConstructionError,high
rl/custom_ppo/checkpoints/loader.py,16,models.CheckpointLoadRequest,CheckpointLoadRequest,high
rl/custom_ppo/checkpoints/metadata.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/migrations.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/models.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/state_dict.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/state_dict.py,11,errors.CheckpointBehavioralEquivalenceError,CheckpointBehavioralEquivalenceError,high
rl/custom_ppo/checkpoints/state_dict.py,12,metadata.canonicalize_latent_strategy_cfg,canonicalize_latent_strategy_cfg,high
rl/custom_ppo/checkpoints/state_dict.py,13,models.MigrationRecord,MigrationRecord,high
rl/custom_ppo/checkpoints/validation.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/__init__.py,1,__future__.annotations,annotations,high
rl/custom_ppo/checkpoints/__init__.py,15,loader.load_custom_ppo_checkpoint,load_custom_ppo_checkpoint,high
rl/custom_ppo/checkpoints/__init__.py,15,loader.load_custom_ppo_policy,load_custom_ppo_policy,high
rl/custom_ppo/checkpoints/__init__.py,16,metadata.read_custom_ppo_metadata,read_custom_ppo_metadata,high
rl/custom_ppo/checkpoints/__init__.py,16,metadata.canonicalize_latent_strategy_cfg,canonicalize_latent_strategy_cfg,high
rl/custom_ppo/communication/channels.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/config.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/corruption.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/corruption.py,7,numpy,np,high
rl/custom_ppo/communication/gates.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/gates.py,5,typing.Any,Any,high
rl/custom_ppo/communication/listener.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/listener.py,5,math,math,high
rl/custom_ppo/communication/observation.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/runtime.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/telemetry.py,3,__future__.annotations,annotations,high
rl/custom_ppo/communication/transport.py,3,__future__.annotations,annotations,high
rl/custom_ppo/curriculum/context.py,3,__future__.annotations,annotations,high
rl/custom_ppo/curriculum/controller.py,3,__future__.annotations,annotations,high
rl/custom_ppo/curriculum/isolation.py,3,__future__.annotations,annotations,high
rl/custom_ppo/curriculum/ranking.py,3,__future__.annotations,annotations,high
rl/custom_ppo/curriculum/reporting.py,3,__future__.annotations,annotations,high
rl/custom_ppo/curriculum/schedule.py,3,__future__.annotations,annotations,high
