episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,41236-1783191971877526000,41236,1048992,16,104,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,104,0.7599999904632568,1,0,1,30,2,8,2,9,1,2,0,3,1,2,0,1,1,1,0,5,32.0,5.49159651536208,1.2999999523162842,0.6310634016990662,-0.027769818902015686,0.014999999664723873,1.0,100.0,0.0,0.6242676973342896
2,41236-1783191971877526000,41236,1048996,16,105,2,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,105,0.6800000071525574,1,0,4,22,1,11,4,5,1,3,0,3,0,2,1,0,1,0,1,3,37.0,6.263238234747024,1.2999999523162842,0.6416666507720947,-0.007625356316566467,0.0,1.0,100.0,0.0,0.6260783672332764
3,41236-1783191971877526000,41236,1049240,16,166,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,166,0.7999999523162842,1,0,6,45,14,4,10,3,6,2,1,2,1,0,3,0,0,1,5,2,108.0,6.425331207643072,1.2999999523162842,0.578125,-0.007549837231636047,0.0,1.0,100.0,0.0,0.6163263320922852
4,41236-1783191971877526000,41236,1049316,16,185,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,185,0.7999999523162842,1,0,6,60,3,17,1,14,2,6,0,3,1,2,0,4,0,1,1,6,132.0,6.241902449324324,1.2999999523162842,0.5583333373069763,0.0014791339635849,0.0,1.0,100.0,0.0,0.613600492477417
5,41236-1783191971877526000,41236,1049444,16,217,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP12,11,1,3,1,2,112,0.7999999523162842,0,2,3,29,3,7,1,11,1,2,1,2,1,1,0,2,0,1,1,5,43.0,6.523967197963169,1.2999999523162842,0.6343749761581421,-0.00783008337020874,0.0,1.0,100.0,0.0,0.6249608993530273
6,41236-1783191971877526000,41236,1049520,16,236,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,0,3,132,0.7999999523162842,1,0,9,26,6,6,2,8,3,3,1,2,0,0,0,2,0,0,2,5,37.0,6.3441753965435606,1.4500000476837158,0.6135416626930237,-0.009704932570457458,0.0,1.0,100.0,0.0,0.6441758275032043
7,41236-1783191971877526000,41236,1049724,17,31,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,0,3,121,0.6399999856948853,1,0,4,26,2,11,0,18,2,5,0,3,0,0,0,4,0,0,0,14,38.0,6.343288957580062,1.4500000476837158,0.625,-0.007926210761070251,0.0,1.0,100.0,0.0,0.6459134817123413
8,41236-1783191971877526000,41236,1049872,17,68,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,0,3,107,0.7599999904632568,1,0,2,25,6,5,5,4,3,3,1,2,0,0,1,0,0,0,4,2,32.0,5.458506931768399,1.4500000476837158,0.6395833492279053,-0.008970856666564941,0.0,1.0,100.0,-0.20000000298023224,0.6180447340011597
9,41236-1783191971877526000,41236,1050132,17,133,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,0,3,204,0.6800000071525574,0,2,4,54,2,22,1,17,2,10,0,3,0,0,1,4,0,0,0,9,35.0,6.226962220435049,1.4500000476837158,0.5385416746139526,-0.004515856504440308,0.0,1.0,100.0,-0.20000000298023224,0.60236656665802
10,41236-1783191971877526000,41236,1050136,17,134,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,0,3,154,0.7599999904632568,1,0,6,53,8,10,6,6,5,4,2,1,0,0,0,1,0,0,4,2,34.0,6.112734707919034,1.4500000476837158,0.590624988079071,-0.007238760590553284,0.0,1.0,100.0,-0.20000000298023224,0.6104910373687744
11,41236-1783191971877526000,41236,1050208,17,152,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP10,9,1,3,1,2,121,0.5999999642372131,1,0,3,16,2,14,7,7,1,5,0,3,0,2,2,0,0,1,3,6,66.0,7.183169530442924,1.2999999523162842,0.625,-0.006867900490760803,0.0,1.0,100.0,-0.20000000298023224,0.592052698135376
12,41236-1783191971877526000,41236,1050488,17,222,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,1,2,89,0.6399999856948853,1,0,2,15,3,8,3,6,2,3,0,3,0,1,1,1,1,0,1,4,33.0,6.723102012377106,1.2999999523162842,0.6583333015441895,0.005599722266197205,0.0,1.0,100.0,0.0,0.6291047930717468
13,41236-1783191971877526000,41236,1050644,18,5,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,1,2,109,0.6399999856948853,1,0,6,22,2,8,1,8,2,2,0,3,0,2,0,1,1,0,0,6,44.0,6.466588011575402,1.2999999523162842,0.637499988079071,-0.008714407682418823,0.0,1.0,100.0,0.0,0.6254031658172607
14,41236-1783191971877526000,41236,1050756,18,33,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,221,0.7999999523162842,1,0,8,54,14,9,9,13,6,4,3,0,2,0,2,6,0,1,5,3,142.0,6.4849428202771495,1.2999999523162842,0.5208333134651184,-0.01047717034816742,0.0,1.0,100.0,0.0,0.6072500944137573
15,41236-1783191971877526000,41236,1050840,18,54,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP11,10,1,3,0,3,176,0.7999999523162842,1,0,5,54,8,12,0,16,5,5,0,3,0,0,0,3,0,0,0,7,44.0,5.924725619229403,1.4500000476837158,0.5677083134651184,-0.0008406788110733032,0.0,1.0,100.0,0.0,0.6377514600753784
16,41236-1783191971877526000,41236,1051056,18,108,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,142,0.7599999904632568,0,2,0,49,3,11,2,10,2,5,1,2,0,0,0,1,0,0,2,7,36.0,5.678987315003301,1.4500000476837158,0.6031249761581421,-0.000752672553062439,0.0,1.0,100.0,0.0,0.6429780721664429
17,41236-1783191971877526000,41236,1051076,18,113,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,108,0.5600000023841858,0,1,4,46,2,10,0,10,2,4,0,3,0,0,0,0,0,0,0,8,31.0,5.00027013708044,1.4500000476837158,0.6385416984558105,0.00219041109085083,0.0,1.0,100.0,0.0,0.6482488512992859
18,41236-1783191971877526000,41236,1051320,18,174,2,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP12,11,1,3,1,2,141,0.6399999856948853,1,0,4,25,7,5,7,3,3,1,1,2,1,1,1,0,1,0,5,3,82.0,6.144611331587988,1.2999999523162842,0.6041666269302368,-0.007060334086418152,0.0,1.0,100.0,-0.20000000298023224,0.5886517763137817
19,41236-1783191971877526000,41236,1051476,18,213,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,0,3,100,0.6399999856948853,1,0,0,19,2,10,0,14,2,4,0,3,0,0,0,1,0,0,0,8,35.0,4.691784057617188,1.4500000476837158,0.6468750238418579,-0.008364357054233551,0.0,1.0,100.0,0.0,0.6490734815597534
20,41236-1783191971877526000,41236,1051476,18,213,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,0,3,105,0.7199999690055847,1,0,4,44,2,10,0,10,2,4,0,3,0,0,0,1,0,0,0,7,35.0,5.550521995907738,1.4500000476837158,0.6416666507720947,0.002721063792705536,0.0,1.0,100.0,0.0,0.6487207412719727
21,41236-1783191971877526000,41236,1051608,18,246,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,0,3,192,0.7999999523162842,0,1,1,40,3,17,4,8,2,8,0,3,0,0,2,1,0,0,1,6,39.0,6.616568883260091,1.4500000476837158,0.5510416626930237,-0.005026519298553467,0.0,1.0,100.0,0.0,0.6351168751716614
22,41236-1783191971877526000,41236,1051752,19,26,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,108,0.8799999952316284,1,0,2,19,11,2,4,5,4,1,3,0,1,1,0,2,0,1,3,2,38.0,6.767978244357639,1.2999999523162842,0.6385416984558105,-0.01021537184715271,0.0,1.0,100.0,0.0,0.6255046129226685
23,41236-1783191971877526000,41236,1051872,19,56,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP12,11,1,3,0,3,99,0.5600000023841858,1,0,4,48,0,11,2,12,0,6,0,3,0,0,1,0,0,0,0,8,31.0,4.272039856573548,1.4500000476837158,0.6479166746139526,-0.010239124298095703,0.0,1.0,100.0,0.0,0.6491563320159912
24,41236-1783191971877526000,41236,1052012,19,91,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP9,8,1,3,0,3,101,0.47999998927116394,1,0,5,14,5,5,2,10,4,1,0,3,0,0,1,1,0,0,1,8,41.0,7.072131468517946,1.4500000476837158,0.6458333134651184,-0.004499480128288269,0.0,1.0,100.0,0.0,0.6490625143051147
25,41236-1783191971877526000,41236,1052032,19,96,2,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,2,1,139,0.7199999690055847,1,0,6,30,8,8,5,7,3,2,1,2,3,2,0,4,1,1,3,2,44.0,6.617543172493256,1.149999976158142,0.606249988079071,0.002817884087562561,0.0,1.0,100.0,0.0,0.5974926352500916
26,41236-1783191971877526000,41236,1052364,19,179,0,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP11,10,1,3,1,2,153,0.8399999737739563,1,0,5,38,8,7,2,10,4,2,0,3,2,0,0,4,1,0,1,4,39.0,6.649519378063726,1.2999999523162842,0.5916666388511658,0.005236133933067322,0.0,1.0,100.0,-0.20000000298023224,0.5871096849441528
27,41236-1783191971877526000,41236,1052436,19,197,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,0,3,141,0.8399999737739563,0,2,3,37,4,12,4,10,3,5,1,2,0,0,0,3,0,0,4,5,78.0,5.941359499667553,1.4500000476837158,0.6041666269302368,0.007127717137336731,0.0,1.0,100.0,0.0,0.6434195041656494
28,41236-1783191971877526000,41236,1052784,20,28,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP10,9,1,3,0,3,193,0.7599999904632568,1,0,6,65,7,13,7,11,6,4,0,3,0,0,3,2,0,0,1,6,35.0,5.933580467738018,1.4500000476837158,0.5499999523162842,-0.007804378867149353,0.0,1.0,100.0,-0.20000000298023224,0.604058027267456
