timestamp,telemetry_mode,env_count,rollout_index,rollout_duration_seconds,rollout_transitions,rollout_transitions_per_second,optimization_duration_seconds,optimization_samples,optimization_samples_per_second,peak_allocated_cuda_bytes,peak_reserved_cuda_bytes
1782642999.1032758,off,16,0,17.003721799999767,1024,60.22210972659021,0.4034804000039003,1024,2537.917579119336,1648890368,2822766592
1782643016.228899,off,16,1,16.76557789999788,1024,61.07752480158346,0.3599190000022645,1024,2845.084588458951,1648890368,2822766592
1782643034.5443103,off,16,2,17.916098699999566,1024,57.1553002216953,0.397565700004634,1024,2575.6749135754526,1648890368,2822766592
1782643084.7813828,off,64,0,25.933431499994185,4096,157.9428468616241,1.1109396000028937,4096,3686.969120543845,6274149376,7889485824
1782643112.3216014,off,64,1,26.550035299995216,4096,154.27474780045728,0.988700299996708,4096,4142.812538858982,6273231872,7889485824
1782643139.6566067,off,64,2,26.433547000000544,4096,154.95461127482875,0.9000417999995989,4096,4550.899747102663,6273232896,7889485824
1782643172.413135,basic,16,0,16.510886299998674,1024,62.01968697465273,0.3504086999964784,1024,2922.301872100468,1760026624,7889485824
1782643188.617167,basic,16,1,15.857372899998154,1024,64.5756397643975,0.3454641999996966,1024,2964.127686749884,1760026624,7889485824
1782643206.6271386,basic,16,2,17.59353910000209,1024,58.20318437237442,0.4154975000055856,1024,2464.5154302642836,1760026624,7889485824
1782643256.9252963,basic,64,0,26.16934030000266,4096,156.51903919028422,0.9860613999990164,4096,4153.899544190743,6385482240,7897874432
1782643281.6516328,basic,64,1,23.754777599999215,4096,172.42847182034384,0.9704679999995278,4096,4220.644060393534,6385482240,7897874432
1782643308.4037092,basic,64,2,25.767248899996048,4096,158.96147919775123,0.983423199999379,4096,4165.043086234478,6385483264,7897874432
1782643343.0181463,full,16,0,16.791859099997964,1024,60.98193141699981,0.38045380000403384,1024,2691.5225974589894,1872211456,7897874432
1782643360.1109085,full,16,1,16.720009499993466,1024,61.24398434106154,0.37167589999444317,1024,2755.0885059141838,1872211456,7897874432
1782643376.9634516,full,16,2,16.496874099997513,1024,62.0723655762248,0.3540809999976773,1024,2891.9936398923332,1872211456,7897874432
1782643427.724684,full,64,0,26.844529499998316,4096,152.58229800601487,0.9682375999982469,4096,4230.366595975426,6216229888,7904165888
