episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
65,1,72.765,300.069,413,41,0,5.80183,3.26637,0.275,OP1,scripted,OP1,2,0
66,1,225.225,300.069,421,12,0,4.83907,2.66177,0.283333,OP1,scripted,OP1,1,0
67,1,46.431,255.024,312,24,0,4.69297,2.67493,0.133333,OP1,scripted,OP1,3,0
68,1,174.636,300.069,406,34,0,5.76468,3.25228,0.45,OP1,scripted,OP1,1,0
69,1,125.433,300.069,408,20,0,5.30169,3.03323,0.291667,OP1,scripted,OP1,1,0
70,1,105.336,270.963,132,213,0,4.69222,2.77208,0.125,OP1,scripted,OP1,3,0
71,1,169.092,300.069,398,36,0,4.76994,2.81867,0.158333,OP1,scripted,OP1,2,0
72,0,,300.069,81,384,0,4.17089,2.58314,0.25,OP1,scripted,OP1,0,0
73,1,51.282,270.963,332,23,0,4.70798,3.02612,0.158333,OP1,scripted,OP1,3,0
74,1,27.72,300.069,400,49,0,4.01013,2.72731,0.158333,OP1,scripted,OP1,2,0
75,1,131.67,243.243,285,23,0,5.16938,2.75812,0.208333,OP1,scripted,OP1,3,0
76,1,175.329,300.069,401,33,0,5.65421,3.48396,0.275,OP1,scripted,OP1,2,0
77,1,79.002,211.365,30,254,0,4.62601,2.95476,0.133333,OP1,scripted,OP1,3,0
78,0,,300.069,434,34,0,5.25954,2.86044,0.233333,OP1,scripted,OP1,0,0
79,1,63.063,300.069,374,36,0,5.22158,2.85647,0.35,OP1,scripted,OP1,2,0
80,1,33.957,274.428,35,321,0,4.33272,2.86856,0.241667,OP1,scripted,OP1,3,0
81,1,27.027,190.575,227,36,0,4.85939,3.18524,0.225,OP1,scripted,OP1,3,0
82,1,160.083,300.069,400,38,0,4.59751,2.49823,0.225,OP1,scripted,OP1,2,0
83,1,24.948,300.069,409,16,0,5.66867,3.03886,0.208333,OP1,scripted,OP1,2,0
84,1,26.334,201.663,242,31,0,4.21768,2.69768,0.158333,OP1,scripted,OP1,3,0
85,1,93.555,221.067,267,36,0,3.9585,2.701,0.25,OP1,scripted,OP1,3,0
86,1,192.654,300.069,412,45,0,4.58935,2.63376,0.258333,OP1,scripted,OP1,2,0
87,1,54.054,300.069,413,27,0,5.67097,3.51594,0.241667,OP1,scripted,OP1,2,0
88,1,102.564,300.069,379,18,0,5.79081,2.97376,0.258333,OP1,scripted,OP1,2,0
89,1,98.406,264.726,344,14,0,6.15257,3.32023,0.4,OP1,scripted,OP1,3,0
90,1,32.571,225.918,272,39,0,4.62098,2.40652,0.2,OP1,scripted,OP1,3,0
91,1,285.516,300.069,381,46,0,5.0101,2.78284,0.233333,OP1,scripted,OP1,1,0
92,1,146.916,195.426,230,29,0,5.48038,2.85863,0.15,OP1,scripted,OP1,3,0
93,1,91.476,300.069,424,34,0,4.59107,2.68147,0.15,OP1,scripted,OP1,1,0
