episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
66,0,,300.069,422,22,0,5.22641,3.13516,0.35,OP1,scripted,OP1,0,0
67,1,28.413,300.069,426,22,0,4.17308,2.61053,0.216667,OP1,scripted,OP1,1,0
68,1,63.063,300.069,422,32,0,5.23548,3.23701,0.266667,OP1,scripted,OP1,1,0
69,1,33.957,300.069,385,33,0,4.0294,2.18706,0.125,OP1,scripted,OP1,2,0
70,0,,300.069,437,32,0,5.00387,3.35791,0.241667,OP1,scripted,OP1,0,0
71,1,161.469,300.069,406,47,0,3.90551,2.38562,0.116667,OP1,scripted,OP1,1,0
72,1,30.492,300.069,406,17,0,4.67839,2.74269,0.191667,OP1,scripted,OP1,1,0
73,1,60.984,300.069,408,28,0,4.26242,2.82877,0.183333,OP1,scripted,OP1,2,0
74,0,,300.069,409,35,0,5.20778,2.9846,0.141667,OP1,scripted,OP1,0,0
75,1,39.501,300.069,418,22,0,4.1791,2.76715,0.175,OP1,scripted,OP1,2,0
76,1,31.878,300.069,408,29,0,4.12742,2.68763,0.233333,OP1,scripted,OP1,1,0
77,1,62.37,300.069,419,31,0,5.10046,2.87569,0.225,OP1,scripted,OP1,1,0
78,1,140.679,300.069,46,398,0,4.46348,2.747,0.275,OP1,scripted,OP1,1,0
79,0,,300.069,430,32,0,4.0533,2.53842,0.208333,OP1,scripted,OP1,0,0
80,0,,300.069,438,33,0,3.46708,2.33865,0.15,OP1,scripted,OP1,0,0
81,1,153.846,300.069,390,50,0,3.71454,2.42808,0.141667,OP1,scripted,OP1,2,0
82,1,264.726,300.069,378,32,0,5.00702,2.97979,0.241667,OP1,scripted,OP1,1,0
83,1,55.44,300.069,380,25,0,4.86816,2.51315,0.308333,OP1,scripted,OP1,1,0
84,1,97.713,300.069,425,35,0,4.22736,2.59113,0.183333,OP1,scripted,OP1,1,0
85,0,,300.069,274,198,0,3.74442,2.46413,0.15,OP1,scripted,OP1,0,0
86,1,41.58,300.069,405,16,0,5.06952,2.84464,0.225,OP1,scripted,OP1,2,0
87,1,25.641,300.069,43,423,0,3.41355,2.53722,0.158333,OP1,scripted,OP1,2,0
88,1,216.216,300.069,423,45,0,3.44822,2.39087,0.125,OP1,scripted,OP1,1,0
89,0,,300.069,423,23,0,4.79066,2.81068,0.208333,OP1,scripted,OP1,0,0
90,1,107.415,300.069,411,32,0,5.40261,2.98449,0.25,OP1,scripted,OP1,1,0
91,1,219.681,300.069,386,28,0,4.6452,3.06647,0.158333,OP1,scripted,OP1,2,0
92,1,24.948,300.069,402,16,0,4.57698,2.60837,0.158333,OP1,scripted,OP1,2,0
93,1,158.004,300.069,384,47,0,4.41648,3.0104,0.175,OP1,scripted,OP1,2,0
94,1,209.979,300.069,411,43,0,3.62367,2.22353,0.191667,OP1,scripted,OP1,2,0
95,1,35.343,300.069,20,391,0,5.15472,2.99838,0.191667,OP1,scripted,OP1,2,0
96,1,27.027,298.683,401,41,0,4.7212,3.18548,0.25,OP1,scripted,OP1,3,0
97,1,52.668,84.546,46,12,0,5.3728,2.74518,0.2,OP1,scripted,OP1,3,0
98,1,167.013,300.069,425,32,0,3.51501,2.27526,0.216667,OP1,scripted,OP1,1,0
99,0,,300.069,434,52,0,3.85739,2.53841,0.208333,OP1,scripted,OP1,0,0
100,1,40.887,137.907,146,25,0,4.98209,2.70604,0.241667,OP1,scripted,OP1,3,0
101,1,71.379,300.069,426,33,0,4.18662,2.52517,0.175,OP1,scripted,OP1,1,0
102,0,,300.069,431,28,0,4.61815,2.74311,0.116667,OP1,scripted,OP1,0,0
103,1,176.022,300.069,426,21,0,4.00503,2.69506,0.216667,OP1,scripted,OP1,1,0
104,1,269.577,300.069,417,20,0,5.23368,2.83081,0.308333,OP1,scripted,OP1,1,0
105,1,185.031,300.069,412,17,0,4.99882,3.15071,0.291667,OP1,scripted,OP1,1,0
106,1,42.966,203.742,200,21,0,4.48188,2.62541,0.208333,OP1,scripted,OP1,3,0
107,1,40.887,232.848,293,38,0,4.10237,2.71916,0.183333,OP1,scripted,OP1,3,0
108,1,262.647,300.069,408,38,0,5.03977,2.92045,0.25,OP1,scripted,OP1,2,0
109,1,49.896,300.069,406,37,0,4.0865,2.66064,0.183333,OP1,scripted,OP1,2,0
110,1,112.959,300.069,389,39,0,5.1269,3.34082,0.183333,OP1,scripted,OP1,2,0
111,0,,300.069,430,36,0,3.97887,2.58056,0.258333,OP1,scripted,OP1,0,0
112,1,42.273,261.261,51,325,0,3.86132,2.33047,0.133333,OP1,scripted,OP1,3,0
113,0,,300.069,435,34,0,5.3352,3.17708,0.141667,OP1,scripted,OP1,0,0
114,1,266.805,300.069,413,55,0,4.0191,2.46515,0.175,OP1,scripted,OP1,1,0
115,1,250.173,300.069,422,32,0,5.01494,3.13173,0.308333,OP1,scripted,OP1,1,0
116,1,198.198,288.981,265,128,0,4.31847,2.44281,0.241667,OP1,scripted,OP1,3,0
117,1,68.607,239.085,289,23,0,4.60879,2.61382,0.2,OP1,scripted,OP1,3,0
118,1,36.729,214.83,253,26,0,4.68868,2.85752,0.175,OP1,scripted,OP1,3,0
119,1,227.304,300.069,394,47,0,3.86516,2.39667,0.133333,OP1,scripted,OP1,2,0
120,1,33.264,300.069,426,25,0,4.59471,2.83655,0.266667,OP1,scripted,OP1,1,0
121,1,104.643,300.069,411,42,0,4.69033,2.85111,0.275,OP1,scripted,OP1,1,0
122,1,96.327,203.049,236,35,0,4.43631,2.83034,0.216667,OP1,scripted,OP1,3,0
123,1,54.054,265.419,340,39,0,4.19166,2.76778,0.241667,OP1,scripted,OP1,3,0
