episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
23,46276-1779780194457814300,46276,2656,0,332,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,130,0.7199999690055847,1,0,37,35.0,5.377721698467548,-1.0,-0.5,0.016375437378883362,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867705345153809
1,45100-1779780290770787900,45100,680,0,85,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,85,0.5199999809265137,1,0,16,35.0,5.972379796645221,1.0,0.5,-0.008155018091201782,0.0,1.0,100.0,-0.20000000298023224,0.5186492800712585
2,45100-1779780290770787900,45100,720,0,90,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,90,0.5999999642372131,1,0,13,35.0,6.212075466579861,1.0,0.5,-0.010394737124443054,0.0,1.0,100.0,0.0,0.5541496276855469
3,45100-1779780290770787900,45100,736,0,92,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,92,0.5199999809265137,1,0,19,28.0,5.555594402810802,1.0,0.5,0.006458014249801636,0.0,1.0,100.0,0.0,0.5548791885375977
4,45100-1779780290770787900,45100,752,0,94,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,94,0.5600000023841858,1,0,20,31.0,5.73014539353391,-1.0,-0.5,-0.002003505825996399,0.019999999552965164,-1.0,-100.0,0.0,-0.5538204312324524
5,45100-1779780290770787900,45100,968,0,121,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,121,0.7199999690055847,1,0,20,47.0,5.987045414191632,1.0,0.5,0.005789965391159058,0.0,1.0,100.0,-0.20000000298023224,0.5192860960960388
6,45100-1779780290770787900,45100,976,0,122,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,122,0.5199999809265137,0,1,28,42.0,5.982222760309939,-1.0,-0.5,0.016704261302947998,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867570638656616
7,45100-1779780290770787900,45100,992,0,124,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,124,0.5999999642372131,0,2,56,41.0,5.120994321761593,1.0,0.4000000059604645,-0.005898341536521912,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5025831460952759
8,45100-1779780290770787900,45100,1240,0,155,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,155,0.5600000023841858,0,2,37,25.0,5.453028525075605,-1.0,-0.5,0.016416296362876892,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867688655853271
9,45100-1779780290770787900,45100,1464,0,183,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,89,0.5199999809265137,1,0,16,32.0,5.462906398130267,1.0,0.5,-0.01024790108203888,0.0,1.0,100.0,0.0,0.5541561245918274
10,45100-1779780290770787900,45100,1480,0,185,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,100,0.5999999642372131,1,0,19,27.0,5.974401245117187,1.0,0.5,0.00841134786605835,0.0,1.0,100.0,-0.20000000298023224,0.5194057822227478
11,45100-1779780290770787900,45100,1528,0,191,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,99,0.6399999856948853,1,0,21,31.0,7.241254093671086,-1.0,-0.5,-0.005845189094543457,0.0,-1.0,-100.0,-0.20000000298023224,-0.5884981155395508
12,45100-1779780290770787900,45100,1616,0,202,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,112,0.6800000071525574,1,0,25,32.0,5.327060154506138,-1.0,-0.5,0.016543284058570862,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867636799812317
13,45100-1779780290770787900,45100,1672,0,209,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,88,0.5199999809265137,0,1,11,26.0,5.993073896928267,1.0,0.0,-0.010192126035690308,0.0,0.0,0.0,0.0,0.24431976675987244
14,45100-1779780290770787900,45100,1672,0,209,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,87,0.5600000023841858,1,0,21,29.0,6.225045741289511,1.0,0.5,-0.01234985888004303,0.014999999664723873,1.0,100.0,0.0,0.5547144412994385
15,45100-1779780290770787900,45100,1824,0,228,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,104,0.5600000023841858,1,0,22,35.0,6.113663306603065,-1.0,-0.5,0.008056789636611938,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5871114134788513
16,45100-1779780290770787900,45100,2144,0,268,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,113,0.5999999642372131,1,0,20,34.0,6.0894996845616705,1.0,0.5,-0.008443862199783325,0.02499999850988388,1.0,100.0,0.0,0.5553158521652222
17,45100-1779780290770787900,45100,2256,0,282,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,91,0.5999999642372131,1,0,19,31.0,6.668609954498627,1.0,0.5,0.004196196794509888,0.0,1.0,100.0,-0.20000000298023224,0.5192133784294128
18,45100-1779780290770787900,45100,2360,0,295,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,86,0.5999999642372131,1,0,22,30.0,6.433730014534884,1.0,0.5,-0.023906096816062927,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5186149477958679
19,45100-1779780290770787900,45100,2368,0,296,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,113,0.5999999642372131,1,0,25,32.0,5.787421032390763,-1.0,-0.5,0.0006888061761856079,0.0,-1.0,-100.0,-0.20000000298023224,-0.588231086730957
20,45100-1779780290770787900,45100,2384,0,298,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,113,0.6800000071525574,1,0,24,32.0,6.308567823561947,1.0,0.5,-0.009674876928329468,0.0,1.0,100.0,0.0,0.5541808605194092
21,45100-1779780290770787900,45100,2544,0,318,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,90,0.5600000023841858,1,0,11,26.0,5.889088948567708,1.0,0.5,-0.0097532719373703,0.0,1.0,100.0,0.0,0.5541775226593018
22,45100-1779780290770787900,45100,2552,0,319,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,110,0.7199999690055847,1,0,21,33.0,6.001498135653409,-1.0,-0.5,0.011604994535446167,0.0,-1.0,-100.0,-0.20000000298023224,-0.5877847671508789
23,45100-1779780290770787900,45100,2656,0,332,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,130,0.7199999690055847,1,0,37,35.0,5.377721698467548,-1.0,-0.5,0.016375437378883362,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867705345153809
24,45100-1779780290770787900,45100,3072,0,384,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,86,0.5600000023841858,1,0,27,34.0,5.492716944494913,1.0,0.5,-0.005679592490196228,0.0,1.0,100.0,-0.20000000298023224,0.5187624096870422
25,45100-1779780290770787900,45100,3096,0,387,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,91,0.5600000023841858,0,1,18,36.0,5.627951150412088,1.0,0.5,-0.010596945881843567,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.5196791887283325
26,45100-1779780290770787900,45100,3104,0,388,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,93,0.5600000023841858,1,0,21,32.0,5.940133699806788,1.0,0.5,0.004701346158981323,0.0,1.0,100.0,-0.20000000298023224,0.5192363858222961
27,45100-1779780290770787900,45100,3232,0,404,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,122,0.5600000023841858,1,0,32,36.0,5.306163350089651,-1.0,-0.5,0.01688629388809204,0.019999999552965164,-1.0,-100.0,0.0,-0.5530014038085938
28,45100-1779780290770787900,45100,3240,0,405,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,86,0.5999999642372131,1,0,18,28.0,5.861749693404796,1.0,0.5,-0.021799445152282715,0.014999999664723873,1.0,100.0,0.0,0.5543054342269897
29,45100-1779780290770787900,45100,3264,0,408,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,140,0.7599999904632568,1,0,34,31.0,5.470254952566965,-1.0,-0.5,0.017062008380889893,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867424011230469
30,45100-1779780290770787900,45100,3328,0,416,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,84,0.5600000023841858,1,0,33,28.0,5.4918841407412575,1.0,0.5,-0.010301187634468079,0.0,1.0,100.0,0.0,0.5541537404060364
31,45100-1779780290770787900,45100,3328,0,416,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,98,0.7199999690055847,1,0,26,31.0,5.530178770727041,-1.0,-0.5,0.012323379516601562,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5869365930557251
32,45100-1779780290770787900,45100,3968,0,496,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,108,0.7199999690055847,0,1,15,41.0,5.807226675528067,-1.0,-0.5,0.0011825710535049438,0.0,-1.0,-100.0,-0.20000000298023224,-0.588210940361023
33,45100-1779780290770787900,45100,3976,0,497,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,110,0.5199999809265137,1,0,39,32.0,6.013045987215909,1.0,0.5,-0.013387680053710938,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.5190954208374023
34,45100-1779780290770787900,45100,4008,0,501,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,117,0.5999999642372131,1,0,38,29.0,5.405368381076389,1.0,0.5,-0.010000169277191162,0.0,1.0,100.0,0.0,0.5541667938232422
35,45100-1779780290770787900,45100,4024,0,503,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,95,0.5199999809265137,1,0,21,31.0,5.637296335320723,-1.0,-0.5,0.010819196701049805,0.0,-1.0,-100.0,-0.20000000298023224,-0.5878168940544128
36,45100-1779780290770787900,45100,4112,0,514,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,110,0.5999999642372131,1,0,35,37.0,5.0677407004616475,-1.0,-0.5,0.013153091073036194,0.019999999552965164,-1.0,-100.0,0.0,-0.5531632900238037
37,45100-1779780290770787900,45100,4128,0,516,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,111,0.5199999809265137,0,1,25,33.0,4.899062148085585,-1.0,-0.5,0.01699957251548767,0.019999999552965164,-1.0,-100.0,0.0,-0.5529964566230774
38,45100-1779780290770787900,45100,4144,0,518,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,102,0.6399999856948853,1,0,20,33.0,5.467620849609375,1.0,0.5,-0.006177186965942383,0.0,1.0,100.0,-0.20000000298023224,0.518739640712738
39,45100-1779780290770787900,45100,4400,0,550,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,134,0.5199999809265137,1,0,31,34.0,5.539430532882463,-1.0,-0.4000000059604645,0.006551191210746765,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5705518126487732
40,45100-1779780290770787900,45100,4800,0,600,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,103,0.5600000023841858,1,0,17,33.0,5.483834572208738,-1.0,-0.5,0.0023545175790786743,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5873448252677917
41,45100-1779780290770787900,45100,4856,0,607,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,104,0.5600000023841858,1,0,18,38.0,5.910711435171274,-1.0,-0.5,0.01570296287536621,0.0,-1.0,-100.0,0.0,-0.553919792175293
42,45100-1779780290770787900,45100,4864,0,608,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,107,0.6800000071525574,1,0,18,35.0,5.936060825240946,1.0,0.5,-0.027376756072044373,0.02499999850988388,1.0,100.0,0.0,0.5544968843460083
43,45100-1779780290770787900,45100,4904,0,613,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,99,0.4399999976158142,1,0,23,27.0,4.9695699672506315,1.0,0.5,-0.010258853435516357,0.0,1.0,100.0,-0.20000000298023224,0.5185531973838806
44,45100-1779780290770787900,45100,4944,0,618,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,122,0.6800000071525574,1,0,34,41.0,6.640239277824026,1.0,0.5,-0.03437039256095886,0.014999999664723873,1.0,100.0,-0.20000000298023224,0.518136739730835
45,45100-1779780290770787900,45100,4968,0,621,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,103,0.5199999809265137,1,0,22,38.0,5.757183778633192,-1.0,-0.5,0.016382426023483276,0.0,-1.0,-100.0,-0.20000000298023224,-0.5875893235206604
46,45100-1779780290770787900,45100,4992,0,624,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,108,0.6399999856948853,1,0,15,37.0,6.271223845305266,-1.0,-0.5,0.003935009241104126,0.019999999552965164,-1.0,-100.0,0.0,-0.5535629987716675
47,45100-1779780290770787900,45100,5024,0,628,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,78,0.5999999642372131,1,0,13,30.0,6.569817176231971,1.0,0.5,0.0013517588376998901,0.0,1.0,100.0,0.0,0.5546582341194153
48,45100-1779780290770787900,45100,5536,0,692,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,92,0.5199999809265137,1,0,37,32.0,5.974376512610394,1.0,0.5,-0.005315348505973816,0.014999999664723873,1.0,100.0,0.0,0.5550186634063721
49,45100-1779780290770787900,45100,5544,0,693,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,80,0.5999999642372131,1,0,22,28.0,5.974360656738281,1.0,0.5,0.003005892038345337,0.0,1.0,100.0,0.0,0.5547298192977905
50,45100-1779780290770787900,45100,5560,0,695,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,88,0.5600000023841858,1,0,26,29.0,5.9771575927734375,1.0,0.5,-0.0033312737941741943,0.0,1.0,100.0,0.0,0.5544555187225342
51,45100-1779780290770787900,45100,5600,0,700,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,92,0.5600000023841858,1,0,22,30.0,6.45411549443784,-1.0,-0.5,0.0049887895584106445,0.0,-1.0,-100.0,-0.20000000298023224,-0.5880553722381592
52,45100-1779780290770787900,45100,5664,0,708,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,87,0.5199999809265137,0,1,15,29.0,4.951169068785919,1.0,0.5,0.007850348949432373,0.0,1.0,100.0,0.0,0.5549393892288208
53,45100-1779780290770787900,45100,5672,0,709,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,91,0.5199999809265137,1,0,11,30.0,5.876812274639423,1.0,0.5,-0.02474921941757202,0.029999999329447746,1.0,100.0,0.0,0.5548269748687744
54,45100-1779780290770787900,45100,5816,0,727,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,103,0.47999998927116394,1,0,24,37.0,5.669638031894721,1.0,0.5,-0.008382260799407959,0.0,1.0,100.0,0.0,0.554236888885498
55,45100-1779780290770787900,45100,5920,0,740,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,112,0.47999998927116394,1,0,43,38.0,5.683265141078404,-1.0,-0.5,0.0009315013885498047,0.0,-1.0,-100.0,-0.20000000298023224,-0.5882211923599243
56,45100-1779780290770787900,45100,6248,0,781,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,89,0.5600000023841858,1,0,19,27.0,6.118632455890098,1.0,0.5,-1.6734004020690918e-05,0.0,1.0,100.0,0.0,0.5545989871025085
57,45100-1779780290770787900,45100,6280,0,785,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,85,0.6399999856948853,1,0,23,31.0,5.603420840992647,1.0,0.5,-0.009780988097190857,0.0,1.0,100.0,0.0,0.5541763305664062
58,45100-1779780290770787900,45100,6344,0,793,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,84,0.5199999809265137,1,0,14,31.0,5.342271350678944,1.0,0.5,0.007784664630889893,0.0,1.0,100.0,0.0,0.5549365282058716
59,45100-1779780290770787900,45100,6376,0,797,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,89,0.5600000023841858,1,0,32,35.0,5.134377125943645,1.0,0.5,-0.00373038649559021,0.0,1.0,100.0,0.0,0.5544382333755493
60,45100-1779780290770787900,45100,6392,0,799,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,106,0.47999998927116394,1,0,40,36.0,5.327457643904776,1.0,0.5,-0.008565083146095276,0.0,1.0,100.0,0.0,0.5542290210723877
61,45100-1779780290770787900,45100,6432,0,804,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,109,0.6800000071525574,1,0,28,31.0,6.057766135679472,-1.0,-0.5,0.016594409942626953,0.0,-1.0,-100.0,0.0,-0.5538811683654785
62,45100-1779780290770787900,45100,6536,0,817,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,90,0.5600000023841858,1,0,33,34.0,5.223476155598958,1.0,0.0,-0.010316416621208191,0.0,0.0,0.0,-0.20000000298023224,0.19675560295581818
63,45100-1779780290770787900,45100,6696,0,837,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,97,0.47999998927116394,0,2,25,36.0,5.546537733569588,1.0,0.5,0.003432363271713257,0.0,1.0,100.0,0.0,0.5547482967376709
64,45100-1779780290770787900,45100,6960,0,870,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,89,0.7599999904632568,1,0,28,28.0,6.16436767578125,-1.0,-0.5,0.016935452818870544,0.019999999552965164,-1.0,-100.0,-0.20000000298023224,-0.5867476463317871
65,45100-1779780290770787900,45100,7120,0,890,3,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,105,0.7199999690055847,1,0,20,36.0,6.831747581845238,-1.0,-0.5,0.016881942749023438,0.019999999552965164,-1.0,-100.0,0.0,-0.5530015230178833
66,45100-1779780290770787900,45100,7240,0,905,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,101,0.6399999856948853,0,1,19,33.0,6.05201524791151,-1.0,-0.5,0.01718112826347351,0.0,-1.0,-100.0,0.0,-0.5538557171821594
67,45100-1779780290770787900,45100,7280,0,910,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,117,0.6399999856948853,1,0,28,33.0,5.810404981303419,1.0,0.5,-0.010011807084083557,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.5197058916091919
68,45100-1779780290770787900,45100,7280,0,910,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,2,1,93,0.4399999976158142,1,0,21,33.0,5.297320950415827,1.0,1.0,-0.010403528809547424,0.0,2.0,200.0,0.0,0.761320948600769
69,45100-1779780290770787900,45100,7328,0,916,0,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,1,3,-2,119,0.7999999523162842,1,0,16,43.0,6.702555167574842,-1.0,-0.5,0.00300636887550354,0.0,-1.0,-100.0,0.0,-0.554469645023346
70,45100-1779780290770787900,45100,7376,0,922,1,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,1,3,1,2,85,0.47999998927116394,1,0,18,29.0,6.141527602251839,1.0,0.5,-0.009028777480125427,0.0,1.0,100.0,0.0,0.5542088150978088
71,45100-1779780290770787900,45100,7416,0,927,2,OP3,FIXED_OPPONENT,train,SCRIPTED:OP3,2,0,2,3,-1,128,0.5600000023841858,1,0,28,41.0,5.2105631828308105,-1.0,-0.5,-0.005460083484649658,0.0,-1.0,-100.0,-0.20000000298023224,-0.5884823799133301
