blue_style,episode_index,episode_seed,map,normalized_map,steps,blue_score,red_score,win_margin,first_midfield_step,first_pickup_step,first_blue_score_step,first_red_score_step,first_latch_step,latch_fired,picked_up,blue_scored,mean_teammate_dist,mean_lateral_sep,max_teammate_dist,max_lateral_sep,frac_opposite_lanes,frac_both_offensive,frac_sep_ge_12,latch_steps,frac_latch_both_same_target,frac_latch_second_uncovered,frac_latch_target_churn,frac_latch_protector_chase,frac_latch_both_on_carrier,role_change_steps,post_pickup_steps,frac_post_support_near,isolated_return_attempts,isolated_return_success,supported_return_attempts,supported_return_success,protector_tagged_while_carry_steps,fail_A_both_on_one,fail_B_second_uncovered,fail_C_role_churn,fail_D_protector_pressure,fail_E_ignore_support
BLUE_RUSH,2,571003,map_a,map_a_open,91,0,0,0,6,15,30,-1,-1,0,1,0,3.0142700365489197,1.5353410571486086,6.510155965433725,6.011675477027893,0.0,0.6043956043956044,0.0,0,0.0,0.0,0.0,0.0,0.0,11,45,1.0,0,0,1,1,8,0,0,0,1,0
BLUE_TURTLE,2,571003,map_a,map_a_open,231,0,0,0,12,40,61,150,-1,0,1,0,3.1651051389460787,1.2446608306009532,9.78554764414978,6.100625514984131,0.0,0.43722943722943725,0.0,0,0.0,0.0,0.0,0.0,0.0,42,64,0.875,0,0,1,1,0,0,0,0,0,0
BLUE_SPLIT,3,571004,map_a,map_a_open,87,0,0,0,5,17,37,69,6,1,1,0,11.767709000788606,7.107343516130557,18.663928131637384,14.747061967849731,0.22988505747126436,0.5862068965517241,0.47126436781609193,80,0.0,0.0125,0.0125,0.7375,0.0,3,59,0.05084745762711865,1,1,0,0,0,0,0,0,1,0
BLUE_ESCORT,3,571004,map_a,map_a_open,107,0,0,0,8,14,34,-1,-1,0,1,0,2.1103620779565433,1.3704525020635017,14.395624287902827,14.39531421661377,0.009345794392523364,0.5607476635514018,0.009345794392523364,0,0.0,0.0,0.0,0.0,0.0,13,63,1.0,0,0,1,1,0,0,0,0,0,0
BLUE_RUSH,3,571004,map_a,map_a_open,93,0,0,0,6,14,29,-1,-1,0,1,0,2.868622382576464,1.7785562443476852,14.395624287902827,14.39531421661377,0.010752688172043012,0.6129032258064516,0.010752688172043012,0,0.0,0.0,0.0,0.0,0.0,11,47,1.0,0,0,1,1,0,0,0,0,0,0
BLUE_TURTLE,3,571004,map_a,map_a_open,222,0,0,0,5,20,44,66,-1,0,1,0,4.0006909479170565,2.0069532238685333,14.395624287902827,14.39531421661377,0.0045045045045045045,0.4954954954954955,0.009009009009009009,0,0.0,0.0,0.0,0.0,0.0,30,79,0.8227848101265823,0,0,2,1,13,0,0,0,1,0
BLUE_SPLIT,4,571005,map_a,map_a_open,83,0,0,0,7,18,37,65,25,1,1,0,10.527007464062706,5.890300136014639,16.893936069922724,14.232445478439331,0.13253012048192772,0.5662650602409639,0.43373493975903615,57,0.0,0.07017543859649122,0.017543859649122806,0.8947368421052632,0.0,7,58,0.05172413793103448,1,1,0,0,0,0,0,0,1,0
BLUE_ESCORT,4,571005,map_a,map_a_open,125,0,0,0,7,13,45,-1,-1,0,1,0,1.9821271203389497,0.9579351406097412,6.439950478953928,6.414587497711182,0.0,0.464,0.0,0,0.0,0.0,0.0,0.0,0.0,18,85,1.0,0,0,1,1,11,0,0,0,1,0
BLUE_RUSH,4,571005,map_a,map_a_open,103,0,0,0,6,13,28,-1,-1,0,1,0,3.7239753549025885,1.5560817047230249,10.335593268681578,6.822555065155029,0.0,0.49514563106796117,0.0,0,0.0,0.0,0.0,0.0,0.0,13,49,0.8367346938775511,0,0,1,1,7,0,0,0,1,0
BLUE_TURTLE,4,571005,map_a,map_a_open,131,0,0,0,24,30,52,108,-1,0,1,0,4.769230699796469,2.0853119578980306,9.792392078661752,7.249427795410156,0.0,0.3511450381679389,0.0,0,0.0,0.0,0.0,0.0,0.0,18,69,0.9130434782608695,0,0,1,1,10,0,0,0,1,0
BLUE_SPLIT,5,571006,map_a,map_a_open,100,0,0,0,9,23,43,74,-1,0,1,0,9.505581246714618,4.903207277059555,18.630790110639104,11.855165958404541,0.04,0.52,0.23,0,0.0,0.0,0.0,0.0,0.0,20,65,0.1076923076923077,1,1,0,0,5,0,0,0,1,0
BLUE_ESCORT,5,571006,map_a,map_a_open,109,0,0,0,9,15,34,96,-1,0,1,0,2.228865300680648,0.7786163933780215,6.010150834126518,5.961460113525391,0.0,0.5045871559633027,0.0,0,0.0,0.0,0.0,0.0,0.0,16,67,1.0,0,0,1,1,11,0,0,0,1,0
