blue_style,red_style,map,episode_index,episode_seed,blue_score,red_score,win_margin,steps,time_first_red_midfield_cross,time_both_red_enter_blue_territory,time_first_red_flag_touch,time_first_red_capture,time_blue_counterattack_start,time_first_blue_flag_touch,time_first_blue_capture,red_death_count,blue_death_count,red_carrier_death_count,blue_carrier_death_count,red_tag_count,blue_tag_count,red_carrier_tag_count,blue_carrier_tag_count,post_tag_carrier_event_count,post_tag_counterattack_launch_count,post_tag_blue_flag_touch_count,post_tag_blue_capture_before_red_reentry_count,post_tag_mean_steps_to_blue_flag_touch,post_tag_mean_steps_to_red_reentry,op6_regroup_active_steps,op6_regroup_blue_flag_touch_count,op6_regroup_blue_capture_count,op7_mean_red_lateral_separation,op7_blue_opposite_lane_penetration_steps,op7_min_blue0_to_red_flag,op7_min_blue1_to_red_flag,op7_red0_target_switches,op7_red1_target_switches,op7_both_red_target_same_blue_steps,op7_uncovered_lane_steps,op7_max_consecutive_uncovered_lane_steps,op7_mean_uncovered_blue_progress,op7_flag_touch_during_uncovered_lane,split_flag_touch_count,split_pickup_count,split_touches_per_pickup,split_capture_count,split_capture_given_pickup,split_mean_carrier_lifetime,split_mean_max_return_progress,split_mean_teammate_dist_at_pickup,split_mean_sep_before_pickup,split_mean_sep_after_pickup,split_converged_after_pickup_count,split_noncarrier_flag_pressure_steps,split_noncarrier_support_steps,split_mean_red_retarget_latency_after_pickup,split_carrier_loss_tag_count,split_carrier_loss_capture_count,split_carrier_loss_other_count,pre_touch_min_red0_to_blue,pre_touch_min_red1_to_blue,pre_touch_min_any_red_to_blue,pre_touch_steps_red0_one_defender_in_tag_range,pre_touch_steps_red1_one_defender_in_tag_range,pre_touch_steps_red0_two_defenders_in_tag_range,pre_touch_steps_red1_two_defenders_in_tag_range,pre_touch_steps_any_red_two_defenders_in_tag_range,pre_touch_max_consecutive_red0_two_defenders,pre_touch_max_consecutive_red1_two_defenders,pre_touch_max_consecutive_any_red_two_defenders,pre_touch_max_red0_tag_accumulator,pre_touch_max_red1_tag_accumulator,tag_threshold_seconds,tag_required_consecutive_steps,pre_touch_red0_accumulator_reset_count,pre_touch_red1_accumulator_reset_count,pre_touch_reset_defender0_left_radius,pre_touch_reset_defender1_left_radius,pre_touch_reset_red_left_blue_side,pre_touch_reset_defender_left_blue_side,pre_touch_reset_target_switched,pre_touch_reset_defender_became_tagged,pre_touch_reset_red_target_became_tagged,pre_touch_reset_carrier_turn_or_lane_change,pre_touch_reset_other,pre_touch_mean_reset_relative_speed,pre_touch_path_cross_count,turtle_def0_target_red0_steps,turtle_def0_target_red1_steps,turtle_def0_target_blue_flag_steps,turtle_def0_target_red_flag_steps,turtle_def1_target_red0_steps,turtle_def1_target_red1_steps,turtle_def1_target_blue_flag_steps,turtle_def1_target_red_flag_steps,min_turtle_defender_dist_to_blue_flag,mean_turtle_defender_dist_to_blue_flag,final_both_red_forward,final_blue_had_counterattack
BLUE_RUSH,OP7_DEEP_FORTRESS,map_b_split_lane,0,561001,0,0,0,240,6,205,,,6,15,,0,0,0,0,0,13,0,6,0,0,0,0,,,0,0,0,1.5587445676326752,24,0.0,2.979284750668542,17,17,55,7,2,6.09025696345738,5,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_TURTLE,OP7_DEEP_FORTRESS,map_b_split_lane,0,561001,0,0,0,240,6,12,17,,34,41,,0,0,0,0,6,9,4,3,4,4,4,0,20.75,1.0,0,0,0,2.2755423724651336,15,1.864745055679377,0.0,36,26,30,11,5,1.1736379103227095,3,0,0,,0,,,,,,,0,0,0,,0,0,0,4.101071834564209,0.7763632535934448,0.7763632535934448,0,12,0,6,6,0,2,2,0.0,0.9900000095367432,1.0,3,0,4,4,0,0,0,0,0,0,0,0,0.7672284328070041,1,0,18,0,0,0,18,0,0,0.17377673089504242,7.031068728584796,1,1
BLUE_SPLIT,OP7_DEEP_FORTRESS,map_b_split_lane,0,561001,0,0,0,240,6,,,,11,22,,0,0,0,0,1,11,0,7,0,0,0,0,,,0,0,0,2.5839627106984455,69,0.0,0.0,16,14,50,65,12,4.7822511196136475,18,9,8,1.125,0,0.0,5.0,4.9585490226745605,7.786614507436752,9.878666864037514,8.457517421245575,1,2,2,0.125,7,0,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_ESCORT,OP7_DEEP_FORTRESS,map_b_split_lane,0,561001,0,2,-2,240,6,41,49,72,7,15,,0,0,0,0,1,7,0,5,0,0,0,0,,,0,0,0,2.3306114157040914,54,0.0,0.7748231461742185,38,46,107,18,4,2.9671458097604604,13,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP7_DEEP_FORTRESS,map_b_split_lane,1,561002,0,0,0,240,5,72,,,8,15,,0,0,0,0,1,14,0,3,0,0,0,0,,,0,0,0,1.146756609280904,11,0.0,2.1625241367623733,23,21,55,6,4,5.42610232035319,3,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_TURTLE,OP7_DEEP_FORTRESS,map_b_split_lane,1,561002,0,0,0,240,5,9,17,,28,35,,0,0,0,0,4,11,1,1,1,1,1,0,17.0,1.0,0,0,0,1.6311581403017044,0,2.9796112517561295,0.0,30,23,31,0,0,,0,0,0,,0,,,,,,,0,0,0,,0,0,0,0.8860424757003784,1.1218615770339966,0.8860424757003784,9,3,4,2,7,2,2,2,0.9900000095367432,0.9900000095367432,1.0,3,1,1,2,1,1,0,0,0,1,0,0,1.1167481463645879,0,7,11,0,0,7,11,0,0,0.7299336194992065,7.286068868885438,1,1
BLUE_SPLIT,OP7_DEEP_FORTRESS,map_b_split_lane,1,561002,3,2,1,146,5,43,50,83,8,20,56,0,0,0,0,1,2,1,2,1,1,1,0,1.0,1.0,0,0,0,3.7263185226753968,48,0.0,0.0,13,11,39,31,10,6.652370989322662,16,5,5,1.0,2,0.4,17.6,10.525312900543213,7.545679759979248,9.892016183713388,9.075069258158857,2,2,7,0.2,2,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP7_DEEP_FORTRESS,map_b_split_lane,1,561002,1,3,-2,228,5,45,84,107,8,15,167,0,0,0,0,2,7,0,3,0,0,0,0,,,0,0,0,2.139236255695945,39,0.0,0.6280153268089884,40,29,88,10,4,3.9021116892496743,6,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP7_DEEP_FORTRESS,map_b_split_lane,2,561003,0,0,0,240,6,,,,7,14,,0,0,0,0,1,11,0,5,0,0,0,0,,,0,0,0,2.7906419118245442,32,0.0,1.8259643049276104,15,17,52,17,4,3.817672673393698,5,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,1
BLUE_TURTLE,OP7_DEEP_FORTRESS,map_b_split_lane,2,561003,0,0,0,240,6,9,15,,29,96,,0,0,0,0,6,9,4,2,4,4,4,0,48.5,1.0,0,0,0,2.6321686496337255,22,1.88531964376719,0.0,28,28,22,16,5,1.559453010559082,3,0,0,,0,,,,,,,0,0,0,,0,0,0,0.9542070031166077,1.3373608589172363,0.9542070031166077,10,7,1,0,1,1,0,1,0.4950000047683716,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,16,0,0,0,16,0,0,0,0.16350965201854706,7.026434846315533,1,1
