blue_style,red_preset,map,episode_index,seed,steps_observed,time_cross_midfield_any,time_cross_midfield_both,time_first_flag_touch,time_first_pickup,time_first_blue_score,time_first_red_score,opening_mean_teammate_dist,opening_mean_lane_sep,opening_mean_forward_velocity,opening_clustered_frac,opening_trailing_frac,opening_stable_leader_frac,pre_pickup_mean_teammate_dist,pre_pickup_mean_lane_sep,pre_pickup_clustered_frac
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,0,551001,137,8,10,14,15,36,,2.792189539175007,2.287723684310913,0.6823498010635376,1.0,0.75,0.8,2.612552229691866,1.9896490097045898,1.0
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,1,551002,135,7,11,13,14,42,,7.315458484019687,6.728168034553528,0.6267185587632028,0.4,0.7,0.8947368421052632,8.102801785678539,7.387617077146258,0.14285714285714285
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,2,551003,139,7,7,13,14,48,,7.540667438521883,7.24573540687561,0.5618040498934294,0.5,0.45,0.5,10.081806114908986,9.987681865692139,0.2857142857142857
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,3,551004,143,7,8,14,14,34,,2.1796469089972463,1.5125452041625977,0.5575994566867226,1.0,0.95,1.0,1.7663364443972445,0.9198549134390694,1.0
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,4,551005,146,7,11,17,17,37,,3.9373297320243386,2.4109383106231688,0.784065245013488,1.0,1.0,1.0,4.075895354923821,2.310317376080681,1.0
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,5,551006,140,8,10,15,15,36,,2.7749648982581854,2.067384433746338,0.7092072618635077,1.0,0.85,0.8823529411764706,2.6225376078559384,1.7269344329833984,1.0
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,6,551007,159,6,8,14,15,60,,2.7775160059790567,1.8778761386871339,0.6332312822341919,1.0,0.95,1.0,2.6717200333185267,1.5140689849853515,1.0
BLUE_RUSH,OP12_LATE_CONVERTER,map_b_split_lane,7,551008,141,11,13,17,17,44,,8.233469208017645,8.077443745732307,0.7827477596308056,0.2,0.5,0.7647058823529411,8.769252816366798,8.600929123513838,0.058823529411764705
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,0,551001,147,8,10,14,15,42,,2.5225424096515763,1.544248628616333,0.5800455432189139,1.0,0.9,0.9444444444444444,2.582860293788573,1.6480428059895833,1.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,1,551002,157,7,10,13,14,43,,3.7529019246105553,2.3391444444656373,0.502817618219476,1.0,1.0,1.0,3.820774417039023,2.4062516689300537,1.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,2,551003,125,7,46,13,14,35,,10.61820830852138,6.347194331884384,0.24298336003956042,0.0,0.3,0.8947368421052632,10.334095693893389,7.9475623454366415,0.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,3,551004,176,8,10,14,15,68,,2.1297656640077434,0.756602430343628,0.5603180559057939,1.0,1.0,0.85,2.09064438888484,0.6493662516276042,1.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,4,551005,142,11,12,17,17,38,,2.0999807090854863,1.3350640296936036,0.7089186200970098,1.0,0.95,0.8421052631578947,2.150828472739579,1.3925712248858284,1.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,5,551006,203,8,11,15,15,38,,2.8079937574962126,1.5017219543457032,0.6164995776979547,1.0,0.95,1.0,2.766120516714356,1.1285343170166016,1.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,6,551007,221,8,10,14,15,55,,2.555703247865085,1.717135238647461,0.5337407902667397,1.0,0.95,0.8421052631578947,2.3653438847621366,1.3507977803548177,1.0
BLUE_ESCORT,OP12_LATE_CONVERTER,map_b_split_lane,7,551008,233,11,13,17,17,39,,2.9449127137124904,2.0482235580682753,0.7316707200125644,0.9,0.95,0.8421052631578947,3.009273109493605,2.0893233137972214,0.8823529411764706
