policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,wall_collision_source,stuck_steps,stuck_source,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,route_source,episode_steps
candidate,map_a_open,OP8,OP8,OP8,7018,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,77
baseline,map_a_open,OP8,OP8,OP8,7019,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,92
candidate,map_a_open,OP8,OP8,OP8,7019,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,11.0,episode_info,98
baseline,map_a_open,OP8,OP8,OP8,7020,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,100
candidate,map_a_open,OP8,OP8,OP8,7020,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,90
baseline,map_a_open,OP8,OP8,OP8,7021,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,80
candidate,map_a_open,OP8,OP8,OP8,7021,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,2.0,episode_info,71
baseline,map_a_open,OP8,OP8,OP8,7022,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,89
candidate,map_a_open,OP8,OP8,OP8,7022,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,87
baseline,map_a_open,OP8,OP8,OP8,7023,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,79
candidate,map_a_open,OP8,OP8,OP8,7023,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,91
baseline,map_a_open,OP8,OP8,OP8,7024,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,100
candidate,map_a_open,OP8,OP8,OP8,7024,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,112
baseline,map_a_open,OP8,OP8,OP8,7025,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,82
candidate,map_a_open,OP8,OP8,OP8,7025,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,9.0,episode_info,84
baseline,map_a_open,OP8,OP8,OP8,7026,3.0,3.0,0,0,1,0.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,93
candidate,map_a_open,OP8,OP8,OP8,7026,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,83
baseline,map_a_open,OP8,OP8,OP8,7027,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,93
candidate,map_a_open,OP8,OP8,OP8,7027,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,78
baseline,map_a_open,OP8,OP8,OP8,7028,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,85
candidate,map_a_open,OP8,OP8,OP8,7028,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,89
baseline,map_a_open,OP8,OP8,OP8,7029,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,106
candidate,map_a_open,OP8,OP8,OP8,7029,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,105
baseline,map_a_open,OP8,OP8,OP8,7030,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,101
candidate,map_a_open,OP8,OP8,OP8,7030,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,74
baseline,map_a_open,OP8,OP8,OP8,7031,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,2.0,episode_info,78
candidate,map_a_open,OP8,OP8,OP8,7031,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,88
baseline,map_a_open,OP8,OP8,OP8,7032,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,8.0,episode_info,77
candidate,map_a_open,OP8,OP8,OP8,7032,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,5.0,episode_info,85
baseline,map_a_open,OP8,OP8,OP8,7033,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,77
candidate,map_a_open,OP8,OP8,OP8,7033,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,104
baseline,map_a_open,OP8,OP8,OP8,7034,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,74
candidate,map_a_open,OP8,OP8,OP8,7034,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,7.0,episode_info,82
baseline,map_a_open,OP8,OP8,OP8,7035,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,6.0,episode_info,77
candidate,map_a_open,OP8,OP8,OP8,7035,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,3.0,episode_info,74
baseline,map_a_open,OP8,OP8,OP8,7036,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,11.0,episode_info,130
candidate,map_a_open,OP8,OP8,OP8,7036,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,10.0,episode_info,115
baseline,map_a_open,OP8,OP8,OP8,7037,3.0,2.0,1,0,0,1.0,,unavailable,0.0,position_proxy,0.0,0.0,0.0,4.0,episode_info,80
