team_size,model,episode,blue_score,red_score,success,decision_steps,return
2v2,Jacob et al.,13,3,2,1,211,-7.4889
2v2,Jacob et al.,14,3,0,1,83,-1.9161
2v2,Jacob et al.,15,3,1,1,103,-4.2764
2v2,Jacob et al.,16,3,1,1,135,-4.1488
2v2,Jacob et al.,17,2,3,0,129,-7.1180
2v2,Jacob et al.,18,3,0,1,151,-6.7351
2v2,Jacob et al.,19,3,1,1,124,-5.0710
2v2,Jacob et al.,20,3,0,1,76,-1.9620
2v2,Jacob et al.,21,0,3,0,216,-12.9286
2v2,Jacob et al.,22,2,3,0,237,-10.0556
2v2,Jacob et al.,23,2,3,0,136,-6.4447
2v2,Jacob et al.,24,3,1,1,106,-5.0577
2v2,Jacob et al.,25,3,1,1,113,-4.8965
2v2,Jacob et al.,26,3,1,1,110,-3.4564
2v2,Jacob et al.,27,3,0,1,81,-2.7253
2v2,Jacob et al.,28,3,2,1,151,-6.3893
2v2,Jacob et al.,29,3,0,1,106,-3.0091
2v2,Jacob et al.,30,3,2,1,104,-2.7510
2v2,Jacob et al.,31,3,1,1,135,-3.8499
2v2,Jacob et al.,32,3,0,1,93,-2.5819
2v2,Jacob et al.,33,3,1,1,100,-2.1874
2v2,Jacob et al.,34,3,2,1,143,-5.6300
2v2,Jacob et al.,35,3,1,1,101,-3.3311
2v2,Jacob et al.,36,3,0,1,89,-3.1790
2v2,Jacob et al.,37,3,1,1,134,-6.6990
2v2,Jacob et al.,38,3,0,1,91,-2.4338
2v2,Jacob et al.,39,3,2,1,109,-3.4641
2v2,Jacob et al.,40,3,2,1,123,-4.2594
2v2,Jacob et al.,41,2,3,0,147,-8.0924
2v2,Jacob et al.,42,3,0,1,121,-6.2648
2v2,Jacob et al.,43,3,1,1,95,-3.5897
2v2,Jacob et al.,44,3,1,1,120,-5.3302
2v2,Jacob et al.,45,3,1,1,138,-6.3675
2v2,Jacob et al.,46,3,1,1,94,-2.4323
2v2,Jacob et al.,47,3,2,1,177,-6.9353
2v2,Jacob et al.,48,2,3,0,103,-7.2728
2v2,Jacob et al.,49,1,3,0,194,-11.2674
2v2,Jacob et al.,50,3,2,1,131,-5.3980
2v2,Jacob et al.,51,3,0,1,94,-3.2516
2v2,Jacob et al.,52,2,3,0,110,-7.6698
2v2,Jacob et al.,53,3,0,1,92,-2.3707
2v2,Jacob et al.,54,3,0,1,94,-3.2551
2v2,Jacob et al.,55,3,0,1,98,-3.2126
2v2,Jacob et al.,56,3,0,1,86,-1.2851
2v2,Jacob et al.,57,3,0,1,105,-2.5635
2v2,Jacob et al.,58,3,3,0,152,-7.5425
2v2,Jacob et al.,59,3,1,1,113,-2.9587
2v2,Jacob et al.,60,3,1,1,160,-9.5635
2v2,Jacob et al.,61,2,3,0,107,-6.6026
2v2,Jacob et al.,62,1,3,0,125,-6.3244
2v2,Jacob et al.,63,3,1,1,135,-4.7305
2v2,Jacob et al.,64,3,1,1,141,-7.8714
2v2,Jacob et al.,65,3,0,1,77,-2.0178
2v2,Jacob et al.,66,3,2,1,136,-4.5405
2v2,Jacob et al.,67,3,1,1,77,-2.0498
2v2,Jacob et al.,68,3,1,1,128,-5.2212
2v2,Jacob et al.,69,1,3,0,240,-11.2218
2v2,Jacob et al.,70,3,1,1,103,-3.6805
2v2,Jacob et al.,71,3,1,1,139,-4.6949
2v2,Jacob et al.,72,3,0,1,98,-2.1721
2v2,Jacob et al.,73,3,1,1,101,-4.3721
2v2,Jacob et al.,74,3,2,1,151,-5.6421
2v2,Jacob et al.,75,3,0,1,86,-2.4707
2v2,Jacob et al.,76,3,2,1,116,-3.6466
2v2,Jacob et al.,77,3,0,1,136,-4.5032
2v2,Jacob et al.,78,3,1,1,113,-3.7283
2v2,Jacob et al.,79,3,1,1,168,-5.3004
2v2,Jacob et al.,80,0,3,0,233,-14.0919
2v2,Jacob et al.,81,3,1,1,114,-5.3228
2v2,Jacob et al.,82,3,1,1,143,-7.7722
2v2,Jacob et al.,83,3,1,1,84,-2.3315
2v2,Jacob et al.,84,3,1,1,120,-5.3133
2v2,Jacob et al.,85,3,1,1,110,-3.7569
2v2,Jacob et al.,86,3,2,1,133,-5.8233
2v2,Jacob et al.,87,3,0,1,102,-3.6546
2v2,Jacob et al.,88,3,1,1,103,-1.9796
2v2,Jacob et al.,89,3,1,1,138,-4.4618
2v2,Jacob et al.,90,3,0,1,102,-3.5348
2v2,Jacob et al.,91,3,0,1,100,-2.2888
2v2,Jacob et al.,92,3,1,1,90,-1.9183
2v2,Jacob et al.,93,3,1,1,92,-3.2766
2v2,Jacob et al.,94,3,1,1,104,-5.0802
2v2,Jacob et al.,95,3,1,1,91,-1.9342
2v2,Jacob et al.,96,3,2,1,141,-6.7229
2v2,Jacob et al.,97,3,0,1,127,-4.9001
2v2,Jacob et al.,98,3,0,1,78,-1.7339
2v2,Jacob et al.,99,3,2,1,145,-7.9301
3v3,Ours,0,3,2,1,107,-6.6887
3v3,Ours,1,2,3,0,226,-24.7620
3v3,Ours,2,3,2,1,119,-10.2726
3v3,Ours,3,3,1,1,101,-7.2646
3v3,Ours,4,3,2,1,96,-6.1478
3v3,Ours,5,3,1,1,75,-5.2535
3v3,Ours,6,3,1,1,90,-4.7432
3v3,Ours,7,3,1,1,115,-7.9499
3v3,Ours,8,2,3,0,113,-10.8766
3v3,Ours,9,3,1,1,116,-7.7441
3v3,Ours,10,3,1,1,93,-5.9266
3v3,Ours,11,3,1,1,84,-3.3356
3v3,Ours,12,3,0,1,170,-15.7908
3v3,Ours,13,3,1,1,87,-3.2722
3v3,Ours,14,3,1,1,91,-6.3349
3v3,Ours,15,3,1,1,88,-5.3501
3v3,Ours,16,3,0,1,142,-10.0895
3v3,Ours,17,3,2,1,154,-12.1118
3v3,Ours,18,3,1,1,112,-9.4433
3v3,Ours,19,2,3,0,184,-19.7720
3v3,Ours,20,3,1,1,90,-5.4621
3v3,Ours,21,3,1,1,103,-7.2529
3v3,Ours,22,3,1,1,153,-12.6295
3v3,Ours,23,3,2,1,146,-12.4537
3v3,Ours,24,3,2,1,150,-11.7386
3v3,Ours,25,3,1,1,110,-6.3722
3v3,Ours,26,3,1,1,118,-8.1449
3v3,Ours,27,3,1,1,90,-5.1799
3v3,Ours,28,3,1,1,131,-12.6518
3v3,Ours,29,3,0,1,69,-2.8608
3v3,Ours,30,3,2,1,174,-14.9752
3v3,Ours,31,3,1,1,75,-3.4575
3v3,Ours,32,1,3,0,134,-12.4357
3v3,Ours,33,3,1,1,97,-7.2698
3v3,Ours,34,3,2,1,210,-21.7638
3v3,Ours,35,3,2,1,143,-14.1928
3v3,Ours,36,3,2,1,154,-11.8820
3v3,Ours,37,3,2,1,142,-11.9321
3v3,Ours,38,3,1,1,110,-7.3732
3v3,Ours,39,3,2,1,136,-12.5267
3v3,Ours,40,3,2,1,113,-8.3304
3v3,Ours,41,3,1,1,128,-10.0068
3v3,Ours,42,2,3,0,105,-11.0773
3v3,Ours,43,3,0,1,72,-2.9945
3v3,Ours,44,3,2,1,151,-11.3791
3v3,Ours,45,3,2,1,122,-8.6064
3v3,Ours,46,3,2,1,124,-10.2613
3v3,Ours,47,3,2,1,138,-8.8298
3v3,Ours,48,3,1,1,85,-5.2947
3v3,Ours,49,3,0,1,98,-6.5134
3v3,Ours,50,3,0,1,88,-5.4993
3v3,Ours,51,3,0,1,103,-6.3998
3v3,Ours,52,2,3,0,127,-12.3658
3v3,Ours,53,2,3,0,104,-8.6000
3v3,Ours,54,3,1,1,77,-4.9512
3v3,Ours,55,3,1,1,111,-7.9473
3v3,Ours,56,3,1,1,88,-6.7052
3v3,Ours,57,3,2,1,107,-7.1698
3v3,Ours,58,3,1,1,90,-6.3478
3v3,Ours,59,3,1,1,115,-6.6572
3v3,Ours,60,3,0,1,81,-5.7271
3v3,Ours,61,3,0,1,105,-6.6921
3v3,Ours,62,3,1,1,156,-13.7507
3v3,Ours,63,3,1,1,106,-7.1148
3v3,Ours,64,3,1,1,171,-16.4860
3v3,Ours,65,3,1,1,112,-9.2168
3v3,Ours,66,2,3,0,159,-17.0960
3v3,Ours,67,2,3,0,138,-12.8432
3v3,Ours,68,3,2,1,138,-11.9031
3v3,Ours,69,3,1,1,89,-5.0792
3v3,Ours,70,3,2,1,154,-16.8450
3v3,Ours,71,2,3,0,160,-15.2353
3v3,Ours,72,3,1,1,105,-6.3884
3v3,Ours,73,3,2,1,137,-13.8142
3v3,Ours,74,3,0,1,107,-6.9344
3v3,Ours,75,3,1,1,104,-5.7939
3v3,Ours,76,3,1,1,141,-13.7226
3v3,Ours,77,3,0,1,67,-4.4034
3v3,Ours,78,3,2,1,169,-14.6705
3v3,Ours,79,3,2,1,183,-17.1615
3v3,Ours,80,2,3,0,130,-13.5398
3v3,Ours,81,3,0,1,104,-6.8152
3v3,Ours,82,3,1,1,110,-9.0624
3v3,Ours,83,3,2,1,186,-12.9130
3v3,Ours,84,2,3,0,109,-8.8517
3v3,Ours,85,3,1,1,98,-6.3171
3v3,Ours,86,2,3,0,163,-14.1870
3v3,Ours,87,3,0,1,82,-5.8009
3v3,Ours,88,3,0,1,132,-9.5825
3v3,Ours,89,3,1,1,98,-6.5810
3v3,Ours,90,3,1,1,98,-5.1434
3v3,Ours,91,3,2,1,139,-12.4300
3v3,Ours,92,3,0,1,104,-4.9281
3v3,Ours,93,3,2,1,206,-21.6110
3v3,Ours,94,3,2,1,91,-7.3235
3v3,Ours,95,3,0,1,143,-10.3871
3v3,Ours,96,3,0,1,107,-8.5846
3v3,Ours,97,3,1,1,136,-11.2875
3v3,Ours,98,3,0,1,140,-11.0771
3v3,Ours,99,3,0,1,128,-8.8038
3v3,Jacob et al.,0,3,0,1,102,-5.8351
3v3,Jacob et al.,1,3,1,1,176,-14.2551
3v3,Jacob et al.,2,3,0,1,112,-7.5797
3v3,Jacob et al.,3,3,0,1,140,-10.2644
3v3,Jacob et al.,4,3,1,1,111,-5.8712
3v3,Jacob et al.,5,3,1,1,135,-9.9741
3v3,Jacob et al.,6,3,1,1,73,-2.6414
3v3,Jacob et al.,7,3,1,1,93,-5.2253
3v3,Jacob et al.,8,2,3,0,145,-11.7930
3v3,Jacob et al.,9,3,1,1,107,-5.4175
3v3,Jacob et al.,10,3,1,1,107,-5.9046
3v3,Jacob et al.,11,3,2,1,198,-12.3928
3v3,Jacob et al.,12,3,2,1,197,-16.2618
3v3,Jacob et al.,13,3,0,1,146,-10.7689
3v3,Jacob et al.,14,2,3,0,152,-12.7830
3v3,Jacob et al.,15,3,0,1,141,-8.3257
3v3,Jacob et al.,16,3,1,1,132,-7.3246
3v3,Jacob et al.,17,3,0,1,85,-4.7567
3v3,Jacob et al.,18,3,1,1,183,-13.0168
3v3,Jacob et al.,19,3,1,1,135,-9.4348
3v3,Jacob et al.,20,2,3,0,136,-11.0599
3v3,Jacob et al.,21,3,0,1,132,-8.7319
3v3,Jacob et al.,22,3,0,1,82,-4.8289
3v3,Jacob et al.,23,3,1,1,197,-17.0603
3v3,Jacob et al.,24,3,2,1,136,-8.4395
3v3,Jacob et al.,25,3,2,1,114,-6.1138
3v3,Jacob et al.,26,3,1,1,86,-3.3004
3v3,Jacob et al.,27,3,2,1,113,-6.2952
3v3,Jacob et al.,28,3,1,1,93,-5.8772
3v3,Jacob et al.,29,3,1,1,113,-8.2548
3v3,Jacob et al.,30,3,0,1,124,-7.6854
3v3,Jacob et al.,31,3,1,1,108,-6.8209
3v3,Jacob et al.,32,2,3,0,290,-22.1128
3v3,Jacob et al.,33,3,0,1,106,-4.3214
3v3,Jacob et al.,34,3,1,1,105,-6.4159
3v3,Jacob et al.,35,3,1,1,138,-8.4274
3v3,Jacob et al.,36,3,2,1,150,-10.8719
3v3,Jacob et al.,37,3,2,1,140,-9.4811
3v3,Jacob et al.,38,3,0,1,154,-9.7323
3v3,Jacob et al.,39,3,1,1,126,-10.8369
3v3,Jacob et al.,40,2,3,0,157,-8.2675
3v3,Jacob et al.,41,3,2,1,129,-5.7437
3v3,Jacob et al.,42,3,0,1,144,-11.4048
3v3,Jacob et al.,43,3,0,1,154,-11.6653
3v3,Jacob et al.,44,3,1,1,139,-8.2843
3v3,Jacob et al.,45,3,1,1,89,-4.3494
3v3,Jacob et al.,46,3,0,1,90,-4.7896
3v3,Jacob et al.,47,1,3,0,115,-8.2365
3v3,Jacob et al.,48,3,1,1,145,-9.7893
3v3,Jacob et al.,49,3,2,1,166,-12.4556
3v3,Jacob et al.,50,2,3,0,181,-13.7788
3v3,Jacob et al.,51,1,3,0,145,-10.6673
3v3,Jacob et al.,52,3,0,1,125,-7.2707
3v3,Jacob et al.,53,3,1,1,120,-7.2366
3v3,Jacob et al.,54,3,1,1,107,-4.5088
3v3,Jacob et al.,55,3,1,1,142,-10.0178
3v3,Jacob et al.,56,3,1,1,107,-5.2497
3v3,Jacob et al.,57,3,2,1,127,-5.6540
3v3,Jacob et al.,58,3,2,1,138,-11.3650
3v3,Jacob et al.,59,3,1,1,114,-6.0915
3v3,Jacob et al.,60,3,1,1,159,-11.3504
3v3,Jacob et al.,61,3,2,1,111,-5.9932
3v3,Jacob et al.,62,3,1,1,112,-7.4087
3v3,Jacob et al.,63,3,1,1,95,-3.9204
3v3,Jacob et al.,64,3,1,1,165,-13.5358
3v3,Jacob et al.,65,3,1,1,90,-5.3506
3v3,Jacob et al.,66,3,1,1,125,-7.3701
3v3,Jacob et al.,67,3,2,1,144,-8.7673
3v3,Jacob et al.,68,3,1,1,98,-5.8961
3v3,Jacob et al.,69,3,0,1,84,-3.1260
3v3,Jacob et al.,70,3,2,1,232,-15.7539
3v3,Jacob et al.,71,2,3,0,182,-14.8117
3v3,Jacob et al.,72,3,1,1,106,-5.5477
3v3,Jacob et al.,73,3,1,1,124,-7.0753
3v3,Jacob et al.,74,3,0,1,84,-2.0070
3v3,Jacob et al.,75,3,1,1,147,-9.8085
3v3,Jacob et al.,76,3,2,1,116,-7.5418
3v3,Jacob et al.,77,3,0,1,110,-7.2448
3v3,Jacob et al.,78,3,2,1,132,-8.1256
3v3,Jacob et al.,79,3,2,1,160,-10.1416
3v3,Jacob et al.,80,3,1,1,121,-8.1722
3v3,Jacob et al.,81,3,2,1,163,-13.0859
3v3,Jacob et al.,82,3,2,1,163,-13.7726
3v3,Jacob et al.,83,2,3,0,123,-8.2414
3v3,Jacob et al.,84,3,2,1,100,-6.7048
3v3,Jacob et al.,85,3,1,1,88,-3.7608
3v3,Jacob et al.,86,3,1,1,102,-6.1911
3v3,Jacob et al.,87,3,0,1,108,-5.5305
3v3,Jacob et al.,88,2,3,0,170,-14.8994
3v3,Jacob et al.,89,3,1,1,132,-9.9799
3v3,Jacob et al.,90,3,2,1,122,-7.5114
3v3,Jacob et al.,91,3,1,1,123,-6.8674
3v3,Jacob et al.,92,3,0,1,79,-2.7444
3v3,Jacob et al.,93,3,0,1,93,-3.7865
3v3,Jacob et al.,94,3,1,1,116,-9.2436
3v3,Jacob et al.,95,3,1,1,97,-3.3593
3v3,Jacob et al.,96,3,0,1,91,-5.4572
3v3,Jacob et al.,97,3,1,1,128,-8.3906
3v3,Jacob et al.,98,3,0,1,128,-8.1107
3v3,Jacob et al.,99,2,3,0,166,-10.2759
4v4,Ours,0,3,0,1,129,-4.3558
4v4,Ours,1,3,0,1,152,-3.8505
4v4,Ours,2,3,0,1,122,-4.3448
4v4,Ours,3,0,0,0,400,-14.7135
4v4,Ours,4,3,0,1,144,-8.0270
4v4,Ours,5,3,0,1,128,-5.2132
4v4,Ours,6,3,2,1,211,-10.9054
4v4,Ours,7,3,0,1,176,-8.0810
4v4,Ours,8,3,2,1,180,-11.4967
4v4,Ours,9,2,0,1,400,-13.1166
4v4,Ours,10,0,0,0,400,-9.6596
4v4,Ours,11,1,0,1,400,-13.3933
4v4,Ours,12,2,0,1,400,-18.3733
