policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,wall_collision_source,stuck_steps,stuck_source,repeated_blocked_movement,upper_lane_use,lower_lane_use,route_switches,route_source,episode_steps
baseline,map_b_split_lane,OP8,OP8,OP8,7000,3.0,0.0,1,0,0,3.0,,unavailable,0.0,position_proxy,0.0,3.0,6.0,2.0,episode_info,105
candidate,map_b_split_lane,OP8,OP8,OP8,7000,3.0,1.0,1,0,0,2.0,,unavailable,0.0,position_proxy,0.0,2.0,11.0,2.0,episode_info,114
