first_capture_step,capture_latency,lost_after_leading,capture_conceded,opponent,eval_seed,blue_score,red_score,score_margin,win,loss,draw,terminated,episode_steps,tags_against,tags_for,cooldown_denials,captures_blue,captures_red,drops,pickups,tagged_while_carrying,ever_carried,carried_without_scoring,carry_steps,carry_frac,carrier_unescorted_frac,carrier_pressure_frac,mean_carrier_pressure,max_agents_forward,both_forward_frac,none_forward_frac,mean_team_separation,mean_formation_spread,blue_tagged_frac,cooldown_active_frac,trailing_frac,leading_frac,conceded_first,train_seed
40,40,1,1,OP6,9100000,2.0,3.0,-1.0,0,1,0,True,117,4,5,9,2,3,2,4,2,1,0,31,0.26495726495726496,0.25806451612903225,0.41935483870967744,0.2733892357397464,2,0.19658119658119658,0.42735042735042733,0.24447607841247168,0.08696546828156361,0.36752136752136755,0.6153846153846154,0.23931623931623933,0.08547008547008547,0,2500001
32,32,0,1,OP6,9100001,3.0,1.0,2.0,1,0,0,True,136,5,9,6,3,1,1,4,1,1,0,46,0.3382352941176471,0.34782608695652173,0.4782608695652174,0.21443948578899322,2,0.08823529411764706,0.49264705882352944,0.20348408911377192,0.05274511743140037,0.2647058823529412,0.6911764705882353,0.0,0.5294117647058824,0,2500001
29,29,0,1,OP6,9100002,3.0,2.0,1.0,1,0,0,True,116,4,5,12,3,2,0,3,0,1,0,44,0.3793103448275862,0.36363636363636365,0.5,0.24094791541045363,2,0.1206896551724138,0.4482758620689655,0.20697351191835156,0.06056032393725814,0.2672413793103448,0.6896551724137931,0.0,0.2672413793103448,0,2500001
29,29,0,1,OP6,9100003,3.0,2.0,1.0,1,0,0,True,98,2,3,8,3,2,0,3,0,1,0,46,0.46938775510204084,0.17391304347826086,0.2826086956521739,0.3168010820189248,2,0.2653061224489796,0.46938775510204084,0.15676253908598908,0.05407498774536866,0.2653061224489796,0.47959183673469385,0.0,0.6122448979591837,0,2500001
31,31,0,1,OP6,9100004,3.0,2.0,1.0,1,0,0,True,111,2,2,5,3,2,1,4,1,1,0,45,0.40540540540540543,0.2222222222222222,0.24444444444444444,0.3326564902232753,2,0.1891891891891892,0.4954954954954955,0.24751551774842245,0.08773734893435864,0.18018018018018017,0.3783783783783784,0.0,0.22522522522522523,0,2500001
63,63,0,1,OP6,9100005,3.0,3.0,0.0,0,0,1,True,120,3,2,3,3,3,1,4,1,1,0,50,0.4166666666666667,0.18,0.3,0.29909818060696125,2,0.2833333333333333,0.44166666666666665,0.17537535056471826,0.04384691184350231,0.225,0.30833333333333335,0.2916666666666667,0.0,1,2500001
27,27,0,1,OP6,9100006,3.0,1.0,2.0,1,0,0,True,89,3,4,6,3,1,0,3,1,1,0,43,0.48314606741573035,0.32558139534883723,0.4418604651162791,0.25915332207846087,2,0.0898876404494382,0.5168539325842697,0.1979667159488027,0.04440307167974782,0.25842696629213485,0.7303370786516854,0.0,0.3595505617977528,0,2500001
35,35,1,1,OP6,9100007,2.0,3.0,-1.0,0,1,0,True,120,3,5,6,2,3,1,3,0,1,0,43,0.35833333333333334,0.5116279069767442,0.2558139534883721,0.32735830259531046,2,0.13333333333333333,0.5333333333333333,0.1784040756523609,0.05641045112667295,0.19166666666666668,0.6166666666666667,0.0,0.075,0,2500001
45,45,0,1,OP6,9100008,3.0,2.0,1.0,1,0,0,True,113,2,4,8,3,2,1,4,1,1,0,45,0.39823008849557523,0.4444444444444444,0.2222222222222222,0.2805930328038004,2,0.22123893805309736,0.49557522123893805,0.21963425412510348,0.08466392165447577,0.22123893805309736,0.5663716814159292,0.07079646017699115,0.0,1,2500001
58,58,0,1,OP6,9100009,3.0,2.0,1.0,1,0,0,True,124,5,5,2,3,2,1,4,1,1,0,47,0.3790322580645161,0.2765957446808511,0.3829787234042553,0.25553128567147765,2,0.12096774193548387,0.3951612903225806,0.24886490146238957,0.08265199807224675,0.31451612903225806,0.6693548387096774,0.024193548387096774,0.08870967741935484,1,2500001
27,27,0,1,OP6,9100010,3.0,1.0,2.0,1,0,0,True,90,2,2,7,3,1,0,3,1,1,0,44,0.4888888888888889,0.18181818181818182,0.45454545454545453,0.2557547366754575,2,0.2777777777777778,0.5111111111111111,0.18262105269564521,0.0665200775825522,0.24444444444444444,0.4666666666666667,0.0,0.7,0,2500001
