checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,10,1,11,1,3,1,94,-1.1988366959558334,0.6800000071525574,0,2,39.0,8.24925199468085,neutral,0,win,1,1,0,0,0,1,0,5,3,0,0,3,1,0,68,20,100,188,187,0,12,94,0.640807032585144,100.0,0.7354471683502197,0.1484901243424479,0.8085106382978723,0.23404255319148937,0.925531914893617,0.05319148936170213,0.8615727763860783,0.9554201752502234,0.2978723404255319,0.24201899418171416,0.3252247269166277,0.8930514492887132,0.8494252809818755,0.651595744680851,-0.1017047543680025,0.4148936170212766,0.3829787234042553,94.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,11,1,12,0,1,3,134,-4.386025651658201,0.6399999856948853,1,-2,37.0,10.190778589960354,neutral,0,loss,0,0,6,0,0,3,0,5,1,0,0,1,3,0,156,16,96,243,240,0,11,134,-0.6044472455978394,-100.0,-0.5,0.11706130252456043,0.23134328358208955,0.29850746268656714,1.462686567164179,0.0,1.278923617370093,0.9315405869717474,0.2462686567164179,0.3133199065923691,0.34425150152685036,0.7613445088934543,0.8593040673590419,0.48507462686567165,0.18629722974875731,0.5895522388059702,0.5447761194029851,134.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,12,1,13,0,2,3,134,-4.426989930194395,0.6800000071525574,0,-1,38.0,6.437112836695429,neutral,0,loss,1,1,1,0,0,2,0,5,1,0,2,1,4,0,97,26,145,251,249,0,25,134,-0.5753042697906494,-100.0,-0.47126054763793945,0.09001137827064341,0.6940298507462687,0.208955223880597,1.0970149253731343,0.27611940298507465,0.9859341212840222,0.8598423989962286,0.6417910447761194,0.23297774356636983,0.2602316034651959,0.82139237113853,0.8512038975509245,0.621268656716418,0.028166572776501822,0.4701492537313433,0.4701492537313433,134.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,13,1,14,1,3,2,99,-1.5531133604235947,0.7199999690055847,1,1,35.0,7.9834126173847855,neutral,0,win,0,0,0,0,0,0,0,3,1,1,1,2,2,0,68,27,103,197,197,0,14,99,0.6223036050796509,100.0,0.7662500143051147,0.14246177616896052,0.7272727272727273,0.04040404040404041,1.2323232323232323,0.21212121212121213,0.8167999576438557,0.8976996246574804,0.40404040404040403,0.23055475062192088,0.3249149513666076,0.887190909096689,0.8683802961099027,0.6717171717171717,0.055774083063957335,0.5757575757575758,0.5757575757575758,99.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,14,1,15,1,3,1,93,-1.3439916101342533,0.6399999856948853,1,2,35.0,8.103127756426412,neutral,0,win,0,0,0,0,0,0,0,4,1,1,0,3,2,0,41,23,122,186,186,0,13,93,0.6412394046783447,100.0,0.7411320805549622,0.1514704387074196,0.7096774193548387,0.1935483870967742,1.032258064516129,0.043010752688172046,0.8059228177993528,0.8388995863897826,0.5698924731182796,0.23508206923161784,0.28049795337582145,0.9001467375345128,0.8735483936084214,0.6451612903225806,0.3608648399668325,0.5376344086021505,0.5376344086021505,93.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,15,1,16,0,2,3,130,-5.537805253126862,0.5999999642372131,1,-1,38.0,6.218496469350962,neutral,0,loss,0,0,1,0,0,2,0,3,0,0,1,1,6,0,126,7,127,217,215,0,46,130,-0.6124366521835327,-100.0,-0.5,0.11051471329365785,0.2153846153846154,0.23076923076923078,1.523076923076923,0.12307692307692308,1.1545988126442983,0.729925995076505,0.8307692307692308,0.3096424255806666,0.22331959940493107,0.7724014502305251,0.8690916130175957,0.48846153846153845,0.2778222567691415,0.6461538461538462,0.6153846153846154,130.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,16,1,17,0,2,3,159,-5.0317049169534585,0.6399999856948853,1,-1,32.0,8.160040321590015,neutral,0,loss,0,0,4,0,0,3,0,4,4,1,0,3,1,0,200,24,94,300,297,0,7,159,-0.6076114177703857,-100.0,-0.4724995493888855,0.10913964380281714,0.46540880503144655,0.050314465408805034,1.4654088050314464,0.018867924528301886,1.1602639470179126,1.0522490107108775,0.14465408805031446,0.2769400912963744,0.365609467615309,0.7987834807461912,0.8211986834897935,0.6084905660377359,0.3017225239004731,0.6918238993710691,0.6918238993710691,159.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,17,1,18,1,3,2,112,-2.784556271886686,0.6399999856948853,1,1,35.0,7.211357661655971,neutral,0,win,0,0,0,0,0,0,0,8,2,0,0,3,3,0,59,29,136,224,224,0,13,112,0.6186570525169373,100.0,0.7418749928474426,0.14180016619918337,0.875,0.15178571428571427,0.9732142857142857,0.11607142857142858,0.8944026815172818,0.9637033253841635,0.5535714285714286,0.24463428092920886,0.25533420319801997,0.8685691500348705,0.8230860557939325,0.6808035714285714,0.0758903584378566,0.375,0.36607142857142855,112.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,18,1,19,0,0,3,118,-5.120347154082992,0.3999999761581421,1,-3,39.0,9.590453067068326,neutral,0,loss,0,0,2,0,0,3,0,1,2,0,0,0,2,0,129,5,102,160,157,0,6,118,-0.6295308470726013,-100.0,-0.5,0.17184227878638245,0.09322033898305085,0.7711864406779662,1.1271186440677967,0.0,1.5,0.863067046975938,0.2966101694915254,0.39707222404116294,0.31784384053642467,0.6825227646504418,0.8487162812281464,0.3326271186440678,-0.15779755977522464,0.1864406779661017,0.1864406779661017,118.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,
artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,OP6_IMMEDIATE_DUAL_RUSH,0,map_b_split_lane,19,1,20,0,2,3,140,-5.258065848203842,0.6800000071525574,1,-1,37.0,8.078611537388392,neutral,0,loss,0,0,3,0,0,1,0,8,3,0,0,3,2,2,69,37,174,275,274,0,9,140,-0.574831485748291,-100.0,-0.46906012296676636,0.12700534917281142,0.7285714285714285,0.2571428571428571,1.0142857142857142,0.05714285714285714,1.0527462133605565,0.8422624292384301,0.42857142857142855,0.25539157298792686,0.28141074303005426,0.8317983929600035,0.855430439540318,0.6178571428571429,-0.1414867829739161,0.3357142857142857,0.30714285714285716,140.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
