opponent,map,episode_index,best_z,oracle_return,fixed_z2_return,fixed_z2_regret,return_z0,return_z1,return_z2,return_z3,cell_seed,episode_seed,ctx_0,ctx_1,ctx_2,ctx_3,ctx_4,ctx_5,ctx_6,ctx_7,ctx_8,ctx_9,ctx_10,ctx_11,ctx_12,ctx_13,ctx_14,ctx_15,ctx_16,ctx_17,ctx_18,ctx_19,ctx_20,ctx_21,ctx_22,ctx_23,ctx_24,ctx_25,ctx_26,ctx_27,ctx_28,ctx_29,ctx_30,ctx_31,ctx_32,ctx_33
OP10,map_b,0,3,-1.7586554313020315,-4.225467325974023,2.4668118946719915,-3.4789372310915496,-6.074101033678744,-4.225467325974023,-1.7586554313020315,2042,2042,0.022144585847854614,0.28720352053642273,0.0019891206175088882,0.022724147886037827,0.5866350531578064,0.18922768533229828,0.07159144431352615,0.043567728251218796,0.5785541534423828,0.46045002341270447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395499467849731,0.4214458465576172,0.936182975769043,0.8517501950263977,1.0,1.0,0.0,0.5742246508598328,0.49590134620666504,0.0,0.0,1.0,0.5,0.10661725699901581,0.0
OP10,map_b,1,0,-1.4328941075364128,-5.336980909167323,3.9040868016309105,-1.4328941075364128,-7.767368302011164,-5.336980909167323,-1.5733014807046857,2042,2043,0.11373722553253174,0.2600899636745453,0.023923132568597794,0.03449033573269844,0.5329686999320984,0.3202579915523529,0.011049824766814709,0.2688658833503723,0.48072192072868347,0.5090012550354004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4909987449645996,0.5192780494689941,0.9380099773406982,0.7514970302581787,1.0,1.0,0.0,0.5023115277290344,0.44212576746940613,0.0,0.0,1.0,0.0,0.3110678195953369,0.0
OP10,map_b,2,0,-0.48689793224912137,-1.5486959243717138,1.0617979921225924,-0.48689793224912137,-5.605438317754306,-1.5486959243717138,-1.8008822209958453,2042,2044,0.04577481001615524,0.1792427897453308,0.04500773921608925,0.0106995003297925,0.5548064112663269,0.09907125681638718,0.04306779056787491,0.011203395202755928,0.5358470678329468,0.5148732662200928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4851267337799072,0.4641529321670532,0.8351622819900513,0.7567006349563599,1.0,1.0,0.0,0.515927791595459,0.43315497040748596,0.0,0.0,1.0,0.0,0.0907631665468216,0.0
OP10,map_b,3,3,-0.8133433391922154,-8.758093200012809,7.944749860820593,-1.7597757185285445,-3.036134869646048,-8.758093200012809,-0.8133433391922154,2042,2045,0.09952307492494583,0.34366467595100403,0.00024533679243177176,0.2144869714975357,0.6223738193511963,0.5427237749099731,0.02613428235054016,0.003644859418272972,0.5418732166290283,0.5573152899742126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44268471002578735,0.4581267833709717,0.7934170365333557,0.8144123554229736,1.0,1.0,0.0,0.5949560403823853,0.49732762575149536,0.0,0.0,0.0,1.0,0.24087435007095337,0.0
OP10,map_b,4,1,-8.802510530367726,-11.36981165112229,2.567301120754564,-11.438342516979901,-8.802510530367726,-11.36981165112229,-12.105593092623167,2042,2046,0.11687599122524261,0.1834145337343216,0.024778874590992928,0.11930287629365921,0.6399667859077454,0.3432891070842743,0.027199113741517067,0.004659064579755068,0.5114762187004089,0.5420859456062317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4579140543937683,0.48852378129959106,0.9448485970497131,0.9870023727416992,1.0,1.0,0.0,0.5604307055473328,0.5226314067840576,0.0,0.0,0.5,1.0,0.14944422245025635,0.0
OP10,map_b,5,1,-1.3045034339011181,-1.6912420536391437,0.3867386197380256,-7.279606437572511,-1.3045034339011181,-1.6912420536391437,-7.384322960628197,2042,2047,0.12087999284267426,0.21171434223651886,0.05305887758731842,0.12280348688364029,0.540739119052887,0.1964731365442276,0.015345195308327675,0.13950765132904053,0.4275258779525757,0.485691636800766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5143083333969116,0.5724741220474243,0.8950313329696655,0.9517312049865723,1.0,1.0,0.0,0.458971232175827,0.38214826583862305,0.0,0.0,0.5,0.5,0.27412477135658264,0.0
OP10,map_b,6,2,-1.3549748905643355,-1.3549748905643355,0.0,-5.405248816212406,-3.0026369722618256,-1.3549748905643355,-4.675274918146897,2042,2048,0.12925595045089722,0.27178239822387695,0.021120106801390648,0.2551058232784271,0.57863450050354,0.5107309222221375,0.016687167808413506,0.0746745690703392,0.5224941968917847,0.5310587882995605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46894121170043945,0.47750580310821533,0.8226709365844727,0.9172990322113037,1.0,1.0,0.0,0.566653847694397,0.4575687348842621,0.0,0.0,0.5,0.5,0.33249494433403015,0.0
OP10,map_b,7,0,-1.8660889868915547,-4.342973054328468,2.476884067436913,-1.8660889868915547,-5.381640249222983,-4.342973054328468,-3.115340808435576,2042,2049,0.05312839895486832,0.4097701609134674,0.03438381105661392,0.0007124166004359722,0.5816525816917419,0.4734381139278412,0.07920881360769272,0.017618950456380844,0.5166744589805603,0.4436798393726349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5563201904296875,0.4833255410194397,0.9406432509422302,0.857944905757904,1.0,1.0,0.0,0.5324174761772156,0.4174010455608368,0.0,0.0,1.0,1.0,0.11553589254617691,0.0
OP10,map_b,8,0,-1.0394496067019645,-5.080610186356353,4.041160579654388,-1.0394496067019645,-3.500848229130497,-5.080610186356353,-3.4624017729365733,2042,2050,0.06114006042480469,0.19217827916145325,0.04611685872077942,0.18466094136238098,0.5917237997055054,0.49242448806762695,0.01084296777844429,0.13652117550373077,0.49433261156082153,0.5101755857467651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48982441425323486,0.5056673884391785,0.9566657543182373,0.9797035455703735,1.0,1.0,0.0,0.6373945474624634,0.47408637404441833,0.0,0.0,0.5,0.5,0.32728350162506104,0.0
OP10,map_b,9,0,-3.8602275250887033,-14.068171565857483,10.20794404076878,-3.8602275250887033,-6.546004321484361,-14.068171565857483,-4.1853608587698545,2042,2051,0.038049984723329544,0.4275134801864624,0.0003156672464683652,0.005341135431081057,0.5749125480651855,0.3543599545955658,0.05805332213640213,0.3015305995941162,0.5668438076972961,0.5389399528503418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4610600471496582,0.43315619230270386,0.9241398572921753,0.6975861191749573,1.0,1.0,0.0,0.6167978644371033,0.5284938216209412,0.0,0.0,1.0,0.0,0.31241869926452637,0.0
