epoch,train_kl_A,train_kl_B,teacher_holdout_agree_z0_vs_piA,teacher_holdout_agree_z1_vs_piB,teacher_holdout_teacher_argmax_disagreement,teacher_holdout_kl_A,teacher_holdout_kl_B,teacher_holdout_student_z0_z1_jsd,teacher_holdout_teacher_A_B_jsd,student_r1_holdout_agree_z0_vs_piA,student_r1_holdout_agree_z1_vs_piB,student_r1_holdout_teacher_argmax_disagreement,student_r1_holdout_kl_A,student_r1_holdout_kl_B,student_r1_holdout_student_z0_z1_jsd,student_r1_holdout_teacher_A_B_jsd
1,0.0178026484117517,0.005664735846930576,0.9655611506170576,0.9871385682683265,0.2775949252589935,0.01517716223989231,0.0045947189893759165,0.17275486972530502,0.17903920535855075,0.9722129126453707,0.9884041568857297,0.25984457576006553,0.013382669765849588,0.004944192258479415,0.16931390527551965,0.17391096912204645
2,0.010721175477551628,0.004354641255142574,0.9671986994320265,0.9878351071148215,0.2775949252589935,0.014547420787307782,0.004408266622713501,0.17778529271605673,0.17903920535855075,0.9722350583582445,0.9873679624493099,0.25984457576006553,0.012492194753799025,0.0045275901297520595,0.17298689492262445,0.17391096912204645
3,0.009753773435666628,0.00409341225670036,0.9668554372970039,0.9862177266389249,0.2775949252589935,0.012635503139712461,0.004523021591158283,0.17880524438643158,0.17903920535855075,0.9757531954161224,0.9882254769564441,0.25984457576006553,0.010787903890612616,0.004483300186034855,0.1733909771469245,0.17391096912204645
4,0.009101075779760095,0.003747121731131361,0.9648910604578063,0.9877345688036603,0.2775949252589935,0.014009123617419263,0.003850448535261741,0.18051564801213807,0.17903920535855075,0.9710634147622578,0.9895253687809518,0.25984457576006553,0.012425967449639771,0.004078807028974751,0.1749050126485886,0.17391096912204645
5,0.008789100606221385,0.0034506838357425884,0.9682286412148663,0.9899438792758711,0.2775949252589935,0.01226406529052248,0.0038768548568084145,0.17866613596125383,0.17903920535855075,0.9745658023947689,0.9904931881420098,0.25984457576006553,0.010238959318044867,0.004045662693260088,0.17387146312515836,0.17391096912204645
6,0.007499199244784673,0.0031966878122503535,0.9714225595282118,0.9879423397285023,0.2775949252589935,0.010489135148330268,0.003696006352631746,0.1775167061497614,0.17903920535855075,0.9767309804054701,0.9890966900291933,0.25984457576006553,0.009352371065467116,0.003744774673679107,0.17337952202539353,0.17391096912204645
7,0.007354426393899972,0.0030481619193091004,0.9722156259507185,0.9893453972059265,0.2775949252589935,0.010156819783377543,0.003112883890000693,0.17692477354540428,0.17903920535855075,0.9775832467140492,0.9894596038907287,0.25984457576006553,0.008592250614376122,0.0033713692095478057,0.17212667549538077,0.17391096912204645
8,0.006598783706593786,0.0027864379512836336,0.9707167940058632,0.9886232127682556,0.2775949252589935,0.01073287010438507,0.0031182600650936365,0.17504366404178548,0.17903920535855075,0.9764102039996451,0.9909283040420802,0.25984457576006553,0.00917999172265794,0.0032336244973506767,0.17072081368452482,0.17391096912204645
9,0.006677096529963053,0.0027224919723280645,0.9652650051115494,0.9904093665578234,0.2775949252589935,0.01298793077166638,0.002938369178214311,0.17595090965882726,0.17903920535855075,0.9739567486036246,0.9920921522321425,0.25984457576006553,0.01066080481173333,0.0031374051794110292,0.17160761391809898,0.17391096912204645
10,0.006679035571928556,0.002575155060388488,0.9710578746941995,0.9893451460006932,0.2775949252589935,0.010983247626023845,0.0028845538509445364,0.1756780793586425,0.17903920535855075,0.9752019139731428,0.9909384994644828,0.25984457576006553,0.009645577411128394,0.0029691832150569204,0.17122529427913225,0.17391096912204645
