episode_seed,eligible_heads,jsd_bits,margin_A_bits,margin_B_bits,argmax_disagree
8600001,3906.0,0.12275008913794798,0.1290309068764032,1.1066603693115409,0.2700972862263185
8600002,3740.0,0.13366610628297804,0.25715967649232874,1.3332398778181225,0.3229946524064171
8600003,3806.0,0.1433588053455297,0.03493663126625278,1.3714762759716477,0.3131897004729375
8600004,3530.0,0.12313717730439311,0.2913986794282511,1.1007826226006232,0.26288951841359776
8600005,3278.0,0.12057936566499278,0.5091419989456802,1.0278289063650117,0.2593044539353264
8600006,3886.0,0.13593294205972914,0.2639092322931698,1.2077589759097938,0.31780751415337105
8600007,4084.0,0.12283956609671422,0.4136163824579718,1.0485648379736852,0.2558765915768854
8600008,4222.0,0.1255440121298589,0.17803546447529225,1.1466341402305775,0.2863571766935102
8600009,4116.0,0.12730773990730365,0.4154973291376546,1.1064779079610625,0.2857142857142857
8600010,4404.0,0.13408443468252682,0.29156791392927794,1.1614777364181887,0.2822434150772025
8600011,3774.0,0.12663238115463282,0.1843215974083439,1.2245263215223505,0.2790143084260731
8600012,4318.0,0.11983962965374938,0.19567578097424915,1.0791801493890987,0.2698008337193145
8600013,4068.0,0.12994963378363197,0.346073801811366,1.0856404397435186,0.3023598820058997
8600014,4062.0,0.1257535324132807,0.26023084827956017,1.1956229320961609,0.2865583456425406
8600015,3924.0,0.12563663211372983,0.3502516986538298,1.0968199559723792,0.27446483180428133
8600016,3798.0,0.13270437482055342,0.24548323810681222,1.254873034418249,0.28541337546076884
8600017,4030.0,0.1153669796481806,0.30892747297453194,1.0024617028517404,0.24367245657568237
8600018,4076.0,0.13217961485540494,0.34582800907025735,1.1518860226561032,0.30323846908734053
8600019,4006.0,0.12349482313891978,0.4639006252447073,1.0467210198104888,0.28931602596105843
8600020,4018.0,0.1249459124487619,0.32992919071622917,1.1459148746491918,0.2707814833250373
8600021,3728.0,0.12829441268305178,0.271241089415061,1.1712537794873565,0.2907725321888412
8600022,3790.0,0.12310034094284975,0.4798648439947329,0.9489470084298569,0.2638522427440633
8600023,3712.0,0.1428689420575775,0.07642034206495235,1.358712979006292,0.33674568965517243
8600024,4058.0,0.12403444809826047,0.31522780001962614,1.0940906952707645,0.26712666338097585
8600025,4042.0,0.11723640463564947,0.23255108378390713,1.1100186275420567,0.2501237011380505
