policy,pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,home_defense_fraction,simultaneous_attackers,enemy_half_occupancy,commitment_timing,commitment_occurred,interception_behavior,interception_eligible_ticks,first_enemy_flag_contact,first_pickup,pickup_occurred,pickup_to_capture,carrier_fraction,capture_count,noncarrier_screen_fraction,screen_eligible_ticks
z0,A,OP6,8600001,3,0,1,0,157,0.6114649681528662,0.09554140127388536,0.34394904458598724,9,1,0.3103448275862069,29.0,14,15,1,51,0.33121019108280253,2.0,0.3103448275862069,29.0
z0,A,OP6,8600002,0,0,0,1,240,0.3875,0.016666666666666666,0.17291666666666666,9,1,0.9555555555555556,90.0,15,15,1,240,0.7791666666666667,0.0,0.9555555555555556,90.0
z0,A,OP6,8600003,3,0,1,0,191,0.4973821989528796,0.06806282722513089,0.3010471204188482,9,1,0.7857142857142857,70.0,14,15,1,34,0.6178010471204188,2.0,0.7857142857142857,70.0
z0,A,OP6,8600004,3,0,1,0,118,0.5932203389830508,0.15254237288135594,0.3940677966101695,9,1,0.5882352941176471,34.0,15,15,1,37,0.4067796610169492,2.0,0.5882352941176471,34.0
z0,A,OP6,8600005,3,0,1,0,167,0.5329341317365269,0.05389221556886228,0.2904191616766467,9,1,0.7936507936507936,63.0,15,16,1,15,0.6826347305389222,2.0,0.7936507936507936,63.0
z0,A,OP6,8600006,1,0,1,0,240,0.425,0.0125,0.21666666666666667,6,1,0.9247311827956989,93.0,31,31,1,86,0.7375,1.0,0.9247311827956989,93.0
z0,A,OP6,8600007,1,0,1,0,240,0.49583333333333335,0.004166666666666667,0.3,8,1,0.7714285714285715,70.0,15,15,1,79,0.5375,1.0,0.7714285714285715,70.0
z0,A,OP6,8600008,1,0,1,0,240,0.425,0.0625,0.2,6,1,0.943089430894309,123.0,12,12,1,36,0.8583333333333333,1.0,0.943089430894309,123.0
z0,A,OP6,8600009,2,0,1,0,240,0.3875,0.0875,0.2708333333333333,7,1,0.8941176470588236,85.0,13,13,1,82,0.7291666666666666,2.0,0.8941176470588236,85.0
z0,A,OP6,8600010,1,0,1,0,240,0.5,0.04583333333333333,0.3333333333333333,10,1,0.5918367346938775,49.0,15,15,1,147,0.3958333333333333,1.0,0.5918367346938775,49.0
z0,A,OP6,8600011,1,0,1,0,240,0.44583333333333336,0.020833333333333332,0.19583333333333333,7,1,0.8902439024390244,82.0,35,35,1,130,0.6958333333333333,1.0,0.8902439024390244,82.0
z0,A,OP6,8600012,0,0,0,1,240,0.45,0.0125,0.23541666666666666,9,1,0.8369565217391305,92.0,16,16,1,240,0.6833333333333333,0.0,0.8369565217391305,92.0
z0,A,OP6,8600013,2,0,1,0,240,0.5041666666666667,0.05416666666666667,0.3229166666666667,10,1,0.75,52.0,23,23,1,15,0.4375,2.0,0.75,52.0
z0,A,OP6,8600014,2,0,1,0,240,0.4708333333333333,0.11666666666666667,0.3020833333333333,6,1,0.8367346938775511,49.0,14,14,1,34,0.4083333333333333,2.0,0.8367346938775511,49.0
z0,A,OP6,8600015,3,0,1,0,108,0.5370370370370371,0.12037037037037036,0.4166666666666667,10,1,0.6296296296296297,27.0,16,16,1,42,0.4537037037037037,2.0,0.6296296296296297,27.0
z0,A,OP6,8600016,0,0,0,1,240,0.35833333333333334,0.03333333333333333,0.1625,12,1,0.9795918367346939,98.0,18,18,1,240,0.8333333333333334,0.0,0.9795918367346939,98.0
z0,A,OP6,8600017,2,0,1,0,240,0.5208333333333334,0.1,0.3416666666666667,10,1,0.6666666666666666,6.0,16,17,1,86,0.15833333333333333,2.0,0.6666666666666666,6.0
z0,A,OP6,8600018,2,0,1,0,240,0.5708333333333333,0.07916666666666666,0.3541666666666667,16,1,0.6,55.0,22,23,1,15,0.35,2.0,0.6,55.0
z0,A,OP6,8600019,2,0,1,0,240,0.5958333333333333,0.05416666666666667,0.3729166666666667,11,1,0.37037037037037035,27.0,25,25,1,68,0.17916666666666667,2.0,0.37037037037037035,27.0
z0,A,OP6,8600020,1,0,1,0,240,0.4125,0.07916666666666666,0.26875,6,1,0.92,75.0,14,15,1,124,0.6,1.0,0.92,75.0
z0,A,OP6,8600021,3,0,1,0,114,0.5614035087719298,0.08771929824561403,0.33771929824561403,5,1,0.5434782608695652,46.0,18,18,1,39,0.6052631578947368,2.0,0.5434782608695652,46.0
z0,A,OP6,8600022,3,0,1,0,172,0.4883720930232558,0.08139534883720931,0.3313953488372093,12,1,0.7666666666666667,30.0,18,18,1,73,0.4418604651162791,2.0,0.7666666666666667,30.0
z0,A,OP6,8600023,3,0,1,0,134,0.4626865671641791,0.07462686567164178,0.3656716417910448,9,1,0.8928571428571429,28.0,17,17,1,14,0.5223880597014925,2.0,0.8928571428571429,28.0
z0,A,OP6,8600024,2,1,1,0,240,0.49166666666666664,0.14166666666666666,0.3458333333333333,7,1,0.7,20.0,13,13,1,40,0.17916666666666667,2.0,0.7,20.0
z0,A,OP6,8600025,3,0,1,0,199,0.5979899497487438,0.08542713567839195,0.36432160804020103,9,1,0.4,25.0,16,16,1,32,0.2562814070351759,2.0,0.4,25.0
z0,A,OP6,8600026,2,0,1,0,240,0.49166666666666664,0.016666666666666666,0.23125,10,1,0.8482142857142857,112.0,16,16,1,27,0.7666666666666667,2.0,0.8482142857142857,112.0
z0,A,OP6,8600027,1,0,1,0,240,0.45,0.09583333333333334,0.26666666666666666,12,1,0.9487179487179487,78.0,42,42,1,121,0.575,1.0,0.9487179487179487,78.0
z0,A,OP6,8600028,0,1,0,0,240,0.39166666666666666,0.12916666666666668,0.25625,16,1,0.8918918918918919,74.0,21,22,1,240,0.5541666666666667,0.0,0.8918918918918919,74.0
z0,A,OP6,8600029,2,0,1,0,240,0.5125,0.0375,0.36666666666666664,14,1,0.5238095238095238,42.0,43,43,1,50,0.2875,2.0,0.5238095238095238,42.0
z0,A,OP6,8600030,1,0,1,0,240,0.3958333333333333,0.05,0.23541666666666666,7,1,0.8737864077669902,103.0,25,25,1,27,0.775,1.0,0.8737864077669902,103.0
z0,A,OP6,8600031,0,1,0,0,240,0.3458333333333333,0.10833333333333334,0.22291666666666668,13,1,0.845360824742268,97.0,19,19,1,240,0.7583333333333333,0.0,0.845360824742268,97.0
z0,A,OP6,8600032,3,0,1,0,156,0.46153846153846156,0.1346153846153846,0.3717948717948718,7,1,0.7692307692307693,26.0,13,14,1,66,0.3782051282051282,2.0,0.7692307692307693,26.0
z0,A,OP6,8600033,3,0,1,0,183,0.5355191256830601,0.08743169398907104,0.3797814207650273,10,1,0.48148148148148145,27.0,26,27,1,15,0.273224043715847,2.0,0.48148148148148145,27.0
z0,A,OP6,8600034,2,0,1,0,240,0.5375,0.1125,0.33958333333333335,13,1,0.5,12.0,30,31,1,15,0.15833333333333333,2.0,0.5,12.0
z0,A,OP6,8600035,3,0,1,0,116,0.646551724137931,0.08620689655172414,0.4353448275862069,9,1,0.5897435897435898,39.0,15,15,1,31,0.43103448275862066,2.0,0.5897435897435898,39.0
z0,A,OP6,8600036,2,1,1,0,240,0.5166666666666667,0.06666666666666667,0.30625,10,1,0.5869565217391305,92.0,26,26,1,15,0.5625,2.0,0.5869565217391305,92.0
z0,A,OP6,8600037,1,0,1,0,240,0.5125,0.0875,0.34375,12,1,0.7058823529411765,34.0,19,40,1,125,0.30416666666666664,1.0,0.7058823529411765,34.0
z0,A,OP6,8600038,2,0,1,0,240,0.5208333333333334,0.05416666666666667,0.2791666666666667,9,1,0.9090909090909091,66.0,27,28,1,119,0.5375,2.0,0.9090909090909091,66.0
z0,A,OP6,8600039,3,0,1,0,169,0.5207100591715976,0.11242603550295859,0.40236686390532544,13,1,0.43243243243243246,37.0,18,19,1,22,0.3668639053254438,2.0,0.43243243243243246,37.0
z0,A,OP6,8600040,2,0,1,0,240,0.5625,0.05416666666666667,0.33125,5,1,0.7627118644067796,59.0,11,11,1,73,0.3875,2.0,0.7627118644067796,59.0
z0,A,OP6,8600041,3,0,1,0,183,0.5956284153005464,0.07103825136612021,0.40710382513661203,8,1,0.24242424242424243,33.0,14,14,1,34,0.30601092896174864,2.0,0.24242424242424243,33.0
z0,A,OP6,8600042,1,1,0,1,240,0.44166666666666665,0.125,0.2791666666666667,9,1,0.7901234567901234,81.0,15,16,1,123,0.6,1.0,0.7901234567901234,81.0
z0,A,OP6,8600043,2,0,1,0,240,0.49583333333333335,0.1,0.34375,10,1,0.2916666666666667,24.0,20,23,1,15,0.16666666666666666,2.0,0.2916666666666667,24.0
z0,A,OP6,8600044,3,2,1,0,204,0.5196078431372549,0.15196078431372548,0.4215686274509804,9,1,0.3958333333333333,48.0,15,15,1,69,0.3088235294117647,2.0,0.3958333333333333,48.0
z0,A,OP6,8600045,1,0,1,0,240,0.5458333333333333,0.016666666666666666,0.3020833333333333,11,1,0.74,50.0,17,17,1,67,0.36666666666666664,1.0,0.74,50.0
z0,A,OP6,8600046,1,0,1,0,240,0.3875,0.06666666666666667,0.16666666666666666,16,1,0.9611650485436893,103.0,22,22,1,184,0.7791666666666667,1.0,0.9611650485436893,103.0
z0,A,OP6,8600047,0,0,0,1,240,0.3625,0.0125,0.18958333333333333,7,1,0.8899082568807339,109.0,18,18,1,240,0.8208333333333333,0.0,0.8899082568807339,109.0
z0,A,OP6,8600048,1,0,1,0,240,0.5166666666666667,0.04583333333333333,0.30833333333333335,6,1,0.8472222222222222,72.0,14,14,1,96,0.5458333333333333,1.0,0.8472222222222222,72.0
z0,A,OP6,8600049,3,0,1,0,178,0.5842696629213483,0.07865168539325842,0.3258426966292135,8,1,0.6,35.0,28,29,1,40,0.34269662921348315,2.0,0.6,35.0
z0,A,OP6,8600050,3,0,1,0,220,0.41363636363636364,0.18181818181818182,0.35909090909090907,7,1,0.7,20.0,26,26,1,40,0.22727272727272727,2.0,0.7,20.0
z0,A,OP6,8600051,2,0,1,0,240,0.4875,0.0375,0.2875,13,1,0.7307692307692307,78.0,21,21,1,46,0.6041666666666666,2.0,0.7307692307692307,78.0
z0,A,OP6,8600052,1,0,1,0,240,0.3958333333333333,0.05,0.19791666666666666,9,1,0.9438202247191011,89.0,15,15,1,38,0.7833333333333333,1.0,0.9438202247191011,89.0
z0,A,OP6,8600053,2,1,1,0,240,0.5,0.008333333333333333,0.22291666666666668,8,1,0.9342105263157895,76.0,15,15,1,14,0.625,2.0,0.9342105263157895,76.0
z0,A,OP6,8600054,3,1,1,0,195,0.5128205128205128,0.1076923076923077,0.3871794871794872,11,1,0.5,28.0,17,17,1,14,0.2717948717948718,2.0,0.5,28.0
z0,A,OP6,8600055,3,0,1,0,138,0.6231884057971014,0.06521739130434782,0.4528985507246377,9,1,0.2727272727272727,44.0,16,16,1,61,0.36231884057971014,2.0,0.2727272727272727,44.0
z0,A,OP6,8600056,1,0,1,0,240,0.4375,0.04583333333333333,0.225,9,1,0.8541666666666666,96.0,15,15,1,53,0.7333333333333333,1.0,0.8541666666666666,96.0
z0,A,OP6,8600057,0,0,0,1,240,0.36666666666666664,0.0,0.17708333333333334,10,1,0.7950819672131147,122.0,16,16,1,240,0.9041666666666667,0.0,0.7950819672131147,122.0
z0,A,OP6,8600058,2,0,1,0,240,0.3958333333333333,0.0875,0.2708333333333333,8,1,0.9393939393939394,66.0,15,16,1,15,0.6416666666666667,2.0,0.9393939393939394,66.0
z0,A,OP6,8600059,1,0,1,0,240,0.425,0.03333333333333333,0.22708333333333333,9,1,0.8163265306122449,98.0,15,15,1,55,0.7291666666666666,1.0,0.8163265306122449,98.0
z0,A,OP6,8600060,0,0,0,1,240,0.4,0.008333333333333333,0.17708333333333334,7,1,0.9270833333333334,96.0,15,15,1,240,0.7833333333333333,0.0,0.9270833333333334,96.0
z0,A,OP6,8600061,2,0,1,0,240,0.4083333333333333,0.05416666666666667,0.22291666666666668,6,1,0.788135593220339,118.0,12,13,1,15,0.8291666666666667,2.0,0.788135593220339,118.0
z0,A,OP6,8600062,0,1,0,0,240,0.375,0.075,0.2125,7,1,0.8737864077669902,103.0,13,13,1,240,0.7958333333333333,0.0,0.8737864077669902,103.0
z0,A,OP6,8600063,1,1,0,1,240,0.5291666666666667,0.0625,0.3541666666666667,9,1,0.5647058823529412,85.0,15,15,1,86,0.45,1.0,0.5647058823529412,85.0
z0,A,OP6,8600064,2,0,1,0,240,0.5625,0.06666666666666667,0.2916666666666667,11,1,0.8,70.0,17,17,1,61,0.45,2.0,0.8,70.0
z0,A,OP6,8600065,0,0,0,1,240,0.375,0.029166666666666667,0.13333333333333333,6,1,0.990909090909091,110.0,20,20,1,240,0.9166666666666666,0.0,0.990909090909091,110.0
z0,A,OP6,8600066,0,0,0,1,240,0.35833333333333334,0.05,0.16458333333333333,10,1,1.0,95.0,15,16,1,240,0.825,0.0,1.0,95.0
z0,A,OP6,8600067,0,0,0,1,240,0.37083333333333335,0.016666666666666666,0.20416666666666666,9,1,0.8648648648648649,111.0,16,16,1,240,0.8291666666666667,0.0,0.8648648648648649,111.0
z0,A,OP6,8600068,3,0,1,0,160,0.4375,0.125,0.378125,9,1,0.9473684210526315,38.0,14,15,1,72,0.51875,2.0,0.9473684210526315,38.0
z0,A,OP6,8600069,2,0,1,0,240,0.4666666666666667,0.06666666666666667,0.23541666666666666,13,1,0.927710843373494,83.0,18,19,1,39,0.6666666666666666,2.0,0.927710843373494,83.0
z0,A,OP6,8600070,1,1,0,1,240,0.5,0.09583333333333334,0.35625,10,1,0.2222222222222222,36.0,16,17,1,15,0.175,1.0,0.2222222222222222,36.0
z0,A,OP6,8600071,3,0,1,0,130,0.5384615384615384,0.09230769230769231,0.35,9,1,0.6938775510204082,49.0,15,15,1,14,0.6153846153846154,2.0,0.6938775510204082,49.0
z0,A,OP6,8600072,0,0,0,1,240,0.42083333333333334,0.0,0.20416666666666666,9,1,0.9278350515463918,97.0,14,15,1,240,0.7625,0.0,0.9278350515463918,97.0
z0,A,OP6,8600073,1,0,1,0,240,0.4041666666666667,0.14583333333333334,0.3104166666666667,12,1,0.8923076923076924,65.0,43,43,1,138,0.43333333333333335,1.0,0.8923076923076924,65.0
