pole,driver,episode_seed,steps,action_disagreement_rate,commit_frac,defend_frac,mean_enemy_half_occupancy,t_commit,blue_score,red_score
B,pi_A,7500011,240,0.7416666666666667,0.07083333333333333,0.525,0.3229166666666667,10,1,0
B,pi_A,7500012,240,0.7666666666666667,0.06666666666666667,0.49583333333333335,0.2875,120,0,0
B,pi_A,7500013,240,0.8041666666666667,0.029166666666666667,0.6208333333333333,0.35208333333333336,8,1,0
B,pi_A,7500014,240,0.8,0.0625,0.5666666666666667,0.3375,51,1,0
B,pi_A,7500015,240,0.7708333333333334,0.05,0.5833333333333334,0.31666666666666665,26,2,0
B,pi_A,7500016,240,0.8,0.07916666666666666,0.49166666666666664,0.28541666666666665,75,0,0
B,pi_A,7500017,240,0.8083333333333333,0.05,0.6166666666666667,0.3375,9,1,0
B,pi_A,7500018,240,0.7208333333333333,0.0875,0.55,0.33125,10,2,0
B,pi_A,7500019,240,0.6791666666666667,0.029166666666666667,0.8208333333333333,0.18541666666666667,9,0,0
B,pi_A,7500020,240,0.7333333333333333,0.020833333333333332,0.7041666666666667,0.26875,97,0,0
B,pi_A,7500021,240,0.5625,0.0375,0.8041666666666667,0.18541666666666667,52,1,0
B,pi_A,7500022,240,0.8458333333333333,0.0125,0.6458333333333334,0.37916666666666665,196,0,1
B,pi_A,7500023,240,0.5875,0.0375,0.8166666666666667,0.12291666666666666,10,0,0
B,pi_A,7500024,240,0.8,0.07916666666666666,0.4791666666666667,0.26666666666666666,8,0,0
B,pi_A,7500025,240,0.5625,0.10416666666666667,0.7291666666666666,0.15833333333333333,9,0,0
B,pi_A,7500026,240,0.7541666666666667,0.041666666666666664,0.6291666666666667,0.3625,10,2,0
B,pi_A,7500027,240,0.75,0.07916666666666666,0.5166666666666667,0.29583333333333334,45,1,0
B,pi_A,7500028,240,0.6166666666666667,0.0,0.7583333333333333,0.24166666666666667,-1,0,0
B,pi_A,7500029,240,0.6416666666666667,0.020833333333333332,0.7916666666666666,0.20833333333333334,58,1,0
B,pi_A,7500030,240,0.775,0.0375,0.5666666666666667,0.3625,6,1,0
B,pi_A,7500031,240,0.8333333333333334,0.0,0.6291666666666667,0.32708333333333334,-1,0,0
B,pi_A,7500032,240,0.7833333333333333,0.016666666666666666,0.5875,0.30625,11,0,0
B,pi_B,7500001,240,0.7458333333333333,0.1125,0.44583333333333336,0.28125,10,0,0
B,pi_B,7500002,240,0.8541666666666666,0.0,0.6125,0.3416666666666667,-1,0,0
B,pi_B,7500003,240,0.6041666666666666,0.0625,0.7458333333333333,0.23541666666666666,7,2,0
B,pi_B,7500004,240,0.75,0.0375,0.6,0.36041666666666666,78,2,0
B,pi_B,7500005,240,0.7416666666666667,0.05416666666666667,0.5291666666666667,0.28541666666666665,32,1,0
B,pi_B,7500006,240,0.7958333333333333,0.0375,0.5958333333333333,0.3854166666666667,51,2,0
B,pi_B,7500007,240,0.7583333333333333,0.041666666666666664,0.6083333333333333,0.30833333333333335,56,2,0
B,pi_B,7500008,240,0.7916666666666666,0.0375,0.5166666666666667,0.34375,112,0,0
B,pi_B,7500009,238,0.7352941176470589,0.07563025210084033,0.5672268907563025,0.3403361344537815,23,3,0
B,pi_B,7500010,240,0.7208333333333333,0.09583333333333334,0.4791666666666667,0.3,26,1,0
B,pi_B,7500011,181,0.6850828729281768,0.07734806629834254,0.5193370165745856,0.356353591160221,10,3,0
B,pi_B,7500012,240,0.7833333333333333,0.058333333333333334,0.5541666666666667,0.3416666666666667,9,1,0
B,pi_B,7500013,240,0.7833333333333333,0.03333333333333333,0.5541666666666667,0.3875,8,1,0
B,pi_B,7500014,240,0.7833333333333333,0.0375,0.6125,0.3,72,1,0
B,pi_B,7500015,240,0.7375,0.09166666666666666,0.5,0.32083333333333336,25,1,0
B,pi_B,7500016,240,0.6,0.016666666666666666,0.8583333333333333,0.14166666666666666,78,0,0
B,pi_B,7500017,240,0.4708333333333333,0.029166666666666667,0.7875,0.21041666666666667,9,1,0
B,pi_B,7500018,240,0.8,0.05,0.6291666666666667,0.35625,10,1,0
B,pi_B,7500019,240,0.7666666666666667,0.016666666666666666,0.6416666666666667,0.36875,206,0,0
B,pi_B,7500020,240,0.8458333333333333,0.0,0.6458333333333334,0.3229166666666667,-1,0,0
B,pi_B,7500021,240,0.75,0.058333333333333334,0.6041666666666666,0.4125,169,2,0
B,pi_B,7500022,240,0.6416666666666667,0.06666666666666667,0.7291666666666666,0.275,53,2,0
B,pi_B,7500023,240,0.7583333333333333,0.0625,0.5416666666666666,0.3145833333333333,10,1,0
B,pi_B,7500024,240,0.8125,0.020833333333333332,0.6125,0.35208333333333336,149,2,0
B,pi_B,7500025,240,0.7666666666666667,0.09583333333333334,0.4625,0.27291666666666664,9,0,0
B,pi_B,7500026,240,0.7375,0.0625,0.5083333333333333,0.29791666666666666,10,1,0
B,pi_B,7500027,240,0.7458333333333333,0.09166666666666666,0.49583333333333335,0.3416666666666667,47,2,0
B,pi_B,7500028,240,0.7541666666666667,0.075,0.49583333333333335,0.275,116,0,0
B,pi_B,7500029,240,0.75,0.04583333333333333,0.6166666666666667,0.26875,96,0,0
B,pi_B,7500030,240,0.75,0.058333333333333334,0.5958333333333333,0.35833333333333334,6,2,0
B,pi_B,7500031,240,0.8208333333333333,0.004166666666666667,0.575,0.3333333333333333,120,0,0
B,pi_B,7500032,149,0.6778523489932886,0.06040268456375839,0.5369127516778524,0.348993288590604,58,3,0
