tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
0,1.0936366319656372,17.441347122192383,4.974409580230713,9.862515449523926,14.713247299194336,12.311226844787598,14.034029006958008,0.539429783821106,0,45,0,45,0,0
1,1.5510334968566895,17.265457153320312,5.463862419128418,9.886700630187988,14.261577606201172,12.121111869812012,13.601668357849121,0.770109236240387,0,45,0,45,0,0
2,2.465827465057373,16.913679122924805,6.442768096923828,9.935070991516113,13.35823917388916,11.740880966186523,12.736946105957031,1.2314682006835938,0,45,0,45,0,0
3,3.482264995574951,16.52281379699707,7.5304412841796875,9.988815307617188,12.401615142822266,11.338221549987793,11.821216583251953,1.720041275024414,0,45,0,45,0,0
4,4.498702526092529,16.131948471069336,8.618114471435547,10.042559623718262,11.444991111755371,10.935561180114746,10.905487060546875,2.2086143493652344,2,14,0,14,0,0
5,5.476418972015381,15.652374267578125,8.80038833618164,8.968921661376953,10.488367080688477,10.532901763916016,9.989757537841797,2.6971874237060547,2,14,0,14,0,0
6,6.454135417938232,15.172800064086914,7.75592041015625,8.660688400268555,9.531743049621582,10.130241394042969,9.074028015136719,3.185760498046875,2,14,0,14,0,0
7,7.431851387023926,14.693224906921387,6.669727325439453,8.582549095153809,8.575119018554688,9.727581977844238,8.15829849243164,3.6743335723876953,2,14,0,14,0,0
8,8.409567832946777,14.21364974975586,5.624435901641846,8.50735092163086,8.793000221252441,8.71279525756836,7.242569446563721,4.162907123565674,0,45,0,45,0,0
9,9.438892364501953,13.858105659484863,5.359987258911133,9.563754081726074,9.830599784851074,8.73830795288086,6.326840400695801,4.651480674743652,0,45,0,45,0,0
10,10.468216896057129,13.502561569213867,6.377603530883789,9.951539993286133,10.852805137634277,8.918198585510254,5.411110877990723,5.140053749084473,0,45,0,45,0,0
11,11.497541427612305,13.147017478942871,7.465358734130859,10.003592491149902,11.87501049041748,9.098089218139648,5.72100830078125,6.130622863769531,0,45,0,45,0,0
12,12.52686595916748,12.791473388671875,8.55311393737793,10.055644989013672,12.897215843200684,9.277979850769043,6.380703449249268,6.931913375854492,0,47,0,45,0,0
13,13.567955017089844,13.11093521118164,9.640869140625,10.107697486877441,13.919421195983887,9.457870483398438,7.131925106048584,7.648104667663574,0,47,0,45,0,0
14,14.60904312133789,13.430397033691406,10.72862434387207,10.159749031066895,14.94162654876709,9.637761116027832,7.923224925994873,8.319750785827637,0,47,0,45,0,0
15,15.650131225585938,13.749858856201172,11.81637954711914,10.211801528930664,15.963831901550293,9.817652702331543,8.791118621826172,8.888982772827148,0,47,0,45,0,0
16,16.691219329833984,14.069320678710938,12.904134750366211,10.263853073120117,15.977025985717773,10.85548210144043,9.742094993591309,9.304804801940918,0,47,0,45,0,0
17,17.73230743408203,14.388782501220703,13.991889953613281,10.31590461730957,14.959724426269531,11.061301231384277,10.735328674316406,9.606053352355957,0,47,0,45,0,0
18,18.422565460205078,14.600590705871582,14.069123268127441,11.402162551879883,14.457460403442383,10.67447280883789,11.749429702758789,9.827102661132812,0,44,0,45,0,0
19,19.0,13.928641319274902,12.999674797058105,11.60759162902832,14.037033081054688,10.754891395568848,12.608108520507812,10.410140991210938,0,44,0,44,0,0
20,19.0,12.839641571044922,11.621511459350586,11.849649429321289,13.984742164611816,11.314674377441406,12.625871658325195,10.514756202697754,0,44,0,45,0,0
21,19.0,11.750641822814941,10.552093505859375,11.644062995910645,12.972442626953125,11.543832778930664,12.168530464172363,11.251243591308594,0,44,0,47,0,0
22,19.0,10.661642074584961,9.482675552368164,11.4384765625,12.424007415771484,11.692985534667969,10.841080665588379,11.348891258239746,2,47,2,47,0,0
23,17.966106414794922,10.319608688354492,8.413257598876953,11.232890129089355,12.189105033874512,10.682003021240234,10.6538667678833,12.369780540466309,4,15,0,16,0,0
24,16.8773250579834,10.297813415527344,7.343839168548584,11.027304649353027,13.13882827758789,10.263326644897461,11.622185707092285,12.743440628051758,4,15,0,16,0,0
25,15.788542747497559,10.276018142700195,6.274420738220215,10.821718215942383,14.176697731018066,10.27290153503418,12.563189506530762,12.30551815032959,4,15,2,45,0,0
26,14.2008056640625,10.221911430358887,5.205002307891846,10.616132736206055,15.512129783630371,10.306830406188965,13.441662788391113,11.752753257751465,0,45,0,5,0,0
