tick,b0_x,b0_y,b1_x,b1_y,r0_x,r0_y,r1_x,r1_y,a0_macro,a0_tgt,a1_macro,a1_tgt,blue_score,red_score
0,1.0936366319656372,17.441347122192383,4.974409580230713,9.862515449523926,14.713247299194336,12.311226844787598,14.034029006958008,0.539429783821106,0,45,0,45,0,0
1,1.5510334968566895,17.265457153320312,5.463862419128418,9.886700630187988,14.312702178955078,12.028892517089844,13.672969818115234,0.8707683086395264,0,45,0,45,0,0
2,2.465827465057373,16.913679122924805,6.442768096923828,9.935070991516113,13.511610984802246,11.464224815368652,13.090082168579102,1.6587011814117432,0,45,0,45,0,0
3,3.482264995574951,16.52281379699707,7.5304412841796875,9.988815307617188,12.6632661819458,10.866249084472656,12.472811698913574,2.4931118488311768,0,45,0,45,0,0
4,4.498702526092529,16.131948471069336,8.618114471435547,10.042559623718262,11.814921379089355,10.26827335357666,11.855541229248047,3.3275225162506104,0,45,0,45,0,0
5,5.515140056610107,15.741083145141602,9.705787658691406,10.096303939819336,10.96657657623291,9.670297622680664,11.23827075958252,4.161933422088623,0,45,0,45,0,0
6,6.5315775871276855,15.350217819213867,9.781329154968262,11.1826810836792,10.118231773376465,9.072321891784668,10.621000289916992,4.996344089508057,0,45,0,45,0,0
7,7.548015117645264,14.959352493286133,8.711562156677246,11.386445045471191,9.26988697052002,8.474346160888672,10.003729820251465,5.83075475692749,0,45,0,45,0,0
8,8.564453125,14.568487167358398,7.645079612731934,11.166135787963867,8.254100799560547,8.687518119812012,9.386459350585938,6.665165424346924,0,45,0,45,0,0
9,9.580890655517578,14.177621841430664,6.578597068786621,10.945826530456543,7.238314628601074,8.900690078735352,8.76918888092041,7.499576091766357,0,45,0,45,0,0
10,10.597328186035156,13.78675651550293,5.512114524841309,10.725517272949219,6.222528457641602,9.113862037658691,7.795574188232422,7.859212875366211,0,45,0,45,0,0
11,11.613765716552734,13.395891189575195,4.445631980895996,10.505208015441895,5.206742286682129,9.327033996582031,7.968024730682373,8.882699966430664,0,45,0,45,0,0
12,12.630203247070312,13.005025863647461,3.3791494369506836,10.28489875793457,5.227442741394043,10.364740371704102,8.620235443115234,9.690093994140625,0,45,0,45,0,0
13,13.64664077758789,12.614160537719727,3.4715099334716797,9.199822425842285,6.205038070678711,10.713411331176758,9.420196533203125,10.351400375366211,0,45,0,45,0,0
14,14.663078308105469,12.223295211791992,4.559885025024414,9.162932395935059,7.210665702819824,10.970271110534668,10.335223197937012,10.841288566589355,0,45,0,45,0,0
15,15.679515838623047,11.832429885864258,5.643856048583984,9.267472267150879,8.234211921691895,11.142366409301758,11.323949813842773,11.15701675415039,0,45,0,45,0,0
16,16.695953369140625,11.441564559936523,6.727827072143555,9.3720121383667,9.267695426940918,11.238154411315918,12.349604606628418,11.31606388092041,0,45,0,45,0,0
17,17.712390899658203,11.050699234008789,7.811798095703125,9.47655200958252,10.305219650268555,11.266565322875977,13.3870849609375,11.346020698547363,0,45,0,45,0,0
18,18.413494110107422,10.78109359741211,8.895769119262695,9.58109188079834,11.342692375183105,11.236330032348633,14.422587394714355,11.27531909942627,0,45,0,45,0,0
19,18.732847213745117,10.65828800201416,9.979740142822266,9.68563175201416,12.378460884094238,11.169644355773926,15.452632904052734,11.147760391235352,0,45,0,45,0,0
20,18.878311157226562,10.602350234985352,11.063711166381836,9.79017162322998,13.413029670715332,11.086389541625977,16.47917938232422,10.994579315185547,0,45,0,45,0,0
