condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,blue_score,red_score,score_margin,strategy_switches,strategy_resamples,strategy_unique_count,strategy_entropy_mean,strategy_dominant,checkpoint
learned_qphi_switching,learned_router,OP8,map_b,9000,24,3588524931,-3.6890480337606277,1,134,3,1,2,1,5,2,1.385610951416528,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,0,1016020432,-1.6981166541518178,1,119,3,1,2,2,4,2,1.3856133973899007,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,1,3977254452,-1.6976504492631648,1,85,3,2,1,1,3,2,1.3856782296124626,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,2,166971756,-7.35512152640149,1,197,3,0,3,3,7,2,1.3854239368196672,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,3,758984956,-1.2266542222350836,1,119,3,0,3,1,4,2,1.3855378237091194,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,4,1384147215,-2.3370035449333955,1,94,3,1,2,1,3,2,1.3857011059497266,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,5,3467558512,-3.3208978472976014,1,132,3,0,3,0,5,1,1.385510313691515,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,6,1862507479,-3.014191643538652,1,125,3,0,3,1,4,2,1.3855419416427612,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,7,779818389,-2.478203561156988,1,115,3,0,3,1,4,2,1.3856332820394766,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,8,485061299,-4.231401940342039,1,147,3,1,2,0,5,1,1.3854221113685037,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,9,4067586421,-3.1192324584990274,1,124,3,1,2,1,4,2,1.3854813008539137,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,10,3126833638,-5.808498495258391,0,134,2,3,-1,1,5,2,1.3855603808787331,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,11,1171708654,-5.752553706028266,1,172,3,0,3,2,6,2,1.3855480073496353,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,12,3986194061,-0.6542779475275893,1,96,3,0,3,0,3,1,1.3857040107250214,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,13,412842439,-11.73820770974271,1,271,3,1,2,3,9,2,1.3854354813529997,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,14,571949723,-3.6649474190780893,1,115,3,0,3,0,4,1,1.3855254733044169,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,15,1891285091,-7.165262720925966,1,192,3,0,3,2,6,2,1.3854021516939004,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,16,1025218534,-0.6704074403678533,1,96,3,1,2,0,3,1,1.385711385558049,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,17,2694238768,-5.28160685140756,1,176,3,0,3,4,6,2,1.3854533190077,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,18,952945613,-0.7582996390119661,1,89,3,0,3,0,3,1,1.3856784239243924,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,19,2468528603,-2.64362731523579,1,123,3,0,3,1,4,2,1.3855307615869414,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,20,2706217820,-2.260225049831206,1,109,3,0,3,2,4,2,1.3856071386862239,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,9100,21,1454424577,-10.47403974016197,1,256,3,0,3,2,8,2,1.3853971171192825,3,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
