condition,opponent,seed,environment_seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP8,9000,3931152401,0,0,0,3,-1,0,-0.011391503736376762,-0.1328558623790741,-0.10580898821353912,0.01804334670305252,0.2614107131958008,0.23151126503944397,0.2378583550453186,0.26921969652175903
learned_qphi_switching,OP8,9000,3931152401,0,1,32,3,3,0,-0.04503092169761658,-0.08104133605957031,-0.027391551062464714,-0.01261834055185318,0.24904309213161469,0.24023449420928955,0.25347501039505005,0.2572474479675293
learned_qphi_switching,OP8,9000,3931152401,0,2,64,3,3,0,-0.00327950157225132,-0.08279819786548615,-0.11691367626190186,0.002047412097454071,0.2616782784461975,0.24167579412460327,0.23356997966766357,0.26307594776153564
learned_qphi_switching,OP8,9000,3931152401,0,3,96,3,3,0,0.014208326116204262,-0.06671001762151718,-0.10050936043262482,0.016142725944519043,0.26206666231155396,0.24169595539569855,0.23366332054138184,0.26257410645484924
learned_qphi_switching,OP8,9000,3931152401,0,4,128,3,3,0,-0.02240615151822567,-0.08981902152299881,-0.05582386255264282,-0.015877418220043182,0.2558530271053314,0.2391737550497055,0.2474443018436432,0.2575289011001587
learned_qphi_switching,OP8,9000,3931152401,0,5,160,0,3,1,0.009390376508235931,-0.06802483648061752,-0.07005278766155243,-0.009346552193164825,0.2610575258731842,0.24161016941070557,0.24112066626548767,0.25621163845062256
learned_qphi_switching,OP8,9000,3931152401,0,6,192,3,0,1,-0.03487113118171692,-0.0857941210269928,-0.060937635600566864,-0.01116645336151123,0.25325366854667664,0.24068011343479156,0.246737539768219,0.259328693151474
learned_qphi_switching,OP8,9000,3931152401,0,7,224,3,3,0,-0.036866962909698486,-0.08549504727125168,-0.05705854296684265,-0.0013890340924263,0.2519741654396057,0.24001429975032806,0.24693742394447327,0.26107415556907654
learned_qphi_switching,OP8,9001,4133960357,1,0,0,3,-1,0,0.016535332426428795,-0.10708379000425339,-0.0990530252456665,0.028663530945777893,0.26407796144485474,0.23337002098560333,0.23525170981884003,0.26730024814605713
learned_qphi_switching,OP8,9001,4133960357,1,1,32,3,3,0,-0.040834084153175354,-0.07965593039989471,-0.027928976342082024,-0.01473747193813324,0.24991559982299805,0.2403993308544159,0.2531616687774658,0.25652340054512024
learned_qphi_switching,OP8,9001,4133960357,1,2,64,3,3,0,-0.04154808074235916,-0.09755580872297287,-0.046825110912323,-0.01553470641374588,0.2521035969257355,0.23837196826934814,0.2507767379283905,0.2587476968765259
learned_qphi_switching,OP8,9001,4133960357,1,3,96,3,3,0,-0.03421033173799515,-0.07414855062961578,-0.033410221338272095,0.032467857003211975,0.24810196459293365,0.23838847875595093,0.24830056726932526,0.2652089595794678
learned_qphi_switching,OP8,9002,2168068180,2,0,0,0,-1,0,0.030738728120923042,-0.09809400141239166,-0.08213645964860916,0.024840839207172394,0.2654982805252075,0.23340512812137604,0.23715956509113312,0.2639370262622833
learned_qphi_switching,OP8,9002,2168068180,2,1,32,3,0,1,-0.03802434355020523,-0.06572439521551132,-0.10496982932090759,0.006651304662227631,0.2529330849647522,0.24602296948432922,0.23655471205711365,0.2644892632961273
learned_qphi_switching,OP8,9002,2168068180,2,2,64,3,3,0,-0.044760748744010925,-0.09790773689746857,-0.04184523969888687,-0.002693161368370056,0.2503677010536194,0.2374088317155838,0.25109872221946716,0.26112475991249084
learned_qphi_switching,OP8,9002,2168068180,2,3,96,3,3,0,-0.030734358355402946,-0.08442704379558563,-0.03294450044631958,0.031597815454006195,0.24938702583312988,0.2363499104976654,0.2488364726305008,0.2654265761375427
learned_qphi_switching,OP8,9003,1198698609,3,0,0,0,-1,0,0.03403491526842117,-0.09218258410692215,-0.08119167387485504,0.01341170072555542,0.26651206612586975,0.23490989208221436,0.23750600218772888,0.2610720098018646
learned_qphi_switching,OP8,9003,1198698609,3,1,32,0,0,0,0.019160224124789238,-0.05147412791848183,-0.09627842158079147,0.00504235178232193,0.2625527083873749,0.24464727938175201,0.23392796516418457,0.25887203216552734
learned_qphi_switching,OP8,9003,1198698609,3,2,64,3,0,1,-0.0038254428654909134,-0.0423869714140892,-0.09203657507896423,0.020392119884490967,0.2562622129917145,0.2465684413909912,0.23462536931037903,0.26254400610923767
learned_qphi_switching,OP8,9003,1198698609,3,3,96,0,3,1,0.015218248590826988,-0.06705131381750107,-0.09907597303390503,0.003188297152519226,0.26308444142341614,0.24230697751045227,0.23467011749744415,0.259938508272171
learned_qphi_switching,OP8,9003,1198698609,3,4,128,3,0,1,-0.008277295157313347,-0.06808699667453766,-0.11310495436191559,0.014569789171218872,0.2586964964866638,0.24367755651474,0.23295094072818756,0.26467499136924744
learned_qphi_switching,OP8,9003,1198698609,3,5,160,3,3,0,-0.04615310579538345,-0.07409697771072388,-0.04571252316236496,-0.014589376747608185,0.249690979719162,0.2428102344274521,0.24980099499225616,0.25769785046577454
learned_qphi_switching,OP8,9004,1809413231,4,0,0,3,-1,0,0.0009050257503986359,-0.10947535932064056,-0.11566823720932007,0.007947087287902832,0.26367655396461487,0.23612062633037567,0.23466289043426514,0.2655399441719055
learned_qphi_switching,OP8,9004,1809413231,4,1,32,3,3,0,-0.04297211021184921,-0.07321727275848389,-0.029940282925963402,-0.014252528548240662,0.24922363460063934,0.24179866909980774,0.2524926960468292,0.2564849853515625
learned_qphi_switching,OP8,9004,1809413231,4,2,64,3,3,0,0.006994748488068581,-0.06433753669261932,-0.09671884030103683,0.0355653315782547,0.2589587867259979,0.24113009870052338,0.23344705998897552,0.26646408438682556
learned_qphi_switching,OP8,9004,1809413231,4,3,96,3,3,0,-0.038440681993961334,-0.06446634978055954,-0.05536429584026337,0.012141570448875427,0.2494131177663803,0.24300572276115417,0.24522767961025238,0.2623535096645355
learned_qphi_switching,OP8,9004,1809413231,4,4,128,3,3,0,-0.01331888698041439,-0.09048236906528473,-0.13063454627990723,0.025435462594032288,0.2594331204891205,0.24016724526882172,0.23071502149105072,0.26968464255332947
learned_qphi_switching,OP8,9004,1809413231,4,5,160,3,3,0,-0.039458394050598145,-0.09676972031593323,-0.037101686000823975,0.027508273720741272,0.24900899827480316,0.23513919115066528,0.24959653615951538,0.26625531911849976
learned_qphi_switching,OP8,9005,2369751177,5,0,0,0,-1,0,0.017845913767814636,-0.09813102334737778,-0.0969226062297821,0.013786867260932922,0.2646890878677368,0.23570451140403748,0.235989511013031,0.2636168599128723
learned_qphi_switching,OP8,9005,2369751177,5,1,32,3,0,1,-0.043479494750499725,-0.07877209782600403,-0.03326036036014557,-0.021282002329826355,0.2501225471496582,0.2414490431547165,0.25269171595573425,0.25573673844337463
learned_qphi_switching,OP8,9005,2369751177,5,2,64,0,3,1,0.014879383146762848,-0.06964590400457382,-0.10303285717964172,0.01423826813697815,0.2626683712005615,0.24137870967388153,0.23345285654067993,0.2625000476837158
learned_qphi_switching,OP8,9005,2369751177,5,3,96,0,0,0,0.028547272086143494,-0.08153409510850906,-0.08929698914289474,0.014822959899902344,0.26518410444259644,0.23754166066646576,0.23570479452610016,0.2615694999694824
learned_qphi_switching,OP8,9005,2369751177,5,4,128,3,0,1,-0.019884886220097542,-0.06706515699625015,-0.03826113045215607,0.03562115132808685,0.250451922416687,0.23890994489192963,0.24589157104492188,0.2647465467453003
learned_qphi_switching,OP8,9005,2369751177,5,5,160,3,3,0,-0.04419100284576416,-0.08483730256557465,-0.05833316594362259,-0.023382622748613358,0.25206997990608215,0.24202969670295715,0.24853025376796722,0.25737008452415466
learned_qphi_switching,OP8,9006,2634179127,6,0,0,0,-1,0,0.031900063157081604,-0.1047874242067337,-0.09503978490829468,0.021489031612873077,0.26718875765800476,0.23305347561836243,0.2353362888097763,0.2644214630126953
learned_qphi_switching,OP8,9006,2634179127,6,1,32,3,0,1,-0.0364435613155365,-0.08772017061710358,-0.03267620503902435,-0.01735161617398262,0.25169479846954346,0.23911406099796295,0.252644807100296,0.2565463185310364
learned_qphi_switching,OP8,9006,2634179127,6,2,64,3,3,0,-0.03364360332489014,-0.09640612453222275,-0.05302736163139343,-0.02122526988387108,0.25429341197013855,0.23882384598255157,0.2494117021560669,0.2574709951877594
learned_qphi_switching,OP8,9006,2634179127,6,3,96,3,3,0,-0.010644955560564995,-0.03585737943649292,-0.07739762961864471,0.010320045053958893,0.25434190034866333,0.24800948798656464,0.2379181683063507,0.2597304582595825
learned_qphi_switching,OP8,9007,1959344709,7,0,0,3,-1,0,0.0005093719810247421,-0.10731348395347595,-0.11642254889011383,0.014201641082763672,0.26307350397109985,0.23618388175964355,0.234042227268219,0.2667003571987152
learned_qphi_switching,OP8,9007,1959344709,7,1,32,3,3,0,-0.04607992619276047,-0.07309890538454056,-0.030951863154768944,-0.01198655366897583,0.24855421483516693,0.24192845821380615,0.25234293937683105,0.25717437267303467
learned_qphi_switching,OP8,9007,1959344709,7,2,64,3,3,0,-0.009222080931067467,-0.05247101932764053,-0.0714261531829834,0.03299253433942795,0.25377604365348816,0.2430344521999359,0.23847109079360962,0.2647184431552887
learned_qphi_switching,OP8,9007,1959344709,7,3,96,3,3,0,0.013924145139753819,-0.07367736846208572,-0.10082289576530457,0.024540692567825317,0.2618904411792755,0.2399246096611023,0.23349933326244354,0.26468563079833984
learned_qphi_switching,OP8,9008,307956145,8,0,0,0,-1,0,0.03449123725295067,-0.10459873825311661,-0.08943243324756622,0.01353009045124054,0.2678915560245514,0.23310577869415283,0.23666805028915405,0.2623346745967865
learned_qphi_switching,OP8,9008,307956145,8,1,32,3,0,1,-0.045679181814193726,-0.07629057765007019,-0.02979709394276142,-0.016608279198408127,0.24904374778270721,0.24153566360473633,0.2530306577682495,0.25638994574546814
learned_qphi_switching,OP8,9008,307956145,8,2,64,3,3,0,0.007673284038901329,-0.04970867931842804,-0.10244202613830566,0.016998253762722015,0.2597852647304535,0.24529792368412018,0.23269766569137573,0.262219101190567
learned_qphi_switching,OP8,9008,307956145,8,3,96,0,3,1,0.018234096467494965,-0.0504743829369545,-0.08028081059455872,0.011425495147705078,0.2608925700187683,0.24356898665428162,0.23641619086265564,0.2591222822666168
learned_qphi_switching,OP8,9008,307956145,8,4,128,3,0,1,-0.039571166038513184,-0.0596507266163826,-0.06093049794435501,-0.029606617987155914,0.25195249915122986,0.24694384634494781,0.2466280162334442,0.2544756233692169
learned_qphi_switching,OP8,9008,307956145,8,5,160,3,3,0,-0.0012244079262018204,-0.04615573585033417,-0.07550961524248123,0.049281045794487,0.2540474534034729,0.24288538098335266,0.23585937917232513,0.2672077417373657
learned_qphi_switching,OP8,9009,2260348611,9,0,0,3,-1,0,0.004791373386979103,-0.12260725349187851,-0.09734465181827545,0.014552101492881775,0.2636367380619049,0.2321012169122696,0.23803940415382385,0.26622262597084045
learned_qphi_switching,OP8,9009,2260348611,9,1,32,3,3,0,-0.013878727331757545,-0.09275345504283905,-0.099903404712677,0.010371185839176178,0.25864696502685547,0.23903006315231323,0.23732711374759674,0.264995813369751
learned_qphi_switching,OP8,9009,2260348611,9,2,64,3,3,0,-0.04558864235877991,-0.07678008079528809,-0.027776019647717476,-0.006269142031669617,0.24830131232738495,0.24067598581314087,0.2527638375759125,0.2582588791847229
learned_qphi_switching,OP8,9009,2260348611,9,3,96,3,3,0,-0.00809597410261631,-0.0780123621225357,-0.10727901756763458,0.04927662014961243,0.25660112500190735,0.2392733246088028,0.23237206041812897,0.2717535197734833
learned_qphi_switching,OP8,9009,2260348611,9,4,128,3,3,0,-0.00024855323135852814,-0.09727887809276581,-0.09954831004142761,0.03268083930015564,0.25997814536094666,0.23593756556510925,0.23540271818637848,0.2686815559864044
learned_qphi_switching,OP8,9009,2260348611,9,5,160,3,3,0,0.008485736325383186,-0.09081044793128967,-0.08617331087589264,0.033247388899326324,0.26040118932724,0.23578664660453796,0.2368825376033783,0.26692965626716614
learned_qphi_switching,OP8,9009,2260348611,9,6,192,3,3,0,-0.04981093853712082,-0.1000891625881195,-0.04534386843442917,0.015306979417800903,0.24858759343624115,0.23639805614948273,0.24970054626464844,0.2653137743473053
learned_qphi_switching,OP8,9010,164305612,10,0,0,3,-1,0,0.014339642599225044,-0.11146233975887299,-0.1053270697593689,0.015154719352722168,0.2652646005153656,0.23390750586986542,0.23534703254699707,0.2654809057712555
learned_qphi_switching,OP8,9010,164305612,10,1,32,3,3,0,-0.05463375151157379,-0.07170411199331284,-0.046932779252529144,-0.023909833282232285,0.24863214790821075,0.24442392587661743,0.25055423378944397,0.25638964772224426
learned_qphi_switching,OP8,9010,164305612,10,2,64,3,3,0,-0.01231672428548336,-0.09467222541570663,-0.1134936660528183,0.039526209235191345,0.2578696608543396,0.2374836504459381,0.23305566608905792,0.2715909779071808
learned_qphi_switching,OP8,9011,323063123,11,0,0,0,-1,0,0.03650287911295891,-0.09677159786224365,-0.08088889718055725,0.02172311395406723,0.2666815519332886,0.23340633511543274,0.23714305460453033,0.26276904344558716
learned_qphi_switching,OP8,9011,323063123,11,1,32,3,0,1,-0.018084144219756126,-0.08808432519435883,-0.11253273487091064,0.005689382553100586,0.2586434483528137,0.24115748703479767,0.23533307015895844,0.2648659646511078
learned_qphi_switching,OP8,9011,323063123,11,2,64,3,3,0,-0.011733142659068108,-0.0793338492512703,-0.08780509233474731,0.030405357480049133,0.25611984729766846,0.23937822878360748,0.237358957529068,0.2671429514884949
learned_qphi_switching,OP8,9011,323063123,11,3,96,3,3,0,-0.04393218457698822,-0.0879858136177063,-0.03509354591369629,-0.006034910678863525,0.24972499907016754,0.23896251618862152,0.2519420087337494,0.25937050580978394
learned_qphi_switching,OP8,9012,2408712126,12,0,0,0,-1,0,0.021094894036650658,-0.10874497145414352,-0.10442985594272614,0.013386353850364685,0.26648253202438354,0.23403456807136536,0.2350466400384903,0.2644362449645996
learned_qphi_switching,OP8,9012,2408712126,12,1,32,3,0,1,-0.04905513674020767,-0.07343754917383194,-0.046491123735904694,-0.022043783217668533,0.24963434040546417,0.24362125992774963,0.25027522444725037,0.256469190120697
learned_qphi_switching,OP8,9012,2408712126,12,2,64,3,3,0,-0.03683387488126755,-0.09090098738670349,-0.03815972059965134,0.0015539005398750305,0.2509298324584961,0.23772303760051727,0.25059735774993896,0.2607497572898865
learned_qphi_switching,OP8,9012,2408712126,12,3,96,3,3,0,-0.047416649758815765,-0.10951241850852966,-0.040294893085956573,-0.0012322664260864258,0.2503625452518463,0.23528894782066345,0.2521519362926483,0.2621965706348419
learned_qphi_switching,OP8,9013,3285696593,13,0,0,3,-1,0,0.016733869910240173,-0.10108450055122375,-0.09512612968683243,0.024986445903778076,0.2637608051300049,0.23444579541683197,0.2358468770980835,0.26594653725624084
learned_qphi_switching,OP8,9013,3285696593,13,1,32,3,3,0,-0.0372520312666893,-0.061212267726659775,-0.10261109471321106,0.004141852259635925,0.25282418727874756,0.24683843553066254,0.2368282526731491,0.2635091543197632
learned_qphi_switching,OP8,9013,3285696593,13,2,64,3,3,0,-0.014346962794661522,-0.07692232728004456,-0.09349408745765686,0.03176309913396835,0.2557259500026703,0.24021421372890472,0.23626622557640076,0.26779356598854065
learned_qphi_switching,OP8,9014,941609525,14,0,0,3,-1,0,0.0017948132008314133,-0.1152816042304039,-0.11492830514907837,0.017468109726905823,0.26349449157714844,0.23438289761543274,0.23446571826934814,0.2676568627357483
learned_qphi_switching,OP8,9014,941609525,14,1,32,3,3,0,-0.05418046563863754,-0.059753336012363434,-0.03376238793134689,-0.021107889711856842,0.24699309468269348,0.245620459318161,0.2520880401134491,0.255298376083374
learned_qphi_switching,OP8,9014,941609525,14,2,64,3,3,0,-0.020945629104971886,-0.06694062799215317,-0.11276179552078247,0.006255730986595154,0.256746381521225,0.24520480632781982,0.23422275483608246,0.2638261020183563
learned_qphi_switching,OP8,9014,941609525,14,3,96,3,3,0,0.01812966726720333,-0.0557825081050396,-0.09793607890605927,0.024135805666446686,0.26142463088035583,0.24279898405075073,0.23277686536312103,0.2629995346069336
learned_qphi_switching,OP8,9014,941609525,14,4,128,3,3,0,0.008162660524249077,-0.08569071441888809,-0.07056882977485657,0.03483104705810547,0.25895121693611145,0.2357533723115921,0.2393454909324646,0.26594990491867065
