condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,2706217820,9100,20,,,0,0,0,nan,-2.260225049831206,3,109,2,4,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1454424577,9100,21,,,0,0,0,nan,-10.47403974016197,3,256,2,8,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,759229268,9100,22,,,0,0,0,nan,-1.3185047882143408,3,88,1,3,2
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,787145470,9100,23,,,0,0,0,nan,-0.301822673965944,3,94,0,3,1
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,1534052061,9100,24,,,0,0,0,nan,-1.1221826442633756,3,92,1,3,2
learned_qphi_switching,learned_router,OP9,map_b,1571581885,10000,0,3,3 3 3,3,0,0,1.3853803571474328,-1.6946705025620759,3,96,0,3,1
learned_qphi_switching,learned_router,OP9,map_b,1410574743,10000,1,,,0,0,0,nan,-7.087008946400601,3,173,1,6,2
learned_qphi_switching,learned_router,OP9,map_b,256972946,10000,2,,,0,0,0,nan,-2.302092158875894,3,97,0,4,1
learned_qphi_switching,learned_router,OP9,map_b,2462631693,10000,3,,,0,0,0,nan,-4.115497804188635,2,132,2,5,2
learned_qphi_switching,learned_router,OP9,map_b,4106232906,10000,4,,,0,0,0,nan,-16.050294202956138,3,320,5,10,2
learned_qphi_switching,learned_router,OP9,map_b,2858806481,10000,5,,,0,0,0,nan,-7.714651641435921,3,203,6,7,2
learned_qphi_switching,learned_router,OP9,map_b,869411656,10000,6,,,0,0,0,nan,-7.291685749805765,3,205,3,7,2
learned_qphi_switching,learned_router,OP9,map_b,3850081587,10000,7,,,0,0,0,nan,-10.187874730676413,3,229,2,8,2
learned_qphi_switching,learned_router,OP9,map_b,3983444188,10000,8,,,0,0,0,nan,-0.8203823355433997,2,89,1,3,2
learned_qphi_switching,learned_router,OP9,map_b,1945422716,10000,9,,,0,0,0,nan,-1.8288475221488625,3,114,1,4,2
learned_qphi_switching,learned_router,OP9,map_b,2618297035,10000,10,,,0,0,0,nan,-4.84452418339788,3,168,2,6,2
learned_qphi_switching,learned_router,OP9,map_b,168181656,10000,11,,,0,0,0,nan,-3.526829052483663,3,129,0,5,1
learned_qphi_switching,learned_router,OP9,map_b,2751692655,10000,12,,,0,0,0,nan,-0.16865094311651774,3,87,1,3,2
learned_qphi_switching,learned_router,OP9,map_b,3533364987,10000,13,,,0,0,0,nan,-1.0111653416242916,3,89,0,3,1
learned_qphi_switching,learned_router,OP9,map_b,3696954700,10000,14,,,0,0,0,nan,-3.5068367634667084,3,143,0,5,1
learned_qphi_switching,learned_router,OP9,map_b,97240852,10000,15,,,0,0,0,nan,-5.907517818035558,3,181,0,6,1
learned_qphi_switching,learned_router,OP9,map_b,1088152244,10000,16,,,0,0,0,nan,-3.6510638221225236,3,133,0,5,1
learned_qphi_switching,learned_router,OP9,map_b,1635147931,10000,17,,,0,0,0,nan,-3.9188413635420147,3,148,0,5,1
learned_qphi_switching,learned_router,OP9,map_b,1659767271,10000,18,,,0,0,0,nan,-3.733358023193432,3,131,3,5,2
learned_qphi_switching,learned_router,OP9,map_b,48445523,10000,19,,,0,0,0,nan,0.24241002308554016,3,85,1,3,2
learned_qphi_switching,learned_router,OP9,map_b,1705765383,10000,20,,,0,0,0,nan,-2.699790161830606,3,123,2,4,2
learned_qphi_switching,learned_router,OP9,map_b,2017063582,10000,21,,,0,0,0,nan,-1.4420680580369662,3,100,1,4,2
learned_qphi_switching,learned_router,OP9,map_b,3825955673,10000,22,,,0,0,0,nan,-1.609963059599977,2,100,1,4,2
learned_qphi_switching,learned_router,OP9,map_b,3283652201,10000,23,,,0,0,0,nan,-3.6884410515776835,2,119,0,4,1
learned_qphi_switching,learned_router,OP9,map_b,691803763,10000,24,,,0,0,0,nan,-2.115141981339548,3,121,2,4,2
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,337479914,10100,0,0,0 3 3 3,4,1,1,1.385125927864049,-2.496843261644244,2,104,1,4,2
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,1527337745,10100,1,,,0,0,0,nan,-2.1961913599225227,3,98,0,4,1
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,1469197146,10100,2,,,0,0,0,nan,-10.589765858661849,2,222,0,7,1
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,122884003,10100,3,,,0,0,0,nan,-7.156505043094512,2,189,3,6,2
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,2756714070,10100,4,,,0,0,0,nan,-1.614552731247386,2,103,0,4,1
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,2495162641,10100,5,,,0,0,0,nan,-1.2380372878687922,3,93,1,3,2
learned_qphi_switching,learned_router,OP9,map_b_split_lane_v2,2464678320,10100,6,,,0,0,0,nan,-0.9388466355449054,2,89,1,3,2
