policy_id,diversity_condition,opponent,eval_seed,win,loss,draw,score_margin,blue_score,red_score,seen_in_training,arm,train_seed
vgc_d1_seed3600001,D1,OP6,9200056,1,0,0,1.0,3.0,2.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP6,9200057,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP6,9200058,1,0,0,1.0,3.0,2.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP6,9200059,1,0,0,2.0,3.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200000,0,1,0,-1.0,0.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200001,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200002,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200003,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200004,1,0,0,2.0,3.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200005,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200006,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200007,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200008,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200009,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200010,1,0,0,3.0,3.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200011,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200012,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200013,0,0,1,0.0,1.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200014,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200015,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200016,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200017,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200018,0,0,1,0.0,1.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200019,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200020,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200021,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200022,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200023,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200024,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200025,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200026,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200027,1,0,0,1.0,3.0,2.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200028,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200029,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200030,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200031,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200032,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200033,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200034,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200035,1,0,0,2.0,3.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200036,1,0,0,3.0,3.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200037,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200038,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200039,0,0,1,0.0,1.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200040,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200041,0,1,0,-1.0,0.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200042,0,0,1,0.0,1.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200043,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200044,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200045,0,0,1,0.0,1.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200046,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200047,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200048,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200049,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200050,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200051,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200052,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200053,1,0,0,1.0,2.0,1.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200054,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200055,0,1,0,-1.0,2.0,3.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200056,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200057,1,0,0,3.0,3.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200058,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP7,9200059,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200000,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200001,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200002,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200003,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200004,0,0,1,0.0,0.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200005,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200006,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200007,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200008,1,0,0,1.0,1.0,0.0,False,PRIMARY,3600001
vgc_d1_seed3600001,D1,OP8,9200009,1,0,0,2.0,2.0,0.0,False,PRIMARY,3600001
