condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP5,2000,0,0,0,3,-1,0,-0.14622081816196442,0.04615989327430725,-0.0012316033244132996,0.12350258231163025,0.21377748250961304,0.2591265141963959,0.2471325695514679,0.2799634635448456
learned_qphi_switching,OP5,2000,0,1,32,3,3,0,-0.09000839293003082,0.056873224675655365,-0.045896872878074646,0.0679032951593399,0.22860388457775116,0.264772891998291,0.23891369998455048,0.26770952343940735
learned_qphi_switching,OP5,2000,0,2,64,1,3,1,-0.013284357264637947,0.06595073640346527,-0.04514577239751816,-0.01085156574845314,0.24669823050498962,0.2670406699180603,0.23896197974681854,0.24729913473129272
learned_qphi_switching,OP5,2000,0,3,96,3,1,1,-0.05680617690086365,0.002928231842815876,-0.015072640031576157,0.06035259738564491,0.23649221658706665,0.2510493993759155,0.24657070636749268,0.26588770747184753
learned_qphi_switching,OP5,2001,0,0,0,3,3,0,-0.14136545360088348,0.05009235814213753,-0.0008490532636642456,0.11395633220672607,0.21492624282836914,0.2602786421775818,0.2473517507314682,0.2774433493614197
learned_qphi_switching,OP5,2001,0,1,32,1,3,1,-0.09388640522956848,0.04900268092751503,-0.03416096419095993,0.04751889035105705,0.2289881557226181,0.2641611397266388,0.2430812269449234,0.2637694776058197
learned_qphi_switching,OP5,2001,0,2,64,1,1,0,-0.014422453939914703,0.08450529724359512,-0.008821755647659302,0.04681243374943733,0.23965001106262207,0.2645703852176666,0.24099600315093994,0.25478360056877136
learned_qphi_switching,OP5,2001,0,3,96,3,1,1,-0.058543991297483444,0.06000068783760071,-0.05757687985897064,0.07824727892875671,0.23400497436523438,0.26345616579055786,0.2342313975095749,0.26830747723579407
learned_qphi_switching,OP5,2001,0,4,128,3,3,0,-0.08281607925891876,0.018053408712148666,-0.06005393713712692,0.08340899646282196,0.2320188730955124,0.2566435635089874,0.23736070096492767,0.2739769220352173
learned_qphi_switching,OP5,2001,0,5,160,3,3,0,-0.03237341344356537,-0.0013792691752314568,-0.06625379621982574,0.031767215579748154,0.2460382580757141,0.25378337502479553,0.23784200847148895,0.262336403131485
qphi_initial_only_no_switch,OP5,2000,0,0,0,3,-1,0,-0.14622081816196442,0.04615989327430725,-0.0012316033244132996,0.12350258231163025,0.21377748250961304,0.2591265141963959,0.2471325695514679,0.2799634635448456
qphi_initial_only_no_switch,OP5,2001,0,0,0,3,3,0,-0.14136545360088348,0.05009235814213753,-0.0008490532636642456,0.11395633220672607,0.21492624282836914,0.2602786421775818,0.2473517507314682,0.2774433493614197
shuffled_qphi_outputs,OP5,2000,0,0,0,3,-1,0,-0.09000839293003082,0.056873224675655365,-0.045896872878074646,0.0679032951593399,0.22860388457775116,0.264772891998291,0.23891369998455048,0.26770952343940735
shuffled_qphi_outputs,OP5,2000,0,1,32,3,3,0,-0.09000839293003082,0.056873224675655365,-0.045896872878074646,0.0679032951593399,0.22860388457775116,0.264772891998291,0.23891369998455048,0.26770952343940735
shuffled_qphi_outputs,OP5,2000,0,2,64,3,3,0,-0.03237341344356537,-0.0013792691752314568,-0.06625379621982574,0.031767215579748154,0.2460382580757141,0.25378337502479553,0.23784200847148895,0.262336403131485
shuffled_qphi_outputs,OP5,2000,0,3,96,3,3,0,-0.058543991297483444,0.06000068783760071,-0.05757687985897064,0.07824727892875671,0.23400497436523438,0.26345616579055786,0.2342313975095749,0.26830747723579407
shuffled_qphi_outputs,OP5,2001,0,0,0,3,3,0,-0.03237341344356537,-0.0013792691752314568,-0.06625379621982574,0.031767215579748154,0.2460382580757141,0.25378337502479553,0.23784200847148895,0.262336403131485
shuffled_qphi_outputs,OP5,2001,0,1,32,3,3,0,-0.08281607925891876,0.018053408712148666,-0.06005393713712692,0.08340899646282196,0.2320188730955124,0.2566435635089874,0.23736070096492767,0.2739769220352173
shuffled_qphi_outputs,OP5,2001,0,2,64,3,3,0,-0.058543991297483444,0.06000068783760071,-0.05757687985897064,0.07824727892875671,0.23400497436523438,0.26345616579055786,0.2342313975095749,0.26830747723579407
shuffled_qphi_outputs,OP5,2001,0,3,96,3,3,0,-0.03237341344356537,-0.0013792691752314568,-0.06625379621982574,0.031767215579748154,0.2460382580757141,0.25378337502479553,0.23784200847148895,0.262336403131485
