condition,condition_display,opponent,map,cell_seed,episode_index,episode_seed,return,success,steps,checkpoint
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,2,4344,-1.170248706737766,1,98,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,3,4345,-1.392311868374236,1,95,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,4,4346,-7.687855884665623,1,187,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,5,4347,-0.45404987075016834,1,84,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,6,4348,-3.1256785328732803,1,128,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,7,4349,-0.8518003082135692,1,85,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,8,4350,-1.565228708583163,1,105,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,9,4351,-1.9121601900551468,1,111,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,10,4352,-0.7976142475672532,1,88,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,11,4353,-8.673358532076236,1,215,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,12,4354,-13.110092756367521,1,316,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,13,4355,-11.944340863119578,1,251,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,14,4356,-6.875969254615484,1,164,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,15,4357,-8.20388367533451,1,193,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,16,4358,-0.9527166718326043,1,88,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,17,4359,-2.466636833793018,1,120,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,18,4360,-2.189808468276169,1,105,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,19,4361,-0.7278681459720246,1,84,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,20,4362,0.2842398864449933,1,71,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,21,4363,-1.6912173113669269,1,94,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,22,4364,-0.7555647164117545,1,88,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,23,4365,-1.7223537686222699,1,98,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP8,map_b_split_lane_v2,4342,24,4366,-0.5711250672466122,1,78,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,0,5242,-3.109754211298423,1,146,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,1,5243,-1.753999596228823,1,101,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,2,5244,-0.58814048327622,1,93,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,3,5245,-3.388700069859624,1,131,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,4,5246,-1.018838139862055,1,104,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,5,5247,-1.5879075335687958,1,109,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,6,5248,-0.6663558045402169,1,92,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,7,5249,-1.2434518129739445,1,109,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,8,5250,-0.9240102246985771,1,103,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,9,5251,-5.89508188678883,1,166,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,10,5252,-0.6725674076005816,1,95,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,11,5253,-14.494887480686884,1,291,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,12,5254,-3.7127776668348815,1,130,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,13,5255,-1.9363133832230233,1,102,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
learned_qphi_switching,learned_router,OP9,map_b,5242,14,5256,-2.5857180347375106,1,133,checkpoints/2v2/final_v6i9-mapaware-router-feedforward-hardpool-refactor-r1-seed1-mechanism_2v2.zip
