checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,3,map_b,1,2042,2043,1,3,1,108,-1.7238433512102347,0.6800000071525574,1,2,38.0,5.778562192563657,neutral,3,win,0,0,7,0,0,0,2,3,2,2,0,3,0,2,12,62,142,216,216,0,34,108,0.5547440052032471,100.0,0.5,0.08725141343246731,1.037037037037037,0.25925925925925924,0.7037037037037037,0.48148148148148145,0.7803566957030583,1.253885782427258,0.14814814814814814,0.2111359348313676,0.2700028163725855,0.8476387196116977,0.7753129446948016,0.6944444444444444,0.4295129078959568,0.5092592592592593,0.009259259259259259,108.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,0,map_b_split_lane_v2,0,2142,2142,1,3,1,260,-13.072975405753823,0.6800000071525574,1,2,64.0,4.944137807992789,neutral,0,win,0,0,8,0,0,0,0,7,12,1,2,1,1,1,187,55,278,520,520,0,109,260,0.4811275899410248,100.0,0.5,0.11007229656769106,1.146153846153846,0.20384615384615384,0.6307692307692307,0.16923076923076924,1.0978128393037387,1.3923844053051793,0.15384615384615385,0.2536742514465004,0.27250922263528293,0.8328005254268647,0.6878798718635852,0.7403846153846154,-0.145006134345595,0.4115384615384615,0.023076923076923078,260.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,0,map_b_split_lane_v2,1,2142,2143,1,3,1,120,-3.6495565824443474,0.4399999976158142,0,2,32.0,5.160447692871093,neutral,0,win,2,2,2,0,0,0,0,0,6,0,3,0,2,0,112,0,128,240,240,0,59,120,0.5540599822998047,100.0,0.5,0.05814332169635842,1.3166666666666667,0.375,0.30833333333333335,0.375,0.8837366584377985,1.2355113590757052,0.36666666666666664,0.21684314554246764,0.24958596710736553,0.8359652116894722,0.7396595105528831,0.7354166666666667,-0.0128994142637963,0.5083333333333333,0.075,120.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,1,map_b_split_lane_v2,0,2142,2142,1,3,1,131,-3.7476074752630666,0.6399999856948853,0,2,61.0,5.793221743052243,neutral,1,win,1,1,4,0,0,0,1,3,4,3,2,1,0,1,51,66,145,262,262,0,35,131,0.2450437992811203,0.0,0.0,0.1190966120743342,1.0,0.16030534351145037,0.816793893129771,0.1984732824427481,0.9203221984492004,1.2653840697221173,0.17557251908396945,0.2346373981305661,0.2697264045078791,0.8557759200343649,0.7520217759008626,0.7156488549618321,0.21929696202187118,0.4198473282442748,0.022900763358778626,131.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,1,map_b_split_lane_v2,1,2142,2143,1,3,1,105,-2.5745031002443284,0.5199999809265137,0,2,32.0,4.809819975353423,neutral,1,win,3,3,5,0,0,0,3,2,4,1,2,1,2,0,71,13,126,210,210,0,48,105,0.5542373657226562,100.0,0.5,0.07589862657977002,1.2571428571428571,0.4,0.34285714285714286,0.3142857142857143,0.8317774035036564,1.1977272675150916,0.41904761904761906,0.20818706069673812,0.24462287638868604,0.8614562006223769,0.733836893808274,0.7142857142857143,-0.1598009646595802,0.4,0.0380952380952381,105.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,2,map_b_split_lane_v2,0,2142,2142,1,3,1,192,-6.80150595845771,0.6399999856948853,1,2,33.0,5.368172963460286,neutral,2,win,0,0,7,0,0,0,3,7,3,5,1,2,1,1,72,94,218,384,384,0,59,192,0.5192552208900452,100.0,0.5,0.11314622674156756,0.8229166666666666,0.2552083333333333,0.90625,0.16145833333333334,1.0331513174072218,1.3741708217033495,0.16666666666666666,0.25017137663477723,0.27402449135358137,0.8345933739716808,0.7273745213945707,0.6458333333333334,-0.08189802204669572,0.390625,0.052083333333333336,192.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,2,map_b_split_lane_v2,1,2142,2143,1,3,1,93,-0.46639197680633515,0.5199999809265137,1,2,32.0,5.826825541834677,neutral,2,win,0,0,9,0,0,0,4,1,3,1,3,0,3,0,83,14,89,186,186,0,18,93,0.5546054840087891,100.0,0.5,0.0939909439854404,0.8387096774193549,0.40860215053763443,0.7311827956989247,0.3010752688172043,0.7977648030125326,1.1663278740259908,0.3225806451612903,0.22211042503195425,0.24172176348586236,0.862889455210778,0.7607314804548858,0.6075268817204301,-0.22284273207447444,0.3333333333333333,0.0,93.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,3,map_b_split_lane_v2,0,2142,2142,1,3,0,172,-3.870382539811544,0.5999999642372131,0,3,74.0,5.08095887649891,neutral,3,win,1,1,8,0,0,0,5,2,8,1,2,1,0,0,155,21,168,344,344,0,64,172,0.5190808773040771,100.0,0.5,0.1069941806531143,0.9244186046511628,0.19767441860465115,0.8488372093023255,0.1744186046511628,1.058221162859957,1.5,0.0,0.25850120948107785,0.2699686621510705,0.8316010240205499,0.6770938437345416,0.6831395348837209,-0.22856484491535803,0.4127906976744186,0.06395348837209303,172.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP10,3,map_b_split_lane_v2,1,2142,2143,1,3,1,120,-3.5959632354206406,0.47999998927116394,0,2,32.0,5.272118123372396,neutral,3,win,2,2,2,0,0,0,0,0,6,0,3,0,2,0,118,0,122,240,240,0,53,120,0.5190081596374512,100.0,0.5,0.06215155150275677,1.225,0.30833333333333335,0.4666666666666667,0.35833333333333334,0.8917531180505951,1.2355113590757052,0.36666666666666664,0.22085137551960846,0.25120588671416044,0.8359652116894722,0.7403071155150731,0.7291666666666666,-0.11181504688240507,0.5166666666666667,0.03333333333333333,120.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts\v6i18_margin_tempo_surface_5u_seed1\final_v6i18_margin_tempo_surface_5u_seed1_2v2.zip,OP11,0,map_b,0,3042,3042,1,3,1,101,-1.5726866706099827,0.5999999642372131,1,2,35.0,6.08487331277073,neutral,0,win,0,0,0,0,0,0,0,4,1,3,1,2,0,2,17,47,138,202,202,0,36,101,0.5541610717773438,100.0,0.5,0.08458131008624735,1.0495049504950495,0.42574257425742573,0.4752475247524752,0.37623762376237624,0.7749064836540435,1.1437591722991207,0.40594059405940597,0.20774493959391177,0.2746942207438521,0.8617637127932936,0.8474718650968949,0.650990099009901,0.03802480900077985,0.31683168316831684,0.04950495049504951,101.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
