condition,condition_display,opponent,map,episode_seed,cell_seed,episode_index,initial_z,z_sequence,z_sequence_len,z_switches_at_opportunities,logged_switches,router_entropy_mean,return,score_margin,episode_length,strategy_switches,strategy_resamples,strategy_unique_count
learned_qphi_switching,learned_router,OP10,map_b_split_lane_v2,2887045483,15100,9,,,0,0,0,nan,-4.065343743975973,3,137,0,5,1
fixed_z2,fixed_z2,OP8,map_b,4179445,14000,0,2,2,1,0,0,nan,-2.0391641081369016,2,105,0,0,1
fixed_z2,fixed_z2,OP8,map_b,320145262,14000,1,2,2,1,0,0,nan,-5.437461850349791,2,152,0,0,1
fixed_z2,fixed_z2,OP8,map_b,175670965,14000,2,2,2,1,0,0,nan,-1.091760239098221,2,95,0,0,1
fixed_z2,fixed_z2,OP8,map_b,3309360977,14000,3,2,2,1,0,0,nan,-2.477936903364025,3,124,0,0,1
fixed_z2,fixed_z2,OP8,map_b,831158229,14000,4,2,2,1,0,0,nan,0.23942332074511796,3,98,0,0,1
fixed_z2,fixed_z2,OP8,map_b,2057729978,14000,5,2,2,1,0,0,nan,-2.9905039278964978,2,146,0,0,1
fixed_z2,fixed_z2,OP8,map_b,921379453,14000,6,2,2,1,0,0,nan,-0.2720361086539924,2,99,0,0,1
fixed_z2,fixed_z2,OP8,map_b,1059735358,14000,7,2,2,1,0,0,nan,-2.576291117875371,1,104,0,0,1
fixed_z2,fixed_z2,OP8,map_b,2140741734,14000,8,2,2,1,0,0,nan,-0.2791676846682094,3,90,0,0,1
fixed_z2,fixed_z2,OP8,map_b,3436750701,14000,9,2,2,1,0,0,nan,-8.194042041053763,2,216,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3030732559,14100,0,2,2,1,0,0,nan,-5.991608590935357,2,145,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3514442894,14100,1,2,2,1,0,0,nan,-0.6924806360621005,2,84,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,448673558,14100,2,2,2,1,0,0,nan,-2.8592481501109432,2,123,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,2496852945,14100,3,2,2,1,0,0,nan,-1.1121653285226785,1,83,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3445903776,14100,4,2,2,1,0,0,nan,-5.639742734609172,3,157,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,1269436864,14100,5,2,2,1,0,0,nan,-1.3635116773366462,3,98,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,3396241328,14100,6,2,2,1,0,0,nan,-8.88266104509239,3,220,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,222470533,14100,7,2,2,1,0,0,nan,-1.0662762917054351,3,98,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,1665388930,14100,8,2,2,1,0,0,nan,-5.63662365305936,2,147,0,0,1
fixed_z2,fixed_z2,OP8,map_b_split_lane_v2,2936868036,14100,9,2,2,1,0,0,nan,-3.4721577286545653,3,147,0,0,1
fixed_z2,fixed_z2,OP10,map_b,578142903,15000,0,2,2,1,0,0,nan,-2.39331706208759,2,108,0,0,1
fixed_z2,fixed_z2,OP10,map_b,501772131,15000,1,2,2,1,0,0,nan,-2.752166428777855,2,104,0,0,1
fixed_z2,fixed_z2,OP10,map_b,4233525847,15000,2,2,2,1,0,0,nan,-1.3369771235447843,2,107,0,0,1
fixed_z2,fixed_z2,OP10,map_b,3579978587,15000,3,2,2,1,0,0,nan,-6.920040094002616,3,187,0,0,1
fixed_z2,fixed_z2,OP10,map_b,3419609957,15000,4,2,2,1,0,0,nan,-2.262357278901618,2,113,0,0,1
fixed_z2,fixed_z2,OP10,map_b,2423076884,15000,5,2,2,1,0,0,nan,-3.166425957548199,3,134,0,0,1
fixed_z2,fixed_z2,OP10,map_b,875209815,15000,6,2,2,1,0,0,nan,-12.904121113271685,3,289,0,0,1
fixed_z2,fixed_z2,OP10,map_b,242205806,15000,7,2,2,1,0,0,nan,-1.259461943845963,3,97,0,0,1
fixed_z2,fixed_z2,OP10,map_b,468646078,15000,8,2,2,1,0,0,nan,-5.2262257522088476,3,158,0,0,1
fixed_z2,fixed_z2,OP10,map_b,1624504493,15000,9,2,2,1,0,0,nan,-1.9216925058863126,2,94,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,3260525628,15100,0,2,2,1,0,0,nan,-1.6827314707043115,2,89,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,1767454342,15100,1,2,2,1,0,0,nan,-1.6695754312095232,1,94,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,2347824886,15100,2,2,2,1,0,0,nan,-6.956268441746943,3,185,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,1680584694,15100,3,2,2,1,0,0,nan,-1.0514579840237275,2,96,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,2302916399,15100,4,2,2,1,0,0,nan,-2.2353993752622046,2,98,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,3681585533,15100,5,2,2,1,0,0,nan,-3.4236337272741366,2,117,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,414684652,15100,6,2,2,1,0,0,nan,-5.384973480977351,2,149,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,1823534743,15100,7,2,2,1,0,0,nan,-12.883583540824475,3,273,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,3135745173,15100,8,2,2,1,0,0,nan,-11.260384597233497,2,273,0,0,1
fixed_z2,fixed_z2,OP10,map_b_split_lane_v2,2887045483,15100,9,2,2,1,0,0,nan,-1.7459585460892413,3,117,0,0,1
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,4179445,14000,0,2,2 2 1 2,4,2,2,1.2407423347379583,-1.3368060605134815,3,106,2,4,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,320145262,14000,1,,,0,0,0,nan,-1.5328236246132292,2,100,2,4,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,175670965,14000,2,,,0,0,0,nan,-0.4847548106627073,3,94,2,3,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,3309360977,14000,3,,,0,0,0,nan,-1.406764453422511,3,103,3,4,3
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,831158229,14000,4,,,0,0,0,nan,-0.7099846437340602,2,97,2,4,2
uniform_random_at_router_opportunities,uniform_z,OP8,map_b,2057729978,14000,5,,,0,0,0,nan,0.4627736799593549,3,97,0,4,1
