policy_seed,opponent,eval_seed,episode_key,kind,failure_label,outcome_step,band,band_start_off,band_end_off,window_start,window_end,window_len,opp_has_carrier,score_stratum,none_forward_frac,mate_can_intervene,intervention_margin,carrier_pressure
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,71,earliest,-30,-20,41,51,10,True,tied,0.0,0.0,nan,0.08539668843150139
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,71,middle,-20,-10,51,61,10,False,tied,0.6,nan,nan,nan
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,71,latest,-10,0,61,71,10,False,tied,0.4,nan,nan,nan
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,76,earliest,-30,-20,46,56,10,True,tied,0.3,0.0,nan,0.08539668843150139
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,76,middle,-20,-10,56,66,10,False,tied,0.7,nan,nan,nan
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,76,latest,-10,0,66,76,10,True,tied,0.0,0.0,nan,0.05279048532247543
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,99,earliest,-30,-20,69,79,10,True,tied,0.0,0.0,nan,0.05397832579910755
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,99,middle,-20,-10,79,89,10,False,tied,0.5,nan,nan,nan
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,99,latest,-10,0,89,99,10,True,tied,0.3,0.0,nan,0.08747877180576324
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,182,earliest,-30,-20,152,162,10,False,tied,0.0,nan,nan,nan
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,182,middle,-20,-10,162,172,10,False,tied,1.0,nan,nan,nan
3200001,OP6,9800012,OP6:9800012,failure,tagged_while_carrying,182,latest,-10,0,172,182,10,False,tied,0.2,nan,nan,nan
3200001,OP6,9800013,OP6:9800013,failure,tagged_while_carrying,15,middle,-20,-10,0,5,5,False,tied,1.0,nan,nan,nan
3200001,OP6,9800013,OP6:9800013,failure,tagged_while_carrying,15,latest,-10,0,5,15,10,True,tied,0.3,0.0,nan,0.07011647522449493
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,19,middle,-20,-10,0,9,9,False,tied,1.0,nan,nan,nan
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,19,latest,-10,0,9,19,10,True,tied,0.4,0.0,nan,0.07365836948156357
3200001,OP6,9800014,OP6:9800014,failure,tagged_while_carrying,57,earliest,-30,-20,27,37,10,True,trailing,0.5,0.0,nan,0.31982570588588716
