blue_style,episode_seed,steps,blue_score,red_score,win,loss,draw,terminal_reward_from_info,discounted_return,undiscounted_reward_total,sum_terminal,sum_offense,sum_pbrs,sum_team,sum_sparse,sum_failure,tags_blue,tags_red,tag_denials,oob_blue,oob_red,ruleset_id
BLUE_BOTH_ATTACK_V2,3100001,144,3,2,1,0,0,1.0,0.8458081445470786,1.286864846944809,1.0,1.0,1.2771140486001968,2.4899998884648085,3.0,-0.42800002032890916,5,4,12,0,1,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100002,93,3,2,1,0,0,1.0,0.7079326420921153,1.0575021766417194,1.0,1.300000011920929,0.5815686583518982,1.5399999534711242,2.0,-0.25600001215934753,3,3,3,0,0,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100003,93,3,2,1,0,0,1.0,0.7326812593448444,1.039221197803272,1.0,1.9000000059604645,0.9298104420304298,2.129999913275242,1.0,-0.2200000104494393,4,1,1,0,0,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100004,184,3,2,1,0,0,1.0,0.33444716563548316,0.8126876625174191,1.0,1.7000000029802322,0.7138784527778625,1.3599999472498894,1.0,-0.6520000309683383,12,9,5,0,0,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100005,98,3,2,1,0,0,1.0,0.3723739060678454,0.5493321509857196,1.0,0.19999997317790985,0.7726645097136497,1.3749999599531293,1.0,-0.26000001234933734,3,3,3,0,0,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100006,94,3,2,1,0,0,1.0,0.423534649150915,0.6423064377449919,1.0,0.5,0.5694887936115265,1.8799999011680484,1.0,-0.26000001234933734,3,3,10,0,0,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100007,101,3,2,1,0,0,1.0,0.4150552059609251,0.6439414096530527,1.0,0.4999999925494194,0.5825664475560188,2.0199999399483204,1.0,-0.2920000138692558,4,3,6,0,0,RULESET_V2_AQUATICUS_10S
BLUE_BOTH_ATTACK_V2,3100008,154,3,2,1,0,0,1.0,-0.47241028067016766,-0.39000626813503914,1.0,-0.8000000044703484,0.4328452944755554,1.7049999395385385,-2.0,-0.5400000256486237,9,7,10,0,0,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100001,240,0,0,0,0,1,-0.5,0.19244575913099482,0.1831290942209307,-0.5,2.1999999955296516,-0.25988438725471497,0.049999099939771696,0.0,-0.924000043887645,20,16,25,0,0,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100002,240,1,1,0,0,1,-0.5,0.5856070768103987,0.8962151386076584,-0.5,1.7999999970197678,-0.205025352537632,1.2349907092447046,3.0,-0.8520000404678285,16,13,61,0,2,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100003,138,3,2,1,0,0,1.0,0.2661583552631111,0.6032884845917579,1.0,0.4000000134110451,0.23944635689258575,2.299999157691154,1.0,-0.41200001956894994,7,5,61,0,1,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100004,240,3,2,1,0,0,1.0,0.6385896508045363,1.4583414399530739,1.0,1.2000000104308128,0.11470042914152145,2.93499969167992,4.0,-0.7680000364780426,15,11,76,0,3,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100005,240,0,0,0,0,1,-0.5,0.08516276687391691,-0.07335027589579113,-0.5,2.100000001490116,-0.2458583191037178,-1.2342376010110456e-07,-1.0,-0.8920000423677266,20,15,38,0,0,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100006,240,1,1,0,0,1,-0.5,0.3076791808781151,0.4696014888759237,-0.5,1.9999999925494194,-0.14782283455133438,1.2549989063744427,1.0,-0.8600000408478081,18,13,63,0,1,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100007,240,0,1,0,1,0,-1.0,-0.23061592932939717,-0.3690543571137823,-1.0,1.1000000014901161,-0.3116130456328392,1.0399976500657893,-1.0,-0.8560000406578183,18,15,65,0,0,RULESET_V2_AQUATICUS_10S
BLUE_TURTLE,3100008,240,0,0,0,0,1,-0.5,0.3486643282319911,0.5582323007984087,-0.5,3.600000001490116,-0.2821507304906845,0.09999574344571194,0.0,-0.8080000383779407,19,14,52,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100001,139,3,2,1,0,0,1.0,0.5401058185929797,0.7603925679068197,1.0,1.3000000044703484,0.2061574086546898,1.201216698894644,1.0,-0.32800001557916403,3,2,22,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100002,107,3,1,1,0,0,1.0,1.0236166637150592,1.611849973356584,1.0,2.8000000044703484,0.34937185049057007,0.8249683164977171,3.0,-0.2280000108294189,3,1,12,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100003,240,2,1,1,0,0,1.0,0.6417683177671023,1.0278887193708215,1.0,2.80000002682209,0.22284172475337982,0.08481269690809112,1.0,-0.6680000317282975,10,6,22,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100004,120,3,1,1,0,0,1.0,1.0369373640026784,1.4323591404609033,1.0,3.100000001490116,0.38054464012384415,0.6579636735190739,2.0,-0.27200001291930676,5,1,8,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100005,94,3,1,1,0,0,1.0,1.0228604736834517,1.4489119122736156,1.0,3.0,0.4700314998626709,0.8580488745863555,2.0,-0.18000000854954123,4,0,13,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100006,125,3,1,1,0,0,1.0,0.6620615025587925,1.0639132682990748,1.0,1.7000000029802322,0.32923921197652817,0.47939561854865076,2.0,-0.2960000140592456,3,2,8,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100007,223,3,1,1,0,0,1.0,0.6490044337339296,1.2061467742314562,1.0,2.7000000029802322,0.29667573422193527,0.08086343001131757,2.0,-0.61600002925843,8,6,16,0,0,RULESET_V2_AQUATICUS_10S
BLUE_ONE_DEFENDER_V2,3100008,174,3,0,1,0,0,1.0,1.1574277362736851,1.8460173617204418,1.0,3.2000000029802322,0.4190845265984535,0.08375701649111633,4.0,-0.4560000216588378,6,5,11,0,0,RULESET_V2_AQUATICUS_10S
