policy,pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,home_defense_fraction,simultaneous_attackers,enemy_half_occupancy,commitment_timing,commitment_occurred,interception_behavior,interception_eligible_ticks,first_enemy_flag_contact,first_pickup,pickup_occurred,pickup_to_capture,carrier_fraction,capture_count,noncarrier_screen_fraction,screen_eligible_ticks
z0,A,OP6,8300001,1,0,1,0,240,0.3958333333333333,0.03333333333333333,0.20208333333333334,6,1,0.9574468085106383,94.0,12,12,1,33,0.8166666666666667,1.0,0.9574468085106383,94.0
z0,A,OP6,8300002,0,0,0,1,240,0.43333333333333335,0.008333333333333333,0.18541666666666667,7,1,0.9736842105263158,76.0,90,90,1,240,0.625,0.0,0.9736842105263158,76.0
z0,A,OP6,8300003,1,1,0,1,240,0.44166666666666665,0.09583333333333334,0.28125,10,1,0.6329113924050633,79.0,16,17,1,15,0.5375,1.0,0.6329113924050633,79.0
z0,A,OP6,8300004,0,0,0,1,240,0.44166666666666665,0.020833333333333332,0.14583333333333334,20,1,0.9655172413793104,116.0,26,26,1,240,0.8875,0.0,0.9655172413793104,116.0
z0,A,OP6,8300005,1,0,1,0,240,0.44583333333333336,0.025,0.23541666666666666,6,1,0.9404761904761905,84.0,12,12,1,57,0.7208333333333333,1.0,0.9404761904761905,84.0
z0,A,OP6,8300006,0,0,0,1,240,0.37083333333333335,0.016666666666666666,0.14791666666666667,7,1,0.9818181818181818,110.0,27,27,1,240,0.8875,0.0,0.9818181818181818,110.0
z0,A,OP6,8300007,3,1,1,0,216,0.6064814814814815,0.06018518518518518,0.35648148148148145,7,1,0.5070422535211268,71.0,13,13,1,71,0.41203703703703703,2.0,0.5070422535211268,71.0
z0,A,OP6,8300008,2,0,1,0,240,0.425,0.07083333333333333,0.24791666666666667,6,1,0.8425925925925926,108.0,21,22,1,99,0.7916666666666666,2.0,0.8425925925925926,108.0
z0,A,OP6,8300009,0,0,0,1,240,0.42916666666666664,0.004166666666666667,0.16875,9,1,0.9736842105263158,114.0,15,15,1,240,0.8458333333333333,0.0,0.9736842105263158,114.0
z0,A,OP6,8300010,2,3,0,0,208,0.5673076923076923,0.10576923076923077,0.41586538461538464,8,1,0.6,30.0,13,14,1,54,0.27884615384615385,2.0,0.6,30.0
z0,A,OP6,8300011,2,0,1,0,240,0.45416666666666666,0.05,0.2375,10,1,0.9036144578313253,83.0,15,16,1,20,0.7125,2.0,0.9036144578313253,83.0
z0,A,OP6,8300012,2,0,1,0,240,0.4791666666666667,0.09166666666666666,0.31875,8,1,0.851063829787234,47.0,13,14,1,89,0.4083333333333333,2.0,0.851063829787234,47.0
z0,A,OP6,8300013,1,0,1,0,240,0.43333333333333335,0.016666666666666666,0.19583333333333333,6,1,0.9411764705882353,102.0,31,31,1,14,0.7958333333333333,1.0,0.9411764705882353,102.0
z0,A,OP6,8300014,2,0,1,0,240,0.49583333333333335,0.06666666666666667,0.20208333333333334,9,1,0.9032258064516129,93.0,27,27,1,98,0.6833333333333333,2.0,0.9032258064516129,93.0
z0,A,OP6,8300015,3,0,1,0,231,0.5108225108225108,0.08225108225108226,0.35064935064935066,13,1,0.23076923076923078,26.0,18,19,1,15,0.23376623376623376,2.0,0.23076923076923078,26.0
z0,A,OP6,8300016,1,0,1,0,240,0.4125,0.07916666666666666,0.24791666666666667,6,1,0.9428571428571428,70.0,13,13,1,33,0.6041666666666666,1.0,0.9428571428571428,70.0
z0,A,OP6,8300017,0,0,0,1,240,0.44583333333333336,0.025,0.23333333333333334,6,1,0.927710843373494,83.0,12,12,1,240,0.6833333333333333,0.0,0.927710843373494,83.0
z0,A,OP6,8300018,1,0,1,0,240,0.5583333333333333,0.029166666666666667,0.26458333333333334,8,1,0.6551724137931034,29.0,14,15,1,157,0.2,1.0,0.6551724137931034,29.0
z0,A,OP6,8300019,1,0,1,0,240,0.5208333333333334,0.0125,0.21458333333333332,6,1,0.7419354838709677,93.0,14,15,1,54,0.6791666666666667,1.0,0.7419354838709677,93.0
z0,A,OP6,8300020,1,0,1,0,240,0.48333333333333334,0.0875,0.325,9,1,0.6181818181818182,55.0,15,15,1,130,0.37916666666666665,1.0,0.6181818181818182,55.0
