policy,map,requested_opponent,resolved_opponent,opponent,seed,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,collision_metric_source,stuck_metric_source,route_metric_source,wall_collision_source,stuck_source,route_source,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps
baseline,map_b_split_lane,OP10,OP10,OP10,7009,3.0,0.0,1,0,0,3.0,3.0,0.0,0.0,0.0,37.0,40.0,155.0,6.0,232.0,232.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,25.862068965517242,0.0,0.0,1.0,0.15948275862068967,0.1724137931034483,6.0,116
candidate,map_b_split_lane,OP10,OP10,OP10,7009,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,36.0,35.0,163.0,7.0,234.0,234.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.15384615384615385,0.14957264957264957,7.0,117
baseline,map_b_split_lane,OP10,OP10,OP10,7010,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,43.0,43.0,148.0,5.0,234.0,234.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.18376068376068377,0.18376068376068377,5.0,117
candidate,map_b_split_lane,OP10,OP10,OP10,7010,3.0,1.0,1,0,0,2.0,2.0,0.0,0.0,0.0,17.0,52.0,153.0,3.0,222.0,222.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,18.01801801801802,0.0,0.0,1.0,0.07657657657657657,0.23423423423423423,3.0,111
baseline,map_b_split_lane,OP10,OP10,OP10,7011,3.0,0.0,1,0,0,3.0,9.0,0.0,0.0,0.0,61.0,60.0,197.0,5.0,318.0,318.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,56.60377358490566,0.0,0.0,1.0,0.1918238993710692,0.18867924528301888,5.0,159
candidate,map_b_split_lane,OP10,OP10,OP10,7011,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,44.0,70.0,282.0,6.0,396.0,396.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.1111111111111111,0.17676767676767677,6.0,198
baseline,map_b_split_lane,OP10,OP10,OP10,7012,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,26.0,50.0,110.0,2.0,186.0,186.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.13978494623655913,0.26881720430107525,2.0,93
candidate,map_b_split_lane,OP10,OP10,OP10,7012,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,20.0,49.0,113.0,4.0,182.0,182.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.10989010989010989,0.2692307692307692,4.0,91
baseline,map_b_split_lane,OP10,OP10,OP10,7013,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,6.0,65.0,107.0,2.0,178.0,178.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.033707865168539325,0.3651685393258427,2.0,89
candidate,map_b_split_lane,OP10,OP10,OP10,7013,3.0,0.0,1,0,0,3.0,3.0,0.0,0.0,0.0,16.0,131.0,211.0,4.0,358.0,358.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,16.75977653631285,0.0,0.0,1.0,0.0446927374301676,0.3659217877094972,4.0,179
baseline,map_b_split_lane,OP10,OP10,OP10,7014,3.0,1.0,1,0,0,2.0,1.0,0.0,0.0,0.0,30.0,65.0,141.0,5.0,236.0,236.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,8.474576271186441,0.0,0.0,1.0,0.1271186440677966,0.2754237288135593,5.0,118
candidate,map_b_split_lane,OP10,OP10,OP10,7014,3.0,1.0,1,0,0,2.0,3.0,0.0,0.0,0.0,57.0,99.0,256.0,10.0,412.0,412.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,14.563106796116505,0.0,0.0,1.0,0.1383495145631068,0.24029126213592233,10.0,206
baseline,map_b_split_lane,OP10,OP10,OP10,7015,3.0,1.0,1,0,0,2.0,0.0,0.0,0.0,0.0,28.0,198.0,370.0,7.0,596.0,596.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.04697986577181208,0.33221476510067116,7.0,298
candidate,map_b_split_lane,OP10,OP10,OP10,7015,3.0,2.0,1,0,0,1.0,1.0,0.0,0.0,0.0,23.0,144.0,255.0,5.0,422.0,422.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,4.739336492890995,0.0,0.0,1.0,0.054502369668246446,0.3412322274881517,5.0,211
baseline,map_b_split_lane,OP10,OP10,OP10,7016,3.0,2.0,1,0,0,1.0,1.0,0.0,0.0,0.0,11.0,66.0,139.0,3.0,216.0,216.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,9.25925925925926,0.0,0.0,1.0,0.05092592592592592,0.3055555555555556,3.0,108
candidate,map_b_split_lane,OP10,OP10,OP10,7016,3.0,0.0,1,0,0,3.0,1.0,0.0,0.0,0.0,35.0,39.0,104.0,4.0,178.0,178.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,11.235955056179776,0.0,0.0,1.0,0.19662921348314608,0.21910112359550563,4.0,89
baseline,map_b_split_lane,OP10,OP10,OP10,7017,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,23.0,33.0,120.0,5.0,176.0,176.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.13068181818181818,0.1875,5.0,88
candidate,map_b_split_lane,OP10,OP10,OP10,7017,3.0,0.0,1,0,0,3.0,1.0,0.0,0.0,0.0,19.0,51.0,108.0,2.0,178.0,178.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,11.235955056179776,0.0,0.0,1.0,0.10674157303370786,0.28651685393258425,2.0,89
baseline,map_b_split_lane,OP10,OP10,OP10,7018,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,43.0,47.0,144.0,4.0,234.0,234.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.18376068376068377,0.20085470085470086,4.0,117
candidate,map_b_split_lane,OP10,OP10,OP10,7018,3.0,1.0,1,0,0,2.0,2.0,0.0,0.0,0.0,25.0,82.0,183.0,6.0,290.0,290.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,13.793103448275861,0.0,0.0,1.0,0.08620689655172414,0.2827586206896552,6.0,145
baseline,map_b_split_lane,OP10,OP10,OP10,7019,3.0,0.0,1,0,0,3.0,0.0,0.0,0.0,0.0,32.0,77.0,203.0,5.0,312.0,312.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,0.0,0.0,0.0,1.0,0.10256410256410256,0.2467948717948718,5.0,156
candidate,map_b_split_lane,OP10,OP10,OP10,7019,3.0,0.0,1,0,0,3.0,1.0,0.0,0.0,0.0,23.0,152.0,249.0,5.0,424.0,424.0,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,environment_exact,4.716981132075472,0.0,0.0,1.0,0.054245283018867926,0.3584905660377358,5.0,212
