policy,map,requested_opponent,resolved_opponent,opponent,episodes,blue_score,red_score,win,loss,draw,score_margin,wall_collisions,blocked_movement_events,stuck_steps,repeated_blocked_movement,upper_lane_use,lower_lane_use,neutral_lane_use,route_switches,movement_attempts,successful_movement_steps,obstacle_collisions_per_1000_steps,blocked_movements_per_1000_movement_attempts,stuck_steps_per_1000_steps,successful_movement_rate,upper_lane_fraction,lower_lane_fraction,route_switches_per_episode,episode_steps,collision_metric_source,stuck_metric_source,route_metric_source,route_crossings
baseline,map_a_open,OP10,OP10,OP10,20,3.0,0.55,1.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,,,,,282.2,282.2,0.0,0.0,0.0,1.0,,,,141.1,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP8,OP8,OP8,20,3.0,0.55,1.0,0.0,0.0,2.45,0.0,0.0,0.0,0.0,,,,,207.6,207.6,0.0,0.0,0.0,1.0,,,,103.8,environment_exact,environment_exact,unavailable,0.0
baseline,map_a_open,OP9,OP9,OP9,20,3.0,0.4,1.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,,,,,246.7,246.7,0.0,0.0,0.0,1.0,,,,123.35,environment_exact,environment_exact,unavailable,0.0
baseline,map_b_split_lane,OP10,OP10,OP10,20,3.0,0.6,1.0,0.0,0.0,2.4,1.25,0.0,0.0,0.0,26.6,83.7,188.7,4.0,299.0,299.0,9.617173292466646,0.0,0.0,1.0,0.08896321070234114,0.279933110367893,4.0,149.5,environment_exact,environment_exact,environment_exact,110.30000000000001
baseline,map_b_split_lane,OP8,OP8,OP8,20,3.0,0.8,1.0,0.0,0.0,2.2,0.85,0.0,0.0,0.0,30.5,81.95,196.85,4.1,309.3,309.3,5.779495165414444,0.0,0.0,1.0,0.09860976398318784,0.2649531199482703,4.1,154.65,environment_exact,environment_exact,environment_exact,112.45
baseline,map_b_split_lane,OP9,OP9,OP9,20,3.0,0.45,1.0,0.0,0.0,2.55,0.75,0.0,0.0,0.0,27.35,64.35,154.7,3.4,246.4,246.4,6.286762230828522,0.0,0.0,1.0,0.11099837662337664,0.2611607142857143,3.4,123.2,environment_exact,environment_exact,environment_exact,91.69999999999999
candidate,map_a_open,OP10,OP10,OP10,20,3.0,0.75,1.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,,,,,262.4,262.4,0.0,0.0,0.0,1.0,,,,131.2,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP8,OP8,OP8,20,3.0,0.8,1.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,,,,,243.0,243.0,0.0,0.0,0.0,1.0,,,,121.5,environment_exact,environment_exact,unavailable,0.0
candidate,map_a_open,OP9,OP9,OP9,20,3.0,0.35,1.0,0.0,0.0,2.65,0.0,0.0,0.0,0.0,,,,,209.2,209.2,0.0,0.0,0.0,1.0,,,,104.6,environment_exact,environment_exact,unavailable,0.0
candidate,map_b_split_lane,OP10,OP10,OP10,20,3.0,0.5,1.0,0.0,0.0,2.5,1.35,0.0,0.0,0.0,26.95,75.85,176.4,4.55,279.2,279.2,9.582518629325792,0.0,0.0,1.0,0.09652578796561605,0.2716690544412607,4.55,139.6,environment_exact,environment_exact,environment_exact,102.8
candidate,map_b_split_lane,OP8,OP8,OP8,20,3.0,1.05,1.0,0.0,0.0,1.95,1.25,0.0,0.0,0.0,22.9,69.8,161.5,3.2,254.2,254.2,11.370121899977013,0.0,0.0,1.0,0.09008654602675059,0.2745869394177813,3.2,127.1,environment_exact,environment_exact,environment_exact,92.69999999999999
candidate,map_b_split_lane,OP9,OP9,OP9,20,3.0,0.3,1.0,0.0,0.0,2.7,1.6,0.0,0.0,0.0,34.7,65.45,163.25,3.9,263.4,263.4,12.085521535500302,0.0,0.0,1.0,0.1317388003037206,0.24848139711465456,3.9,131.7,environment_exact,environment_exact,environment_exact,100.15
