checkpoint_step,context,obs_source,obs_source_family,episode_index,episode_seed,policy_a,policy_b,pair_type,jsd_all_bits,jsd_macro_bits,kl_ab_bits,kl_ba_bits,argmax_disagreement,macro_disagreement,n_matched_steps
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901001,piR/s901002,within_piR,0.01385990074525085,0.006347963376255907,0.05863385162993367,0.058422221114027485,0.18351063829787234,0.11170212765957446,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901001,piR/s901003,within_piR,0.014432089287554012,0.006418659103666199,0.06067111605620719,0.06069791622618369,0.17819148936170212,0.10106382978723404,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901001,piS/s902001,between,0.014910294288519674,0.008089560551273018,0.06262663543792989,0.0627808818776405,0.19148936170212766,0.12234042553191489,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901001,piS/s902002,between,0.014659955024842122,0.009149446179943925,0.061373468386557974,0.06147482868886987,0.19414893617021275,0.13297872340425532,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901001,piS/s902003,between,0.014794125104037834,0.009242718534266128,0.061614936618456545,0.06209461846388676,0.20212765957446807,0.13829787234042554,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901002,piR/s901003,within_piR,0.013816808330233674,0.005541122454466464,0.058407054447606147,0.058339501236091405,0.18882978723404256,0.11702127659574468,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901002,piS/s902001,between,0.014298483016852933,0.008377315711863396,0.05994636437967088,0.06027074686379506,0.18617021276595744,0.10638297872340426,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901002,piS/s902002,between,0.01456677507528165,0.009804512629433585,0.06066422113690813,0.06222327156920074,0.19148936170212766,0.1276595744680851,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901002,piS/s902003,between,0.013889169482507423,0.009456106478231875,0.05768642645740456,0.058479658841891914,0.21010638297872342,0.15425531914893617,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901003,piS/s902001,between,0.014798768611769568,0.008234671495074659,0.06195637032429617,0.06274834721106584,0.19946808510638298,0.13829787234042554,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901003,piS/s902002,between,0.014286164893628571,0.008351740293201002,0.06008351247892043,0.05995091152968737,0.19946808510638298,0.13829787234042554,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piR/s901003,piS/s902003,between,0.013634331671766054,0.008082899334457303,0.05665071425566847,0.05716435755122062,0.19946808510638298,0.13297872340425532,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piS/s902001,piS/s902002,within_piS,0.013721776037955076,0.009680973990774349,0.05748063563477817,0.05720031924662114,0.19946808510638298,0.13829787234042554,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piS/s902001,piS/s902003,within_piS,0.011560384273572857,0.005745144322447122,0.04802698581354183,0.04817856266373929,0.17819148936170212,0.10106382978723404,94
200000,C_RUSH,piR/s901001,piR,0,1030001,piS/s902002,piS/s902003,within_piS,0.012140781282325064,0.006522255980611298,0.050221175156637834,0.050770242043567206,0.19946808510638298,0.13829787234042554,94
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901001,piR/s901002,within_piR,0.014100905341603503,0.008089270776474103,0.05937263372505625,0.05875039657248811,0.18803418803418803,0.1111111111111111,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901001,piR/s901003,within_piR,0.016109773999027792,0.010472161614309205,0.06795355448070232,0.0676156403447937,0.18803418803418803,0.1111111111111111,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901001,piS/s902001,between,0.013938266329243157,0.0075756997812201415,0.05747969095617943,0.05911241298924777,0.19444444444444445,0.1282051282051282,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901001,piS/s902002,between,0.013904305324484447,0.006612129758697972,0.058108777332747205,0.058824463481798095,0.1794871794871795,0.09401709401709402,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901001,piS/s902003,between,0.01257018152689538,0.006549669087090423,0.05192983289275736,0.05291480540420031,0.18376068376068377,0.10683760683760683,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901002,piR/s901003,within_piR,0.015478714677504913,0.009272682587447253,0.06479218225808128,0.06519086136942116,0.19444444444444445,0.1282051282051282,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901002,piS/s902001,between,0.014137555365870712,0.007885857285584299,0.05843366410799045,0.06029843439592974,0.20726495726495728,0.14957264957264957,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901002,piS/s902002,between,0.01444906888441879,0.008874780754201388,0.05978537473497784,0.06156452384317266,0.18803418803418803,0.1282051282051282,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901002,piS/s902003,between,0.01310658173574624,0.006585015813047297,0.05386516810533649,0.0560329314324041,0.1987179487179487,0.13675213675213677,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901003,piS/s902001,between,0.014457455240324291,0.007307686718900018,0.06074112926548172,0.06108476699227944,0.19230769230769232,0.12393162393162394,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901003,piS/s902002,between,0.014747651294208347,0.008584694197987531,0.06164422818983641,0.06250458702352557,0.1858974358974359,0.1111111111111111,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piR/s901003,piS/s902003,between,0.014098376800944234,0.007810346849868077,0.059036864005003006,0.05912911450528273,0.20726495726495728,0.14957264957264957,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piS/s902001,piS/s902002,within_piS,0.01229989466096212,0.004918991407384517,0.05153549764569598,0.05145592718640907,0.18376068376068377,0.1111111111111111,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piS/s902001,piS/s902003,within_piS,0.012483809323997511,0.00586790375027992,0.05206391935426405,0.05210292518542185,0.20512820512820512,0.1452991452991453,117
200000,C_RUSH,piR/s901001,piR,1,1030002,piS/s902002,piS/s902003,within_piS,0.012204240430690625,0.0059466455389373995,0.05081251727823069,0.051136050059377026,0.1858974358974359,0.11965811965811966,117
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901001,piR/s901002,within_piR,0.014625123534031456,0.00890352494524481,0.06053437102511202,0.061670476091632946,0.20192307692307693,0.1346153846153846,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901001,piR/s901003,within_piR,0.01474891184689961,0.007288208097119415,0.06229739488073786,0.06154454077060198,0.1987179487179487,0.11538461538461539,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901001,piS/s902001,between,0.015438227732974522,0.007080796260021991,0.0644223742131737,0.06588243673909808,0.19230769230769232,0.10256410256410256,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901001,piS/s902002,between,0.014538119235938066,0.0075543002762251945,0.06113401212003987,0.06082891819992316,0.1987179487179487,0.11538461538461539,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901001,piS/s902003,between,0.014715749365779733,0.010432122699381936,0.06143316948960543,0.061105872095609706,0.20512820512820512,0.1346153846153846,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901002,piR/s901003,within_piR,0.016507541469302462,0.010718891285816287,0.06879612727109197,0.06952144946991955,0.22115384615384615,0.16025641025641027,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901002,piS/s902001,between,0.01550515433199736,0.007804175874480808,0.06465117309150589,0.06589176484035371,0.20192307692307693,0.1346153846153846,78
200000,C_RUSH,piR/s901001,piR,2,1030003,piR/s901002,piS/s902002,between,0.013862643425388569,0.007181195067555164,0.05701494374586913,0.05887101346698648,0.1955128205128205,0.10897435897435898,78
