epoch,train_kl_A,train_kl_B,holdout_agree_z0_vs_piA,holdout_agree_z1_vs_piB,holdout_teacher_argmax_disagreement,holdout_kl_A,holdout_kl_B,holdout_student_z0_z1_jsd,holdout_teacher_A_B_jsd
1,0.38591552668429435,0.4205893885793415,0.7683425262770369,0.6282118724751427,0.737892447547108,0.16129988527435107,0.2203522971176964,0.2195141455533569,0.29055405468752665
2,0.11459448341782211,0.14599253131565473,0.8340280772365631,0.7550599784336492,0.737892447547108,0.0764877599225538,0.10170285660448025,0.2663226390955906,0.29055405468752665
3,0.059013379962309036,0.08012186231236931,0.8600898158285788,0.7937380491593412,0.737892447547108,0.05357614407630627,0.06888239791959125,0.26245313918744007,0.29055405468752665
4,0.04190976423680359,0.05798626376699049,0.8755188205248035,0.8095971974762326,0.737892447547108,0.039798152727138436,0.05718414531370216,0.2703593162127437,0.29055405468752665
5,0.03310051753271556,0.045868286532713166,0.8819878193425075,0.8244593330554132,0.737892447547108,0.0345639979323437,0.04566540953023928,0.28069140184777824,0.29055405468752665
6,0.028074403735974158,0.03840861347972924,0.885968373919539,0.8321220106178687,0.737892447547108,0.03051037940147461,0.04145441958958794,0.2791718867781129,0.29055405468752665
7,0.024120098283738955,0.03349524602980901,0.890763829013022,0.8419229885024,0.737892447547108,0.028732397346888722,0.036990958327946355,0.2841096114080529,0.29055405468752665
8,0.021533159063534535,0.029579589262287667,0.8924683785640974,0.8483728826029664,0.737892447547108,0.026003770253199384,0.0329113178214319,0.2758757062021656,0.29055405468752665
9,0.019518843026342967,0.026740190407908555,0.8979221123174522,0.8539938094419376,0.737892447547108,0.02400366475811252,0.030773054953267626,0.28525161051776304,0.29055405468752665
10,0.01790525218643618,0.024416889955705786,0.8986891755108244,0.8581688990660871,0.737892447547108,0.0222258153849801,0.029443583322392525,0.28363079753388315,0.29055405468752665
11,0.016052355659557573,0.023023790065595445,0.903642874422285,0.8608843484208277,0.737892447547108,0.021190830189821427,0.027861039299886217,0.28447416417404775,0.29055405468752665
12,0.014861840972716504,0.02132503495465779,0.905248009156149,0.8648963860047089,0.737892447547108,0.020299746195516076,0.026404911615985023,0.2852867847679413,0.29055405468752665
13,0.01387732899384507,0.019644114486080534,0.9040919388689037,0.8667985593348586,0.737892447547108,0.020627652085507382,0.02549102785021385,0.2824662338867804,0.29055405468752665
14,0.013282120584490452,0.018522487068218543,0.9079554432615846,0.8649802761873262,0.737892447547108,0.018742478998253948,0.025599750881222332,0.28848813198684375,0.29055405468752665
15,0.012628220444452679,0.017818735212298997,0.9106626420502988,0.8693067802366771,0.737892447547108,0.017940200353054044,0.024177886520149412,0.2845613109970772,0.29055405468752665
16,0.011927660528226948,0.017213260966306883,0.9123930622864606,0.8710453854427375,0.737892447547108,0.0177014479757996,0.02363870345245842,0.2889281755700499,0.29055405468752665
17,0.011548340241325663,0.016388443919519585,0.911477989756679,0.872347047560119,0.737892447547108,0.017969008051501794,0.022893825838746877,0.28797617009390675,0.29055405468752665
18,0.011058803806279568,0.015632613680939725,0.9104460044221923,0.8758697423403377,0.737892447547108,0.017372451016541147,0.022366636884976532,0.2874525630598165,0.29055405468752665
19,0.010520924906517175,0.015356013848585016,0.9124508095714889,0.8760805552347298,0.737892447547108,0.01675502059180764,0.021477089457109803,0.2848925487174298,0.29055405468752665
20,0.010184720118946217,0.01461183859682675,0.914376491717984,0.876199362376591,0.737892447547108,0.017044907187830256,0.021567748354962675,0.28729805672733594,0.29055405468752665
