episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score
65,1,65.142,300.069,418,24,0,4.48171,2.88697,0.25,OP1,scripted,OP1,1,0
66,1,272.349,300.069,410,23,0,4.4988,2.77572,0.166667,OP1,scripted,OP1,1,0
67,1,235.62,300.069,410,25,0,4.68195,2.94294,0.158333,OP1,scripted,OP1,1,0
68,1,137.214,300.069,415,32,0,4.94236,3.01097,0.175,OP1,scripted,OP1,1,0
69,1,171.171,300.069,405,16,0,4.74739,2.55444,0.341667,OP1,scripted,OP1,2,0
70,1,32.571,300.069,398,28,0,4.72965,2.86647,0.283333,OP1,scripted,OP1,1,0
71,1,23.562,268.884,331,27,0,4.58409,2.34797,0.183333,OP1,scripted,OP1,3,0
72,0,,300.069,426,38,0,5.21403,3.0762,0.3,OP1,scripted,OP1,0,0
73,1,37.422,300.069,421,17,0,4.27909,2.50544,0.308333,OP1,scripted,OP1,1,0
74,1,146.916,300.069,419,26,0,3.96306,2.7739,0.216667,OP1,scripted,OP1,2,0
75,1,36.036,300.069,206,190,0,5.21166,2.81561,0.225,OP1,scripted,OP1,2,0
76,1,26.334,113.652,109,20,0,5.25352,3.37984,0.133333,OP1,scripted,OP1,3,0
77,1,60.291,272.349,344,46,0,4.51574,2.98248,0.225,OP1,scripted,OP1,3,0
78,1,108.801,300.069,396,39,0,3.93525,2.46154,0.183333,OP1,scripted,OP1,2,0
79,1,213.444,300.069,419,32,0,4.63958,2.55291,0.108333,OP1,scripted,OP1,1,0
80,1,27.027,300.069,417,57,0,4.01511,2.35534,0.158333,OP1,scripted,OP1,2,0
81,1,153.846,300.069,406,19,0,4.80602,2.51105,0.241667,OP1,scripted,OP1,1,0
82,1,56.826,179.487,198,22,0,5.07,2.97027,0.125,OP1,scripted,OP1,3,0
83,1,30.492,191.268,32,216,0,4.75737,2.65027,0.241667,OP1,scripted,OP1,3,0
84,0,,300.069,431,27,0,4.69892,2.83184,0.258333,OP1,scripted,OP1,0,0
85,1,27.72,273.735,354,33,0,5.22705,2.93659,0.283333,OP1,scripted,OP1,3,0
86,1,255.717,300.069,428,37,0,4.69648,3.30258,0.2,OP1,scripted,OP1,1,0
87,1,26.334,300.069,402,28,0,5.2845,3.03366,0.258333,OP1,scripted,OP1,2,0
88,1,27.72,277.2,353,40,0,4.448,2.56072,0.225,OP1,scripted,OP1,3,0
89,1,71.379,300.069,406,59,0,4.16478,2.85611,0.166667,OP1,scripted,OP1,2,0
90,1,123.354,300.069,404,24,0,6.03969,3.20882,0.341667,OP1,scripted,OP1,2,0
91,1,27.027,300.069,400,34,0,5.07743,2.69689,0.183333,OP1,scripted,OP1,2,0
92,1,101.178,300.069,425,19,0,5.31584,2.96119,0.2,OP1,scripted,OP1,1,0
93,1,124.047,300.069,412,17,0,5.0174,2.79313,0.175,OP1,scripted,OP1,2,0
94,1,48.51,172.557,177,25,0,4.04888,2.56045,0.166667,OP1,scripted,OP1,3,0
95,0,,300.069,425,19,0,4.80317,2.81634,0.291667,OP1,scripted,OP1,0,0
96,1,213.444,270.27,357,24,0,5.54931,3.37877,0.275,OP1,scripted,OP1,3,0
97,1,99.792,298.683,388,34,0,5.42289,3.36241,0.191667,OP1,scripted,OP1,3,0
98,1,123.354,184.338,211,17,0,3.77345,1.83464,0.108333,OP1,scripted,OP1,3,0
99,1,249.48,300.069,424,36,0,4.38557,2.74902,0.225,OP1,scripted,OP1,1,0
100,1,38.808,125.433,15,126,0,3.43911,2.53629,0.183333,OP1,scripted,OP1,3,0
101,1,188.496,300.069,400,24,0,6.79198,3.45823,0.316667,OP1,scripted,OP1,2,0
