episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count
62,1,33.957,194.04,30,210,0,4.41594,2.86801,0.133333,OP1,scripted,OP1,3,0,0
63,1,91.476,205.821,218,29,0,4.80654,2.71011,0.2,OP1,scripted,OP1,3,0,0
64,0,,300.069,430,25,0,4.46332,2.65139,0.175,OP1,scripted,OP1,0,0,0
65,1,178.101,300.069,413,28,0,5.05584,2.98411,0.266667,OP1,scripted,OP1,1,0,0
66,0,,300.069,437,40,0,4.56049,2.83233,0.241667,OP1,scripted,OP1,0,0,0
67,1,40.194,236.313,40,277,0,4.43452,3.18884,0.2,OP1,scripted,OP1,3,0,0
68,0,,300.069,421,30,0,4.47436,2.76985,0.216667,OP1,scripted,OP1,0,0,0
69,1,34.65,300.069,389,19,0,4.10523,2.30838,0.191667,OP1,scripted,OP1,2,0,0
70,1,27.72,148.995,153,13,0,5.42356,2.99756,0.166667,OP1,scripted,OP1,3,0,0
71,1,21.483,300.069,399,24,0,4.93959,3.05304,0.158333,OP1,scripted,OP1,2,0,0
72,1,189.882,300.069,419,45,0,4.49104,3.00477,0.233333,OP1,scripted,OP1,1,0,0
73,1,26.334,300.069,398,31,0,5.46757,2.92816,0.275,OP1,scripted,OP1,2,0,0
74,1,145.53,300.069,400,26,0,4.4015,2.69575,0.125,OP1,scripted,OP1,1,0,0
75,1,62.37,300.069,399,19,0,4.61849,2.47921,0.15,OP1,scripted,OP1,1,0,0
76,1,24.255,300.069,390,17,0,5.20476,3.00093,0.2,OP1,scripted,OP1,2,0,0
77,0,,300.069,436,25,0,5.24766,3.34915,0.308333,OP1,scripted,OP1,0,0,0
78,0,,300.069,430,33,0,4.75619,2.51255,0.191667,OP1,scripted,OP1,0,0,0
79,1,142.758,246.708,279,28,0,5.19853,2.73648,0.258333,OP1,scripted,OP1,3,0,0
80,1,25.641,300.069,417,32,0,4.67908,2.86406,0.275,OP1,scripted,OP1,1,0,0
81,1,158.004,272.349,217,145,0,4.60582,2.79112,0.208333,OP1,scripted,OP1,3,0,0
82,1,56.133,187.803,211,22,0,5.56274,3.27449,0.2,OP1,scripted,OP1,3,0,0
83,1,33.264,146.916,145,17,0,5.15378,2.84336,0.208333,OP1,scripted,OP1,3,0,0
84,1,22.176,267.498,324,31,0,4.23016,2.85677,0.141667,OP1,scripted,OP1,3,0,0
85,1,62.37,300.069,38,380,0,4.00201,2.44261,0.225,OP1,scripted,OP1,2,0,0
86,1,24.948,224.532,256,20,0,5.41971,2.66752,0.2,OP1,scripted,OP1,3,0,0
87,1,223.839,300.069,421,48,0,4.44173,2.94132,0.241667,OP1,scripted,OP1,1,0,0
88,1,151.767,300.069,227,221,0,4.76987,2.9822,0.258333,OP1,scripted,OP1,2,0,0
89,1,140.679,300.069,422,21,0,4.89109,2.78127,0.191667,OP1,scripted,OP1,1,0,0
90,0,,300.069,426,15,0,5.22026,2.64687,0.266667,OP1,scripted,OP1,0,0,0
91,1,291.06,300.069,410,29,0,4.69231,2.81982,0.166667,OP1,scripted,OP1,1,0,0
92,1,137.907,300.069,428,24,0,4.56281,2.77259,0.0916667,OP1,scripted,OP1,1,0,0
93,1,33.264,300.069,394,27,0,4.57479,2.58101,0.233333,OP1,scripted,OP1,2,0,0
94,1,234.234,300.069,403,49,0,5.02018,3.1173,0.15,OP1,scripted,OP1,2,0,0
95,1,36.036,300.069,403,25,0,4.94728,2.77978,0.2,OP1,scripted,OP1,2,0,0
96,1,45.738,180.873,34,185,0,4.40504,2.97983,0.158333,OP1,scripted,OP1,3,0,0
