episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
61,0,15.939,67.221,20,6,0,4.66068,2.38129,0.158333,OP3,snapshot,,2,3,5,1
62,0,12.474,44.352,18,6,0,5.93838,3.00485,0.158333,OP3,snapshot,,0,3,5,1
63,0,12.474,49.203,16,7,0,5.07012,2.70589,0.133333,OP3,snapshot,,2,3,5,1
64,0,13.86,58.905,15,4,0,6.94089,3.51892,0.266667,OP3,snapshot,,1,3,5,1
65,1,12.474,65.142,15,7,0,6.09303,3.70109,0.3,OP3,snapshot,,3,2,5,1
66,0,18.018,56.826,17,8,0,5.00603,2.62777,0.133333,OP3,snapshot,,1,3,5,1
67,0,13.167,65.142,16,12,0,5.21591,2.90308,0.183333,OP3,snapshot,,2,3,5,1
68,1,13.167,81.774,34,9,0,6.28818,3.9595,0.283333,OP3,snapshot,,3,2,5,1
69,0,12.474,50.589,19,4,0,5.81815,3.70425,0.191667,OP3,snapshot,,1,3,5,1
70,0,15.246,46.431,6,2,0,4.98437,1.96805,0.141667,OP3,snapshot,,0,3,5,1
71,0,13.86,88.704,28,8,0,4.16768,2.57427,0.216667,OP3,snapshot,,2,3,5,1
72,1,10.395,35.343,5,1,0,7.02711,4.0113,0.141667,OP3,snapshot,,3,1,5,1
73,0,13.86,43.659,14,4,0,6.94769,3.8127,0.175,OP3,snapshot,,1,3,5,1
74,0,10.395,38.115,16,4,0,5.30156,3.23456,0.166667,OP3,snapshot,,1,3,5,1
75,0,12.474,48.51,17,3,0,5.2481,3.03387,0.2,OP3,snapshot,,2,3,5,1
76,1,13.86,100.485,43,10,0,4.66803,2.36945,0.233333,OP3,snapshot,,3,2,5,1
77,0,12.474,70.686,17,8,0,5.76712,3.36798,0.225,OP3,snapshot,,1,3,5,1
78,1,18.018,76.923,26,7,0,5.9553,3.57455,0.191667,OP3,snapshot,,3,2,5,1
79,0,35.343,82.467,22,8,0,5.1872,3.13508,0.283333,OP3,snapshot,,1,3,5,1
80,1,26.334,88.704,19,7,0,4.27578,2.13966,0.333333,OP3,snapshot,,3,1,6,1
81,0,15.939,51.282,7,2,0,5.5082,2.87362,0.183333,OP3,snapshot,,1,3,6,1
82,0,10.395,69.3,20,7,0,6.11031,3.6068,0.233333,OP3,snapshot,,2,3,6,1
83,1,29.799,68.607,15,1,0,5.61143,2.88751,0.233333,OP3,snapshot,,3,2,6,1
84,0,17.325,60.291,11,8,0,5.55241,2.73919,0.208333,OP3,snapshot,,1,3,6,1
85,0,11.088,49.203,13,5,0,4.25843,2.1803,0.216667,OP3,snapshot,,0,3,6,1
86,0,17.325,58.212,10,13,0,5.21644,2.79791,0.158333,OP3,snapshot,,1,3,6,1
87,0,15.246,57.519,9,8,0,5.72271,3.41922,0.208333,OP3,snapshot,,1,3,6,1
88,0,14.553,53.361,8,5,0,5.01188,3.08589,0.158333,OP3,snapshot,,2,3,6,1
89,0,12.474,52.668,16,2,0,6.00648,3.42399,0.141667,OP3,snapshot,,1,3,6,1
90,0,9.702,36.036,14,4,0,5.54236,3.52505,0.15,OP3,snapshot,,2,3,6,1
91,0,18.018,63.063,19,3,0,4.8796,2.47437,0.208333,OP3,snapshot,,2,3,6,1
92,0,16.632,48.51,1,2,0,6.03107,2.60605,0.241667,OP3,snapshot,,0,3,6,1
93,1,12.474,79.002,13,15,0,6.38878,3.61427,0.241667,OP3,snapshot,,3,2,6,1
94,0,11.088,33.264,10,4,0,6.38632,3.61383,0.116667,OP3,snapshot,,1,3,6,1
95,0,13.86,42.966,7,4,0,5.21425,2.77208,0.116667,OP3,snapshot,,0,3,6,1
96,0,15.939,67.221,27,7,0,5.89296,3.62732,0.216667,OP3,snapshot,,2,3,6,1
97,0,11.088,41.58,6,3,0,5.4508,2.99076,0.208333,OP3,snapshot,,1,3,6,1
98,1,13.86,51.282,13,6,0,4.68475,2.46175,0.175,OP3,snapshot,,3,2,6,1
99,0,13.167,59.598,23,3,0,3.71887,2.59615,0.158333,OP3,snapshot,,1,3,6,1
100,0,9.702,35.343,7,3,0,5.13565,3.17058,0.158333,OP3,snapshot,,1,3,6,1
101,1,14.553,58.905,15,2,0,5.95166,3.39839,0.175,OP3,snapshot,,3,2,6,1
102,0,14.553,49.203,14,4,0,5.46086,3.75063,0.15,OP3,snapshot,,1,3,6,1
103,1,15.246,92.862,29,18,0,4.56995,2.4448,0.191667,OP3,snapshot,,3,2,6,1
104,0,11.088,52.668,16,9,0,6.60411,3.3391,0.141667,OP3,snapshot,,1,3,6,1
105,1,13.167,58.212,12,4,0,5.84728,3.73118,0.175,OP3,snapshot,,3,0,7,1
106,1,28.413,88.011,18,2,0,5.5755,3.37456,0.158333,OP3,snapshot,,3,0,7,1
107,1,18.711,88.704,10,1,0,6.25344,3.25768,0.233333,OP3,snapshot,,3,0,7,1
108,1,27.72,101.871,18,12,0,5.66558,3.12531,0.225,OP3,snapshot,,3,0,7,1
109,1,51.282,85.932,23,7,0,4.7676,2.85612,0.2,OP3,snapshot,,3,0,7,1
110,1,15.246,47.124,11,2,0,4.94862,2.72642,0.15,OP3,snapshot,,3,0,7,1
111,1,34.65,90.783,16,8,0,4.80816,3.05264,0.216667,OP3,snapshot,,3,0,7,1
112,1,34.65,144.837,21,8,0,5.75445,3.37414,0.275,OP3,snapshot,,3,0,7,1
113,1,16.632,67.914,20,9,0,4.87004,2.79091,0.166667,OP3,snapshot,,3,0,7,1
