epoch,train_kl_A,train_kl_B,holdout_agree_z0_vs_piA,holdout_agree_z1_vs_piB,holdout_teacher_argmax_disagreement,holdout_kl_A,holdout_kl_B,holdout_student_z0_z1_jsd,holdout_teacher_A_B_jsd
1,0.6085140065759675,0.2769557615885368,0.845178125676903,0.955059574969595,0.2775949252589935,0.2667664733203991,0.05769108714599788,0.14231138551436234,0.17903920535855075
2,0.1786264473429093,0.04174228424890938,0.9014831318640847,0.9690180175647081,0.2775949252589935,0.12192167279677564,0.026716174671850335,0.1605413238424836,0.17903920535855075
3,0.10199221841290466,0.023113552496856093,0.9146926331143364,0.9743374031715138,0.2775949252589935,0.08194703851896953,0.017538421279636153,0.16244990319982555,0.17903920535855075
4,0.06937243241784918,0.01656585522632823,0.9235503189254408,0.9783138545658479,0.2775949252589935,0.06262664962475041,0.013588127362041244,0.1749413787766236,0.17903920535855075
5,0.051269590663604245,0.012644994016895946,0.9368775285185017,0.9796617430816194,0.2775949252589935,0.051159030873021684,0.010413375154785093,0.18247647054631527,0.17903920535855075
6,0.03848280655777352,0.010197884622069761,0.9434719181864938,0.9830621385856879,0.2775949252589935,0.039207594101867645,0.00889054637071763,0.17677714949826345,0.17903920535855075
7,0.0311814155907203,0.008467486060550835,0.9462240064299893,0.984564459168125,0.2775949252589935,0.03332471330396874,0.0076736182857200675,0.17407709749970746,0.17903920535855075
8,0.02558293714164159,0.007187569215416144,0.9514621360183885,0.9846927564906987,0.2775949252589935,0.028074969284279445,0.006453752612219107,0.1709349059843068,0.17903920535855075
9,0.02143943513560499,0.006214570592388383,0.9532760605917844,0.9842237091941045,0.2775949252589935,0.02565129219396739,0.005864899199986867,0.16974598632978835,0.17903920535855075
10,0.018436064625270348,0.005438603198108001,0.9581521178262642,0.9864460474558784,0.2775949252589935,0.022255686036755668,0.005627532139255243,0.1793466432546997,0.17903920535855075
11,0.017048592711042646,0.004931240635088239,0.9599152196688842,0.9854022042434725,0.2775949252589935,0.021193197470207013,0.004939767993679279,0.17797360608857368,0.17903920535855075
12,0.015455648104031371,0.004540152650756331,0.9603944419908944,0.9860987209034923,0.2775949252589935,0.020953691603270066,0.004806653926994021,0.18143388153082401,0.17903920535855075
13,0.013811507970731482,0.0041538084514884865,0.9637565269219553,0.9864606375898571,0.2775949252589935,0.018279763736086606,0.004521149790621399,0.17344893948878246,0.17903920535855075
14,0.01239147061943753,0.003989541688217566,0.963764281158424,0.9858809019685407,0.2775949252589935,0.01660085300057764,0.004217297429928063,0.17496921307716062,0.17903920535855075
15,0.011644949276859943,0.0036316652161379657,0.965335443964558,0.9869320334652136,0.2775949252589935,0.015934201950715036,0.00401855153375481,0.17544279417090414,0.17903920535855075
16,0.010969908462248297,0.0033758380450308323,0.9638266367268975,0.9874072953655668,0.2775949252589935,0.015091467886739807,0.0037724440185134124,0.17777584353249617,0.17903920535855075
17,0.010208615651115393,0.003240607004278363,0.9664627833049082,0.9872521295695275,0.2775949252589935,0.014892294231221528,0.0037814542132666644,0.17638478084235015,0.17903920535855075
18,0.009575076333573487,0.0030095308549447446,0.9657912510247696,0.9887845544096403,0.2775949252589935,0.014338580014501633,0.003484000655969894,0.18052320731551913,0.17903920535855075
19,0.00880289395363667,0.0028649430152856642,0.9669492135870895,0.9884407564123797,0.2775949252589935,0.013903154404361318,0.0034668135529044995,0.17715136634836223,0.17903920535855075
20,0.008363235140872052,0.0027989188575337077,0.9673036267169882,0.9888184816596067,0.2775949252589935,0.013337938024160693,0.003293411496563143,0.17824163232864634,0.17903920535855075
