pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,zero_zero,total_score,policy
A,OP6,7500109,0,0,0,1,240,1,0,pi_A
A,OP6,7500110,0,0,0,1,240,1,0,pi_A
A,OP6,7500111,0,0,0,1,240,1,0,pi_A
A,OP6,7500112,1,0,1,0,240,0,1,pi_A
A,OP6,7500113,0,0,0,1,240,1,0,pi_A
A,OP6,7500114,1,0,1,0,240,0,1,pi_A
A,OP6,7500115,3,0,1,0,149,0,3,pi_A
A,OP6,7500116,2,0,1,0,240,0,2,pi_A
A,OP6,7500117,1,0,1,0,240,0,1,pi_A
A,OP6,7500118,1,0,1,0,240,0,1,pi_A
A,OP6,7500119,0,0,0,1,240,1,0,pi_A
A,OP6,7500120,0,0,0,1,240,1,0,pi_A
A,OP6,7500121,0,1,0,0,240,0,1,pi_A
A,OP6,7500122,1,0,1,0,240,0,1,pi_A
A,OP6,7500123,2,0,1,0,240,0,2,pi_A
A,OP6,7500124,1,0,1,0,240,0,1,pi_A
A,OP6,7500125,1,0,1,0,240,0,1,pi_A
A,OP6,7500126,0,0,0,1,240,1,0,pi_A
A,OP6,7500127,1,1,0,1,240,0,2,pi_A
A,OP6,7500128,0,0,0,1,240,1,0,pi_A
A,OP6,7500129,1,1,0,1,240,0,2,pi_A
A,OP6,7500130,2,0,1,0,240,0,2,pi_A
A,OP6,7500131,1,1,0,1,240,0,2,pi_A
A,OP6,7500132,0,1,0,0,240,0,1,pi_A
A,OP6,7500133,2,0,1,0,240,0,2,pi_A
A,OP6,7500134,0,0,0,1,240,1,0,pi_A
A,OP6,7500135,0,0,0,1,240,1,0,pi_A
A,OP6,7500136,0,0,0,1,240,1,0,pi_A
A,OP6,7500137,0,0,0,1,240,1,0,pi_A
A,OP6,7500138,1,0,1,0,240,0,1,pi_A
A,OP6,7500139,1,0,1,0,240,0,1,pi_A
A,OP6,7500140,1,0,1,0,240,0,1,pi_A
A,OP6,7500141,1,0,1,0,240,0,1,pi_A
A,OP6,7500142,1,0,1,0,240,0,1,pi_A
A,OP6,7500143,0,0,0,1,240,1,0,pi_A
A,OP6,7500144,0,0,0,1,240,1,0,pi_A
A,OP6,7500145,1,0,1,0,240,0,1,pi_A
A,OP6,7500146,2,1,1,0,240,0,3,pi_A
A,OP6,7500147,0,0,0,1,240,1,0,pi_A
A,OP6,7500148,0,0,0,1,240,1,0,pi_A
A,OP6,7500149,0,0,0,1,240,1,0,pi_A
A,OP6,7500150,1,0,1,0,240,0,1,pi_A
A,OP6,7500151,3,0,1,0,217,0,3,pi_A
A,OP6,7500152,2,0,1,0,240,0,2,pi_A
A,OP6,7500153,0,0,0,1,240,1,0,pi_A
A,OP6,7500154,0,0,0,1,240,1,0,pi_A
A,OP6,7500155,2,0,1,0,240,0,2,pi_A
A,OP6,7500156,2,0,1,0,240,0,2,pi_A
A,OP6,7500157,0,0,0,1,240,1,0,pi_A
A,OP6,7500158,0,0,0,1,240,1,0,pi_A
A,OP6,7500159,0,0,0,1,240,1,0,pi_A
A,OP6,7500160,1,0,1,0,240,0,1,pi_A
A,OP6,7500161,0,0,0,1,240,1,0,pi_A
A,OP6,7500162,0,0,0,1,240,1,0,pi_A
A,OP6,7500163,0,0,0,1,240,1,0,pi_A
A,OP6,7500164,0,0,0,1,240,1,0,pi_A
A,OP6,7500165,3,0,1,0,151,0,3,pi_A
A,OP6,7500166,1,0,1,0,240,0,1,pi_A
A,OP6,7500167,1,0,1,0,240,0,1,pi_A
A,OP6,7500168,1,0,1,0,240,0,1,pi_A
A,OP6,7500169,1,0,1,0,240,0,1,pi_A
A,OP6,7500170,2,1,1,0,240,0,3,pi_A
A,OP6,7500171,1,0,1,0,240,0,1,pi_A
A,OP6,7500172,3,0,1,0,129,0,3,pi_A
A,OP6,7500173,0,0,0,1,240,1,0,pi_A
A,OP6,7500174,1,0,1,0,240,0,1,pi_A
A,OP6,7500175,2,2,0,1,240,0,4,pi_A
A,OP6,7500176,2,0,1,0,240,0,2,pi_A
A,OP6,7500177,0,0,0,1,240,1,0,pi_A
A,OP6,7500178,3,0,1,0,175,0,3,pi_A
A,OP6,7500179,0,0,0,1,240,1,0,pi_A
A,OP6,7500180,2,0,1,0,240,0,2,pi_A
A,OP6,7500181,1,0,1,0,240,0,1,pi_A
A,OP6,7500182,2,1,1,0,240,0,3,pi_A
A,OP6,7500183,1,0,1,0,240,0,1,pi_A
A,OP6,7500184,0,0,0,1,240,1,0,pi_A
A,OP6,7500185,1,0,1,0,240,0,1,pi_A
A,OP6,7500186,1,0,1,0,240,0,1,pi_A
A,OP6,7500187,3,0,1,0,135,0,3,pi_A
A,OP6,7500188,0,0,0,1,240,1,0,pi_A
A,OP6,7500189,3,0,1,0,82,0,3,pi_A
A,OP6,7500190,3,0,1,0,118,0,3,pi_A
A,OP6,7500191,0,0,0,1,240,1,0,pi_A
A,OP6,7500192,1,0,1,0,240,0,1,pi_A
B,OP7,7500001,0,0,0,1,240,1,0,pi_A
B,OP7,7500002,0,0,0,1,240,1,0,pi_A
B,OP7,7500003,1,0,1,0,240,0,1,pi_A
B,OP7,7500004,1,0,1,0,240,0,1,pi_A
B,OP7,7500005,0,0,0,1,240,1,0,pi_A
B,OP7,7500006,0,0,0,1,240,1,0,pi_A
B,OP7,7500007,1,0,1,0,240,0,1,pi_A
B,OP7,7500008,0,0,0,1,240,1,0,pi_A
B,OP7,7500009,1,0,1,0,240,0,1,pi_A
B,OP7,7500010,1,0,1,0,240,0,1,pi_A
B,OP7,7500011,1,0,1,0,240,0,1,pi_A
B,OP7,7500012,0,0,0,1,240,1,0,pi_A
