first_capture_step,capture_latency,lost_after_leading,capture_conceded,opponent,eval_seed,blue_score,red_score,score_margin,win,loss,draw,terminated,episode_steps,tags_against,tags_for,cooldown_denials,captures_blue,captures_red,drops,pickups,tagged_while_carrying,ever_carried,carried_without_scoring,carry_steps,carry_frac,carrier_unescorted_frac,carrier_pressure_frac,mean_carrier_pressure,max_agents_forward,both_forward_frac,none_forward_frac,mean_team_separation,mean_formation_spread,blue_tagged_frac,cooldown_active_frac,trailing_frac,leading_frac,conceded_first,train_seed
30,30,0,1,OP6,9400000,3.0,2.0,1.0,1,0,0,True,131,5,5,8,3,2,0,3,1,1,0,44,0.33587786259541985,0.38636363636363635,0.3409090909090909,0.2952467841519551,2,0.22137404580152673,0.33587786259541985,0.27012311488048724,0.11765195635740133,0.3816793893129771,0.5343511450381679,0.0,0.5343511450381679,0,3200001
29,29,0,1,OP6,9400001,3.0,1.0,2.0,1,0,0,True,79,1,2,7,3,1,0,3,1,1,0,44,0.5569620253164557,0.5454545454545454,0.2727272727272727,0.3477120026946068,2,0.35443037974683544,0.3291139240506329,0.22492339374804043,0.09563822992428948,0.06329113924050633,0.34177215189873417,0.0,0.5822784810126582,0,3200001
32,32,0,1,OP6,9400002,3.0,2.0,1.0,1,0,0,True,91,4,5,17,3,2,0,3,0,1,0,44,0.4835164835164835,0.36363636363636365,0.5681818181818182,0.20446818135678768,2,0.21978021978021978,0.46153846153846156,0.18224903879748597,0.03851190612364847,0.3626373626373626,0.5164835164835165,0.0,0.17582417582417584,0,3200001
29,29,0,1,OP6,9400003,3.0,2.0,1.0,1,0,0,True,94,3,3,4,3,2,0,3,0,1,0,44,0.46808510638297873,0.45454545454545453,0.2727272727272727,0.3357100020247427,2,0.20212765957446807,0.39361702127659576,0.22085673782102605,0.07590396552683508,0.18085106382978725,0.6276595744680851,0.0,0.07446808510638298,0,3200001
47,47,0,1,OP6,9400004,3.0,2.0,1.0,1,0,0,True,130,5,5,7,3,2,0,3,0,1,0,44,0.3384615384615385,0.1590909090909091,0.25,0.2669684184207158,2,0.16923076923076924,0.4153846153846154,0.22065058485246622,0.06590754953481687,0.45384615384615384,0.5615384615384615,0.0,0.046153846153846156,0,3200001
86,86,0,1,OP6,9400005,3.0,1.0,2.0,1,0,0,True,145,7,9,8,3,1,0,3,0,1,0,43,0.296551724137931,0.5581395348837209,0.4186046511627907,0.24534944938712341,2,0.11724137931034483,0.3724137931034483,0.2540759609177195,0.09076153070681953,0.4068965517241379,0.7448275862068966,0.0,0.2413793103448276,0,3200001
26,26,0,0,OP6,9400006,3.0,0.0,3.0,1,0,0,True,133,7,9,7,3,0,2,5,3,1,0,45,0.3383458646616541,0.4666666666666667,0.5333333333333333,0.2100077384048038,2,0.21052631578947367,0.42105263157894735,0.20741581552682964,0.04994258237302415,0.45112781954887216,0.7969924812030075,0.0,0.8045112781954887,0,3200001
30,30,0,1,OP6,9400007,3.0,2.0,1.0,1,0,0,True,86,2,2,2,3,2,0,3,0,1,0,44,0.5116279069767442,0.2727272727272727,0.25,0.2750953630628911,2,0.10465116279069768,0.5232558139534884,0.22698347651681236,0.08307109815934889,0.23255813953488372,0.4883720930232558,0.0,0.23255813953488372,0,3200001
28,28,0,1,OP6,9400008,3.0,1.0,2.0,1,0,0,True,183,9,12,10,3,1,2,5,4,1,0,47,0.2568306010928962,0.1702127659574468,0.40425531914893614,0.2435594975472765,2,0.31693989071038253,0.4371584699453552,0.15401301119741195,0.05082773613772747,0.4207650273224044,0.7377049180327869,0.0,0.7978142076502732,0,3200001
28,28,1,1,OP6,9400009,2.0,3.0,-1.0,0,1,0,True,110,5,3,3,2,3,2,4,1,1,0,39,0.35454545454545455,0.6666666666666666,0.2564102564102564,0.2720481541294318,2,0.12727272727272726,0.32727272727272727,0.288383842327378,0.10148029847325894,0.42727272727272725,0.5727272727272728,0.0,0.20909090909090908,0,3200001
28,28,1,1,OP6,9400010,2.0,3.0,-1.0,0,1,0,True,104,5,4,4,2,3,1,3,2,1,0,32,0.3076923076923077,0.125,0.46875,0.24531590705737472,2,0.34615384615384615,0.3173076923076923,0.19383649796677324,0.09037972148574297,0.36538461538461536,0.6923076923076923,0.27884615384615385,0.057692307692307696,0,3200001
28,28,1,1,OP6,9400011,2.0,3.0,-1.0,0,1,0,True,100,4,3,3,2,3,1,3,1,1,0,32,0.32,0.1875,0.3125,0.3126259730197489,2,0.2,0.41,0.21684649996459485,0.06555251497527934,0.25,0.52,0.25,0.05,0,3200001
63,63,0,1,OP6,9400012,3.0,2.0,1.0,1,0,0,True,144,8,7,7,3,2,2,5,3,1,0,47,0.3263888888888889,0.5957446808510638,0.3404255319148936,0.23943641678767003,2,0.16666666666666666,0.3125,0.2805459053100397,0.07925701240411501,0.5138888888888888,0.7916666666666666,0.0,0.3125,0,3200001
32,32,0,1,OP6,9400013,3.0,2.0,1.0,1,0,0,True,96,3,3,9,3,2,1,4,1,1,0,46,0.4791666666666667,0.4782608695652174,0.3695652173913043,0.2616213313911272,2,0.3020833333333333,0.3958333333333333,0.19788977356317142,0.06343265417065898,0.34375,0.6041666666666666,0.0,0.3020833333333333,0,3200001
30,30,0,1,OP6,9400014,3.0,2.0,1.0,1,0,0,True,112,4,4,3,3,2,0,3,1,1,0,43,0.38392857142857145,0.18604651162790697,0.4186046511627907,0.25939814321870025,2,0.2857142857142857,0.38392857142857145,0.2145711660850793,0.07292172939976029,0.35714285714285715,0.5892857142857143,0.0,0.19642857142857142,0,3200001
30,30,0,1,OP6,9400015,3.0,1.0,2.0,1,0,0,True,79,2,3,8,3,1,0,3,1,1,0,43,0.5443037974683544,0.4186046511627907,0.27906976744186046,0.2925239291128724,2,0.08860759493670886,0.45569620253164556,0.3059612172125261,0.13054968940522935,0.17721518987341772,0.6329113924050633,0.0,0.620253164556962,0,3200001
29,29,0,1,OP6,9400016,3.0,2.0,1.0,1,0,0,True,102,4,4,5,3,2,0,3,0,1,0,44,0.43137254901960786,0.5454545454545454,0.3409090909090909,0.306388704021546,2,0.029411764705882353,0.3627450980392157,0.25397303349831524,0.04646732909810346,0.3333333333333333,0.5392156862745098,0.0,0.11764705882352941,0,3200001
40,40,0,1,OP6,9400017,3.0,1.0,2.0,1,0,0,True,103,5,4,6,3,1,0,3,1,1,0,44,0.42718446601941745,0.5454545454545454,0.18181818181818182,0.3142232883044265,2,0.06796116504854369,0.46601941747572817,0.25576647598911256,0.07163643385961974,0.3883495145631068,0.5145631067961165,0.0,0.36893203883495146,0,3200001
34,34,0,1,OP6,9400018,3.0,2.0,1.0,1,0,0,True,113,3,4,16,3,2,0,3,0,1,0,44,0.3893805309734513,0.20454545454545456,0.5681818181818182,0.23638438154011965,2,0.20353982300884957,0.3274336283185841,0.2531086540393597,0.08969700989785781,0.25663716814159293,0.39823008849557523,0.0,0.17699115044247787,0,3200001
71,71,0,1,OP6,9400019,3.0,2.0,1.0,1,0,0,True,144,8,7,6,3,2,0,3,1,1,0,43,0.2986111111111111,0.32558139534883723,0.32558139534883723,0.24622489529293637,2,0.2638888888888889,0.5,0.16820599963992006,0.06665941579053146,0.4236111111111111,0.7638888888888888,0.0625,0.2708333333333333,1,3200001
62,62,0,1,OP6,9400020,3.0,1.0,2.0,1,0,0,True,121,4,5,6,3,1,1,4,2,1,0,49,0.4049586776859504,0.3469387755102041,0.30612244897959184,0.2662516221860234,2,0.2727272727272727,0.2892561983471074,0.27202606798449824,0.10261346978324942,0.3140495867768595,0.5537190082644629,0.2396694214876033,0.2396694214876033,1,3200001
34,34,0,1,OP6,9400021,3.0,1.0,2.0,1,0,0,True,96,3,4,4,3,1,1,4,1,1,0,45,0.46875,0.28888888888888886,0.26666666666666666,0.240021486994293,2,0.2916666666666667,0.4479166666666667,0.2264072880304108,0.10154782060029295,0.3333333333333333,0.65625,0.0,0.34375,0,3200001
29,29,0,1,OP6,9400022,3.0,1.0,2.0,1,0,0,True,93,2,6,12,3,1,0,3,2,1,0,44,0.4731182795698925,0.25,0.5,0.2084944209253246,2,0.3548387096774194,0.44086021505376344,0.18604650440555748,0.082493835133225,0.3548387096774194,0.7204301075268817,0.0,0.6129032258064516,0,3200001
37,37,0,0,OP6,9400023,3.0,0.0,3.0,1,0,0,True,139,8,10,9,3,0,2,5,5,1,0,44,0.31654676258992803,0.06818181818181818,0.5909090909090909,0.16090078474107114,2,0.2733812949640288,0.4172661870503597,0.19010473675221848,0.08215854563180813,0.48201438848920863,0.8776978417266187,0.0,0.7338129496402878,0,3200001
