opponent,map,episode_index,episode_seed,c0_json,outcome_z0,outcome_z3
OP9_SPLIT_LANE_FEINT,map_b_split_lane,0,51015,"[0.044748950749635696, 0.49363622069358826, 0.030634410679340363, 0.16488666832447052, 0.60487300157547, 0.27147406339645386, 0.00913248024880886, 0.16600607335567474, 0.5262423157691956, 0.5316954255104065, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4683045744895935, 0.47375768423080444, 0.9747598171234131, 0.9159060716629028, 1.0, 1.0, 0.0, 0.6382012367248535, 0.5315956473350525, 0.0, 0.0, 0.5, 0.5, 0.3339654207229614, 0.0]",3.0,3.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,1,51016,"[0.13813890516757965, 0.48269790410995483, 0.033643610775470734, 0.12050025910139084, 0.5922842025756836, 0.46911731362342834, 0.06279486417770386, 0.020385252311825752, 0.49657344818115234, 0.4784976840019226, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5215023159980774, 0.5034265518188477, 0.9651270508766174, 0.8905508518218994, 1.0, 1.0, 0.0, 0.4709289073944092, 0.37534099817276, 0.0, 0.0, 0.5, 1.0, 0.1911296248435974, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,2,51017,"[0.13485242426395416, 0.14554859697818756, 0.02544856257736683, 0.09781604260206223, 0.5945008397102356, 0.43127328157424927, 0.039477404206991196, 0.1569063365459442, 0.45430511236190796, 0.4907436668872833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5092563629150391, 0.545694887638092, 0.8579859733581543, 0.9084134697914124, 1.0, 1.0, 0.0, 0.5587339997291565, 0.39593806862831116, 0.0, 0.0, 0.5, 0.5, 0.26286864280700684, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,3,51018,"[0.03387439250946045, 0.45924362540245056, 0.01865241304039955, 0.058835167437791824, 0.5378435850143433, 0.3243076205253601, 0.023291900753974915, 0.20203597843647003, 0.5726571679115295, 0.5004858374595642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4995141625404358, 0.42734283208847046, 0.9273749589920044, 0.8226616978645325, 1.0, 1.0, 0.0, 0.5622196197509766, 0.5086758136749268, 0.0, 0.0, 1.0, 0.5, 0.26509523391723633, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,4,51019,"[0.09266598522663116, 0.09926290810108185, 0.021019307896494865, 0.010745609179139137, 0.5627111196517944, 0.3079213500022888, 0.02976558916270733, 0.2833636403083801, 0.5547608137130737, 0.56736159324646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43263840675354004, 0.44523918628692627, 0.756453275680542, 0.7621142268180847, 1.0, 1.0, 0.0, 0.5741698741912842, 0.4241107702255249, 0.0, 0.0, 0.0, 0.0, 0.30852946639060974, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,5,51020,"[0.05623897537589073, 0.42569810152053833, 0.053119197487831116, 0.22647838294506073, 0.6151773929595947, 0.3786442279815674, 0.03527199104428291, 0.10496310889720917, 0.5153355002403259, 0.5154210329055786, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4845789670944214, 0.4846644997596741, 0.8409008979797363, 0.9173786640167236, 1.0, 1.0, 0.0, 0.6116197109222412, 0.4764023721218109, 0.0, 0.0, 0.5, 1.0, 0.3433554768562317, 0.0]",-2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,6,51021,"[0.1294233649969101, 0.4398361146450043, 0.01722370646893978, 0.08371011912822723, 0.5723848342895508, 0.30669859051704407, 0.05252622067928314, 0.08332395553588867, 0.48515069484710693, 0.45062610507011414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5493738651275635, 0.5148493051528931, 0.9584313631057739, 0.9110025763511658, 1.0, 1.0, 0.0, 0.4749302566051483, 0.39637792110443115, 0.0, 0.0, 1.0, 1.0, 0.18396180868148804, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,7,51022,"[0.04218323528766632, 0.4539377689361572, 0.015368347056210041, 0.17596565186977386, 0.6077355146408081, 0.5466305613517761, 0.012914604507386684, 0.11883370578289032, 0.5791786313056946, 0.5549283623695374, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44507163763046265, 0.4208213686943054, 0.9125965237617493, 0.923210620880127, 1.0, 1.0, 0.0, 0.6091874241828918, 0.5384448766708374, 0.0, 0.0, 0.5, 0.5, 0.29616886377334595, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,8,51023,"[0.04147607088088989, 0.18876396119594574, 0.004263735376298428, 0.035015568137168884, 0.5065941214561462, 0.5734366178512573, 0.010416459292173386, 0.011911964043974876, 0.5785704255104065, 0.47357600927352905, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.526423990726471, 0.4214295744895935, 0.8659723997116089, 0.7670873403549194, 1.0, 1.0, 0.0, 0.6043162941932678, 0.5698429346084595, 0.0, 0.0, 0.5, 0.0, 0.051098160445690155, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,9,51024,"[0.08260291814804077, 0.17747928202152252, 0.05301523208618164, 0.030464882031083107, 0.5525169968605042, 0.29821300506591797, 0.005266720894724131, 0.276434063911438, 0.5091921091079712, 0.5349043011665344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4650956988334656, 0.4908078908920288, 0.8486951589584351, 0.774714469909668, 1.0, 1.0, 0.0, 0.5560755729675293, 0.4302615225315094, 0.0, 0.0, 0.5, 0.0, 0.3376293480396271, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,51025,"[0.07699387520551682, 0.48450806736946106, 0.060179032385349274, 0.018599556758999825, 0.5308628678321838, 0.4768576920032501, 0.017071936279535294, 0.18884707987308502, 0.48738065361976624, 0.4817039668560028, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5182960033416748, 0.5126193761825562, 0.8753868937492371, 0.915643036365509, 1.0, 1.0, 0.0, 0.4924114942550659, 0.4102182388305664, 0.0, 0.0, 1.0, 0.5, 0.2526049315929413, 0.0]",-1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,51026,"[0.04502026364207268, 0.38117659091949463, 0.03128066286444664, 0.04184374585747719, 0.5582334995269775, 0.03819473460316658, 0.035113636404275894, 0.035682108253240585, 0.5249325633049011, 0.5318769216537476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.46812307834625244, 0.4750674366950989, 0.9847201108932495, 0.7096714973449707, 1.0, 1.0, 0.0, 0.6176086068153381, 0.51972496509552, 0.0, 0.0, 1.0, 0.0, 0.10230521857738495, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,51027,"[0.08161661773920059, 0.5067363381385803, 0.012157265096902847, 0.05900353565812111, 0.6237212419509888, 0.19996576011180878, 0.011436901986598969, 0.1879200041294098, 0.5159355401992798, 0.5654906034469604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43450939655303955, 0.4840644598007202, 0.9030377864837646, 0.9515985250473022, 1.0, 1.0, 0.0, 0.6475827693939209, 0.5446821451187134, 0.0, 0.0, 0.5, 0.5, 0.2485106885433197, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,51028,"[0.08003214746713638, 0.444063663482666, 0.06871819496154785, 0.004716620314866304, 0.6052356362342834, 0.2649070918560028, 0.0400008000433445, 0.16721142828464508, 0.46220648288726807, 0.5567920207977295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4432079792022705, 0.5377935171127319, 0.8956519365310669, 0.9098571538925171, 1.0, 1.0, 0.0, 0.5815649032592773, 0.4967656433582306, 0.0, 0.0, 1.0, 0.5, 0.24080926179885864, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,51029,"[0.12233443558216095, 0.44930827617645264, 0.014633344486355782, 0.05488113313913345, 0.5882149338722229, 0.1912660151720047, 0.038303766399621964, 0.04325437545776367, 0.4879087805747986, 0.5214216709136963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4785783290863037, 0.5120912194252014, 0.9448732733726501, 0.8782708644866943, 1.0, 1.0, 0.0, 0.5383434891700745, 0.5062315464019775, 0.0, 0.0, 1.0, 0.5, 0.11457499861717224, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,51030,"[0.10179781913757324, 0.3273391127586365, 0.06678585708141327, 0.1624133139848709, 0.5968166589736938, 0.3874852657318115, 0.041257113218307495, 0.12735515832901, 0.4533975124359131, 0.5109715461730957, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4890284538269043, 0.5466024875640869, 0.8322820663452148, 0.8995044827461243, 1.0, 1.0, 0.0, 0.5370444655418396, 0.38778823614120483, 0.0, 0.0, 1.0, 1.0, 0.3094799220561981, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,16,51031,"[0.12882299721240997, 0.1229618713259697, 0.03969790041446686, 0.02080186828970909, 0.5575096607208252, 0.15178732573986053, 0.0038523401599377394, 0.14274537563323975, 0.4807131588459015, 0.48653969168663025, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5134602785110474, 0.5192868709564209, 0.7685295939445496, 0.9243122339248657, 1.0, 1.0, 0.0, 0.453253835439682, 0.41359564661979675, 0.0, 0.0, 0.0, 0.5, 0.18761521577835083, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,17,51032,"[0.07164274901151657, 0.22817623615264893, 0.06431549042463303, 0.18717435002326965, 0.5602954626083374, 0.6110374927520752, 0.010181363672018051, 0.05722304806113243, 0.4691701829433441, 0.538396418094635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.461603581905365, 0.5308297872543335, 0.9101327061653137, 0.7974200248718262, 1.0, 1.0, 0.0, 0.6331177949905396, 0.4560467600822449, 0.0, 0.0, 0.5, 0.0, 0.2560376822948456, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,18,51033,"[0.12906157970428467, 0.2669757604598999, 0.007977054454386234, 0.09551113843917847, 0.5754501819610596, 0.30606234073638916, 0.03892211243510246, 0.24100185930728912, 0.4640881419181824, 0.5044127702713013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49558722972869873, 0.5359118580818176, 0.9330731630325317, 0.7960188388824463, 1.0, 1.0, 0.0, 0.5167943835258484, 0.4400688409805298, 0.0, 0.0, 1.0, 0.0, 0.3399682939052582, 0.0]",1.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,19,51034,"[0.10066795349121094, 0.38678497076034546, 0.01647411286830902, 0.1373605579137802, 0.5820008516311646, 0.5024406909942627, 0.06104583665728569, 0.028917308896780014, 0.5130883455276489, 0.46595361828804016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5340464115142822, 0.4869116544723511, 0.8950017094612122, 0.8557553291320801, 1.0, 1.0, 0.0, 0.5124418139457703, 0.40697360038757324, 0.0, 0.0, 1.0, 1.0, 0.20589345693588257, 0.0]",3.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,20,51035,"[0.08837169408798218, 0.3091391921043396, 0.07986167073249817, 0.22630973160266876, 0.548366129398346, 0.5140649080276489, 0.03621077165007591, 0.14748243987560272, 0.5105034112930298, 0.4416368901729584, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5583630800247192, 0.4894965887069702, 0.807763397693634, 0.9101647138595581, 1.0, 1.0, 0.0, 0.5699240565299988, 0.4458678364753723, 0.0, 0.0, 0.5, 0.5, 0.39185023307800293, 0.0]",3.0,3.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,21,51036,"[0.11643224954605103, 0.388350248336792, 0.017952468246221542, 0.08587449789047241, 0.5418288111686707, 0.15735560655593872, 0.015289444476366043, 0.04394085332751274, 0.46944308280944824, 0.480584979057312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.519415020942688, 0.5305569171905518, 0.9183709025382996, 0.8304929733276367, 1.0, 1.0, 0.0, 0.48982495069503784, 0.4049968719482422, 0.0, 0.0, 1.0, 0.5, 0.13425584137439728, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,22,51037,"[0.06342952698469162, 0.44539564847946167, 0.020612146705389023, 0.17521801590919495, 0.6061986088752747, 0.16853632032871246, 0.04924137890338898, 0.07700046896934509, 0.5644155144691467, 0.5523485541343689, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4476514458656311, 0.43558448553085327, 0.9120820760726929, 0.8790584206581116, 1.0, 1.0, 0.0, 0.6376355290412903, 0.5442909598350525, 0.0, 0.0, 0.5, 0.5, 0.26782527565956116, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,23,51038,"[0.1317777782678604, 0.49970829486846924, 0.0016247357707470655, 0.17002403736114502, 0.5490636229515076, 0.2614224851131439, 0.03227359801530838, 0.14873859286308289, 0.47149232029914856, 0.5069565176963806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4930434823036194, 0.5285077095031738, 0.9359443187713623, 0.9400612115859985, 1.0, 1.0, 0.0, 0.5239040851593018, 0.44337040185928345, 0.0, 0.0, 0.5, 0.5, 0.3222315013408661, 0.0]",2.0,2.0
