opponent,map,episode_index,episode_seed,c0_json,outcome_z0,outcome_z3
OP9_SPLIT_LANE_FEINT,map_b_split_lane,0,9101,"[0.07476440072059631, 0.011505227535963058, 0.03312813490629196, 0.009142584167420864, 0.6141754388809204, 0.45322179794311523, 0.044148389250040054, 0.18661069869995117, 0.5949969291687012, 0.5068291425704956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4931708574295044, 0.40500307083129883, 0.6650243997573853, 0.9076917171478271, 1.0, 1.0, 0.0, 0.7074279189109802, 0.5235133767127991, 0.0, 0.0, 0.0, 0.5, 0.2261284738779068, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,1,9102,"[0.12176380306482315, 0.6038111448287964, 0.03547358885407448, 0.0015077445423230529, 0.6192300319671631, 0.19791467487812042, 0.014824463054537773, 0.08761168271303177, 0.5102424025535583, 0.5674362778663635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4325637221336365, 0.48975759744644165, 0.7507626414299011, 0.9243853092193604, 1.0, 1.0, 0.0, 0.6471187472343445, 0.5741270184516907, 0.0, 0.0, 0.0, 0.5, 0.12436264753341675, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,2,9103,"[0.14085491001605988, 0.5045530200004578, 0.03554755076766014, 0.12883923947811127, 0.6075926423072815, 0.6384100317955017, 0.04769521206617355, 0.01992901973426342, 0.4252161979675293, 0.5563185214996338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4436814785003662, 0.5747838020324707, 0.8920100331306458, 0.7318966388702393, 1.0, 1.0, 0.0, 0.50383061170578, 0.45387697219848633, 0.0, 0.0, 0.5, 0.0, 0.18534459173679352, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,3,9104,"[0.036851488053798676, 0.5633649230003357, 0.01012273970991373, 0.02183653600513935, 0.6173035502433777, 0.5038182735443115, 0.04125707969069481, 0.020601768046617508, 0.5850849151611328, 0.5217055678367615, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4782944321632385, 0.4149150848388672, 0.81053227186203, 0.8679498434066772, 1.0, 1.0, 0.0, 0.5843887329101562, 0.5322759747505188, 0.0, 0.0, 0.5, 1.0, 0.07018359005451202, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,4,9105,"[0.050408124923706055, 0.35781872272491455, 0.04566836357116699, 0.1655023843050003, 0.5697991251945496, 0.3087528347969055, 0.05846412107348442, 0.29663267731666565, 0.5327382683753967, 0.5075126886367798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4924873113632202, 0.46726173162460327, 0.8283477425575256, 0.7326677441596985, 1.0, 1.0, 0.0, 0.6159799695014954, 0.4232896864414215, 0.0, 0.0, 1.0, 0.0, 0.4740268588066101, 0.0]",1.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,5,9106,"[0.08548816293478012, 0.537905216217041, 0.03908826783299446, 0.1077292189002037, 0.5635887980461121, 0.29243671894073486, 0.04634464159607887, 0.2841702103614807, 0.5588645339012146, 0.564460039138794, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43553996086120605, 0.4411354660987854, 0.9196131825447083, 0.7767692804336548, 1.0, 1.0, 0.0, 0.6133310198783875, 0.4902409613132477, 0.0, 0.0, 0.5, 0.0, 0.402525931596756, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,6,9107,"[0.018862953409552574, 0.46592068672180176, 0.0027196910232305527, 0.10490256547927856, 0.5835422873497009, 0.4834134578704834, 0.029835501685738564, 0.06956417113542557, 0.5849452018737793, 0.4867451786994934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5132548213005066, 0.4150547981262207, 0.9449243545532227, 0.9233442544937134, 1.0, 1.0, 0.0, 0.5785844922065735, 0.540153443813324, 0.0, 0.0, 0.5, 1.0, 0.1806301772594452, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,7,9108,"[0.04819559305906296, 0.1529187709093094, 0.01761556603014469, 0.08891717344522476, 0.6093876957893372, 0.4375380277633667, 0.004254606552422047, 0.16569454967975616, 0.546764612197876, 0.5490458011627197, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4509541988372803, 0.453235387802124, 0.8881751298904419, 0.9173240661621094, 1.0, 1.0, 0.0, 0.6512057781219482, 0.5486523509025574, 0.0, 0.0, 0.5, 0.5, 0.2563944458961487, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,8,9109,"[0.0737408995628357, 0.6644397974014282, 0.043006207793951035, 0.005578287411481142, 0.6293726563453674, 0.5347679257392883, 0.03325750678777695, 0.05728770047426224, 0.5785241723060608, 0.5770035982131958, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4229964017868042, 0.4214758276939392, 0.692085862159729, 0.8616124987602234, 1.0, 1.0, 0.0, 0.5728088021278381, 0.4856663942337036, 0.0, 0.0, 0.0, 0.5, 0.10960802435874939, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,9,9110,"[0.12249810248613358, 0.4879004955291748, 0.0380895622074604, 0.030027877539396286, 0.6105282306671143, 0.34332048892974854, 0.023777971044182777, 0.05888405442237854, 0.45263832807540894, 0.5206476449966431, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47935235500335693, 0.5473616719245911, 0.8623033165931702, 0.941063404083252, 1.0, 1.0, 0.0, 0.5132445096969604, 0.4601028561592102, 0.0, 0.0, 1.0, 1.0, 0.11200618743896484, 0.0]",2.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,9111,"[0.11709893494844437, 0.39736875891685486, 0.011760791763663292, 0.14846482872962952, 0.528002917766571, 0.33280494809150696, 0.0017567144241183996, 0.004279068671166897, 0.48363882303237915, 0.4562225341796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5437774658203125, 0.5163611769676208, 0.8802802562713623, 0.9268409609794617, 1.0, 1.0, 0.0, 0.44061052799224854, 0.40528467297554016, 0.0, 0.0, 1.0, 1.0, 0.15355557203292847, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,9112,"[0.06563517451286316, 0.31710147857666016, 0.012872661463916302, 0.09695738554000854, 0.6119000911712646, 0.21643449366092682, 0.04005376994609833, 0.05733494088053703, 0.526024341583252, 0.5375400185585022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4624599814414978, 0.47397565841674805, 0.9389942288398743, 0.9053552746772766, 1.0, 1.0, 0.0, 0.567482590675354, 0.5226609706878662, 0.0, 0.0, 1.0, 1.0, 0.16774815320968628, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,9113,"[0.1225338727235794, 0.08264149725437164, 0.027751101180911064, 0.031425245106220245, 0.6309300065040588, 0.36515963077545166, 0.0005807835841551423, 0.12938939034938812, 0.5427601337432861, 0.5718986988067627, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4281013011932373, 0.45723986625671387, 0.7593065500259399, 0.8786251544952393, 1.0, 1.0, 0.0, 0.5939390659332275, 0.5143168568611145, 0.0, 0.0, 0.0, 1.0, 0.1713152825832367, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,9114,"[0.0822310745716095, 0.3965527415275574, 0.06200198829174042, 0.10148513317108154, 0.5533274412155151, 0.3266371190547943, 0.037183720618486404, 0.28332504630088806, 0.46053650975227356, 0.542826235294342, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45717376470565796, 0.5394635200500488, 0.9060525298118591, 0.7433751225471497, 1.0, 1.0, 0.0, 0.5623235702514648, 0.44910845160484314, 0.0, 0.0, 1.0, 0.0, 0.4046809673309326, 0.0]",1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,9115,"[0.06921219825744629, 0.4831402003765106, 0.06877120584249496, 0.1634846031665802, 0.5199724435806274, 0.4273725152015686, 0.014446153305470943, 0.18971529603004456, 0.5480082035064697, 0.47797176241874695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5220282077789307, 0.4519917964935303, 0.9219814538955688, 0.8663196563720703, 1.0, 1.0, 0.0, 0.5161734819412231, 0.3687278628349304, 0.0, 0.0, 0.5, 0.5, 0.3676248788833618, 0.0]",2.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,9116,"[0.07094746083021164, 0.24208566546440125, 0.0314677432179451, 0.20728449523448944, 0.5785835981369019, 0.5489054918289185, 0.041972193866968155, 0.04883771389722824, 0.5696768164634705, 0.4883952736854553, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5116047263145447, 0.43032318353652954, 0.8992218971252441, 0.8399449586868286, 1.0, 1.0, 0.0, 0.6252306699752808, 0.4997100532054901, 0.0, 0.0, 0.5, 0.5, 0.27405500411987305, 0.0]",1.0,1.0
