opponent,map,episode_index,episode_seed,context_json,context_capture_step,short_episode,prefix_steps,prefix_branch,prefix_checkpoint,candidate_z0_checkpoint,candidate_z3_checkpoint,protocol_version,prefix_state_hash,prefix_action_hash,outcome_z0,outcome_z3
OP9_SPLIT_LANE_FEINT,map_b_split_lane,10,70011,"[0.5832056403160095, 0.38707250356674194, 0.02724567987024784, 0.002131197601556778, 0.3640083968639374, 0.416988730430603, 0.11976667493581772, 0.0459444485604763, 0.0, 0.20512668788433075, 0.0, 1.0, 0.6994189620018005, 0.6790385246276855, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.7948732972145081, 0.9631286263465881, 0.5137366056442261, 0.8814370036125183, 0.5409167408943176, 0.12797124683856964, 0.9453421831130981, 0.22409164905548096, 0.07351045310497284, 1.0, 0.0, 0.0, 0.5, 0.155605748295784, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,69db920f12fbf90969418383e5a40d36b5bd1c8c4f3fc9ee8ed84dcd240851b8,540bbfc69bf08e89f70729a18a7edcc00f311cf8101bde9aa0dd4f8b3fefe1d5,1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,11,70012,"[0.5198994874954224, 0.3355434238910675, 0.016771361231803894, 0.05833091214299202, 0.2686583995819092, 0.31339892745018005, 0.18943248689174652, 0.1303442418575287, 0.07595571130514145, 0.1707112342119217, 0.0, 0.0, 0.7333333492279053, 0.6774534583091736, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.8292887806892395, 0.9240443110466003, 0.5608955025672913, 0.8309767246246338, 1.0, 1.0, 0.0, 0.30087554454803467, 0.09306826442480087, 1.0, 0.5, 0.0, 0.5, 0.2906382083892822, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,86decf8c3131abcdcf456c8d8dedf9c0f9f6469ff358be42c73ff11493038e04,1deb660f637aacb5b743ee53b581a2b6aedac22a0428a35110bbf5574b9dd3fc,1.0,2.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,12,70013,"[0.4623852074146271, 0.4459229111671448, 0.08013743162155151, 0.057817067950963974, 0.30445173382759094, 0.38517433404922485, 0.19168691337108612, 0.005826498847454786, 0.06795768439769745, 0.049334585666656494, 0.0, 0.0, 0.7333333492279053, 0.6046270728111267, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.9506654143333435, 0.9320423007011414, 0.6541512608528137, 0.888614296913147, 1.0, 1.0, 0.0, 0.23334553837776184, 0.04647424444556236, 0.5, 0.5, 0.0, 0.5, 0.2905925512313843, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,05d89b838be9e06aa675c7929966d2c36c406b9e20b3f4b15692d2c0dc3d6e92,5efb86e5b97c4564325c0dd2db18c8b180c01cdf811ae684447ff5202868c03f,1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,13,70014,"[0.4662606120109558, 0.4032106101512909, 0.08520791679620743, 0.10051801055669785, 0.4427124857902527, 0.2316819131374359, 0.011161834932863712, 0.025390611961483955, 0.07102272659540176, 0.3897327482700348, 0.0, 0.0, 0.7333333492279053, 0.6524876952171326, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.6102672815322876, 0.9289772510528564, 0.655232310295105, 0.824026882648468, 1.0, 1.0, 0.0, 0.20511680841445923, 0.10773035138845444, 0.5, 0.0, 0.0, 0.5, 0.15950922667980194, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,e9f06dc98f084312456b52782887bbbc6ac53ade6c437c6ce4a3b6c6e86e652f,7f2d6e3747f2d485bcba4409bdd62e59ae1dc140f2cf162aa0476a2e83592a42,1.0,1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,14,70015,"[0.2976033687591553, 0.3245540261268616, 0.22688907384872437, 0.029007215052843094, 0.2656780183315277, 0.28878268599510193, 0.17072325944900513, 0.04684659466147423, 0.09604384005069733, 0.0, 1.0, 0.0, 0.3667684495449066, 0.6216390132904053, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.9698495268821716, 0.9039561748504639, 0.9999913573265076, 0.8010914921760559, 0.5064033269882202, 0.03015219420194626, 0.6459320187568665, 0.23675556480884552, 0.03015219420194626, 0.5, 0.5, 0.5, 0.5, 0.40576982498168945, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,e1bb82154e15f6d2d43bd2af12e497d0e6c3e0b0d4ca6f4ab78ec9fb5218e85c,00eb705702d44159fd91d818f1c1ad277b8ac324ed38f66eaf0662f5cfd4f6ef,-1.0,-1.0
OP9_SPLIT_LANE_FEINT,map_b_split_lane,15,70016,"[0.32435762882232666, 0.39517372846603394, 0.25364628434181213, 0.041616253554821014, 0.3942875862121582, 0.48727861046791077, 0.1785796731710434, 0.0821700394153595, 0.0, 0.2600672245025635, 0.0, 1.0, 0.36672061681747437, 0.6048943996429443, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.7399327754974365, 0.9136343598365784, 0.9999958872795105, 0.9412489533424377, 0.5140766501426697, 0.03209509700536728, 0.48592472076416016, 0.2956933081150055, 0.03209509700536728, 0.5, 0.0, 0.5, 0.5, 0.45361489057540894, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,4d4a1a7f8d64e2a70b16bdc83eed158503a6124b525867249f31caa2203cc545,060b34e2945155c530feaad6a3f77d9d92d84e176e0a5234466f76de23095c69,1.0,1.0
OP12_LATE_CONVERTER,map_b_split_lane,0,71001,"[0.5396231412887573, 0.398650199174881, 0.02418045699596405, 0.01949809305369854, 0.2690938115119934, 0.3970007300376892, 0.17755800485610962, 0.12308041751384735, 0.04518740996718407, 0.0, 1.0, 0.0, 0.7333333492279053, 0.7159916758537292, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.9176889061927795, 0.9548125863075256, 0.5506014823913574, 0.7729153633117676, 0.5156905651092529, 0.447770893573761, 0.5679091215133667, 0.3094644248485565, 0.12297351658344269, 1.0, 0.5, 0.0, 0.0, 0.24710780382156372, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,45e0da7b20867ad23d34b1d08f127821d10921ace03f0b59629d526862be61fa,1deb660f637aacb5b743ee53b581a2b6aedac22a0428a35110bbf5574b9dd3fc,1.0,1.0
OP12_LATE_CONVERTER,map_b_split_lane,1,71002,"[0.5882653594017029, 0.33134639263153076, 0.01727326214313507, 0.021746644750237465, 0.4577256441116333, 0.36752262711524963, 0.07178366929292679, 0.016140608116984367, 0.0, 0.3152387738227844, 0.0, 1.0, 0.5810868144035339, 0.5110146999359131, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.6847612261772156, 0.9699478149414062, 0.4997183680534363, 0.9223897457122803, 0.5366310477256775, 0.10614074021577835, 0.9444560408592224, 0.14156629145145416, 0.05153016373515129, 1.0, 0.0, 0.0, 0.5, 0.10134788602590561, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,04bbe70308177bc7ab4164468c485af9036b96cf779251848ad0ab04f90cbdb5,540bbfc69bf08e89f70729a18a7edcc00f311cf8101bde9aa0dd4f8b3fefe1d5,1.0,1.0
OP12_LATE_CONVERTER,map_b_split_lane,2,71003,"[0.5315564274787903, 0.3628765642642975, 0.017456820234656334, 0.0486629381775856, 0.31315675377845764, 0.44603633880615234, 0.1441057175397873, 0.015045380219817162, 0.06522639840841293, 0.12516948580741882, 0.0, 0.0, 0.7333333492279053, 0.5674778819084167, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.8748304843902588, 0.9347736239433289, 0.5528354644775391, 0.8204602003097534, 1.0, 1.0, 0.0, 0.24791721999645233, 0.07539824396371841, 1.0, 0.5, 0.0, 0.5, 0.19658832252025604, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,861110d774364d3d31949c10f70ffe98b0d37b548cbc1664ef2427f793010a32,1deb660f637aacb5b743ee53b581a2b6aedac22a0428a35110bbf5574b9dd3fc,1.0,1.0
OP12_LATE_CONVERTER,map_b_split_lane,3,71004,"[0.5077523589134216, 0.4109767973423004, 0.013472882099449635, 0.00759260356426239, 0.2894793152809143, 0.35223835706710815, 0.1969386488199234, 0.013993563130497932, 0.09409376233816147, 0.0, 1.0, 0.0, 0.7333333492279053, 0.6145711541175842, 0.0, 0.0, 0.0, 0.0625, 0.015625, 0.9747553467750549, 0.9059062600135803, 0.5714704394340515, 0.8843594193458557, 0.5086581707000732, 0.4051336646080017, 0.605129599571228, 0.24749736487865448, 0.07385585457086563, 1.0, 0.5, 0.0, 0.5, 0.21290017664432526, 0.0]",15,False,15,1,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_margin_actor_step_3x_kl_ladder_seed1/final_v6i26_lro_kl_ladder_z0_u3_seed1.zip,artifacts/v6i26_lro_niches_round1_seed1/final_v6i26_lro_z3_r1_25u_seed1.zip,level1b_v2,6086316086e3af138753d28143cc1ada35e3eb4151d260e2551b796c377b21a8,1deb660f637aacb5b743ee53b581a2b6aedac22a0428a35110bbf5574b9dd3fc,1.0,1.0
