policy,pole,opponent,episode_seed,blue_score,red_score,win,draw,steps,home_defense_fraction,simultaneous_attackers,enemy_half_occupancy,commitment_timing,commitment_occurred,interception_behavior,interception_eligible_ticks,first_enemy_flag_contact,first_pickup,pickup_occurred,pickup_to_capture,carrier_fraction,capture_count,noncarrier_screen_fraction,screen_eligible_ticks
z0,A,OP6,8900001,3,0,1,0,159,0.610062893081761,0.06918238993710692,0.34276729559748426,11,1,0.5217391304347826,23.0,29,29,1,14,0.27672955974842767,2.0,0.5217391304347826,23.0
z0,A,OP6,8900002,2,0,1,0,240,0.4166666666666667,0.10833333333333334,0.3020833333333333,10,1,0.8375,80.0,16,17,1,40,0.625,2.0,0.8375,80.0
z0,A,OP6,8900003,1,0,1,0,240,0.4375,0.020833333333333332,0.19375,6,1,0.9292035398230089,113.0,12,12,1,32,0.825,1.0,0.9292035398230089,113.0
z0,A,OP6,8900004,2,0,1,0,240,0.49583333333333335,0.09166666666666666,0.36875,7,1,0.2571428571428571,35.0,14,14,1,43,0.2375,2.0,0.2571428571428571,35.0
z0,A,OP6,8900005,0,0,0,1,240,0.4125,0.0125,0.16666666666666666,8,1,0.9316239316239316,117.0,13,14,1,240,0.8875,0.0,0.9316239316239316,117.0
z0,A,OP6,8900006,2,0,1,0,240,0.4375,0.0375,0.29375,8,1,0.8679245283018868,53.0,15,15,1,152,0.4875,2.0,0.8679245283018868,53.0
z0,A,OP6,8900007,3,0,1,0,204,0.4852941176470588,0.049019607843137254,0.2916666666666667,8,1,0.78125,64.0,15,15,1,99,0.6274509803921569,2.0,0.78125,64.0
z0,A,OP6,8900008,1,0,1,0,240,0.375,0.041666666666666664,0.17291666666666666,9,1,0.9444444444444444,108.0,15,15,1,15,0.8833333333333333,1.0,0.9444444444444444,108.0
z0,A,OP6,8900009,3,0,1,0,161,0.577639751552795,0.06832298136645963,0.42857142857142855,9,1,0.5428571428571428,35.0,15,15,1,84,0.3167701863354037,2.0,0.5428571428571428,35.0
z0,A,OP6,8900010,1,0,1,0,240,0.5291666666666667,0.03333333333333333,0.26666666666666666,7,1,1.0,50.0,14,14,1,121,0.4375,1.0,1.0,50.0
z0,A,OP6,8900011,2,0,1,0,240,0.5958333333333333,0.0375,0.3125,8,1,0.825,40.0,27,27,1,139,0.31666666666666665,2.0,0.825,40.0
z0,A,OP6,8900012,0,0,0,1,240,0.37916666666666665,0.03333333333333333,0.17291666666666666,7,1,0.9801980198019802,101.0,12,37,1,240,0.8333333333333334,0.0,0.9801980198019802,101.0
z0,A,OP6,8900013,3,2,1,0,171,0.5906432748538012,0.10526315789473684,0.3157894736842105,9,1,0.5,30.0,16,16,1,31,0.2807017543859649,2.0,0.5,30.0
z0,A,OP6,8900014,0,0,0,1,240,0.3375,0.05,0.15208333333333332,9,1,1.0,97.0,14,15,1,240,0.8375,0.0,1.0,97.0
z0,A,OP6,8900015,1,0,1,0,240,0.45,0.05,0.23958333333333334,10,1,0.8478260869565217,92.0,16,16,1,45,0.7,1.0,0.8478260869565217,92.0
z0,A,OP6,8900016,0,0,0,1,240,0.3958333333333333,0.0125,0.17916666666666667,7,1,0.9473684210526315,95.0,37,37,1,240,0.7833333333333333,0.0,0.9473684210526315,95.0
z0,A,OP6,8900017,3,0,1,0,235,0.5148936170212766,0.10638297872340426,0.3404255319148936,9,1,0.6666666666666666,45.0,29,30,1,47,0.3574468085106383,2.0,0.6666666666666666,45.0
z0,A,OP6,8900018,2,1,1,0,240,0.5041666666666667,0.06666666666666667,0.30416666666666664,20,1,0.7040816326530612,98.0,25,26,1,124,0.6125,2.0,0.7040816326530612,98.0
z0,A,OP6,8900019,1,0,1,0,240,0.38333333333333336,0.1125,0.25625,6,1,0.9558823529411765,68.0,12,13,1,94,0.6083333333333333,1.0,0.9558823529411765,68.0
z0,A,OP6,8900020,3,0,1,0,213,0.6103286384976526,0.018779342723004695,0.34507042253521125,8,1,0.639344262295082,61.0,26,26,1,84,0.4131455399061033,2.0,0.639344262295082,61.0
z0,A,OP6,8900021,3,0,1,0,195,0.4461538461538462,0.05128205128205128,0.3435897435897436,7,1,0.49411764705882355,85.0,14,14,1,45,0.6564102564102564,2.0,0.49411764705882355,85.0
z0,A,OP6,8900022,2,0,1,0,240,0.5166666666666667,0.04583333333333333,0.28541666666666665,6,1,0.8904109589041096,73.0,15,15,1,53,0.5541666666666667,2.0,0.8904109589041096,73.0
z0,A,OP6,8900023,0,0,0,1,240,0.44583333333333336,0.0125,0.17291666666666666,10,1,0.9819819819819819,111.0,15,16,1,240,0.8458333333333333,0.0,0.9819819819819819,111.0
z0,A,OP6,8900024,1,0,1,0,240,0.5708333333333333,0.041666666666666664,0.3458333333333333,20,1,0.7272727272727273,44.0,26,26,1,158,0.30416666666666664,1.0,0.7272727272727273,44.0
z0,A,OP6,8900025,1,0,1,0,240,0.44583333333333336,0.0375,0.22291666666666668,11,1,0.8918918918918919,74.0,29,29,1,15,0.625,1.0,0.8918918918918919,74.0
z0,A,OP6,8900026,3,0,1,0,219,0.5388127853881278,0.1004566210045662,0.4497716894977169,7,1,0.6666666666666666,48.0,12,12,1,86,0.3607305936073059,2.0,0.6666666666666666,48.0
z0,A,OP6,8900027,2,0,1,0,240,0.5625,0.05416666666666667,0.37916666666666665,6,1,0.5714285714285714,42.0,13,13,1,131,0.2875,2.0,0.5714285714285714,42.0
z0,A,OP6,8900028,1,0,1,0,240,0.42916666666666664,0.020833333333333332,0.1625,7,1,0.91,100.0,13,13,1,217,0.7791666666666667,1.0,0.91,100.0
z0,A,OP6,8900029,3,0,1,0,203,0.5911330049261084,0.06896551724137931,0.41625615763546797,10,1,0.5897435897435898,39.0,16,16,1,53,0.29064039408866993,2.0,0.5897435897435898,39.0
z0,A,OP6,8900030,0,0,0,1,240,0.43333333333333335,0.05416666666666667,0.23958333333333334,8,1,0.8833333333333333,60.0,14,14,1,240,0.5125,0.0,0.8833333333333333,60.0
z0,A,OP6,8900031,1,0,1,0,240,0.5291666666666667,0.016666666666666666,0.325,7,1,0.8181818181818182,55.0,25,25,1,53,0.4125,1.0,0.8181818181818182,55.0
z0,A,OP6,8900032,1,0,1,0,240,0.4041666666666667,0.075,0.2604166666666667,8,1,0.96875,64.0,14,14,1,66,0.6,1.0,0.96875,64.0
z0,A,OP6,8900033,2,0,1,0,240,0.5583333333333333,0.08333333333333333,0.3645833333333333,13,1,0.6153846153846154,39.0,19,19,1,185,0.25833333333333336,2.0,0.6153846153846154,39.0
z0,A,OP6,8900034,1,0,1,0,240,0.45,0.03333333333333333,0.23541666666666666,9,1,0.974025974025974,77.0,15,15,1,30,0.6458333333333334,1.0,0.974025974025974,77.0
z0,A,OP6,8900035,3,0,1,0,122,0.5245901639344263,0.09836065573770492,0.4057377049180328,7,1,0.39473684210526316,38.0,14,14,1,45,0.47540983606557374,2.0,0.39473684210526316,38.0
z0,A,OP6,8900036,3,1,1,0,177,0.5480225988700564,0.096045197740113,0.3954802259887006,21,1,0.52,25.0,27,34,1,14,0.2711864406779661,2.0,0.52,25.0
z0,A,OP6,8900037,1,0,1,0,240,0.45,0.03333333333333333,0.22291666666666668,7,1,0.9278350515463918,97.0,28,48,1,14,0.7375,1.0,0.9278350515463918,97.0
z0,A,OP6,8900038,1,0,1,0,240,0.44583333333333336,0.041666666666666664,0.25833333333333336,7,1,0.8526315789473684,95.0,13,13,1,53,0.7166666666666667,1.0,0.8526315789473684,95.0
z0,A,OP6,8900039,3,0,1,0,200,0.49,0.04,0.295,10,1,0.6097560975609756,82.0,26,26,1,15,0.65,2.0,0.6097560975609756,82.0
z0,A,OP6,8900040,2,0,1,0,240,0.5041666666666667,0.13333333333333333,0.33958333333333335,9,1,0.7619047619047619,21.0,16,23,1,36,0.17083333333333334,2.0,0.7619047619047619,21.0
z0,A,OP6,8900041,0,0,0,1,240,0.44166666666666665,0.0125,0.26458333333333334,6,1,0.8923076923076924,65.0,14,15,1,240,0.5666666666666667,0.0,0.8923076923076924,65.0
z0,A,OP6,8900042,2,0,1,0,240,0.5333333333333333,0.05,0.2916666666666667,6,1,0.7051282051282052,78.0,16,16,1,14,0.55,2.0,0.7051282051282052,78.0
z0,A,OP6,8900043,1,1,0,1,240,0.43333333333333335,0.058333333333333334,0.24583333333333332,11,1,0.7529411764705882,85.0,28,29,1,15,0.6833333333333333,1.0,0.7529411764705882,85.0
z0,A,OP6,8900044,2,0,1,0,240,0.6458333333333334,0.020833333333333332,0.29583333333333334,8,1,0.7605633802816901,71.0,16,17,1,73,0.45416666666666666,2.0,0.7605633802816901,71.0
z0,A,OP6,8900045,0,1,0,0,240,0.3541666666666667,0.09166666666666666,0.21041666666666667,9,1,0.9866666666666667,75.0,15,15,1,240,0.6583333333333333,0.0,0.9866666666666667,75.0
z0,A,OP6,8900046,0,0,0,1,240,0.35833333333333334,0.05,0.15833333333333333,8,1,1.0,98.0,15,15,1,240,0.8375,0.0,1.0,98.0
z0,A,OP6,8900047,2,0,1,0,240,0.44583333333333336,0.15833333333333333,0.325,8,1,1.0,8.0,13,14,1,66,0.1625,2.0,1.0,8.0
z0,A,OP6,8900048,3,0,1,0,208,0.47115384615384615,0.0625,0.2980769230769231,7,1,0.9076923076923077,65.0,12,13,1,72,0.6346153846153846,2.0,0.9076923076923077,65.0
z0,A,OP6,8900049,2,1,1,0,240,0.44583333333333336,0.1,0.3229166666666667,7,1,0.8627450980392157,51.0,30,31,1,39,0.42916666666666664,2.0,0.8627450980392157,51.0
z0,A,OP6,8900050,2,0,1,0,240,0.4625,0.025,0.24791666666666667,9,1,0.8349514563106796,103.0,14,15,1,15,0.75,2.0,0.8349514563106796,103.0
z0,A,OP6,8900051,3,0,1,0,163,0.49079754601226994,0.1165644171779141,0.3773006134969325,8,1,0.5,54.0,14,14,1,90,0.5153374233128835,2.0,0.5,54.0
z0,A,OP6,8900052,2,0,1,0,240,0.4791666666666667,0.075,0.325,7,1,0.8571428571428571,35.0,27,27,1,53,0.35,2.0,0.8571428571428571,35.0
z0,A,OP6,8900053,1,0,1,0,240,0.37916666666666665,0.0375,0.17291666666666666,6,1,0.9905660377358491,106.0,12,12,1,14,0.9041666666666667,1.0,0.9905660377358491,106.0
z0,A,OP6,8900054,1,1,0,1,240,0.475,0.075,0.2520833333333333,7,1,0.9852941176470589,68.0,30,30,1,67,0.5333333333333333,1.0,0.9852941176470589,68.0
z0,A,OP6,8900055,2,0,1,0,240,0.4666666666666667,0.041666666666666664,0.2791666666666667,7,1,0.8974358974358975,78.0,16,16,1,136,0.6458333333333334,2.0,0.8974358974358975,78.0
z0,A,OP6,8900056,2,1,1,0,240,0.4583333333333333,0.0875,0.28958333333333336,9,1,0.9166666666666666,60.0,15,15,1,123,0.5083333333333333,2.0,0.9166666666666666,60.0
z0,A,OP6,8900057,0,0,0,1,240,0.4083333333333333,0.0,0.16875,10,1,0.9304347826086956,115.0,25,25,1,240,0.8625,0.0,0.9304347826086956,115.0
z0,A,OP6,8900058,3,0,1,0,143,0.6363636363636364,0.06993006993006994,0.36363636363636365,6,1,0.4117647058823529,34.0,35,35,1,15,0.34965034965034963,2.0,0.4117647058823529,34.0
z0,A,OP6,8900059,3,1,1,0,130,0.7615384615384615,0.06923076923076923,0.2846153846153846,8,1,0.19047619047619047,21.0,14,14,1,66,0.34615384615384615,2.0,0.19047619047619047,21.0
z0,A,OP6,8900060,3,0,1,0,166,0.5783132530120482,0.1144578313253012,0.3704819277108434,6,1,0.8703703703703703,54.0,13,14,1,55,0.42771084337349397,2.0,0.8703703703703703,54.0
z0,A,OP6,8900061,2,0,1,0,240,0.475,0.04583333333333333,0.23333333333333334,12,1,0.8602150537634409,93.0,18,18,1,174,0.7,2.0,0.8602150537634409,93.0
