blue_style,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,9,661010,0,1,3,-2,124,-4.876339313341305,loss,34.0,1,0.6399999856948853
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,9,661010,0,1,1,0,240,-7.429681509616785,draw,143.0,0,0.6800000071525574
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,9,661010,1,3,2,1,100,-2.315578659516177,win,32.0,1,0.8799999952316284
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,9,661010,0,0,3,-3,123,-7.042931600299198,loss,38.0,1,0.5199999809265137
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,10,661011,0,0,3,-3,157,-6.854940417833859,loss,35.0,0,0.6399999856948853
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,10,661011,0,0,2,-2,240,-8.863871166948229,loss,114.0,1,0.7599999904632568
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,10,661011,1,3,2,1,95,-2.8848210236174054,win,34.0,1,0.7599999904632568
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,10,661011,0,1,3,-2,116,-4.472470675944351,loss,31.0,0,0.5999999642372131
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,11,661012,0,1,3,-2,131,-4.8963204658648465,loss,41.0,1,0.8799999952316284
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,11,661012,1,2,0,2,240,-3.1717495890625287,win,81.0,0,0.6800000071525574
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,11,661012,1,3,1,2,101,-2.7741669886272575,win,36.0,1,0.9199999570846558
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,11,661012,0,0,3,-3,224,-10.140213822975056,loss,101.0,0,0.7199999690055847
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,12,661013,0,1,3,-2,138,-5.606924614243326,loss,34.0,1,0.5600000023841858
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,12,661013,1,1,0,1,240,-5.473256328055868,win,238.0,0,0.5999999642372131
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,12,661013,0,2,3,-1,110,-4.142328316142084,loss,37.0,1,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,12,661013,0,1,3,-2,141,-6.5392468162754085,loss,36.0,0,0.6800000071525574
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,13,661014,0,1,3,-2,135,-4.559381005703472,loss,40.0,1,0.7599999904632568
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,13,661014,0,0,2,-2,240,-8.07525409583468,loss,136.0,0,0.8799999952316284
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,13,661014,1,3,1,2,85,-1.3945087495085318,win,36.0,0,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,13,661014,0,0,3,-3,158,-8.113456633203896,loss,36.0,0,0.5199999809265137
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,14,661015,0,0,3,-3,129,-6.11526542835054,loss,37.0,1,0.5199999809265137
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,14,661015,0,0,0,0,240,-8.171581112892454,draw,,0,0.35999998450279236
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,14,661015,1,3,2,1,103,-3.8463065367832314,win,34.0,0,0.7999999523162842
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,14,661015,0,0,3,-3,144,-7.489761425968027,loss,34.0,1,0.47999998927116394
BLUE_RUSH,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,15,661016,0,1,3,-2,131,-4.9258597901207395,loss,36.0,1,0.5999999642372131
BLUE_TURTLE,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,15,661016,0,0,2,-2,240,-11.683488628739724,loss,70.0,0,0.9199999570846558
BLUE_SPLIT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,15,661016,1,3,2,1,99,-2.3157281866297126,win,35.0,1,0.8799999952316284
BLUE_ESCORT,OP6_IMMEDIATE_DUAL_RUSH,map_b_split_lane,15,661016,0,0,3,-3,131,-5.3460416173620615,loss,38.0,0,0.5600000023841858
