episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,55888-1783186148592006700,55888,1048992,16,104,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,104,0.7599999904632568,1,0,1,30,2,8,2,9,1,2,0,3,1,2,0,1,1,1,0,5,32.0,5.49159651536208,1.0,0.5,-0.027769818902015686,0.014999999664723873,1.0,100.0,0.0,0.5540468692779541
2,55888-1783186148592006700,55888,1048996,16,105,2,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,105,0.6800000071525574,1,0,4,22,1,11,4,5,1,3,0,3,0,2,1,0,1,0,1,3,37.0,6.263238234747024,1.0,0.5,-0.007625356316566467,0.0,1.0,100.0,0.0,0.5542696714401245
3,55888-1783186148592006700,55888,1049240,16,166,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,1,2,166,0.7999999523162842,1,0,6,45,14,4,10,3,6,2,1,2,1,0,3,0,0,1,5,2,108.0,6.425331207643072,1.0,0.5,-0.007549837231636047,0.0,1.0,100.0,0.0,0.5542729496955872
4,55888-1783186148592006700,55888,1049316,16,185,1,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP8,7,1,3,1,2,185,0.7999999523162842,1,0,6,60,3,17,1,14,2,6,0,3,1,2,0,4,0,1,1,6,132.0,6.241902449324324,1.0,0.5,0.0014791339635849,0.0,1.0,100.0,0.0,0.5546637177467346
5,55888-1783186148592006700,55888,1049444,16,217,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP12,11,1,3,1,2,112,0.7999999523162842,0,2,3,29,3,7,1,11,1,2,1,2,1,1,0,2,0,1,1,5,43.0,6.523967197963169,1.0,0.5,-0.00783008337020874,0.0,1.0,100.0,0.0,0.5542608499526978
6,55888-1783186148592006700,55888,1049520,16,236,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,0,3,132,0.7999999523162842,1,0,9,26,6,6,2,8,3,3,1,2,0,0,0,2,0,0,2,5,37.0,6.3441753965435606,1.0,0.5,-0.009704932570457458,0.0,1.0,100.0,0.0,0.5541796088218689
7,55888-1783186148592006700,55888,1049724,17,31,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,0,3,121,0.6399999856948853,1,0,4,26,2,11,0,18,2,5,0,3,0,0,0,4,0,0,0,14,38.0,6.343288957580062,1.0,0.5,-0.007926210761070251,0.0,1.0,100.0,0.0,0.5542566776275635
8,55888-1783186148592006700,55888,1049872,17,68,0,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP8,7,1,3,0,3,107,0.7599999904632568,1,0,2,25,6,5,5,4,3,3,1,2,0,0,1,0,0,0,4,2,32.0,5.458506931768399,1.0,0.5,-0.008970856666564941,0.0,1.0,100.0,-0.20000000298023224,0.5186120271682739
9,55888-1783186148592006700,55888,1050132,17,133,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,0,3,204,0.6800000071525574,0,1,4,56,2,22,1,17,2,10,0,3,0,0,1,4,0,0,0,9,35.0,6.2295556161917895,1.0,0.5,-0.00510309636592865,0.0,1.0,100.0,-0.20000000298023224,0.5187886953353882
10,55888-1783186148592006700,55888,1050136,17,134,1,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,0,3,154,0.7599999904632568,1,0,6,53,8,10,6,6,5,4,2,1,0,0,0,1,0,0,4,2,34.0,6.112734707919034,1.0,0.5,-0.007238760590553284,0.0,1.0,100.0,-0.20000000298023224,0.5186911225318909
11,55888-1783186148592006700,55888,1050208,17,152,2,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP10,9,1,3,1,2,121,0.5999999642372131,1,0,3,16,2,14,7,7,1,5,0,3,0,2,2,0,0,1,3,6,66.0,7.183169530442924,1.0,0.5,-0.006867900490760803,0.0,1.0,100.0,-0.20000000298023224,0.5187081098556519
12,55888-1783186148592006700,55888,1050488,17,222,3,OP3,OPPONENT_POOL,train,map_b_split_lane,1,SCRIPTED:OP11,10,1,3,1,2,89,0.6399999856948853,1,0,2,15,3,8,3,6,2,3,0,3,0,1,1,1,1,0,1,4,33.0,6.723102012377106,1.0,0.5,0.005599722266197205,0.0,1.0,100.0,0.0,0.5548420548439026
13,55888-1783186148592006700,55888,1050644,18,5,3,OP3,OPPONENT_POOL,train,map_b_split_lane,0,SCRIPTED:OP9,8,1,3,1,2,109,0.6399999856948853,1,0,6,22,2,8,1,8,2,2,0,3,0,2,0,1,1,0,0,6,44.0,6.466588011575402,1.0,0.5,-0.008714407682418823,0.0,1.0,100.0,0.0,0.5542224645614624
