checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,2,map_b,1,1042,1043,0,0,0,240,-16.052970936580095,0.5199999809265137,0,0,nan,7.051165771484375,neutral,2,draw,4,4,7,0,0,1,0,1,1,13,0,0,0,0,5,159,316,446,445,0,88,240,-0.17332720756530762,0.0,0.0,0.06580616346715638,1.6,0.37083333333333335,0.0,0.12916666666666668,1.3064255516432846,1.5,0.0,0.3009504500582504,0.27857659082704533,0.7457897295554479,0.5624188939730327,0.8145833333333333,-0.10283314152041406,0.6166666666666667,0.6166666666666667,240.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,3,map_b,0,1042,1042,1,3,0,136,-0.5151542210660409,0.6800000071525574,1,3,54.0,5.651173311121323,neutral,3,win,0,0,6,0,0,0,0,4,3,4,1,2,0,0,30,64,178,272,272,0,86,136,0.6564147472381592,100.0,0.6968749761581421,0.08834806817364604,1.1691176470588236,0.21323529411764705,0.5955882352941176,0.4338235294117647,0.6765310694463551,1.4891932559857035,0.014705882352941176,0.18625283333034637,0.294201608555501,0.8783955315456671,0.7404698650626576,0.7444852941176471,0.24791846028323183,0.40441176470588236,0.33088235294117646,136.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,3,map_b,1,1042,1043,0,0,0,240,-16.052970936580095,0.5199999809265137,0,0,nan,7.051165771484375,neutral,3,draw,4,4,7,0,0,1,0,1,1,13,0,0,0,0,5,159,316,446,445,0,88,240,-0.17332720756530762,0.0,0.0,0.06580616346715638,1.45,0.37083333333333335,0.15,0.12916666666666668,1.3064255516432846,1.5,0.0,0.3009504500582504,0.27857659082704533,0.7457897295554479,0.5624188939730327,0.7770833333333333,0.16444507817037832,0.5291666666666667,0.5,240.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,0,map_b_split_lane_v2,0,1142,1142,1,3,2,148,-6.252293819154147,0.5999999642372131,0,1,90.0,6.33379467113598,neutral,0,win,3,3,4,0,0,0,2,6,3,3,0,3,1,4,37,113,146,296,296,0,73,148,0.49236610531806946,100.0,0.0014219507575035095,0.07669289916048984,1.2162162162162162,0.20270270270270271,0.581081081081081,0.27702702702702703,0.9155620874560161,0.9862196106035765,0.5540540540540541,0.2076451191552789,0.2840487634058337,0.8575951859757707,0.7769911917480262,0.7533783783783784,0.170346857990511,0.5878378378378378,0.2635135135135135,148.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,0,map_b_split_lane_v2,1,1142,1143,0,1,2,240,-14.415709100925596,0.5999999642372131,0,-1,32.0,5.868584187825521,neutral,0,loss,2,2,14,0,0,0,13,2,16,0,1,0,3,3,219,24,237,480,480,0,112,240,-0.2748344838619232,0.0,0.01626751571893692,0.08405836320016533,1.1625,0.10416666666666667,0.7208333333333333,0.05,1.3421520088799297,1.3085934314100693,0.24583333333333332,0.28832492789564035,0.2624890750584503,0.7833830930292607,0.6541907484332721,0.7645833333333333,-0.1323357174142104,0.525,0.4,240.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,1,map_b_split_lane_v2,0,1142,1142,1,3,2,139,-4.209543253469747,0.5600000023841858,0,1,63.0,5.053836520627248,neutral,1,win,6,6,4,0,0,0,3,2,2,5,0,3,0,2,13,128,137,278,278,0,95,139,0.6014013290405273,100.0,0.616931140422821,0.04605528732373131,1.4892086330935252,0.5107913669064749,0.0,0.41007194244604317,0.787012489190955,1.1449082154753825,0.37410071942446044,0.17291937540653798,0.30571670375978777,0.8712588548660278,0.7552958945576236,0.7446043165467626,-0.3199596365806719,0.4892086330935252,0.35251798561151076,139.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,1,map_b_split_lane_v2,1,1142,1143,0,0,0,240,-13.930754614470061,0.35999998450279236,0,0,nan,8.162896728515625,neutral,1,draw,2,2,5,0,0,1,0,0,0,11,0,0,0,0,0,142,338,343,342,0,108,240,-0.17429718375205994,0.0,0.0,0.1097908489619537,1.1916666666666667,0.7916666666666666,0.0,0.0625,1.337621889853229,1.5,0.0,0.34714727733905115,0.2092320067885642,0.7475769157210986,0.5681276097893715,0.6041666666666666,-0.1451161393858605,0.31666666666666665,0.20416666666666666,240.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,2,map_b_split_lane_v2,0,1142,1142,1,3,2,139,-4.209543253469747,0.5600000023841858,0,1,63.0,5.053836520627248,neutral,2,win,6,6,4,0,0,0,3,2,2,5,0,3,0,2,13,128,137,278,278,0,95,139,0.6014013290405273,100.0,0.616931140422821,0.04605528732373131,1.4892086330935252,0.5107913669064749,0.0,0.41007194244604317,0.787012489190955,1.1449082154753825,0.37410071942446044,0.17291937540653798,0.30571670375978777,0.8712588548660278,0.7552958945576236,0.7446043165467626,-0.3199596365806719,0.4892086330935252,0.4892086330935252,139.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,2,map_b_split_lane_v2,1,1142,1143,0,0,0,240,-13.920516861253418,0.3999999761581421,0,0,nan,8.147283935546875,neutral,2,draw,2,2,5,0,0,2,0,0,0,11,0,0,0,0,0,142,338,359,357,0,108,240,-0.17429716885089874,0.0,0.0,0.10926645200815983,1.1916666666666667,0.7541666666666667,0.0375,0.0625,1.3372729474989076,1.5,0.0,0.34654764846588176,0.2102634921359519,0.7475769157210986,0.5681276097893715,0.6135416666666667,-0.15744823403301775,0.30833333333333335,0.30833333333333335,240.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,
artifacts/v6i22e_fixed_alpha_adapters_5u_seed1/final_v6i22e_fixed_alpha_adapters_5u_seed1_2v2.zip,OP9,3,map_b_split_lane_v2,0,1142,1142,1,3,2,139,-4.209543253469747,0.5600000023841858,0,1,63.0,5.053836520627248,neutral,3,win,6,6,4,0,0,0,3,2,2,5,0,3,0,2,13,128,137,278,278,0,95,139,0.6014013290405273,100.0,0.616931140422821,0.04605528732373131,1.4892086330935252,0.26618705035971224,0.2446043165467626,0.41007194244604317,0.787012489190955,1.1449082154753825,0.37410071942446044,0.17291937540653798,0.30571670375978777,0.8712588548660278,0.7552958945576236,0.8057553956834532,0.13783307981843587,0.4892086330935252,0.4892086330935252,139.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
