blue_style,red_style,map,episode_index,episode_seed,step,red_index,defender0_left_radius,defender1_left_radius,red_left_blue_side,defender_left_blue_side,target_switched,defender_became_tagged,red_target_became_tagged,carrier_turn_or_lane_change,other,relative_speed_def0,relative_speed_def1,red_x,red_y,red_carrying,def0_target,def1_target
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,155,0,1,1,1,0,1,0,0,0,0,1.471517383527296,1.69758573487356,10.295397758483887,14.490166664123535,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,217,0,1,1,1,0,0,0,1,0,0,0.3097994550400942,0.6206440819795932,6.131095886230469,17.974273681640625,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,24,1,1,1,1,0,0,0,1,0,0,2.0102283655598927,2.2535815038427733,3.5375583171844482,4.601714134216309,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,107,0,1,1,1,0,1,0,1,0,0,0.32466973744132277,0.8101070113662624,7.497153282165527,1.6005854606628418,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,111,1,0,1,0,1,0,0,0,0,0,0.6966208287838144,0.8381900848958033,9.38127326965332,0.0,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,155,0,1,1,1,0,0,0,0,0,0,0.36532054221279886,0.6096800966519244,10.442028999328613,0.0,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,181,0,1,1,1,0,0,0,1,0,0,2.563840926730547,1.2211424521290142,7.404852867126465,2.960331439971924,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,182,1,1,1,1,0,1,0,1,0,0,1.748243141998265,0.1667456263896046,6.949846267700195,4.715208530426025,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,85,0,1,1,1,0,0,0,1,0,0,0.4298267028614996,0.3783755155765494,8.340616226196289,8.364097595214844,0,0,0
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,86,1,1,1,1,0,0,0,1,0,0,1.0190088885240824,1.5859255403357055,7.652431964874268,8.24679183959961,0,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,7,761008,62,1,1,0,0,0,0,0,0,0,0,1.877378645577828,0.6383284737200132,4.603589057922363,9.600052833557129,0,1,1
