blue_style,red_style,map,episode_index,episode_seed,blue_score,red_score,win_margin,steps,time_first_red_midfield_cross,time_both_red_enter_blue_territory,time_first_red_flag_touch,time_first_red_capture,time_blue_counterattack_start,time_first_blue_flag_touch,time_first_blue_capture,red_death_count,blue_death_count,red_carrier_death_count,blue_carrier_death_count,red_tag_count,blue_tag_count,red_carrier_tag_count,blue_carrier_tag_count,post_tag_carrier_event_count,post_tag_counterattack_launch_count,post_tag_blue_flag_touch_count,post_tag_blue_capture_before_red_reentry_count,post_tag_mean_steps_to_blue_flag_touch,post_tag_mean_steps_to_red_reentry,op6_regroup_active_steps,op6_regroup_blue_flag_touch_count,op6_regroup_blue_capture_count,op7_mean_red_lateral_separation,op7_blue_opposite_lane_penetration_steps,op7_min_blue0_to_red_flag,op7_min_blue1_to_red_flag,op7_red0_target_switches,op7_red1_target_switches,op7_both_red_target_same_blue_steps,op7_uncovered_lane_steps,op7_max_consecutive_uncovered_lane_steps,op7_mean_uncovered_blue_progress,op7_flag_touch_during_uncovered_lane,split_flag_touch_count,split_pickup_count,split_touches_per_pickup,split_capture_count,split_capture_given_pickup,split_mean_carrier_lifetime,split_mean_max_return_progress,split_mean_teammate_dist_at_pickup,split_mean_sep_before_pickup,split_mean_sep_after_pickup,split_converged_after_pickup_count,split_noncarrier_flag_pressure_steps,split_noncarrier_support_steps,split_mean_red_retarget_latency_after_pickup,split_carrier_loss_tag_count,split_carrier_loss_capture_count,split_carrier_loss_other_count,pre_touch_min_red0_to_blue,pre_touch_min_red1_to_blue,pre_touch_min_any_red_to_blue,pre_touch_steps_red0_one_defender_in_tag_range,pre_touch_steps_red1_one_defender_in_tag_range,pre_touch_steps_red0_two_defenders_in_tag_range,pre_touch_steps_red1_two_defenders_in_tag_range,pre_touch_steps_any_red_two_defenders_in_tag_range,pre_touch_max_consecutive_red0_two_defenders,pre_touch_max_consecutive_red1_two_defenders,pre_touch_max_consecutive_any_red_two_defenders,pre_touch_max_red0_tag_accumulator,pre_touch_max_red1_tag_accumulator,tag_threshold_seconds,tag_required_consecutive_steps,pre_touch_red0_accumulator_reset_count,pre_touch_red1_accumulator_reset_count,pre_touch_reset_defender0_left_radius,pre_touch_reset_defender1_left_radius,pre_touch_reset_red_left_blue_side,pre_touch_reset_defender_left_blue_side,pre_touch_reset_target_switched,pre_touch_reset_defender_became_tagged,pre_touch_reset_red_target_became_tagged,pre_touch_reset_carrier_turn_or_lane_change,pre_touch_reset_other,pre_touch_mean_reset_relative_speed,pre_touch_path_cross_count,turtle_def0_target_red0_steps,turtle_def0_target_red1_steps,turtle_def0_target_blue_flag_steps,turtle_def0_target_red_flag_steps,turtle_def1_target_red0_steps,turtle_def1_target_red1_steps,turtle_def1_target_blue_flag_steps,turtle_def1_target_red_flag_steps,min_turtle_defender_dist_to_blue_flag,mean_turtle_defender_dist_to_blue_flag,final_both_red_forward,final_blue_had_counterattack
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,2,761003,3,0,3,139,10,34,,,8,20,42,0,0,0,0,1,2,0,2,0,0,0,0,,,0,0,0,1.9098972519524664,31,0.0,0.0,7,7,36,28,13,5.967902521933278,9,5,5,1.0,2,0.4,14.4,10.487843811511993,9.302323031425477,10.375990800003507,10.752061309085953,2,4,6,0.0,2,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,2,761003,0,0,0,240,10,12,,,9,15,,0,0,0,0,0,6,0,5,0,0,0,0,,,0,0,0,1.9623672048250833,48,0.0,0.31717024609466943,46,48,109,8,3,4.549801899836614,7,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,3,761004,0,0,0,240,7,9,,,9,16,,0,0,0,0,0,11,0,5,0,0,0,0,,,0,0,0,2.092871324221293,12,0.0,0.9920997466423793,18,20,62,8,2,2.2585355970594616,8,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,3,761004,0,0,0,240,7,9,,,22,70,,0,0,0,0,5,10,0,1,0,0,0,0,,,0,0,0,1.5633373578389487,11,2.8850941363196916,0.0,32,38,38,2,1,0.07693958282470703,0,0,0,,0,,,,,,,0,0,0,,0,0,0,0.3945785164833069,0.5020374655723572,0.3945785164833069,9,21,8,10,50,3,3,3,0.9900000095367432,0.9900000095367432,1.0,3,3,4,7,7,7,0,2,0,5,0,0,1.0458419720614944,3,92,128,19,1,82,104,0,54,0.2183612883090973,7.819156056828797,1,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,3,761004,3,0,3,101,7,9,,,9,21,50,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,2.346292018890381,14,0.0,0.0,6,8,22,14,6,6.085624567667643,9,3,3,1.0,2,0.6666666666666666,23.666666666666668,14.74245516459147,11.7699875831604,10.298935894171397,11.014562223998594,1,1,3,0.0,0,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,3,761004,1,0,1,240,7,9,222,,9,17,222,0,0,0,0,1,7,0,4,0,0,0,0,,,0,0,0,2.0346136053403217,30,0.0,0.7295540948548639,32,43,92,7,3,4.030536211453951,4,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_RUSH,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,0,0,0,240,10,15,,,8,15,,0,0,0,0,0,10,0,4,0,0,0,0,,,0,0,0,2.1638384759426117,26,0.0,2.110911253813697,17,25,52,4,4,4.705989360809326,4,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_TURTLE,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,0,0,0,240,9,14,,,9,37,,0,0,0,0,6,9,0,1,0,0,0,0,,,0,0,0,1.8731682399908702,3,1.6800192555293112,0.0,33,29,24,2,1,1.0586113929748535,1,0,0,,0,,,,,,,0,0,0,,0,0,0,0.6992358565330505,0.3902401924133301,0.3902401924133301,26,19,11,10,77,4,2,4,0.9900000095367432,0.9900000095367432,1.0,3,5,6,9,9,7,1,2,0,6,0,0,1.0014594794149252,4,108,125,5,2,79,90,0,71,0.967264711856842,7.9086760368198155,1,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,3,1,2,96,26,31,40,66,8,19,40,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,3.768939658999443,24,0.0,0.0,7,3,27,22,12,5.0916058619817095,11,3,3,1.0,2,0.6666666666666666,20.333333333333332,14.959242423375448,8.923686106999716,13.319879354749407,11.716385045989615,2,5,8,5.666666666666667,0,2,1,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
BLUE_ESCORT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,1,2,-1,240,10,15,94,119,8,15,138,0,0,0,0,0,6,0,3,0,0,0,0,,,0,0,0,2.1827856719493868,30,0.0,0.7717687849849126,37,35,81,6,2,4.20040340423584,6,0,0,,0,,,,,,,0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,0.0,0.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,,1,1
