blue_style,red_style,map,episode_index,episode_seed,touch_step,pickup_step,carrier_idx,end_step,loss_cause,carrier_lifetime,max_return_progress,crossed_midfield,reached_capture_zone,captured,carrier_loss_x,carrier_loss_y,min_dist_red0,min_dist_red1,teammate_dist_at_pickup,teammate_lane_before,teammate_lane_after,red_retarget_latency,noncarrier_flag_pressure_steps,noncarrier_support_steps
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,4,761005,75,75,0,95,other,20,14.496516227722168,1,1,0,2.503483772277832,0.1779528707265854,1.3562495197409645,2.2473925899039067,11.053892135620117,-1.0,-1.0,0,2,4
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,19,19,0,46,capture,27,14.752316951751709,1,1,1,2.247683048248291,10.19472885131836,0.7514160957098772,4.850805475228564,5.84760046005249,-1.0,-1.0,0,0,3
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,49,49,1,65,tag,16,5.800005912780762,0,0,0,11.199994087219238,8.779996871948242,1.0566072793194639,0.7549191862787747,15.319709777832031,1.0,1.0,0,0,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,114,114,0,117,tag,3,1.7662992477416992,0,0,0,15.2337007522583,8.275611877441406,1.1318599444050312,0.8867635827189544,13.288908004760742,-1.0,-1.0,0,0,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,153,153,0,156,tag,3,2.4819087982177734,0,0,0,14.518091201782227,11.284299850463867,1.1037591596022545,1.1504585047857356,9.554268836975098,-1.0,-1.0,0,0,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,166,166,1,186,capture,20,14.739434480667114,1,1,1,2.2605655193328857,9.706913948059082,1.2818236909648,3.2100311406230277,11.627080917358398,1.0,1.0,0,0,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,5,761006,188,188,0,207,other,19,16.159696578979492,1,1,0,0.8403034210205078,4.029454231262207,2.2986927788889555,1.1528668715416832,15.613511085510254,-1.0,-1.0,0,0,1
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,19,19,0,38,capture,19,14.793410778045654,1,1,1,2.2065892219543457,10.174657821655273,0.8675543977755055,1.1568710602174128,7.599461555480957,-1.0,-1.0,0,1,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,39,39,1,59,capture,20,14.749783277511597,1,0,1,2.2502167224884033,9.747424125671387,12.746147908497989,1.8806313368848784,16.541751861572266,1.0,1.0,0,0,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,65,65,0,89,tag,24,5.346795082092285,0,0,0,11.98485279083252,12.248963356018066,0.6633186368371597,1.0335713405016385,14.026694297790527,-1.0,-1.0,0,3,3
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,130,130,1,139,tag,9,5.688631057739258,0,0,0,11.311368942260742,8.498983383178711,1.512057323004906,1.0285889113682518,9.270071029663086,1.0,1.0,1,0,0
BLUE_SPLIT,OP8_PROTECTED_CARRIER_ESCORT,map_b_split_lane,6,761007,176,176,1,177,tag,1,0.8202304840087891,0,0,0,16.17976951599121,10.11518669128418,0.8307385743876654,1.2731848834362898,14.670177459716797,1.0,1.0,0,0,0
