checkpoint_step,context,obs_source,episode_index,episode_seed,policy_a,policy_b,pair_type,jsd_all_bits,jsd_macro_bits,argmax_disagreement,macro_disagreement
1000000,C1,G0/s3200001,0,9600000,G0/s3200001,G0/s3200002,within,0.21036177832148562,0.12040314270199087,0.2804878048780488,0.17073170731707318
1000000,C1,G0/s3200001,0,9600000,G0/s3200001,G0/s3200003,within,0.19510674934246883,0.12687464576766194,0.31097560975609756,0.24390243902439024
1000000,C1,G0/s3200001,0,9600000,G0/s3200001,O1/s3300001,between,0.1321770623997227,0.0245737089144661,0.23780487804878048,0.08536585365853659
1000000,C1,G0/s3200001,0,9600000,G0/s3200001,O1/s3300002,between,0.20303791034452823,0.13456350277627277,0.29878048780487804,0.2073170731707317
1000000,C1,G0/s3200001,0,9600000,G0/s3200001,O1/s3300003,between,0.22331849907818874,0.130505943320133,0.2865853658536585,0.18292682926829268
1000000,C1,G0/s3200001,0,9600000,G0/s3200002,G0/s3200003,within,0.21224417639997345,0.13213732231970773,0.2682926829268293,0.17073170731707318
1000000,C1,G0/s3200001,0,9600000,G0/s3200002,O1/s3300001,between,0.2014817160753892,0.11030414688838582,0.2865853658536585,0.18292682926829268
1000000,C1,G0/s3200001,0,9600000,G0/s3200002,O1/s3300002,between,0.22279638033122634,0.1476601758682203,0.2926829268292683,0.2073170731707317
1000000,C1,G0/s3200001,0,9600000,G0/s3200002,O1/s3300003,between,0.2419584526655258,0.15860286228234885,0.27439024390243905,0.18292682926829268
1000000,C1,G0/s3200001,0,9600000,G0/s3200003,O1/s3300001,between,0.17172307975289755,0.07703434915928835,0.2682926829268293,0.15853658536585366
1000000,C1,G0/s3200001,0,9600000,G0/s3200003,O1/s3300002,between,0.19130022732446608,0.10053678062185945,0.27439024390243905,0.18292682926829268
1000000,C1,G0/s3200001,0,9600000,G0/s3200003,O1/s3300003,between,0.2299278821212476,0.121320034503894,0.2682926829268293,0.15853658536585366
1000000,C1,G0/s3200001,0,9600000,O1/s3300001,O1/s3300002,within,0.19834661040561788,0.12544775154656698,0.2865853658536585,0.1951219512195122
1000000,C1,G0/s3200001,0,9600000,O1/s3300001,O1/s3300003,within,0.22077486652875022,0.12299606768072047,0.2804878048780488,0.17073170731707318
1000000,C1,G0/s3200001,0,9600000,O1/s3300002,O1/s3300003,within,0.21305243550622643,0.08300575361585788,0.25609756097560976,0.12195121951219512
1000000,C1,G0/s3200001,1,9600001,G0/s3200001,G0/s3200002,within,0.09826223402204978,0.025686009695794435,0.140625,0.0625
1000000,C1,G0/s3200001,1,9600001,G0/s3200001,G0/s3200003,within,0.12336998504569514,0.08189185289143225,0.203125,0.15625
1000000,C1,G0/s3200001,1,9600001,G0/s3200001,O1/s3300001,between,0.09611008919846459,0.04130525984168188,0.1875,0.125
1000000,C1,G0/s3200001,1,9600001,G0/s3200001,O1/s3300002,between,0.11926338891132435,0.0737853395799606,0.1875,0.125
1000000,C1,G0/s3200001,1,9600001,G0/s3200001,O1/s3300003,between,0.13208502993815266,0.05313124807918099,0.1875,0.125
