checkpoint_step,context,obs_source,episode_index,episode_seed,policy_a,policy_b,pair_type,jsd_all_bits,jsd_macro_bits,argmax_disagreement,macro_disagreement
1000000,C1,G0/s3200001,1,9600001,G0/s3200002,G0/s3200003,within,0.1361993784945629,0.08100238606029635,0.171875,0.09375
1000000,C1,G0/s3200001,1,9600001,G0/s3200002,O1/s3300001,between,0.12157659239657163,0.06519743807357993,0.1875,0.125
1000000,C1,G0/s3200001,1,9600001,G0/s3200002,O1/s3300002,between,0.14043354748270767,0.09266336965876928,0.171875,0.125
1000000,C1,G0/s3200001,1,9600001,G0/s3200002,O1/s3300003,between,0.14102004312360134,0.06197740253472857,0.1875,0.125
1000000,C1,G0/s3200001,1,9600001,G0/s3200003,O1/s3300001,between,0.10819436510293425,0.049735762574262016,0.171875,0.09375
1000000,C1,G0/s3200001,1,9600001,G0/s3200003,O1/s3300002,between,0.1384594358220704,0.09356435841230684,0.203125,0.15625
1000000,C1,G0/s3200001,1,9600001,G0/s3200003,O1/s3300003,between,0.13066778943672971,0.03862735994155799,0.140625,0.03125
1000000,C1,G0/s3200001,1,9600001,O1/s3300001,O1/s3300002,within,0.1065391898882877,0.06017211307180692,0.171875,0.125
1000000,C1,G0/s3200001,1,9600001,O1/s3300001,O1/s3300003,within,0.13785947008308644,0.06793979616771895,0.1875,0.125
1000000,C1,G0/s3200001,1,9600001,O1/s3300002,O1/s3300003,within,0.1511175467530993,0.09060383103637004,0.21875,0.1875
1000000,C1,G0/s3200001,2,9600002,G0/s3200001,G0/s3200002,within,0.10301017607731887,0.05065575833647414,0.14285714285714285,0.07142857142857142
1000000,C1,G0/s3200001,2,9600002,G0/s3200001,G0/s3200003,within,0.10601608041551899,0.05375891964351344,0.14285714285714285,0.07142857142857142
1000000,C1,G0/s3200001,2,9600002,G0/s3200001,O1/s3300001,between,0.06815033406662878,0.020478592588803548,0.14285714285714285,0.07142857142857142
1000000,C1,G0/s3200001,2,9600002,G0/s3200001,O1/s3300002,between,0.14737087130113774,0.13459810716641124,0.17857142857142858,0.14285714285714285
1000000,C1,G0/s3200001,2,9600002,G0/s3200001,O1/s3300003,between,0.11598329708513704,0.053567571573413054,0.14285714285714285,0.07142857142857142
1000000,C1,G0/s3200001,2,9600002,G0/s3200002,G0/s3200003,within,0.08484574654670939,0.005842454591290125,0.10714285714285714,0.0
1000000,C1,G0/s3200001,2,9600002,G0/s3200002,O1/s3300001,between,0.08614265317703793,0.02991090304976315,0.10714285714285714,0.0
1000000,C1,G0/s3200001,2,9600002,G0/s3200002,O1/s3300002,between,0.17267554592974418,0.18146214109788444,0.21428571428571427,0.21428571428571427
1000000,C1,G0/s3200001,2,9600002,G0/s3200002,O1/s3300003,between,0.09510408703752124,0.005233830921306645,0.10714285714285714,0.0
1000000,C1,G0/s3200001,2,9600002,G0/s3200003,O1/s3300001,between,0.08272692283134983,0.03598650997173331,0.10714285714285714,0.0
1000000,C1,G0/s3200001,2,9600002,G0/s3200003,O1/s3300002,between,0.1952812511354689,0.20817251784276727,0.21428571428571427,0.21428571428571427
1000000,C1,G0/s3200001,2,9600002,G0/s3200003,O1/s3300003,between,0.09178615067633022,0.000111454664417618,0.10714285714285714,0.0
1000000,C1,G0/s3200001,2,9600002,O1/s3300001,O1/s3300002,within,0.12770405822626554,0.11082654615830166,0.21428571428571427,0.21428571428571427
1000000,C1,G0/s3200001,2,9600002,O1/s3300001,O1/s3300003,within,0.09548402838718859,0.03561653363767916,0.10714285714285714,0.0
1000000,C1,G0/s3200001,2,9600002,O1/s3300002,O1/s3300003,within,0.19504812558110557,0.20727129189882093,0.21428571428571427,0.21428571428571427
1000000,C1,G0/s3200001,3,9600003,G0/s3200001,G0/s3200002,within,0.2454481251854839,0.14297424632506867,0.3076923076923077,0.15384615384615385
1000000,C1,G0/s3200001,3,9600003,G0/s3200001,G0/s3200003,within,0.23668077561634737,0.12853924342103465,0.3076923076923077,0.17307692307692307
1000000,C1,G0/s3200001,3,9600003,G0/s3200001,O1/s3300001,between,0.17980495197750493,0.0672089524248341,0.2980769230769231,0.1346153846153846
1000000,C1,G0/s3200001,3,9600003,G0/s3200001,O1/s3300002,between,0.18872242343374632,0.07956695981629026,0.2980769230769231,0.1346153846153846
1000000,C1,G0/s3200001,3,9600003,G0/s3200001,O1/s3300003,between,0.2513599884520115,0.13168844742969535,0.3173076923076923,0.17307692307692307
1000000,C1,G0/s3200001,3,9600003,G0/s3200002,G0/s3200003,within,0.25740908404756097,0.1362175862429206,0.3076923076923077,0.17307692307692307
1000000,C1,G0/s3200001,3,9600003,G0/s3200002,O1/s3300001,between,0.23285637917523735,0.11963104308437773,0.3173076923076923,0.17307692307692307
1000000,C1,G0/s3200001,3,9600003,G0/s3200002,O1/s3300002,between,0.24065078716456872,0.14932937113808298,0.3269230769230769,0.21153846153846154
1000000,C1,G0/s3200001,3,9600003,G0/s3200002,O1/s3300003,between,0.24204368764834502,0.10736995220737708,0.3173076923076923,0.17307692307692307
1000000,C1,G0/s3200001,3,9600003,G0/s3200003,O1/s3300001,between,0.20810567403813618,0.09351741955298264,0.2980769230769231,0.15384615384615385
1000000,C1,G0/s3200001,3,9600003,G0/s3200003,O1/s3300002,between,0.24858676884958736,0.14612374016687157,0.33653846153846156,0.23076923076923078
1000000,C1,G0/s3200001,3,9600003,G0/s3200003,O1/s3300003,between,0.23312045558073508,0.09375974033643977,0.2980769230769231,0.15384615384615385
1000000,C1,G0/s3200001,3,9600003,O1/s3300001,O1/s3300002,within,0.18477146111831197,0.08334346500136153,0.2980769230769231,0.15384615384615385
1000000,C1,G0/s3200001,3,9600003,O1/s3300001,O1/s3300003,within,0.24583987864344722,0.1110200651905376,0.3269230769230769,0.19230769230769232
1000000,C1,G0/s3200001,3,9600003,O1/s3300002,O1/s3300003,within,0.2716614317342644,0.17902650451101604,0.36538461538461536,0.3076923076923077
1000000,C1,G0/s3200001,4,9600004,G0/s3200001,G0/s3200002,within,0.11091750963888528,0.04742648325659009,0.1875,0.125
1000000,C1,G0/s3200001,4,9600004,G0/s3200001,G0/s3200003,within,0.13413372819248953,0.11599499546237506,0.25,0.25
1000000,C1,G0/s3200001,4,9600004,G0/s3200001,O1/s3300001,between,0.10189234251331138,0.07300327558330538,0.21875,0.1875
1000000,C1,G0/s3200001,4,9600004,G0/s3200001,O1/s3300002,between,0.09482240091125135,0.016888661674667516,0.125,0.0
1000000,C1,G0/s3200001,4,9600004,G0/s3200001,O1/s3300003,between,0.10442031923527152,0.0410028931060584,0.1875,0.125
1000000,C1,G0/s3200001,4,9600004,G0/s3200002,G0/s3200003,within,0.12695655079419033,0.0707141184483484,0.1875,0.125
1000000,C1,G0/s3200001,4,9600004,G0/s3200002,O1/s3300001,between,0.1313219823219672,0.090598400377657,0.15625,0.0625
1000000,C1,G0/s3200001,4,9600004,G0/s3200002,O1/s3300002,between,0.12384047298394517,0.10022956452053775,0.15625,0.125
1000000,C1,G0/s3200001,4,9600004,G0/s3200002,O1/s3300003,between,0.14239170622286945,0.09496967558388399,0.1875,0.125
1000000,C1,G0/s3200001,4,9600004,G0/s3200003,O1/s3300001,between,0.07508162339892208,0.024781458405593905,0.15625,0.0625
1000000,C1,G0/s3200001,4,9600004,G0/s3200003,O1/s3300002,between,0.17427077590241769,0.15894931247391822,0.25,0.25
1000000,C1,G0/s3200001,4,9600004,G0/s3200003,O1/s3300003,between,0.13651162867970437,0.09233905291041301,0.1875,0.125
1000000,C1,G0/s3200001,4,9600004,O1/s3300001,O1/s3300002,within,0.13791512014231133,0.09887041688030214,0.21875,0.1875
1000000,C1,G0/s3200001,4,9600004,O1/s3300001,O1/s3300003,within,0.10871447493936368,0.04157730743415704,0.15625,0.0625
1000000,C1,G0/s3200001,4,9600004,O1/s3300002,O1/s3300003,within,0.12225368730049593,0.053502308542152446,0.1875,0.125
1000000,C1,G0/s3200001,5,9600005,G0/s3200001,G0/s3200002,within,0.17448832720409646,0.14810859722579345,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200001,G0/s3200003,within,0.13961952424108476,0.12071102175385295,0.2,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200001,O1/s3300001,between,0.1651047142401538,0.15128870941075304,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200001,O1/s3300002,between,0.1454579466645753,0.05316073061658706,0.2,0.1
1000000,C1,G0/s3200001,5,9600005,G0/s3200001,O1/s3300003,between,0.15215674189211553,0.07923723465770807,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200002,G0/s3200003,within,0.14937201154009194,0.07958340100146111,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200002,O1/s3300001,between,0.1631390794283824,0.11119547330701171,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200002,O1/s3300002,between,0.16451388719116283,0.1330186570434277,0.25,0.3
1000000,C1,G0/s3200001,5,9600005,G0/s3200002,O1/s3300003,between,0.1258994579180461,0.029094991096004545,0.15,0.0
1000000,C1,G0/s3200001,5,9600005,G0/s3200003,O1/s3300001,between,0.1197305274321756,0.06197820964603401,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,G0/s3200003,O1/s3300002,between,0.14899936321034699,0.04560877742515265,0.2,0.1
1000000,C1,G0/s3200001,5,9600005,G0/s3200003,O1/s3300003,between,0.16433810157393283,0.08328211282932639,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,O1/s3300001,O1/s3300002,within,0.1469886250414471,0.041472881029733864,0.2,0.1
1000000,C1,G0/s3200001,5,9600005,O1/s3300001,O1/s3300003,within,0.14780194967361832,0.07044247581287386,0.25,0.2
1000000,C1,G0/s3200001,5,9600005,O1/s3300002,O1/s3300003,within,0.16916203381140543,0.07095619255929023,0.3,0.3
1000000,C1,G0/s3200001,6,9600000,G0/s3200001,G0/s3200002,within,0.22743521046098625,0.05708529839197504,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200001,G0/s3200003,within,0.17545256745215884,0.04689071504352737,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200001,O1/s3300001,between,0.12364387616118515,0.0012939155046097204,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200001,O1/s3300002,between,0.20032542397174655,0.17634924737255264,0.5,0.5
1000000,C1,G0/s3200001,6,9600000,G0/s3200001,O1/s3300003,between,0.23710869175177746,0.06761780615153677,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200002,G0/s3200003,within,0.21394647578465936,0.0009374216698530855,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200002,O1/s3300001,between,0.253251659199834,0.042930876313676355,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200002,O1/s3300002,between,0.3790150005083246,0.3673131934544623,0.5,0.5
1000000,C1,G0/s3200001,6,9600000,G0/s3200002,O1/s3300003,between,0.2271390679248752,0.0016203577224533842,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200003,O1/s3300001,between,0.2007325740870618,0.03375549171375981,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,G0/s3200003,O1/s3300002,between,0.3644590231253215,0.34974703598015455,0.5,0.5
1000000,C1,G0/s3200001,6,9600000,G0/s3200003,O1/s3300003,between,0.19566826512469512,0.004499350321029336,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,O1/s3300001,O1/s3300002,within,0.2754817564074685,0.2034450925181568,0.5,0.5
1000000,C1,G0/s3200001,6,9600000,O1/s3300001,O1/s3300003,within,0.22555232290150887,0.05276406230639611,0.25,0.0
1000000,C1,G0/s3200001,6,9600000,O1/s3300002,O1/s3300003,within,0.413980900744399,0.38278814938343514,0.5,0.5
1000000,C1,G0/s3200001,7,9600001,G0/s3200001,G0/s3200002,within,0.26168322391531107,0.07505928042567138,0.35,0.1
1000000,C1,G0/s3200001,7,9600001,G0/s3200001,G0/s3200003,within,0.26359240763680114,0.0992263771447628,0.375,0.15
1000000,C1,G0/s3200001,7,9600001,G0/s3200001,O1/s3300001,between,0.22072235241210506,0.11925778545523016,0.425,0.25
1000000,C1,G0/s3200001,7,9600001,G0/s3200001,O1/s3300002,between,0.22578542474190172,0.07965474675817907,0.4,0.2
1000000,C1,G0/s3200001,7,9600001,G0/s3200001,O1/s3300003,between,0.3276201799452366,0.14994705069090236,0.4,0.2
1000000,C1,G0/s3200001,7,9600001,G0/s3200002,G0/s3200003,within,0.2907733685729649,0.10382347655562088,0.375,0.15
1000000,C1,G0/s3200001,7,9600001,G0/s3200002,O1/s3300001,between,0.2421098410765304,0.06554215019191209,0.35,0.15
1000000,C1,G0/s3200001,7,9600001,G0/s3200002,O1/s3300002,between,0.27484927683995664,0.1291833269003676,0.45,0.3
1000000,C1,G0/s3200001,7,9600001,G0/s3200002,O1/s3300003,between,0.3584810575000986,0.16607342323751811,0.4,0.2
1000000,C1,G0/s3200001,7,9600001,G0/s3200003,O1/s3300001,between,0.2458868749288757,0.10602936919080416,0.4,0.2
1000000,C1,G0/s3200001,7,9600001,G0/s3200003,O1/s3300002,between,0.28630129966753703,0.13055169211578888,0.425,0.25
1000000,C1,G0/s3200001,7,9600001,G0/s3200003,O1/s3300003,between,0.37558442318148555,0.20291330357545964,0.425,0.25
1000000,C1,G0/s3200001,7,9600001,O1/s3300001,O1/s3300002,within,0.2221414897090192,0.09774387563050005,0.475,0.35
1000000,C1,G0/s3200001,7,9600001,O1/s3300001,O1/s3300003,within,0.3550352433109566,0.19568561985368527,0.475,0.35
1000000,C1,G0/s3200001,7,9600001,O1/s3300002,O1/s3300003,within,0.33501589025319956,0.13986505046916733,0.45,0.3
1000000,C1,G0/s3200001,8,9600002,G0/s3200001,G0/s3200002,within,0.19902174122977265,0.06223840280315086,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200001,G0/s3200003,within,0.20500174763159806,0.06804239335940857,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200001,O1/s3300001,between,0.14424771717888746,0.06526614561496408,0.375,0.25
1000000,C1,G0/s3200001,8,9600002,G0/s3200001,O1/s3300002,between,0.18458210994212645,0.03645298987880795,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200001,O1/s3300003,between,0.269607737169418,0.06832162331645784,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200002,G0/s3200003,within,0.17393601795758473,0.0023703701737320506,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200002,O1/s3300001,between,0.1873548310345174,0.1256828037141518,0.375,0.25
1000000,C1,G0/s3200001,8,9600002,G0/s3200002,O1/s3300002,between,0.1833189309619006,0.01995521281672022,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200002,O1/s3300003,between,0.20975336841150333,0.002064900208307189,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200003,O1/s3300001,between,0.23747572422655006,0.1405265833144581,0.375,0.25
1000000,C1,G0/s3200001,8,9600002,G0/s3200003,O1/s3300002,between,0.22587389754006804,0.029214756051944915,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,G0/s3200003,O1/s3300003,between,0.24339843033701608,0.0001668765695147161,0.25,0.0
1000000,C1,G0/s3200001,8,9600002,O1/s3300001,O1/s3300002,within,0.17224470270898856,0.05627588085629168,0.375,0.25
1000000,C1,G0/s3200001,8,9600002,O1/s3300001,O1/s3300003,within,0.2612277456254045,0.14033484953103526,0.375,0.25
1000000,C1,G0/s3200001,8,9600002,O1/s3300002,O1/s3300003,within,0.24088782642930667,0.029049705108080557,0.25,0.0
1000000,C1,G0/s3200001,14,9600002,G0/s3200001,G0/s3200002,within,0.2919370845030951,0.13854466031071178,0.40625,0.1875
1000000,C1,G0/s3200001,14,9600002,G0/s3200001,G0/s3200003,within,0.2824159896320339,0.09118932684572041,0.375,0.125
1000000,C1,G0/s3200001,14,9600002,G0/s3200001,O1/s3300001,between,0.2620481547933711,0.10577564565697724,0.375,0.125
1000000,C1,G0/s3200001,14,9600002,G0/s3200001,O1/s3300002,between,0.30396007779384054,0.1818939688761286,0.40625,0.1875
1000000,C1,G0/s3200001,14,9600002,G0/s3200001,O1/s3300003,between,0.35782273039245727,0.22195361912368056,0.4375,0.25
1000000,C1,G0/s3200001,14,9600002,G0/s3200002,G0/s3200003,within,0.3456836934547571,0.18274589256061502,0.40625,0.1875
1000000,C1,G0/s3200001,14,9600002,G0/s3200002,O1/s3300001,between,0.32967039790122177,0.17000873315118423,0.40625,0.1875
1000000,C1,G0/s3200001,14,9600002,G0/s3200002,O1/s3300002,between,0.34090526634233037,0.1917633419860535,0.4375,0.25
1000000,C1,G0/s3200001,14,9600002,G0/s3200002,O1/s3300003,between,0.40089488278051916,0.2738331969312977,0.4375,0.3125
1000000,C1,G0/s3200001,14,9600002,G0/s3200003,O1/s3300001,between,0.323078027082452,0.11765957018783967,0.375,0.125
1000000,C1,G0/s3200001,14,9600002,G0/s3200003,O1/s3300002,between,0.3248963799655477,0.15334710519195702,0.40625,0.1875
1000000,C1,G0/s3200001,14,9600002,G0/s3200003,O1/s3300003,between,0.4008793621696363,0.2307004576278861,0.4375,0.25
1000000,C1,G0/s3200001,14,9600002,O1/s3300001,O1/s3300002,within,0.3082872656637244,0.14680827918099482,0.40625,0.1875
1000000,C1,G0/s3200001,14,9600002,O1/s3300001,O1/s3300003,within,0.3024590194670822,0.11377105680449442,0.34375,0.125
1000000,C1,G0/s3200001,14,9600002,O1/s3300002,O1/s3300003,within,0.4162387192162513,0.29463948029768006,0.46875,0.3125
1000000,C1,G0/s3200001,15,9600003,G0/s3200001,G0/s3200002,within,0.24535464717245542,0.0712165646186724,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200001,G0/s3200003,within,0.22470598015323945,0.07104591483335378,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200001,O1/s3300001,between,0.181087135614907,0.05718625758248935,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200001,O1/s3300002,between,0.24554609610961275,0.06406675137218422,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200001,O1/s3300003,between,0.20898135580075608,0.019110092757609297,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200002,G0/s3200003,within,0.174748152409638,7.479291560646687e-06,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200002,O1/s3300001,between,0.18388052813178707,0.0026545292066698263,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200002,O1/s3300002,between,0.19296120239812647,0.0010752791166883215,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200002,O1/s3300003,between,0.24307444206828008,0.022393323523062367,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200003,O1/s3300001,between,0.11826983274280735,0.0025525824595275166,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200003,O1/s3300002,between,0.17169983106183825,0.0009916847994533176,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,G0/s3200003,O1/s3300003,between,0.2215519211229217,0.022247161111274796,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,O1/s3300001,O1/s3300002,within,0.16500536115597927,0.0004910603499001412,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,O1/s3300001,O1/s3300003,within,0.19254015498453717,0.012770203589455853,0.25,0.0
1000000,C1,G0/s3200001,15,9600003,O1/s3300002,O1/s3300003,within,0.2473714951090031,0.017092564280337688,0.25,0.0
1000000,C1,G0/s3200001,16,9600004,G0/s3200001,G0/s3200002,within,0.2672174540793486,0.17136606594574558,0.35,0.23333333333333334
1000000,C1,G0/s3200001,16,9600004,G0/s3200001,G0/s3200003,within,0.20628048892960174,0.11019903968393537,0.3333333333333333,0.2
1000000,C1,G0/s3200001,16,9600004,G0/s3200001,O1/s3300001,between,0.1862592462629851,0.06894725762456576,0.2833333333333333,0.1
1000000,C1,G0/s3200001,16,9600004,G0/s3200001,O1/s3300002,between,0.2164485465526395,0.11087453182297356,0.31666666666666665,0.16666666666666666
1000000,C1,G0/s3200001,16,9600004,G0/s3200001,O1/s3300003,between,0.21576177829737359,0.05132169664687462,0.2833333333333333,0.1
1000000,C1,G0/s3200001,16,9600004,G0/s3200002,G0/s3200003,within,0.2829311224739122,0.21506938820052823,0.38333333333333336,0.3
1000000,C1,G0/s3200001,16,9600004,G0/s3200002,O1/s3300001,between,0.2679650403138183,0.17344469815686955,0.36666666666666664,0.26666666666666666
1000000,C1,G0/s3200001,16,9600004,G0/s3200002,O1/s3300002,between,0.28115264422293856,0.182642820552283,0.3333333333333333,0.2
1000000,C1,G0/s3200001,16,9600004,G0/s3200002,O1/s3300003,between,0.27782671011179627,0.15046585626487702,0.3333333333333333,0.2
1000000,C1,G0/s3200001,16,9600004,G0/s3200003,O1/s3300001,between,0.1850280953257515,0.06406804629461589,0.31666666666666665,0.16666666666666666
1000000,C1,G0/s3200001,16,9600004,G0/s3200003,O1/s3300002,between,0.22347610568613233,0.10900699035744911,0.35,0.23333333333333334
1000000,C1,G0/s3200001,16,9600004,G0/s3200003,O1/s3300003,between,0.2599356173667454,0.12642838033408413,0.31666666666666665,0.16666666666666666
1000000,C1,G0/s3200001,16,9600004,O1/s3300001,O1/s3300002,within,0.20897085158648693,0.09590213997244193,0.31666666666666665,0.2
1000000,C1,G0/s3200001,16,9600004,O1/s3300001,O1/s3300003,within,0.23146350448906475,0.09446365288224705,0.2833333333333333,0.13333333333333333
1000000,C1,G0/s3200001,16,9600004,O1/s3300002,O1/s3300003,within,0.28039046613997204,0.15000925646442023,0.3333333333333333,0.2
1000000,C1,G0/s3200001,17,9600005,G0/s3200001,G0/s3200002,within,0.12201389144112684,0.08099067345114207,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,G0/s3200001,G0/s3200003,within,0.07244641680977147,0.012957238753112535,0.16666666666666666,0.0
1000000,C1,G0/s3200001,17,9600005,G0/s3200001,O1/s3300001,between,0.10741935400264369,0.010368426905337394,0.16666666666666666,0.0
1000000,C1,G0/s3200001,17,9600005,G0/s3200001,O1/s3300002,between,0.12356647501086715,0.11126563111015408,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,G0/s3200001,O1/s3300003,between,0.14464411580326275,0.05090272094839713,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,G0/s3200002,G0/s3200003,within,0.1133062807289868,0.03565508622330265,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,G0/s3200002,O1/s3300001,between,0.1578265165718166,0.04477279079807162,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,G0/s3200002,O1/s3300002,between,0.1789199096762039,0.1654395243320985,0.25,0.3333333333333333
1000000,C1,G0/s3200001,17,9600005,G0/s3200002,O1/s3300003,between,0.12952559123097418,0.02355682915181198,0.08333333333333333,0.0
1000000,C1,G0/s3200001,17,9600005,G0/s3200003,O1/s3300001,between,0.10671352567081194,0.0008561222461155321,0.16666666666666666,0.0
1000000,C1,G0/s3200001,17,9600005,G0/s3200003,O1/s3300002,between,0.14385171559258506,0.09773300021351973,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,G0/s3200003,O1/s3300003,between,0.13887295400303867,0.0268873627600676,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,O1/s3300001,O1/s3300002,within,0.16488544751230372,0.08596920640229454,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,O1/s3300001,O1/s3300003,within,0.1565754525153039,0.0359793653338338,0.25,0.16666666666666666
1000000,C1,G0/s3200001,17,9600005,O1/s3300002,O1/s3300003,within,0.21417149996765064,0.18261202426749698,0.3333333333333333,0.3333333333333333
1000000,C1,G0/s3200001,19,9600001,G0/s3200001,G0/s3200002,within,0.20946166537889913,0.10317006242826665,0.2803030303030303,0.15151515151515152
1000000,C1,G0/s3200001,19,9600001,G0/s3200001,G0/s3200003,within,0.19164274589882652,0.10749088950224814,0.2878787878787879,0.16666666666666666
1000000,C1,G0/s3200001,19,9600001,G0/s3200001,O1/s3300001,between,0.1510225748895719,0.06031342512485735,0.2727272727272727,0.13636363636363635
1000000,C1,G0/s3200001,19,9600001,G0/s3200001,O1/s3300002,between,0.197975661277676,0.1388557483018702,0.2878787878787879,0.19696969696969696
1000000,C1,G0/s3200001,19,9600001,G0/s3200001,O1/s3300003,between,0.2167376999711901,0.09154992971689417,0.2727272727272727,0.13636363636363635
1000000,C1,G0/s3200001,19,9600001,G0/s3200002,G0/s3200003,within,0.21344210377595757,0.09126168585078785,0.2727272727272727,0.13636363636363635
