timestamp,telemetry_mode,env_count,rollout_index,rollout_duration_seconds,rollout_transitions,rollout_transitions_per_second,optimization_duration_seconds,optimization_samples,optimization_samples_per_second,peak_allocated_cuda_bytes,peak_reserved_cuda_bytes
1782618761.9899008,off,16,0,16.03065300000162,1024,63.87762245242889,0.342102699996758,1024,2993.2531956330777,1648890368,2822766592
1782618778.8908129,off,16,1,16.54958799999804,1024,61.8746521061504,0.3495809999985795,1024,2929.220981701411,1648890368,2822766592
1782618795.081156,off,16,2,15.82396130000052,1024,64.71198839445887,0.3657098000003316,1024,2800.0343441687137,1648890368,2822766592
1782618811.5594127,off,16,3,16.076800800001365,1024,63.69426434641854,0.40106879999802914,1024,2553.177908640692,1648890368,2822766592
1782618827.8059034,off,16,4,15.88936190000095,1024,64.44563390553391,0.3553193999978248,1024,2881.9141313597534,1648890368,2822766592
1782618844.196102,off,16,5,16.051095700000587,1024,63.79626781491076,0.33738760000051116,1024,3035.084869741652,1648890368,2822766592
1782618860.66782,off,16,6,16.093626199999562,1024,63.627673917269675,0.376906899997266,1024,2716.8512967192373,1648890368,2822766592
1782618877.0435562,off,16,7,16.02878899999996,1024,63.88505082947954,0.3460733000028995,1024,2958.9107278470215,1648890368,2822766592
1782618893.7681098,off,16,8,16.357238799999323,1024,62.602252893687805,0.36548730000140495,1024,2801.7389386609702,1648890368,2822766592
1782618910.676991,off,16,9,16.533966700000747,1024,61.93311130836823,0.3742481000008411,1024,2736.152835505908,1648890368,2822766592
1782618986.4653594,off,64,0,25.571960000001127,4096,160.17544216398818,0.9711026000004495,4096,4217.885937076169,6273231872,7889485824
1782619015.2270477,off,64,1,27.67363100000148,4096,148.01093503052712,1.0871211999983643,4096,3767.7491709352767,6273232896,7889485824
1782619043.3029783,off,64,2,27.105782700000418,4096,151.11166666291976,0.9693649000000732,4096,4225.446991117267,6273232896,7889485824
1782619071.9299126,off,64,3,27.641389399999753,4096,148.1835786445683,0.9838262999983272,4096,4163.336556470349,6273232896,7889485824
1782619097.3253427,off,64,4,24.436324699996476,4096,167.6193146999962,0.9579521000014211,4096,4275.787902123628,6273232896,7889485824
1782619122.7390153,off,64,5,24.466808299999684,4096,167.4104750311896,0.946235200000956,4096,4328.733490358277,6273231872,7889485824
1782619148.4289541,off,64,6,24.77106569999887,4096,165.35421001286136,0.9181169000003138,4096,4461.305526560507,6274149376,7889485824
1782619173.447323,off,64,7,24.03477230000135,4096,170.41975471512038,0.9830105000000913,4096,4166.791707717893,6273232896,7889485824
1782619198.4798186,off,64,8,24.102420499999425,4096,169.94143803939102,0.9285533000002033,4096,4411.163042551358,6273232896,7889485824
1782619224.6683142,off,64,9,25.283881499999552,4096,162.00044285131113,0.903720099999191,4096,4532.376783479383,6273232896,7889485824
1782619607.8424437,off,256,0,51.46872489999805,16384,318.32923842262545,63.17876169999727,16384,259.32765314076596,24608139776,31390171136
1782619723.2100983,off,256,1,52.15699940000195,16384,314.12850026796957,63.20889840000018,16384,259.2040110605685,24494905344,31390171136
1782619857.0733767,off,256,2,54.566640000000916,16384,300.25671362575605,79.29541849999805,16384,206.6197557176699,24494905344,31390171136
1782619994.366946,off,256,3,57.143202800001745,16384,286.7182656412024,80.14967790000082,16384,204.41754014834078,24495889408,31390171136
1782620128.5575666,off,256,4,56.48176700000113,16384,290.07591069166926,77.7078161999998,16384,210.84108138918518,24495888384,31390171136
