episode_id,success,time_to_first_score,time_to_game_over,collisions_per_episode,near_misses_per_episode,collision_free_episode,mean_inter_robot_dist,std_inter_robot_dist,zone_coverage,phase_name,opponent_kind,scripted_tag,blue_score,red_score,opponent_switch_count,vec_schema_version
59,1,65.835,277.2,2443,110,0,1.533,0.89907,0.433333,OP1,scripted,OP1,2,0,0,2
60,0,,277.2,1243,1199,0,1.62035,0.954772,0.25,OP1,scripted,OP1,0,0,0,2
61,0,,277.2,2411,138,0,1.57408,0.894191,0.316667,OP1,scripted,OP1,0,0,0,2
62,0,,277.2,2355,110,0,1.65495,0.993634,0.291667,OP1,scripted,OP1,0,0,0,2
63,1,177.408,277.2,1234,1159,0,1.57698,0.927115,0.3,OP1,scripted,OP1,2,0,0,2
64,1,232.848,277.2,1253,1139,0,1.52007,0.797079,0.25,OP1,scripted,OP1,1,0,0,2
65,1,133.749,277.2,2316,105,0,1.84859,0.968557,0.416667,OP1,scripted,OP1,3,0,0,2
66,0,,277.2,2430,149,0,1.60583,0.944995,0.258333,OP1,scripted,OP1,0,0,0,2
67,1,84.546,277.2,2391,101,0,1.74647,0.896036,0.283333,OP1,scripted,OP1,1,0,0,2
68,1,146.916,277.2,1241,1217,0,1.69503,0.964712,0.325,OP1,scripted,OP1,1,0,0,2
69,1,51.975,153.153,657,424,0,1.66253,0.937431,0.308333,OP1,scripted,OP1,3,0,0,2
70,0,,277.2,2338,133,0,1.73191,0.991374,0.275,OP1,scripted,OP1,0,0,0,2
71,1,222.453,277.2,2352,114,0,1.6334,0.831741,0.325,OP1,scripted,OP1,1,0,0,2
72,1,72.765,277.2,1250,1054,0,1.52803,0.937856,0.291667,OP1,scripted,OP1,1,0,0,2
73,1,101.178,277.2,2414,97,0,1.67621,0.850284,0.333333,OP1,scripted,OP1,2,0,0,2
74,0,,277.2,2321,115,0,1.70725,1.00077,0.408333,OP1,scripted,OP1,0,0,0,2
75,0,,277.2,1290,1209,0,1.60027,0.844842,0.358333,OP1,scripted,OP1,0,0,0,2
76,0,,277.2,2443,102,0,1.6625,1.0496,0.333333,OP1,scripted,OP1,0,0,0,2
77,1,80.388,277.2,2454,122,0,1.54267,0.94725,0.291667,OP1,scripted,OP1,1,0,0,2
78,1,89.397,274.428,1224,996,0,1.77123,0.897418,0.233333,OP1,scripted,OP1,3,0,0,2
79,0,,277.2,2363,101,0,1.72945,0.99815,0.258333,OP1,scripted,OP1,0,0,0,2
80,1,75.537,277.2,2335,137,0,1.44386,0.698768,0.241667,OP1,scripted,OP1,1,0,0,2
81,1,274.428,277.2,2396,96,0,1.78301,1.05683,0.241667,OP1,scripted,OP1,1,0,0,2
82,0,,277.2,2412,146,0,1.49689,0.807053,0.291667,OP1,scripted,OP1,0,0,0,2
83,1,99.099,277.2,1247,1146,0,1.81216,0.968323,0.366667,OP1,scripted,OP1,1,0,0,2
84,1,150.381,277.2,2391,149,0,1.33136,0.789117,0.325,OP1,scripted,OP1,1,0,0,2
85,1,158.004,277.2,2384,118,0,1.57322,0.838846,0.316667,OP1,scripted,OP1,1,0,0,2
86,0,,277.2,2349,164,0,1.76396,1.04007,0.25,OP1,scripted,OP1,0,0,0,2
87,0,,277.2,2338,133,0,1.62919,0.852454,0.25,OP1,scripted,OP1,0,0,0,2
88,1,203.049,277.2,1228,1129,0,1.63192,0.922168,0.375,OP1,scripted,OP1,1,0,0,2
89,0,,277.2,2406,119,0,1.66859,0.937261,0.25,OP1,scripted,OP1,0,0,0,2
90,1,177.408,277.2,2408,133,0,1.53556,0.871502,0.283333,OP1,scripted,OP1,1,0,0,2
91,1,113.652,277.2,2412,120,0,1.81203,0.941059,0.258333,OP1,scripted,OP1,1,0,0,2
92,1,101.871,277.2,1282,1115,0,1.58399,0.93178,0.375,OP1,scripted,OP1,2,0,0,2
93,1,258.489,277.2,2422,114,0,1.62258,0.912845,0.416667,OP1,scripted,OP1,1,0,0,2
94,1,37.422,203.742,885,735,0,1.89818,1.09564,0.3,OP1,scripted,OP1,3,0,0,2
95,1,58.905,277.2,1275,988,0,1.52351,0.86798,0.275,OP1,scripted,OP1,2,0,0,2
96,0,,277.2,2411,109,0,1.83242,0.955143,0.458333,OP1,scripted,OP1,0,0,0,2
97,1,30.492,277.2,1251,1127,0,1.50581,0.818157,0.283333,OP1,scripted,OP1,2,0,0,2
98,1,138.6,225.918,1035,765,0,1.37552,0.850801,0.275,OP1,scripted,OP1,3,0,0,2
99,0,,277.2,1254,1239,0,1.57551,0.796921,0.233333,OP1,scripted,OP1,0,0,0,2
100,1,103.257,277.2,2441,121,0,1.58402,0.954851,0.341667,OP1,scripted,OP1,2,0,0,2
101,1,46.431,175.329,795,570,0,1.63179,1.10579,0.416667,OP1,scripted,OP1,3,0,0,2
102,0,,277.2,2399,128,0,1.54697,0.756065,0.258333,OP1,scripted,OP1,0,0,0,2
103,0,,277.2,2408,129,0,1.75842,0.999142,0.333333,OP1,scripted,OP1,0,0,0,2
104,1,210.672,277.2,1245,1143,0,1.58083,0.8465,0.233333,OP1,scripted,OP1,2,0,0,2
105,1,47.124,130.284,569,288,0,1.41213,1.1158,0.225,OP1,scripted,OP1,3,0,0,2
106,1,45.738,277.2,1231,1151,0,1.63311,0.843681,0.383333,OP1,scripted,OP1,1,0,0,2
107,1,232.848,277.2,2262,135,0,1.75741,1.19279,0.483333,OP1,scripted,OP1,1,0,0,2
108,1,108.108,277.2,2358,96,0,1.89604,1.01595,0.416667,OP1,scripted,OP1,1,0,0,2
109,0,,277.2,2439,137,0,1.55789,0.836256,0.341667,OP1,scripted,OP1,0,0,0,2
110,1,48.51,277.2,2445,115,0,1.55506,0.962603,0.258333,OP1,scripted,OP1,2,0,0,2
111,1,165.627,277.2,2424,123,0,1.70424,0.920064,0.375,OP1,scripted,OP1,2,0,0,2
112,1,60.291,243.243,1099,888,0,1.56499,0.88327,0.25,OP1,scripted,OP1,3,0,0,2
113,1,58.212,277.2,1254,1150,0,1.5116,0.856494,0.325,OP1,scripted,OP1,1,0,0,2
114,1,163.548,277.2,1248,1093,0,1.67588,0.962868,0.316667,OP1,scripted,OP1,2,0,0,2
115,1,65.142,277.2,2379,145,0,1.69401,1.11077,0.35,OP1,scripted,OP1,2,0,0,2
116,1,99.792,277.2,1271,1113,0,1.68944,0.869461,0.283333,OP1,scripted,OP1,1,0,0,2
117,0,,277.2,2373,125,0,1.64306,1.06611,0.308333,OP1,scripted,OP1,0,0,0,2
118,0,,277.2,2425,121,0,1.5666,0.918292,0.2,OP1,scripted,OP1,0,0,0,2
119,0,,277.2,1238,1132,0,1.71433,0.801129,0.308333,OP1,scripted,OP1,0,0,0,2
120,1,32.571,277.2,2403,127,0,1.48914,0.846489,0.266667,OP1,scripted,OP1,2,0,0,2
121,1,142.758,277.2,2401,120,0,1.63879,0.989716,0.266667,OP1,scripted,OP1,2,0,0,2
122,1,37.422,139.293,586,358,0,1.85691,1.14039,0.308333,OP1,scripted,OP1,3,0,0,2
123,1,79.002,277.2,2409,106,0,1.63552,0.89533,0.366667,OP1,scripted,OP1,2,0,0,2
124,0,,277.2,2355,120,0,1.76513,0.990752,0.266667,OP1,scripted,OP1,0,0,0,2
125,1,221.067,277.2,1276,1128,0,1.5905,0.822733,0.316667,OP1,scripted,OP1,1,0,0,2
126,1,60.984,200.97,909,752,0,1.61559,0.930737,0.308333,OP1,scripted,OP1,3,0,0,2
127,0,,277.2,2408,142,0,1.71788,1.02424,0.233333,OP1,scripted,OP1,0,0,0,2
128,1,162.162,277.2,2404,125,0,1.677,0.980169,0.333333,OP1,scripted,OP1,1,0,0,2
129,1,27.72,277.2,2418,124,0,1.56907,0.882602,0.275,OP1,scripted,OP1,1,0,0,2
130,1,86.625,277.2,1281,1067,0,1.44138,0.853663,0.316667,OP1,scripted,OP1,2,0,0,2
131,0,,277.2,1272,1142,0,1.52062,0.93187,0.341667,OP1,scripted,OP1,0,0,0,2
132,1,56.826,277.2,1253,1081,0,1.47182,0.759896,0.266667,OP1,scripted,OP1,2,0,0,2
133,1,30.492,277.2,2330,128,0,1.55734,0.815794,0.325,OP1,scripted,OP1,2,0,0,2
134,0,,277.2,2449,112,0,1.39129,0.752931,0.275,OP1,scripted,OP1,0,0,0,2
135,1,121.968,277.2,2371,156,0,1.41624,0.803187,0.316667,OP1,scripted,OP1,2,0,0,2
136,1,86.625,227.997,1011,858,0,1.69449,0.840879,0.325,OP1,scripted,OP1,3,0,0,2
137,1,207.9,277.2,2360,138,0,1.75627,1.01606,0.225,OP1,scripted,OP1,1,0,0,2
138,0,,277.2,2345,106,0,1.71355,0.91686,0.35,OP1,scripted,OP1,0,0,0,2
139,1,148.302,277.2,1257,1120,0,1.57871,0.855575,0.266667,OP1,scripted,OP1,1,0,0,2
140,1,84.546,277.2,2372,136,0,1.58505,0.804985,0.358333,OP1,scripted,OP1,1,0,0,2
141,1,140.679,277.2,2432,141,0,1.67712,0.978182,0.441667,OP1,scripted,OP1,1,0,0,2
142,0,,277.2,2386,116,0,1.89108,0.991594,0.3,OP1,scripted,OP1,0,0,0,2
143,0,,277.2,1248,1194,0,1.6925,0.966766,0.35,OP1,scripted,OP1,0,0,0,2
144,0,,277.2,2381,115,0,1.60754,0.776977,0.241667,OP1,scripted,OP1,0,0,0,2
145,1,201.663,277.2,2450,110,0,1.57085,0.907947,0.275,OP1,scripted,OP1,2,0,0,2
146,1,42.273,277.2,1249,1115,0,1.603,0.853926,0.316667,OP1,scripted,OP1,1,0,0,2
147,1,50.589,277.2,1263,1105,0,1.64186,0.895358,0.375,OP1,scripted,OP1,1,0,0,2
148,1,99.792,277.2,2410,106,0,1.8965,1.02903,0.275,OP1,scripted,OP1,1,0,0,2
149,1,69.993,176.022,769,592,0,1.41425,0.775453,0.308333,OP1,scripted,OP1,3,0,0,2
150,1,60.291,277.2,1297,1081,0,1.52143,0.91366,0.275,OP1,scripted,OP1,2,0,0,2
151,0,,277.2,2389,113,0,1.58319,0.860073,0.225,OP1,scripted,OP1,0,0,0,2
152,1,100.485,277.2,1249,1132,0,1.54526,0.84279,0.325,OP1,scripted,OP1,1,0,0,2
153,0,,277.2,2331,124,0,1.55147,0.831984,0.266667,OP1,scripted,OP1,0,0,0,2
154,1,223.839,277.2,2383,117,0,1.62022,0.847054,0.3,OP1,scripted,OP1,1,0,0,2
155,0,,277.2,2349,134,0,1.60778,0.866141,0.258333,OP1,scripted,OP1,0,0,0,2
156,1,137.214,277.2,1306,1060,0,1.78425,1.09525,0.341667,OP1,scripted,OP1,2,0,0,2
157,1,77.616,277.2,2443,128,0,1.7257,1.03145,0.4,OP1,scripted,OP1,2,0,0,2
158,1,81.081,277.2,2348,130,0,1.77906,1.0337,0.258333,OP1,scripted,OP1,1,0,0,2
159,1,242.55,277.2,2415,117,0,1.61647,0.791559,0.333333,OP1,scripted,OP1,1,0,0,2
160,1,43.659,254.331,2193,99,0,1.66868,0.872846,0.375,OP1,scripted,OP1,3,0,0,2
161,0,,277.2,1244,1178,0,1.68191,0.875861,0.316667,OP1,scripted,OP1,0,0,0,2
162,1,264.726,277.2,1253,1174,0,1.65716,1.04273,0.416667,OP1,scripted,OP1,1,0,0,2
163,1,114.345,277.2,1259,1087,0,1.67209,1.07263,0.283333,OP1,scripted,OP1,2,0,0,2
164,1,67.914,277.2,1264,1157,0,1.59916,0.944745,0.291667,OP1,scripted,OP1,1,0,0,2
165,1,90.09,277.2,1255,1138,0,1.53529,0.900005,0.291667,OP1,scripted,OP1,2,0,0,2
166,0,,277.2,2340,125,0,1.65291,0.851906,0.4,OP1,scripted,OP1,0,0,0,2
167,1,165.627,277.2,2396,141,0,1.46923,0.758597,0.241667,OP1,scripted,OP1,2,0,0,2
168,1,114.345,277.2,2398,133,0,1.62283,0.929584,0.308333,OP1,scripted,OP1,1,0,0,2
169,0,,277.2,2368,121,0,1.67543,0.853743,0.191667,OP1,scripted,OP1,0,0,0,2
170,1,56.133,250.866,1132,887,0,1.70083,0.983411,0.475,OP1,scripted,OP1,3,0,0,2
171,1,142.065,277.2,1255,1144,0,1.72031,0.887751,0.391667,OP1,scripted,OP1,1,0,0,2
172,1,89.397,277.2,1270,1137,0,1.49833,0.892831,0.275,OP1,scripted,OP1,2,0,0,2
173,1,84.546,277.2,2416,128,0,1.59304,0.878025,0.216667,OP1,scripted,OP1,2,0,0,2
