tick,blue_score,red_score,n_near_home,n_attack_like,blue_x0,blue_x1,blue_x2,blue_x3,blue_y0,blue_y1,blue_y2,blue_y3,forced0,forced1,forced2,forced3,near_home0,near_home1,near_home2,near_home3
0,0,0,2,2,4.157567501068115,3.5333361625671387,3.2357218265533447,1.3420143127441406,17.405317306518555,3.2531068325042725,10.744763374328613,14.178027153015137,0,1,1,0,0,0,1,1
1,0,0,2,2,4.582095623016357,3.894395351409912,3.6554365158081055,1.8154983520507812,17.1605224609375,3.5844452381134033,10.997723579406738,14.051687240600586,0,1,1,0,0,0,1,1
2,0,0,2,2,5.43115234375,3.9783811569213867,4.494865417480469,2.7624664306640625,16.67093276977539,4.560940265655518,11.503643035888672,13.799007415771484,0,1,1,0,0,0,1,1
3,0,0,2,2,6.374548435211182,3.606132745742798,5.42756462097168,3.8146533966064453,16.126943588256836,5.5843424797058105,12.065775871276855,13.5182523727417,0,1,1,0,0,0,1,1
4,0,0,3,1,7.317944526672363,3.233884572982788,6.09627628326416,4.866840362548828,15.582954406738281,6.607745170593262,11.206273078918457,13.237497329711914,0,1,1,0,0,1,1,1
5,0,0,2,2,8.261341094970703,2.8616364002227783,5.322084903717041,5.900230884552002,15.038965225219727,7.631147384643555,10.440408706665039,13.581045150756836,0,1,1,0,0,1,1,0
6,0,0,2,2,9.204736709594727,3.8337080478668213,5.99079704284668,6.933621406555176,14.494975090026855,8.122062683105469,9.58090591430664,13.924592971801758,0,1,1,0,0,1,1,0
7,0,0,2,2,10.148133277893066,4.594517230987549,5.2166056632995605,7.96701192855835,13.9509859085083,7.342902660369873,8.815041542053223,14.26814079284668,0,1,1,0,0,1,1,0
8,0,0,2,2,11.091529846191406,3.911017656326294,5.885317802429199,8.801724433898926,13.40699577331543,6.495111465454102,7.955538272857666,14.545638084411621,0,1,1,0,0,1,1,0
9,0,0,2,1,12.034926414489746,2.9881956577301025,5.11112642288208,9.75412368774414,12.863006591796875,7.0733160972595215,7.18967342376709,14.017568588256836,0,1,1,0,0,1,1,0
10,0,0,2,1,12.978322982788086,2.3046960830688477,4.258904933929443,9.3426513671875,12.319016456604004,6.22552490234375,7.867640495300293,13.009296417236328,0,1,1,0,0,1,1,0
11,0,0,2,1,13.92171859741211,1.3818740844726562,3.484713315963745,8.334994316101074,11.775026321411133,6.80372953414917,7.101776123046875,12.596321105957031,0,1,1,0,0,1,1,0
12,0,0,2,1,14.86511516571045,0.6983745098114014,3.9812302589416504,7.327337741851807,11.231037139892578,5.955938339233398,6.132553577423096,12.183344841003418,0,1,1,0,0,1,1,0
13,0,0,1,2,15.808511734008789,0.0,5.002467155456543,6.319681167602539,10.687047004699707,6.534142971038818,6.510701656341553,11.770368576049805,0,1,1,0,0,1,0,0
14,0,0,2,1,16.457277297973633,0.4647594094276428,4.748018264770508,5.312024116516113,10.312950134277344,7.518988132476807,7.569558143615723,11.357393264770508,0,1,1,0,0,1,1,0
15,0,0,2,1,16.510845184326172,0.0,3.9322876930236816,4.304367542266846,9.225268363952637,7.837000846862793,8.29101848602295,10.944416999816895,0,1,1,0,0,1,1,0
16,0,0,3,0,15.437178611755371,0.0,4.551984786987305,3.296710968017578,9.043168067932129,7.943451881408691,9.186505317687988,10.531440734863281,0,1,1,0,0,1,1,1
17,0,0,3,0,13.944491386413574,2.752755790424999e-05,5.589544773101807,3.5873515605926514,9.411735534667969,7.9434990882873535,8.85576343536377,9.481941223144531,0,1,1,0,0,1,1,1
18,0,0,3,0,12.856809616088867,1.518771387054585e-05,5.3841023445129395,4.675539970397949,9.465303421020508,7.943556308746338,7.786317825317383,9.523972511291504,0,1,1,0,0,1,1,1
19,0,0,3,0,11.76912784576416,0.0,4.297845363616943,5.763728618621826,9.518872261047363,7.943588733673096,7.863564968109131,9.56600284576416,0,1,1,0,0,1,1,1
20,0,0,2,1,10.681446075439453,0.0,4.092402935028076,6.851917266845703,9.572440147399902,7.9436421394348145,6.794118881225586,9.608034133911133,0,1,1,0,0,1,1,0
21,0,0,2,1,9.593764305114746,2.752746695477981e-05,3.00614595413208,7.94010591506958,9.626008033752441,7.943689346313477,6.871366024017334,9.650064468383789,0,1,1,0,0,1,1,0
