tick,blue_score,red_score,n_near_home,n_attack_like,blue_x0,blue_x1,blue_x2,blue_x3,blue_y0,blue_y1,blue_y2,blue_y3,forced0,forced1,forced2,forced3,near_home0,near_home1,near_home2,near_home3
0,0,0,2,2,4.157567501068115,3.5333361625671387,3.2357218265533447,1.3420143127441406,17.405317306518555,3.2531068325042725,10.744763374328613,14.178027153015137,0,0,0,0,0,0,1,1
1,0,0,2,2,4.577089309692383,3.9030404090881348,3.69573712348938,1.7429473400115967,17.15203857421875,3.57477068901062,10.57583999633789,13.896244049072266,0,0,0,0,0,0,1,1
2,0,0,2,2,5.416132926940918,4.642449378967285,4.615767478942871,2.544813394546509,16.645479202270508,4.2180986404418945,10.237994194030762,13.332677841186523,0,0,0,0,0,0,1,1
3,0,0,2,2,6.3484039306640625,5.464014530181885,5.638023376464844,3.4357757568359375,16.0826358795166,4.932907581329346,9.862608909606934,12.706493377685547,0,0,0,0,0,0,1,1
4,0,0,1,3,7.280674934387207,6.285580158233643,6.660279273986816,4.326738357543945,15.519792556762695,5.647716045379639,9.487224578857422,12.08030891418457,0,0,0,0,0,0,0,1
5,0,0,1,3,8.16766357421875,7.2126898765563965,7.747942924499512,5.4013566970825195,14.887991905212402,6.219020366668701,9.54116439819336,11.903910636901855,0,0,0,0,0,0,0,1
6,0,0,0,4,9.054652214050293,8.139800071716309,8.835606575012207,6.475975036621094,14.25619125366211,6.790324687957764,9.595104217529297,11.72751235961914,0,0,0,0,0,0,0,0
7,0,0,0,4,9.941640853881836,8.906107902526855,9.923270225524902,7.550593376159668,13.624390602111816,7.835066318511963,9.649044036865234,11.551114082336426,0,0,0,0,0,0,0,0
8,0,0,0,2,10.828629493713379,9.8765869140625,11.010933876037598,8.625211715698242,12.992589950561523,8.329121589660645,9.702984809875488,11.374715805053711,0,0,0,0,0,0,0,0
9,0,0,0,2,10.306406021118164,9.501031875610352,12.098597526550293,9.699830055236816,12.036972999572754,9.35131549835205,9.756924629211426,11.198317527770996,0,0,0,0,0,0,0,0
10,0,0,0,2,9.248744010925293,8.416081428527832,13.186261177062988,10.77444839477539,11.777603149414062,9.445141792297363,9.81086540222168,11.021920204162598,0,0,0,0,0,0,0,0
11,0,0,0,2,8.191082000732422,7.3311309814453125,14.273924827575684,11.849066734313965,11.518233299255371,9.53896713256836,9.864806175231934,10.845521926879883,0,0,0,0,0,0,0,0
12,0,0,0,2,7.133419990539551,6.246180534362793,15.361588478088379,12.923685073852539,11.258864402770996,9.632793426513672,9.918745994567871,10.669124603271484,0,0,0,0,0,0,0,0
13,0,0,0,2,6.07575798034668,5.161230087280273,16.253704071044922,13.998303413391113,10.999494552612305,9.726618766784668,9.96298885345459,10.49272632598877,0,0,0,0,0,0,0,0
14,0,0,0,2,5.018095970153809,4.076279640197754,16.606891632080078,15.058453559875488,10.740124702453613,9.82044506072998,10.993124961853027,10.24372386932373,0,0,0,0,0,0,0,0
