tick,blue_score,red_score,n_near_home,n_attack_like,blue_x0,blue_x1,blue_x2,blue_x3,blue_y0,blue_y1,blue_y2,blue_y3,forced0,forced1,forced2,forced3,near_home0,near_home1,near_home2,near_home3
0,0,0,2,2,4.157567501068115,3.5333361625671387,3.2357218265533447,1.3420143127441406,17.405317306518555,3.2531068325042725,10.744763374328613,14.178027153015137,0,0,0,0,0,0,1,1
1,0,0,2,2,4.577089309692383,3.9030404090881348,3.69573712348938,1.7429473400115967,17.15203857421875,3.57477068901062,10.57583999633789,13.896244049072266,0,0,0,0,0,0,1,1
2,0,0,2,2,5.416132926940918,4.642449378967285,4.615767478942871,2.544813394546509,16.645479202270508,4.2180986404418945,10.237994194030762,13.332677841186523,0,0,0,0,0,0,1,1
3,0,0,2,2,6.3484039306640625,5.464014530181885,5.638023376464844,3.4357757568359375,16.0826358795166,4.932907581329346,9.862608909606934,12.706493377685547,0,0,0,0,0,0,1,1
4,0,0,1,3,7.280674934387207,6.285580158233643,6.660279273986816,4.326738357543945,15.519792556762695,5.647716045379639,9.487224578857422,12.08030891418457,0,0,0,0,0,0,0,1
5,0,0,1,3,8.16766357421875,7.2126898765563965,7.747942924499512,5.403106212615967,14.887991905212402,6.219020366668701,9.54116439819336,11.91491985321045,0,0,0,0,0,0,0,1
6,0,0,0,4,9.054652214050293,8.139800071716309,8.835606575012207,6.479474067687988,14.25619125366211,6.790324687957764,9.595104217529297,11.749530792236328,0,0,0,0,0,0,0,0
7,0,0,0,4,9.941640853881836,9.066909790039062,9.923270225524902,7.55584192276001,13.624390602111816,7.361629009246826,9.649044036865234,11.584141731262207,0,0,0,0,0,0,0,0
8,0,0,0,4,10.828629493713379,9.994019508361816,11.010933876037598,8.632209777832031,12.992589950561523,7.932933330535889,9.702984809875488,11.418752670288086,0,0,0,0,0,0,0,0
9,0,0,0,4,11.808501243591309,11.038506507873535,12.098597526550293,9.705886840820312,12.517435073852539,8.24110221862793,9.756924629211426,11.236711502075195,0,0,0,0,0,0,0,0
10,0,0,0,4,12.788372993469238,12.082993507385254,13.186261177062988,10.779563903808594,12.042280197143555,8.549270629882812,9.81086540222168,11.054670333862305,0,0,0,0,0,0,0,0
11,0,0,0,4,13.768244743347168,13.127480506896973,14.273924827575684,11.853240966796875,11.56712532043457,8.857439041137695,9.864806175231934,10.872629165649414,0,0,0,0,0,0,0,0
12,0,0,0,3,14.748116493225098,14.171967506408691,15.361588478088379,12.926918029785156,11.091971397399902,9.165607452392578,9.918745994567871,10.690587997436523,0,0,0,0,0,0,0,0
13,0,0,0,3,15.727988243103027,15.21645450592041,16.253704071044922,12.873409271240234,10.616816520690918,9.473776817321777,9.96298885345459,9.602903366088867,0,0,0,0,0,0,0,0
14,0,0,0,3,16.412221908569336,15.472318649291992,16.606891632080078,11.787049293518066,10.543193817138672,9.346999168395996,10.993124961853027,9.527125358581543,0,0,0,0,0,0,0,0
