update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_persist_loss,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,episode_z_0_count,episode_z_0_win_rate,episode_z_0_blue_score_mean,episode_z_0_red_score_mean,episode_z_0_win_margin_mean,episode_z_1_count,episode_z_1_win_rate,episode_z_1_blue_score_mean,episode_z_1_red_score_mean,episode_z_1_win_margin_mean,episode_z_2_count,episode_z_2_win_rate,episode_z_2_blue_score_mean,episode_z_2_red_score_mean,episode_z_2_win_margin_mean,episode_z_3_count,episode_z_3_win_rate,episode_z_3_blue_score_mean,episode_z_3_red_score_mean,episode_z_3_win_margin_mean
1,16384,875,428,306,141,0.48914285714285716,0.44,0.43,-0.01284804567694664,0.22921757400035858,-0.06882591545581818,0.5121995806694031,875,428,306,141,0.48914285714285716,0.15885714285714286,2.611428571428571,2.4525714285714284,-0.003469228744506836,0.003143310546875,0.007916259579360485,0.0013768142089247704,0.02671191096305847,0.00579833984375,0.579833984375,-0.07662353664636612,-0.01284804567694664,1.3509027970333893e-09,0.2637764977601667,2.960239514708519,0.0,0.0,0.10257832046287756,0.0,1.3835602551698685,0.0,0.05389404296875,4.0,2.0,0.0,0.0,0.05389404296875,,,,,0.0,0.20989990234375,0.2799072265625,0.2847900390625,0.22540283203125,186,0.5268817204301075,2.6129032258064515,2.4086021505376345,0.20430107526881722,243,0.49794238683127573,2.6131687242798356,2.4238683127572016,0.18930041152263374,249,0.4819277108433735,2.5542168674698793,2.4738955823293174,0.08032128514056225,197,0.4517766497461929,2.6802030456852792,2.50253807106599,0.17766497461928935
1,16384,876,434,312,130,0.4954337899543379,0.44,0.48,-0.01006600446999073,0.2325229048728943,-0.045709364116191864,0.514580249786377,876,434,312,130,0.4954337899543379,0.17579908675799086,2.6164383561643834,2.4406392694063928,-0.0042182207107543945,0.00347900390625,0.01252441480755806,0.0013326823245733976,0.027408400550484657,0.012451171875,1.2451171875,-0.07626953721046448,-0.01006600446999073,-0.016704516606599402,0.2483902690000832,2.9929422065615654,0.006971973848825049,0.060750325520833336,0.13168211188167334,0.000491808,1.3861402881642182,0.0,0.053955078125,4.0,2.0,0.0,0.0,0.053955078125,,,,,0.0,0.2142333984375,0.2506103515625,0.2723388671875,0.2628173828125,190,0.5052631578947369,2.6526315789473682,2.4105263157894736,0.24210526315789474,220,0.38181818181818183,2.5318181818181817,2.590909090909091,-0.05909090909090909,237,0.5527426160337553,2.6455696202531644,2.3755274261603376,0.270042194092827,229,0.537117903930131,2.6375545851528384,2.388646288209607,0.24890829694323144
2,32768,1763,869,623,271,0.49290981281905843,0.5,0.465,-0.011384055018424988,0.23076188564300537,0.05881422385573387,0.5132058262825012,887,435,311,141,0.4904171364148816,0.14994363021420518,2.61217587373168,2.462232243517475,0.0036590099334716797,0.003265380859375,0.00994873046875,0.0012004078598693013,0.02679479494690895,0.0093994140625,0.93994140625,-0.07581787556409836,-0.011384055018424988,-0.03339192573602001,0.24814152240753173,2.981125446955363,0.013748901082823674,0.1249609375,0.18626536458730697,0.000483616,1.3862523619333904,0.0,0.054388020833333335,4.0,2.0,0.0,0.0,0.05413818359375,,,,,0.0,0.23193359375,0.2529296875,0.27081298828125,0.24432373046875,205,0.4097560975609756,2.5317073170731708,2.5170731707317073,0.014634146341463415,224,0.4330357142857143,2.5625,2.544642857142857,0.017857142857142856,242,0.5454545454545454,2.665289256198347,2.3925619834710745,0.2727272727272727,216,0.5648148148148148,2.6805555555555554,2.4027777777777777,0.2777777777777778
3,49152,2646,1324,940,382,0.5003779289493575,0.54,0.52,-0.010799532756209373,0.23189948499202728,0.009426233358681202,0.5177143216133118,883,455,317,111,0.5152887882219706,0.1823329558323896,2.622876557191393,2.4405436013590034,0.010075569152832031,0.005035400390625,0.009722900576889515,0.00129521987400949,0.026672810316085815,0.0107421875,1.07421875,-0.07697753608226776,-0.010799532756209373,-0.02588616474531591,0.25437660593735545,2.955813401623776,0.014894748723906415,0.12425472861842106,0.22917124119244123,0.000475424,1.3862671412919696,0.0,0.05450760690789474,4.0,0.0,0.0,0.0,0.05389404296875,,,,,0.0,0.2640380859375,0.24176025390625,0.23651123046875,0.2576904296875,235,0.5191489361702127,2.6340425531914895,2.4170212765957446,0.2170212765957447,212,0.49528301886792453,2.6367924528301887,2.4764150943396226,0.16037735849056603,207,0.5217391304347826,2.608695652173913,2.4396135265700485,0.16908212560386474,229,0.5240174672489083,2.611353711790393,2.432314410480349,0.17903930131004367
4,65536,3529,1771,1246,512,0.5018418815528478,0.48,0.49,-0.010926742106676102,0.23139670491218567,0.020423222333192825,0.4984925389289856,883,447,306,130,0.5062287655719139,0.20271800679501698,2.638731596828992,2.436013590033975,0.035476863384246826,0.004638671875,0.01031494140625,0.0011664710473269224,0.026976412162184715,0.0098876953125,0.98876953125,-0.07655028998851776,-0.010926742106676102,-0.020385492762381382,0.2354822118173946,2.925618821924383,0.0154134301119484,0.12464488636363637,0.2680937932296233,0.000467232,1.3862722606369944,0.0,0.05421401515151515,4.0,1.0,0.0,0.0,0.05389404296875,,,,,0.0,0.2396240234375,0.26068115234375,0.24102783203125,0.2586669921875,212,0.5141509433962265,2.6273584905660377,2.438679245283019,0.18867924528301888,232,0.5043103448275862,2.6551724137931036,2.439655172413793,0.21551724137931033,212,0.5,2.6179245283018866,2.452830188679245,0.1650943396226415,227,0.5066079295154186,2.6519823788546257,2.4140969162995596,0.23788546255506607
5,81920,4411,2229,1534,648,0.50532759011562,0.54,0.535,-0.009960686787962914,0.232070654630661,-0.009040150791406631,0.5018165707588196,882,458,288,136,0.5192743764172335,0.2165532879818594,2.6553287981859413,2.438775510204082,0.03835850954055786,0.0062255859375,0.011248779483139515,0.0012811901979148388,0.02712921053171158,0.01220703125,1.220703125,-0.0768432691693306,-0.009960686787962914,-0.015736536209092097,0.23866704603036246,2.918369699407507,0.014085024970376657,0.11707899305555555,0.2828934617616512,0.00045904,1.386275300273189,0.0,0.05334924768518518,4.0,2.0,0.0,0.0,0.0538330078125,,,,,0.0,0.24383544921875,0.24407958984375,0.2642822265625,0.247802734375,215,0.48372093023255813,2.66046511627907,2.4651162790697674,0.19534883720930232,214,0.5373831775700935,2.6682242990654204,2.425233644859813,0.24299065420560748,234,0.5,2.6538461538461537,2.465811965811966,0.18803418803418803,219,0.5570776255707762,2.6392694063926943,2.3972602739726026,0.2420091324200913
6,98304,5298,2684,1830,784,0.5066062665156663,0.6,0.48,-0.009891902096569538,0.2329040914773941,-0.026402784511446953,0.5046237111091614,887,455,296,136,0.5129650507328072,0.20856820744081173,2.6448703494926717,2.43630214205186,0.047802090644836426,0.00555419921875,0.01234741136431694,0.0012513493420556188,0.026491615921258926,0.0118408203125,1.18408203125,-0.07709961384534836,-0.009891902096569538,-0.020887915912846274,0.23937203577070526,2.8629403764551338,0.01787255581990449,0.14180871212121213,0.3039701734528397,0.00045084800000000006,1.3862772313031284,0.0,0.054095643939393936,4.0,0.0,0.0,0.0,0.0540771484375,,,,,0.0,0.2760009765625,0.24310302734375,0.24420166015625,0.2366943359375,245,0.5346938775510204,2.6612244897959183,2.4244897959183676,0.23673469387755103,215,0.5255813953488372,2.655813953488372,2.4232558139534883,0.23255813953488372,216,0.4722222222222222,2.611111111111111,2.490740740740741,0.12037037037037036,211,0.5165876777251185,2.6492890995260665,2.4075829383886256,0.24170616113744076
7,114688,6180,3151,2130,899,0.5098705501618123,0.5,0.545,-0.010492932051420212,0.23152220249176025,-0.039975106716156006,0.5140522122383118,882,467,300,115,0.5294784580498866,0.22675736961451248,2.639455782312925,2.4126984126984126,0.059564173221588135,0.006683349609375,0.01047363318502903,0.0011283144121989608,0.026319164782762527,0.01055908203125,1.055908203125,-0.07687988877296448,-0.010492932051420212,-0.017636596706385413,0.24528935998678209,2.8406318187713624,0.015290722666153063,0.12210286458333333,0.3233829865852992,0.000442656,1.386278474330902,0.0,0.05341796875,4.0,3.0,0.0,0.0,0.05389404296875,,,,,0.0,0.2415771484375,0.25408935546875,0.24957275390625,0.2547607421875,214,0.49065420560747663,2.607476635514019,2.44392523364486,0.16355140186915887,224,0.5223214285714286,2.611607142857143,2.424107142857143,0.1875,220,0.5636363636363636,2.668181818181818,2.3727272727272726,0.29545454545454547,224,0.5401785714285714,2.669642857142857,2.4107142857142856,0.25892857142857145
8,131072,7065,3627,2409,1029,0.513375796178344,0.52,0.535,-0.008276685141026974,0.23061466217041016,-0.015483974479138851,0.5018473267555237,885,476,279,130,0.5378531073446328,0.25310734463276835,2.6621468926553673,2.409039548022599,0.05607771873474121,0.008056640625,0.013525390066206455,0.0010569794103503227,0.026632413268089294,0.0164794921875,1.64794921875,-0.07789306342601776,-0.008276685141026974,-0.021804136195869156,0.23461414738134903,2.8242279255028926,0.016124411588393603,0.12553267045454544,0.32022024736259924,0.000434464,1.3862797130237927,0.0,0.05391808712121212,4.0,3.0,0.0,0.0,0.05401611328125,,,,,0.0,0.250732421875,0.24822998046875,0.24005126953125,0.260986328125,221,0.5294117647058824,2.665158371040724,2.416289592760181,0.248868778280543,221,0.5520361990950227,2.6470588235294117,2.411764705882353,0.23529411764705882,212,0.5377358490566038,2.650943396226415,2.3867924528301887,0.2641509433962264,231,0.5324675324675324,2.683982683982684,2.41991341991342,0.26406926406926406
9,147456,7954,4065,2732,1157,0.5110636157907971,0.54,0.485,-0.011596707627177238,0.2322809100151062,-0.0376509390771389,0.5211597084999084,889,438,323,128,0.49268841394825647,0.14510686164229472,2.606299212598425,2.4611923509561304,0.06345570087432861,0.00311279296875,0.01061401329934597,0.0012913080863654613,0.02724308893084526,0.0101318359375,1.01318359375,-0.07789307087659836,-0.011596707627177238,-0.025005838388044918,0.24911443548543113,2.8160212925502233,0.018048571569046806,0.13816964285714287,0.323672901732581,0.000426272,1.3862808636256627,0.0,0.05373883928571429,4.0,0.0,0.0,0.0,0.05419921875,,,,,0.0,0.2799072265625,0.25347900390625,0.218017578125,0.24859619140625,247,0.5101214574898786,2.6356275303643724,2.445344129554656,0.1902834008097166,225,0.4577777777777778,2.608888888888889,2.488888888888889,0.12,194,0.5515463917525774,2.61340206185567,2.3969072164948453,0.21649484536082475,223,0.45739910313901344,2.5650224215246635,2.506726457399103,0.05829596412556054
