update,timesteps,episodes_completed,wins,losses,draws,win_rate,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,policy_loss,value_loss,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_persist_loss,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,strategy_kl,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3
1,2048,101,62,27,12,0.6138613861386139,0.02264292538166046,0.13923926651477814,0.31959137320518494,0.42289111018180847,-0.030252806015778334,0.23758202232420444,2.938801521062851,0.005854277877369895,0.0931640625,0.556281053647399,0.00023856,1.3851119607686997,0.0,0.05322265625,4.0,1.0,0.0,0.0,0.05322265625,0.0,0.20263671875,0.33349609375,0.28662109375,0.17724609375
2,4096,213,108,75,30,0.5070422535211268,0.01966082490980625,0.1430605947971344,0.24752222001552582,0.4396767318248749,-0.03814546193461865,0.19513123780488967,2.9518164157867433,0.008233395725255832,0.13486328125,0.3299003757536411,0.00017711999999999998,1.3861911803483964,0.0,0.0546875,4.0,0.0,0.0,0.0,0.0546875,0.0,0.2861328125,0.28125,0.1796875,0.2529296875
3,6144,324,163,125,36,0.5030864197530864,0.021674077957868576,0.1445697695016861,0.2973843216896057,0.4539552927017212,-0.04022246701642871,0.20392586030066012,2.989146834611893,0.009751210507238284,0.148388671875,0.4331858456134796,0.00011568,1.3862329691648483,0.0,0.05322265625,4.0,2.0,0.0,0.0,0.05322265625,0.0,0.21875,0.2548828125,0.3525390625,0.173828125
4,8192,432,216,169,47,0.5,0.020846661180257797,0.14286915957927704,0.3277076184749603,0.4882851541042328,-0.03291661835974082,0.2354532327502966,2.9333572804927828,0.00670791077427566,0.109521484375,0.4664204217493534,5.423999999999998e-05,1.3862357199192048,0.0,0.0537109375,4.0,2.0,0.0,0.0,0.0537109375,0.0,0.25732421875,0.1708984375,0.3603515625,0.21142578125
5,10240,543,269,211,63,0.4953959484346225,0.023408766835927963,0.14034578204154968,0.34507331252098083,0.44911181926727295,1.6443664208054543e-09,0.197530260309577,2.954557031393051,0.0,0.0,0.5619045294821262,0.0,1.3862368017435074,0.0,0.05419921875,4.0,3.0,0.0,0.0,0.05419921875,0.0,0.19677734375,0.25634765625,0.2587890625,0.2880859375
