episode_id,timesteps,policy_update,rollout_step,latent_z,mode,map_set,opponent,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,near_misses_per_episode,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
25,616,0,77,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.23999999463558197,1,0,0,13.0,9.394360860188803,-1.0,-0.5,-0.019443660974502563,0.0,-1.0,-100.0,0.0,-0.8496410846710205
26,656,0,82,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.1599999964237213,1,0,3,11.0,9.802190992567274,1.0,0.4000000059604645,0.012843430042266846,0.029999999329447746,1.0,100.0,0.0,0.8368925452232361
27,664,0,83,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,22,0.35999998450279236,1,0,6,15.0,9.851058959960938,-1.0,-0.4000000059604645,-0.005500108003616333,0.0,-1.0,-100.0,0.0,-0.834073543548584
28,672,0,84,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.2800000011920929,1,0,0,11.0,10.499292474043997,-0.5,0.0,0.010243415832519531,0.0,0.0,0.0,0.0,-0.24250991642475128
29,672,0,84,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,20,0.2800000011920929,1,0,3,12.0,9.28221435546875,-1.0,0.0,-0.01741507649421692,0.0,0.0,0.0,0.0,-0.4655342996120453
30,688,0,86,3,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,19,0.19999998807907104,1,0,5,12.0,10.065575850637336,-0.5,0.5,-0.011310562491416931,0.0,1.0,100.0,0.0,0.4598904848098755
31,696,0,87,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,3,3,0,20,0.1599999964237213,1,0,2,13.0,9.954135131835937,-0.5,0.0,0.007050216197967529,0.0,0.0,0.0,-0.20000000298023224,-0.3348114788532257
32,696,0,87,0,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,18,0.2800000011920929,1,0,3,11.0,9.625826517740885,1.0,0.5,-0.040678948163986206,0.029999999329447746,1.0,100.0,0.0,0.8475332856178284
33,768,0,96,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,19,0.3199999928474426,1,0,6,12.0,9.496301751387747,-1.0,-0.5,-0.012980669736862183,0.0,-1.0,-100.0,0.0,-0.8491911292076111
34,808,0,101,1,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.19999998807907104,1,0,0,11.0,12.448157416449654,-1.0,-0.5,0.0008666515350341797,0.019999999552965164,-1.0,-100.0,0.0,-0.8468143343925476
35,808,0,101,1,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,17,0.1599999964237213,1,0,0,11.0,11.307772468118106,1.0,0.5,-0.04663994908332825,0.029999999329447746,1.0,100.0,0.0,0.8471130132675171
36,808,0,101,3,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.19999998807907104,1,0,1,12.0,10.53921830026727,1.0,0.5,0.029221653938293457,0.029999999329447746,1.0,100.0,0.0,0.8523834943771362
37,824,0,103,2,FIXED_OPPONENT,train,SCRIPTED:OP3,1,3,2,1,19,0.19999998807907104,1,0,1,12.0,9.977360775596217,1.0,0.5,-0.034546881914138794,0.014999999664723873,1.0,100.0,0.0,0.8469076156616211
38,832,0,104,2,FIXED_OPPONENT,train,SCRIPTED:OP3,0,2,3,-1,18,0.35999998450279236,1,0,6,11.0,9.779575771755642,-1.0,-0.4000000059604645,-0.02102622389793396,0.0,-1.0,-100.0,0.0,-0.8352509140968323
