update,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_total_mean,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,strategy_entropy,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_q_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_fraction,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_resample_fraction_rollout,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate
1,16384,881,452,299,130,0.5130533484676504,0.56,0.535,-0.011637448333203793,0.23072549700737,-0.04989079385995865,0.5056952238082886,881,452,299,130,0.5130533484676504,0.22474460839954596,2.642451759364359,2.4177071509648127,0.0032777786254882812,0.00537109375,0.008685302920639515,0.0011495581129565835,0.02705957181751728,0.0091552734375,0.91552734375,-0.07762451469898224,-0.011637448333203793,-0.013320090428654415,0.971062316869696,0.8851867914199829,0.03757871687412262,0.9238071441650391,0.9706956148147583,1.0205719470977783,1.069823980331421,-0.049890793555449404,0.505695217787272,16384.0001,2.9458941792448363,0.006054276712044763,0.049702962239583336,0.18942496553063393,0.00045904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
2,32768,1766,917,604,245,0.5192525481313703,0.52,0.535,-0.009736514650285244,0.2322991043329239,-0.040738750249147415,0.5071778297424316,885,465,305,115,0.5254237288135594,0.21129943502824858,2.631638418079096,2.4203389830508475,0.044438838958740234,0.006256103515625,0.01107177697122097,0.0011375448666512966,0.027163244783878326,0.01251220703125,1.251220703125,-0.075927734375,-0.009736514650285244,-0.032835092462942396,0.9541764941654707,0.8664823770523071,0.033935144543647766,0.9166611433029175,0.9565020799636841,1.0020235776901245,1.0309453010559082,-0.04531477191626332,0.506457743150657,32768.000100000005,2.9513781384417883,0.01382258755620569,0.12552682976973684,0.2767105727995697,0.00041808000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
3,49152,2654,1383,897,374,0.5211002260738508,0.66,0.53,-0.009509045630693436,0.23324225842952728,-0.03163589909672737,0.5028897523880005,888,466,293,129,0.5247747747747747,0.23536036036036037,2.649774774774775,2.4144144144144146,0.06338369846343994,0.006622314453125,0.01076660118997097,0.001115232240408659,0.026891667395830154,0.01300048828125,1.300048828125,-0.07569579780101776,-0.009509045630693436,-0.03475311509548472,0.9232952686456534,0.8117620944976807,0.0374113991856575,0.8808274269104004,0.9174221754074097,0.9700550436973572,1.0199689865112305,-0.04075514765236125,0.5053123651377699,49152.000100000005,2.9309341467343843,0.01672665173492323,0.1469951923076923,0.36427295483075656,0.00037712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
4,65536,3540,1853,1187,500,0.5234463276836158,0.46,0.55,-0.008692868053913116,0.23269373178482056,-0.02429133839905262,0.4996279776096344,886,470,290,126,0.5304740406320542,0.2584650112866817,2.659142212189616,2.4006772009029347,0.055467844009399414,0.00714111328125,0.01215209998190403,0.0011140289716422558,0.02680477872490883,0.01422119140625,1.422119140625,-0.07524414360523224,-0.008692868053913116,-0.04018270926462719,0.926114353351295,0.841042160987854,0.03456542268395424,0.8873000144958496,0.9245418310165405,0.9688785672187805,1.0151158571243286,-0.03663919534531453,0.5039477102027757,65536.0001,2.9302132092416286,0.01776700867776526,0.149749755859375,0.3582759292330593,0.00033616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
5,81920,4428,2343,1464,621,0.5291327913279132,0.64,0.56,-0.008164389058947563,0.23148685693740845,-0.007805998902767897,0.5013287663459778,888,490,277,121,0.5518018018018018,0.29504504504504503,2.6745495495495497,2.3795045045045047,0.06588399410247803,0.009307861328125,0.012127685360610485,0.0011116249952465296,0.027133101597428322,0.0146484375,1.46484375,-0.07528075575828552,-0.008164389058947563,-0.029507982609576957,0.9243804050046344,0.8372243046760559,0.03442869335412979,0.8795825242996216,0.9248088598251343,0.9603927731513977,0.9879387021064758,-0.03087255606384456,0.5035571041567704,81920.0001,2.9129345361576524,0.015076152911290613,0.12540879360465115,0.43000664267429084,0.0002952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
6,98304,5316,2820,1727,769,0.5304740406320542,0.58,0.53,-0.008281955495476723,0.22830946743488312,-0.013966015540063381,0.49182602763175964,888,477,263,148,0.5371621621621622,0.28153153153153154,2.688063063063063,2.4065315315315314,0.06473195552825928,0.008544921875,0.01216430589556694,0.0010378090664744377,0.026457900181412697,0.01397705078125,1.397705078125,-0.07457275688648224,-0.008281955495476723,-0.03289869267124838,0.8985571364561716,0.8330313563346863,0.03331220895051956,0.8627422451972961,0.8975606560707092,0.9416135549545288,0.9987087249755859,-0.028054799312747403,0.5016605439066962,98304.0001,2.885733500123024,0.015343313609870771,0.13065592447916666,0.4419807779292266,0.00025424000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
7,114688,6201,3291,2002,908,0.5307208514755685,0.64,0.525,-0.009052498266100883,0.22895582020282745,-0.025676028802990913,0.4974806010723114,885,471,275,139,0.5322033898305085,0.2824858757062147,2.6757062146892654,2.393220338983051,0.07056808471679688,0.007720947265625,0.01152954064309597,0.0009639858035370708,0.026319332420825958,0.01318359375,1.318359375,-0.0750732421875,-0.009052498266100883,-0.038396259231878255,0.9104895242329302,0.8282220959663391,0.031648654490709305,0.8757274746894836,0.9086538553237915,0.9544481635093689,0.9790169596672058,-0.027714974954507064,0.5010662355748657,114688.0001,2.8400157854474823,0.017651106872202442,0.1476293103448276,0.4554613283995924,0.00021328000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
8,131072,7087,3763,2298,1026,0.5309722026245238,0.4,0.46,-0.010103064589202404,0.2312586009502411,-0.03293426334857941,0.5069262981414795,886,472,296,118,0.5327313769751693,0.24379232505643342,2.646726862302483,2.4029345372460496,0.07643544673919678,0.00714111328125,0.010089111514389515,0.0010534543544054031,0.026626423001289368,0.0103759765625,1.03759765625,-0.07517090439796448,-0.010103064589202404,-0.046016698574500255,0.9400704510902104,0.8376314043998718,0.03728252649307251,0.8910123109817505,0.9389854669570923,0.9861118197441101,1.0160107612609863,-0.028367386003268356,0.5018054556745686,131072.0001,2.8256799076732837,0.01652331927585979,0.14872018914473684,0.4442388338870124,0.00017231999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
9,147456,7974,4229,2593,1152,0.5303486330574366,0.52,0.515,-0.009508668445050716,0.23191343247890472,-0.03711141645908356,0.5058294534683228,887,466,295,126,0.5253664036076663,0.2480270574971815,2.6493799323562572,2.4013528748590756,0.07069754600524902,0.006591796875,0.011077880859375,0.0010468307882547379,0.026509758085012436,0.011962890625,1.1962890625,-0.07506103813648224,-0.009508668445050716,-0.05277669137770621,0.9395948561529318,0.8483359217643738,0.03908856213092804,0.8865717649459839,0.9430289268493652,0.9827578663825989,1.0420868396759033,-0.029338944942144497,0.5022616752250433,147456.0001,2.8133352771401405,0.01618399337894516,0.15672810872395834,0.46845723253985244,0.00013136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
10,163840,8865,4732,2842,1291,0.5337845459672871,0.56,0.575,-0.006710975430905819,0.22780390083789825,0.0006806454621255398,0.4950771927833557,891,503,249,139,0.5645342312008979,0.3546576879910213,2.707070707070707,2.3524130190796857,0.07506722211837769,0.011260986328125,0.01392211951315403,0.001130307326093316,0.026134435087442398,0.017822265625,1.7822265625,-0.07552489638328552,-0.006710975430905819,-0.046648466692810565,0.9003978942831358,0.8157079219818115,0.033155087381601334,0.8636113405227661,0.8976420164108276,0.9476836919784546,0.972420334815979,-0.026336985903549742,0.5016287067046131,163840.0001,2.795462653040886,0.011363098192911517,0.11580403645833333,0.5414973745743433,9.039999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
